training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
25.610048,-1.2402587,-9.3949375,0.5108572,1.0,5.79228,2.298129,-0.0673104,-3.7367547,11.524458,-6.678456,359.06122,4.1568074,0.9321126,-2.194284,0.4195658,49.904964,-1.1090138,-9.281574,0.48251665,1.0,27.672335,2.3407042,-2.146289,-6.3789954,5.1603,-1.7291155,-5.885448,2.6629548,0.00961738977432251,48.08695101737976,1
18.198719,-0.71126866,-8.273169,0.2304152,1.0,1.0965307,0.0,-14.655427,-23.376295,1.8678064,-2.981292,66.1167,0.9510488,-14.051103,-22.664457,0.050248034,15.738199,-0.8285028,-8.310338,0.23970741,1.0,1.1089733,0.0,-14.4808235,-23.502262,1.0608122,-13.880146,-22.715261,0.054792084,0.23951634588241577,1245.6686823368073,5000
9.314368,-0.70918214,-8.0622425,0.17768362,1.0,2.0166552,0.0,-21.646858,-39.59476,4.6340294,-3.0933683,76.19631,0.62455004,-21.143496,-38.984924,0.08197373,12.115704,-0.8060508,-8.102637,0.18778236,1.0,1.66208,0.0,-21.697622,-39.53915,0.83654916,-21.247114,-38.92778,0.06637831,0.24704074301719667,2480.8723986148834,10000
28.3684,-0.50559866,-8.035374,0.17096643,1.0,1.974405,0.0,-26.867886,-52.038803,2.3659956,-2.2942286,68.715,1.1421046,-26.454914,-51.531013,0.11345995,35.53134,-0.41408768,-8.039694,0.1720464,1.0,1.830618,0.0,-26.62437,-51.99682,0.95843345,-26.219105,-51.519886,0.13664636,0.1309241578578949,3135.493192434311,15000
42.99982,-0.5542324,-7.9895,0.15949789,1.0,2.1903894,0.0,-26.394001,-60.42763,5.166259,-4.426137,119.73723,1.0007967,-26.021572,-60.026627,0.119855955,47.5244,-0.58947605,-8.002548,0.16275999,1.0,2.563006,0.0,-26.573027,-60.67726,1.6391327,-26.132421,-60.279602,0.16330497,0.008271668100357055,3176.8515346050262,20000
29.38945,-0.62545156,-7.9361315,0.1461559,1.0,2.258893,0.0,-26.433067,-66.31529,3.289602,-3.7094603,88.58999,1.0308466,-26.02795,-66.00277,0.14206892,39.197586,-0.5815192,-7.954508,0.15074998,1.0,2.0807414,0.0,-26.623161,-66.44463,0.6910665,-26.20426,-66.107315,0.17489484,0.13809917111396788,3867.3473925590515,25000
15.60269,-0.8504776,-7.950464,0.14973882,1.0,2.0032883,0.0,-27.57331,-71.37062,4.5152745,-6.6717367,131.12717,1.051905,-27.145962,-71.09024,0.14257757,44.68098,-0.39641112,-7.9951367,0.16090705,1.0,1.9628098,0.0,-27.236599,-70.072845,1.1686308,-26.818121,-69.79404,0.1287978,0.00599341139793396,3897.314450979233,30000
30.034254,-0.60886633,-7.96529,0.1534454,1.0,1.4750063,0.0,-27.276463,-72.857216,2.1525517,-2.576443,78.34413,0.87438285,-26.90127,-72.58371,0.14004692,20.890577,-0.7641914,-8.001539,0.16250774,1.0,1.7645729,0.0,-25.969545,-72.01491,1.1789464,-25.516878,-71.7319,0.15556026,0.13041807289123536,4549.404818534851,35000
17.149235,-0.6891185,-7.927801,0.14407317,1.0,1.4388722,0.0,-27.537277,-74.39746,2.4549563,-2.4995697,57.48199,0.6131095,-27.151936,-74.192894,0.1144557,23.360897,-0.5906043,-8.002235,0.1626817,1.0,1.5149966,0.0,-26.953403,-74.303444,0.5739662,-26.509111,-74.22936,0.16044231,0.00935333342552185,4596.171488761902,40000
30.555042,-0.4762277,-8.03357,0.1705156,1.0,1.9130731,0.0,-26.232971,-75.228584,4.2470613,-2.5999796,101.38852,1.125401,-25.745964,-75.01402,0.15074968,26.952023,-0.56024665,-7.964038,0.15313241,1.0,1.9174056,0.0,-27.451889,-74.81831,0.7855474,-27.071022,-74.558685,0.15105413,0.12597200403213502,5226.031510591507,45000
