training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
44.985943,-1.1530569,-9.309699,0.48954785,1.0,3.6432338,1.3997564,-0.52093387,-3.9481094,2.2627525,-1.9359832,128.17519,3.2036517,0.3424323,-2.865563,0.41078717,77.031715,-0.43524596,-9.215212,0.46592605,1.0,37.665382,0.71310866,-3.1818466,-6.5538483,2.4671106,-3.0613637,-5.7776856,5.8237934,0.012278509378433227,61.39254879951477,1
20.78516,-0.7997248,-8.119783,0.1920689,1.0,1.4511614,0.023835063,-14.1043,-22.691269,2.386344,-2.1098902,62.113693,0.96746117,-13.519718,-21.927185,0.09379834,24.071161,-0.79686546,-8.085269,0.1834401,1.0,1.1257968,0.0,-13.645548,-22.751451,0.9113902,-13.04516,-21.976248,0.10827091,0.21295382289886475,1126.1616668701172,5000
45.59063,-0.58710575,-7.9242992,0.14319772,1.0,2.1487007,0.0,-19.773912,-38.719948,3.498504,-3.1574473,96.801346,0.68607485,-19.323505,-38.102467,0.110291705,59.654133,-0.50708425,-7.9421587,0.14766258,1.0,2.9022114,0.0,-19.256367,-38.753185,0.94066316,-18.78984,-38.054695,0.1657106,0.2188945191860199,2220.6342644691467,10000
16.07612,-0.9039762,-7.8307357,0.119806826,1.0,2.1882095,0.0,-22.29815,-50.69223,6.48891,-7.8413944,146.3419,0.79123664,-21.870842,-50.26914,0.15813729,27.998814,-0.8906255,-7.857129,0.12640521,1.0,2.9499514,0.0,-23.912243,-50.91087,0.7703071,-23.452858,-50.49098,0.22980104,0.11793012838363648,2810.2849082946777,15000
16.346226,-0.7645922,-7.829908,0.119599946,1.0,2.4605868,0.0,-22.858273,-58.867794,5.086761,-3.521578,106.47287,0.6023336,-22.52774,-58.551655,0.15179744,17.562485,-0.9102229,-7.838976,0.12186693,1.0,2.2460458,0.0,-22.893745,-59.15232,0.6338477,-22.50085,-58.628155,0.13530351,0.0056090374946594235,2838.330097913742,20000
33.3364,-0.5192133,-7.79889,0.11184545,1.0,2.2936559,0.0,-23.913965,-64.028625,4.1729608,-3.441468,115.3708,0.65496373,-23.460026,-63.578987,0.13901207,21.329063,-0.6195227,-7.809155,0.114411704,1.0,2.2053201,0.0,-23.595875,-64.08374,1.5132335,-23.158367,-63.650208,0.16109878,0.11411414337158203,3408.9008173942566,25000
33.983223,-0.75107837,-7.7896767,0.10954215,1.0,2.5026708,0.0,-23.65482,-68.0735,5.0757885,-6.3059535,143.03796,0.70012546,-23.181202,-67.77369,0.15198798,30.824423,-0.6579032,-7.7838697,0.10809035,1.0,2.1450126,0.0,-23.639774,-66.159164,0.65317583,-23.23051,-65.82767,0.15450233,0.005784350824356079,3437.822574853897,30000
22.986485,-0.6284268,-7.769165,0.104414284,1.0,1.7309629,0.0,-24.665684,-70.6716,3.5994225,-3.4691658,102.12648,0.60945183,-24.268448,-70.46264,0.13953449,21.373074,-0.6419988,-7.7737823,0.10556853,1.0,1.7130785,0.0,-23.142189,-67.95543,0.781292,-22.726921,-67.51107,0.14087813,0.11430183358192444,4009.331747531891,35000
12.497002,-1.0047696,-7.8243446,0.11820915,1.0,2.258658,0.0,-23.290241,-70.35353,3.089306,-6.0003486,113.44083,0.6674223,-22.895287,-70.17013,0.14169249,12.730511,-0.84345984,-7.7743106,0.10570058,1.0,2.071117,0.0,-23.889843,-71.31625,0.796765,-23.492836,-70.883644,0.14453714,0.005251440811157227,4035.5889534950256,40000
15.056576,-0.91208684,-7.7756367,0.10603218,1.0,1.9947174,0.0,-23.550117,-70.94097,3.3548412,-3.95809,89.745636,0.74719197,-23.163605,-70.929306,0.13983004,14.570177,-0.9571529,-7.8047924,0.1133211,1.0,2.2024355,0.060191512,-21.872923,-72.02686,1.0758095,-21.480026,-71.79797,0.15412042,0.12282477149963379,4649.7128138542175,45000
26.723299,-0.5892374,-7.7502956,0.0996969,1.0,1.5926175,0.0,-24.200188,-72.95823,2.478418,-3.5748456,61.284966,0.48039103,-23.85722,-72.74593,0.14338502,26.623089,-0.5152844,-7.7979116,0.111600876,1.0,1.9354576,0.0,-25.151205,-71.32252,0.5100493,-24.74402,-70.82218,0.16947164,0.005394614934921264,4676.68589258194,50000
15.0369835,-0.7241579,-7.749106,0.09939943,1.0,1.8383093,0.0,-23.312773,-72.37843,4.559987,-4.672949,94.30328,0.6579517,-22.895561,-72.1536,0.20994042,24.185648,-0.64430535,-7.770478,0.10474241,1.0,2.103866,0.029548764,-24.706022,-73.35038,1.1789659,-24.308388,-73.2865,0.14969112,0.12643691635131835,5308.870476007462,55000
21.468906,-0.7319695,-7.7516775,0.10004235,1.0,1.5194656,0.0,-24.320324,-73.07986,2.1450438,-1.7111912,67.881935,0.62304175,-23.872871,-73.11471,0.15981787,15.464354,-0.84671843,-7.750907,0.09984968,1.0,1.8087349,0.0,-24.488274,-72.095146,0.8551054,-24.06585,-71.819374,0.1485757,0.005321470737457276,5335.477833032608,60000
13.446382,-0.7082136,-7.77127,0.1049404,1.0,1.608432,0.0,-24.910456,-72.93443,2.7912774,-3.0383687,67.238594,0.51633537,-24.535477,-72.41624,0.14934267,16.779408,-0.6577852,-7.753949,0.10061024,1.0,1.5487078,0.0,-24.766747,-73.629875,0.6588974,-24.361883,-73.48559,0.14558466,0.005330895853042602,5362.132313966751,65000
18.459263,-0.56849086,-7.7453265,0.0984546,1.0,1.4553032,0.0,-24.516987,-73.410446,5.229466,-3.4117405,83.30952,1.9932482,-24.112766,-72.84449,0.12275679,22.160002,-0.67927516,-7.763028,0.10288007,1.0,1.7052119,0.0,-25.69527,-74.25661,0.5107158,-25.340075,-73.67262,0.15089333,0.005332797718048096,5388.79630446434,70000
20.184893,-0.6810064,-7.7431254,0.09790428,1.0,1.8370271,0.0,-24.374422,-74.24687,3.648951,-7.495647,94.82488,0.60045457,-23.976034,-73.859055,0.13471374,22.446953,-0.7426358,-7.7650394,0.10338291,1.0,1.9182441,0.0,-24.816048,-73.393776,0.97571373,-24.462132,-73.33711,0.17621928,0.005348782825469971,5415.540220975876,75000
