training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
219.07884,0.06779036,-9.803976,0.61311686,1.0,10.481353,1.3676941,-1.6049607,-5.0526786,13.298855,-17.398067,816.6958,2.2474408,-1.0144644,-3.4241295,1.1250194,1.2931452,-8.56613,-9.691217,0.5849273,1.0,90.49664,4.2004385,1.7998638,-3.3957562,5.4378805,3.3291755,-1.3381321,1.9356354,0.009199562454223632,45.997817277908325,1
25.894459,-1.0260429,-9.9892845,0.6594441,1.0,2.2803123,1.2806733,-13.430546,-23.929007,2.869935,-3.2974112,80.041626,1.1903791,-12.751701,-23.16789,0.19412678,20.893143,-1.1310182,-9.912267,0.64018965,1.0,2.0393386,0.0,-13.516336,-23.786568,1.8941885,-12.832824,-23.04306,0.20229238,0.24288248672485352,1260.4102520942688,5000
23.863354,-0.69263375,-9.630303,0.56969887,1.0,1.5690737,0.0,-18.488634,-38.654705,11.333914,-10.76266,147.25954,0.5214789,-17.905727,-38.03439,0.09969497,24.434517,-0.76400244,-9.602693,0.562796,1.0,1.7099819,0.0,-18.904694,-38.659332,0.664524,-18.30653,-38.03788,0.11546613,0.24937151069641114,2507.2678067684174,10000
27.585947,-0.95633006,-9.604416,0.5632272,1.0,1.8731403,0.0,-24.379005,-50.766937,13.354933,-12.563659,193.50786,0.3679347,-23.93428,-50.33299,0.10696309,34.47426,-0.78725445,-9.654261,0.5756881,1.0,2.3363454,0.0,-23.579088,-50.794304,0.51786345,-23.096254,-50.27116,0.10663533,0.13825579442977906,3198.54678273201,15000
59.08121,-0.7183541,-9.634403,0.5707238,1.0,2.2699246,0.0,-25.36391,-60.83955,18.042183,-18.71681,263.30838,0.5204044,-24.917896,-60.46938,0.14521435,59.33911,-0.95069766,-9.621256,0.5674368,1.0,2.7166553,0.0,-26.537237,-60.848747,0.5497561,-26.10326,-60.46648,0.15979819,0.005804737091064453,3227.570469379425,20000
35.467384,-0.8197584,-9.737095,0.5963968,1.0,2.0715346,0.0,-28.52748,-68.54142,22.692312,-19.596827,285.36746,0.47758302,-28.122154,-68.24025,0.13185689,47.71866,-0.7294172,-9.739383,0.5969687,1.0,2.1859112,0.0,-27.938744,-68.592926,0.3611318,-27.513786,-68.2881,0.12915859,0.149225284576416,3973.696893930435,25000
19.890184,-0.89961225,-9.757061,0.6013882,1.0,9.810618,0.0,-30.896864,-74.76811,7.7695622,-7.863162,111.19979,0.6225842,-30.5569,-74.51412,0.1139608,18.893028,-0.95992315,-9.746177,0.5986672,1.0,1.7954979,0.0,-28.657978,-74.86777,0.45180923,-28.181541,-74.60905,0.12188731,0.005804574680328369,4002.719772338867,30000
34.15677,-0.7226587,-9.719678,0.59204245,1.0,1.5598212,0.0,-29.717602,-79.84796,16.13042,-13.063159,204.78868,0.522736,-29.27975,-79.630974,0.10914557,15.035464,-0.8626446,-9.704266,0.58818936,1.0,1.3376918,0.0,-30.129013,-79.54261,0.4314685,-29.690353,-79.3771,0.1074026,0.14792654118537904,4742.352479457855,35000
15.318886,-0.8238172,-9.719949,0.59211004,1.0,1.3093102,0.0,-32.11431,-83.94519,9.489558,-8.477701,157.6968,0.4061649,-31.77531,-83.80261,0.12431578,9.540661,-1.0891926,-9.665225,0.5784293,1.0,2.0760915,0.0,-31.059082,-83.84717,0.57718116,-30.719618,-83.68521,0.115928136,0.005816673326492309,4771.43585062027,40000
27.631304,-0.7207262,-9.720446,0.5922345,1.0,1.7288897,0.0,-34.809532,-87.03072,13.729702,-11.622532,167.9793,0.58429956,-34.372368,-86.89143,0.10251002,39.537754,-0.7638459,-9.688669,0.5842904,1.0,2.1832943,0.0,-32.13,-87.022446,0.7889348,-31.739803,-86.876625,0.12124571,0.14856906480789184,5514.281178236008,45000
