training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
32.195827,-1.2580144,-9.274029,0.48063034,1.0,3.3793542,1.7735884,-0.7792344,-4.09479,3.5675573,-3.8648918,181.77386,2.4840865,0.017323185,-3.2147503,0.4060572,34.290794,-0.34286737,-9.244318,0.47320253,1.0,68.94525,0.18089867,-3.9509487,-7.357317,2.2296832,-4.066161,-6.8661256,8.74954,0.010006324005126953,50.03162360191345,1
16.912394,-0.70888394,-8.370291,0.25469577,1.0,1.5018281,0.0,-14.223071,-23.200165,2.4121838,-3.3072708,74.045876,0.89550453,-13.5934105,-22.424456,0.083115205,18.633043,-0.6038846,-8.378959,0.25686264,1.0,1.4300761,0.26276934,-14.073147,-23.154306,1.2136353,-13.401621,-22.377155,0.0653708,0.17980555596351624,949.0594065189362,5000
12.186239,-0.89709055,-8.064442,0.17823347,1.0,1.9736382,0.0,-21.209187,-38.48279,4.03061,-5.9229884,85.61264,0.7617197,-20.726974,-37.84453,0.07856774,12.681344,-0.93856186,-8.063072,0.17789094,1.0,1.903606,0.0,-21.094894,-38.4984,0.63357,-20.587101,-37.889523,0.10580201,0.18973147983551025,1897.7168111801147,10000
43.359814,-0.5534226,-7.9683695,0.1542153,1.0,3.0214856,0.0,-24.670786,-50.658955,14.737981,-16.466743,226.50473,1.4153419,-24.20567,-50.12658,0.22342856,41.329033,-0.6404677,-7.9800544,0.1571365,1.0,2.57572,1.026046,-25.78611,-50.79231,1.2039995,-25.275364,-50.207027,0.15076004,0.1138754294872284,2467.0939610004425,15000
30.930616,-0.63074017,-7.933033,0.14538115,1.0,5.358975,0.0,-26.981518,-59.797745,18.452103,-12.8336735,191.63356,0.90158594,-26.565514,-59.39675,0.16226125,25.948051,-0.6493907,-7.923352,0.14296085,1.0,2.3536391,0.0,-27.783405,-59.86763,1.2627252,-27.366783,-59.456177,0.13104816,0.004897471809387207,2491.581324338913,20000
26.666325,-0.58897316,-7.855404,0.12597406,1.0,2.2204857,0.0,-27.559685,-66.460884,5.762104,-9.29864,134.04907,0.7680651,-27.15651,-66.12196,0.09616033,29.541187,-0.67513984,-7.9326653,0.14528927,1.0,2.4216185,0.0,-27.782333,-66.62612,0.7071637,-27.305925,-66.244415,0.1543327,0.1060804407119751,3021.983531475067,25000
57.87095,-0.37651986,-7.8783545,0.13171169,1.0,2.7254188,1.0530882,-28.884598,-71.54635,9.593099,-7.011522,188.85164,0.99324393,-28.506407,-71.26326,0.19012824,37.478798,-0.48765558,-7.8742533,0.13068637,1.0,2.5510383,0.0,-28.353737,-71.24139,0.92637974,-27.879873,-71.00801,0.19391307,0.004669367456436157,3045.3303785324097,30000
33.40122,-0.5466585,-7.869257,0.12943713,1.0,2.1271768,0.120438695,-28.729895,-75.07371,8.779353,-6.950499,140.34021,0.78998685,-28.320702,-74.82218,0.16102558,44.10896,-0.41648006,-7.858689,0.1267952,1.0,2.345686,0.26033127,-27.99582,-74.42654,0.9444714,-27.635761,-74.21515,0.17145607,0.09614035987854004,3526.032184123993,35000
34.27509,-0.85371375,-7.8490305,0.124380514,1.0,3.1236641,0.0,-28.465261,-77.77854,23.514364,-16.222652,208.30717,0.71759504,-28.106575,-77.55604,0.1494379,50.332016,-0.7803152,-7.8786135,0.13177624,1.0,4.3452053,0.0,-29.11673,-77.43509,0.59286076,-28.757425,-77.19611,0.17794299,0.0052769015789031985,3552.416697740555,40000
22.36372,-0.7550627,-7.8327036,0.12029886,1.0,2.0760746,0.0,-29.502974,-80.04424,7.6731167,-9.097752,130.36783,0.45831388,-29.143696,-79.8442,0.13214399,27.772669,-0.7608553,-7.8873425,0.13395855,1.0,2.3070843,0.0,-29.655178,-78.2581,1.273464,-29.233276,-78.04306,0.16440508,0.11661833686828613,4135.50838637352,45000
