training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
16.410973,-2.0714424,-9.303957,0.48811233,1.0,7.4332156,1.163866,-1.0591094,-3.578607,9.024955,-10.505329,433.94772,3.7744799,-0.38681164,-2.6424744,0.7469846,97.419464,0.16018173,-9.247027,0.47387987,1.0,58.371723,0.012451053,-4.44414,-7.6426105,3.3423338,-4.7878222,-6.8450317,6.4339075,0.008651379632949829,43.25689935684204,1
13.496856,-1.1932213,-8.292775,0.2353169,1.0,1.690429,0.6555561,-14.287996,-24.57441,7.0426874,-7.3110557,123.94609,1.0667989,-13.681971,-23.81188,0.1256133,10.110825,-1.1918795,-8.275246,0.23093429,1.0,1.3926823,0.0,-13.912285,-24.637888,1.1432934,-13.296488,-23.886187,0.11114131,0.22714573512077332,1178.98557639122,5000
41.550797,-0.5793525,-7.9399548,0.14711156,1.0,1.5055622,0.0,-20.823338,-39.705387,6.9188085,-9.232332,110.95334,0.6563119,-20.389435,-39.053577,0.074761964,31.864895,-0.7039202,-7.936693,0.14629629,1.0,1.5107067,0.0,-20.503744,-39.65673,0.7788766,-20.029104,-39.03393,0.1037379,0.23661380209922792,2362.054588317871,10000
56.97615,-0.47040313,-7.897362,0.13646358,1.0,6.5126333,0.0,-23.767246,-52.184845,27.38174,-26.762812,316.42822,1.7688308,-23.346535,-51.686382,0.113533884,33.01768,-0.62061834,-7.8409815,0.122368306,1.0,2.5216837,0.6033604,-23.836477,-51.883244,0.9437613,-23.420313,-51.399605,0.14414228,0.12093439311981201,2966.7265570163727,15000
15.091442,-0.9071028,-7.8406844,0.12229411,1.0,2.337028,0.0,-26.265179,-61.031242,8.932126,-8.951371,129.0162,0.784866,-25.819363,-60.66391,0.1227393,16.750431,-1.0210532,-7.832561,0.120263204,1.0,9.469194,0.0,-26.82807,-60.926495,0.62625283,-26.47642,-60.551407,0.11390541,0.0077168161392211915,3005.31063914299,20000
91.14605,-0.43016183,-7.7946005,0.11077298,1.0,3.2043324,0.0,-26.078362,-67.43934,15.996428,-19.96481,293.6392,0.89005727,-25.692726,-67.12692,0.15579459,57.565285,-0.52606964,-7.8136706,0.11554067,1.0,2.6091766,0.0,-26.305126,-67.117355,0.7078473,-25.847748,-66.8022,0.17925723,0.13165810079574586,3663.6011469364166,25000
27.456253,-0.8074453,-7.776392,0.10622105,1.0,3.6738372,0.0,-26.677746,-72.978714,18.508013,-18.593933,235.92188,0.86669976,-26.2952,-72.71972,0.16229783,26.819466,-0.75813043,-7.7918324,0.11008103,1.0,7.656527,0.0,-27.728922,-72.37352,0.57184666,-27.382027,-72.08054,0.1535663,0.0077055248737335205,3702.1287729740143,30000
13.927933,-0.8726155,-7.7513638,0.099963896,1.0,3.8658361,0.0,-27.691761,-76.19554,4.427007,-5.2970033,102.53591,0.8231453,-27.313114,-75.95338,0.14057067,19.899246,-0.76949024,-7.7379947,0.09662158,1.0,2.440032,0.0,-27.397453,-76.020515,0.65416366,-27.072987,-75.777596,0.15023682,0.11716534357070923,4287.9554924964905,35000
37.540863,-0.63741606,-7.7623906,0.1027206,1.0,2.2036233,0.0,-27.650583,-78.70423,7.461239,-9.696119,160.08356,0.5947722,-27.267614,-78.62126,0.13195857,31.364412,-0.6451084,-7.7620935,0.10264633,1.0,2.3504958,0.0,-29.617664,-78.77532,0.939525,-29.296997,-78.60918,0.1377182,0.004785021305084228,4311.880600452423,40000
21.72741,-0.6795151,-7.753561,0.10051331,1.0,3.503815,0.0,-29.01482,-80.84353,7.9330015,-9.269539,153.33981,0.82891077,-28.614872,-80.79156,0.16101675,15.133304,-0.75363386,-7.7428083,0.09782508,1.0,2.0571105,0.0,-29.246773,-81.43788,0.6290254,-28.886822,-81.2186,0.1178832,0.12587886023521425,4941.274903059006,45000
