training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
139.07715,0.33183235,-5.0901566,0.19818561,1.0,14.148779,1.7168596,-1.5478938,-4.8957376,11.773199,-5.2383637,634.7764,2.728933,-0.94665897,-4.240454,1.6359518,4.688867e-06,-7.633575,-5.0618925,0.18687998,1.0,65.443665,4.882866,1.7487694,-0.96176517,6.17934,3.2243664,-0.06871056,1.677577,0.008834904146194459,44.174522161483765,1
13.07449,-0.50771093,-4.6948595,0.040066708,1.0,0.78382653,0.0,-15.091652,-23.172306,1.4708159,-0.44694307,43.280132,0.7908224,-14.479984,-22.399378,0.08117637,5.418292,-0.6533598,-4.6948414,0.04005947,1.0,0.45829946,0.0,-15.0527315,-23.363453,0.94625205,-14.42648,-22.548307,0.06905835,0.2414565450191498,1251.4572486877441,5000
15.050614,-0.48146135,-4.681572,0.034751795,1.0,0.8627449,0.0,-20.94665,-38.362892,1.0129993,-0.3303599,33.184933,0.72915417,-20.488722,-37.67752,0.086717255,8.008483,-0.593601,-4.6811757,0.034593236,1.0,0.8565047,0.0,-21.214588,-38.110916,0.58846116,-20.687035,-37.55619,0.13738564,0.2544921023368835,2523.917761325836,10000
8.74836,-0.6359111,-4.67124,0.030619023,1.0,0.7564969,0.0,-24.509357,-49.28825,0.5458545,-0.42222768,24.029922,0.8412158,-24.030802,-48.796387,0.10964219,7.125396,-0.881949,-4.6766167,0.032769736,1.0,0.99726766,0.0,-24.662762,-48.91961,0.7166471,-24.15908,-48.491894,0.15434206,0.1338475438117981,3193.155483007431,15000
16.644207,-0.46838504,-4.6847925,0.03603993,1.0,0.80733204,0.0,-26.410358,-57.50258,0.8396375,-0.56111383,35.91346,0.7049729,-25.992546,-57.00352,0.14388591,11.526617,-0.5703933,-4.691864,0.03886872,1.0,0.8554683,0.0,-27.070621,-56.493744,0.74526405,-26.640335,-56.09946,0.123909794,0.00618333330154419,3224.0721521377563,20000
14.621289,-0.5317309,-4.6612062,0.026605565,1.0,0.713138,0.0,-27.633862,-62.35412,0.49025616,-0.37731457,29.73879,0.780161,-27.22411,-61.84811,0.16555971,8.602149,-0.5664979,-4.6722555,0.031025385,1.0,0.6758792,0.0,-27.21671,-61.35133,0.49215233,-26.836388,-60.87481,0.13233592,0.13547370748519896,3901.440690755844,25000
5.544488,-0.8711102,-4.663765,0.027628982,1.0,1.2123306,0.0,-28.95346,-65.12116,0.6954551,-1.086066,44.74311,0.42493716,-28.512146,-64.70354,0.16846186,11.015551,-0.82608694,-4.680089,0.034158554,1.0,1.2135893,0.0,-28.837234,-65.09196,0.60358214,-28.419718,-64.835434,0.14215496,0.007512659358978271,3939.0039892196655,30000
16.0568,-0.52043164,-4.657742,0.025219787,1.0,0.9780006,0.0,-28.718369,-68.04609,0.45729518,-0.49638814,30.398329,0.6062635,-28.288494,-67.75588,0.19382139,19.393234,-0.37298483,-4.6745205,0.03193117,1.0,1.0740672,0.0,-29.15229,-68.00388,1.0475545,-28.780878,-67.87513,0.13273188,0.13721754307746886,4625.0917065143585,35000
17.00078,-0.32812783,-4.671489,0.03071836,1.0,1.3947997,0.0,-28.901333,-69.91834,1.5442513,-1.3217835,65.746544,0.67467254,-28.52655,-69.48936,0.11464079,10.2214775,-0.5939907,-4.660625,0.026373088,1.0,0.72771084,0.0,-29.413574,-68.516335,0.7973015,-29.04192,-68.28915,0.10335246,0.007691602659225464,4663.5497217178345,40000
8.613609,-0.6923307,-4.666246,0.028621335,1.0,0.73382854,0.0,-31.31258,-70.27139,0.4112081,-0.6653593,28.523462,0.4599726,-30.927116,-70.08308,0.08465876,7.312561,-0.7037026,-4.676335,0.03265692,1.0,0.8188117,0.0,-29.683216,-69.54951,0.46503288,-29.303474,-69.408455,0.10390854,0.15283426661491395,5427.721056461334,45000
15.912165,-0.46819976,-4.6607523,0.026423806,1.0,0.79065144,0.0,-30.657953,-71.96478,0.78741795,-0.79849315,38.969196,0.8902831,-30.249578,-71.496315,0.14380556,14.304062,-0.6543013,-4.6671553,0.028984917,1.0,0.72728646,0.0,-30.341335,-70.877235,0.92189044,-29.94366,-70.66676,0.15365365,0.00887500615119934,5472.096088886261,50000
