training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
100.97566,-0.17504789,-5.072217,0.19100967,1.0,11.935903,2.063171,-1.0815686,-3.9495754,9.598992,-5.645094,560.14557,3.188023,-0.29025012,-3.0294945,1.1698976,5.23012e-08,-8.063952,-5.076083,0.19255626,1.0,75.103516,5.401897,1.9795583,-0.39658308,6.4426284,3.5240917,0.6368194,1.7262197,0.008156990385055542,40.78496026992798,1
4.216533,-0.7254821,-4.6987233,0.0416122,1.0,0.36256194,0.0,-14.574013,-23.15428,0.48494577,-0.30092543,16.968584,1.1110324,-13.949454,-22.374527,0.048935845,9.135204,-0.54815364,-4.706819,0.04485042,1.0,0.8214599,0.0,-14.340956,-23.552252,0.7636128,-13.693854,-22.772429,0.06449729,0.08252638206481934,453.41687536239624,5000
19.905975,-0.42063057,-4.6738224,0.03165207,1.0,1.0035515,0.0,-20.62211,-38.357395,1.6534824,-0.42871207,44.10965,1.0348372,-20.066984,-37.76849,0.13080786,22.551762,-0.5498909,-4.6816363,0.03477755,1.0,0.9133488,0.0,-19.855593,-38.091614,0.722173,-19.37436,-37.496277,0.10071727,0.08000215501785278,853.427652835846,10000
8.224276,-0.9551515,-4.6788554,0.033665117,1.0,0.77439606,0.0,-23.198174,-48.246674,0.302464,-0.56978285,23.96371,1.1075296,-22.661436,-47.59622,0.16543466,7.520773,-0.93950844,-4.679838,0.034058355,1.0,0.76244015,0.0,-23.073929,-48.59325,1.3059818,-22.602283,-48.105484,0.11832565,0.05636029019355774,1135.2291061878204,15000
9.489625,-0.92345595,-4.679326,0.033853214,1.0,0.8207896,0.0,-24.82214,-55.189247,0.48009706,-0.818296,32.545456,1.2391583,-24.315788,-54.647633,0.15403712,7.7131033,-0.7394264,-4.674119,0.031770494,1.0,0.6555141,0.0,-24.222692,-55.26169,1.3187795,-23.76558,-54.667946,0.14504606,0.008995422506332397,1180.2062213420868,20000
16.433487,-0.57417893,-4.659131,0.025775498,1.0,1.2088954,0.0,-25.397614,-58.975952,0.7526756,-0.7311227,38.511906,1.1786941,-24.949287,-58.540737,0.16716218,19.698416,-0.54354495,-4.661297,0.026641745,1.0,1.1501503,0.0,-24.726818,-58.76014,0.7080753,-24.286001,-58.291134,0.21372105,0.054677731037139896,1453.5948796272278,25000
10.285,-0.60768044,-4.667076,0.028953388,1.0,1.1763867,0.0,-25.51344,-60.82551,0.85755944,-0.9754494,32.96256,0.7492457,-25.04966,-60.44418,0.27372986,10.018691,-0.7071016,-4.670066,0.030149365,1.0,0.6915163,0.0,-25.385887,-62.90069,1.6556461,-24.93103,-62.458397,0.2256873,0.008599327659606934,1496.5915191173553,30000
8.233929,-0.91718835,-4.6655693,0.028350895,1.0,0.83335245,0.0,-26.127872,-66.42328,0.8377394,-1.3390895,49.432983,0.63739043,-25.737053,-66.12314,0.18457267,8.88975,-0.91094464,-4.666523,0.0287322,1.0,0.80998474,0.0,-26.08397,-65.473076,0.6265175,-25.628347,-65.131454,0.16764645,0.05242351098060608,1758.7090768814087,35000
6.9330487,-0.86165255,-4.659336,0.025857491,1.0,0.67788714,0.0,-27.268997,-68.88611,0.4498431,-0.60052824,25.217665,0.46845448,-26.87447,-68.45519,0.17641863,4.997247,-0.88049436,-4.665723,0.028412163,1.0,0.88251066,0.0,-26.353065,-67.60669,1.0413004,-25.901958,-67.34644,0.18511336,0.00831028060913086,1800.2604825496674,40000
9.473101,-0.7396092,-4.6633387,0.027458448,1.0,0.8729371,0.0,-27.244596,-70.78554,0.7325984,-0.95129883,41.119335,1.110734,-26.85277,-70.4551,0.23139876,7.5974264,-0.8664223,-4.675053,0.032144293,1.0,0.8575288,0.0,-28.420378,-69.75905,0.63646895,-28.000433,-69.137825,0.22718191,0.04885296487808227,2044.525309562683,45000
