training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
27.08604,0.020170685,-9.845134,0.6234065,1.0,1.8955318,-2.030067,97.89961,2.2947984,-0.2736742,-2.3315086,1.2341506,25.1069,-0.00042430777,-9.797758,0.6115626,1.0,2.8979945,-0.17862138,-2.145452,5.5889397,0.0070293752193450925,35.146883487701416,1
91.065285,0.07762542,-9.434723,0.5208037,1.0,1.7207227,-2.194744,56.432568,0.51034266,-12.223897,-25.38411,0.28595895,88.592545,0.07559009,-9.474874,0.53084147,1.0,0.74254704,-12.607527,-25.431822,0.2439431,0.22106812391281128,1140.4875798225403,5000
122.00841,0.14027077,-9.436792,0.52132106,1.0,4.341506,-7.5179634,82.6631,0.69383156,-18.266201,-42.80739,0.33208865,119.55881,0.11836482,-9.482172,0.5326659,1.0,0.54755694,-18.865654,-42.790123,0.31914973,0.22655140018463135,2273.2446489334106,10000
126.09151,0.11774309,-9.505444,0.53848374,1.0,3.6100655,-3.4746404,105.17828,0.39965773,-22.457644,-57.248882,0.41094524,113.641884,0.11470137,-9.488836,0.5343319,1.0,0.6300397,-21.153587,-57.351257,0.30080658,0.1154523136138916,2850.5064630508423,15000
105.566734,0.09297904,-9.454266,0.5256896,1.0,4.094249,-3.87505,68.23136,0.32598978,-23.954165,-68.76167,0.2893362,103.94181,0.14940405,-9.411977,0.51511717,1.0,0.40024868,-24.738104,-68.91795,0.2500999,0.004426559782028198,2872.639340162277,20000
103.309845,0.1249474,-9.475027,0.5308796,1.0,2.541155,-2.456565,61.188072,0.36346954,-27.319397,-77.76819,0.24192372,112.688126,0.16058952,-9.462338,0.5277077,1.0,0.38612148,-25.946278,-77.66792,0.24573101,0.131036230134964,3527.8206629753113,25000
109.96618,0.13045153,-9.455891,0.5260954,1.0,4.4772234,-3.9489894,74.793396,0.52824986,-24.991964,-84.109695,0.27021742,116.74179,0.1933175,-9.413691,0.51554555,1.0,0.4360194,-25.235039,-84.330795,0.34762776,0.004514982891082764,3550.395606994629,30000
92.93689,0.04441405,-9.420821,0.5173281,1.0,4.382576,-4.5841517,82.94401,0.6343703,-26.32288,-89.081116,0.26488245,105.53165,0.1389341,-9.46628,0.5286931,1.0,0.55102164,-27.862823,-88.989876,0.26351315,0.13084127864837647,4204.602166891098,35000
97.66776,0.10777148,-9.457958,0.52661264,1.0,2.6791406,-2.5861597,64.63504,0.27544928,-28.591507,-92.68623,0.27654105,100.647766,0.078182206,-9.489624,0.5345291,1.0,0.75090086,-29.013428,-92.078865,0.2867757,0.004426402044296265,4226.73421049118,40000
123.61379,0.15614253,-9.473654,0.5305364,1.0,4.780245,-4.1365094,74.709656,0.49859896,-27.84311,-94.716095,0.31812274,102.49472,0.10873561,-9.448446,0.52423465,1.0,0.35514823,-27.675457,-94.739,0.3006602,0.12876807022094727,4870.57471704483,45000
110.186966,0.1383147,-9.437371,0.5214659,1.0,2.8653982,-2.53445,62.15161,0.29612207,-28.44474,-96.31402,0.24516577,109.642075,0.11730238,-9.480764,0.53231406,1.0,0.26929158,-29.388329,-96.085434,0.3441593,0.004425103044509888,4892.700279474258,50000
106.141174,0.1397679,-9.467865,0.5290891,1.0,3.646244,-4.047943,68.538376,0.45196384,-27.61179,-95.8414,0.26538977,102.24715,0.13280308,-9.473473,0.5304911,1.0,0.2986989,-27.20446,-96.71693,0.2329435,0.13278923902511597,5556.646810531616,55000
93.9274,0.06307611,-9.479378,0.5319675,1.0,2.5567508,-2.9621778,65.42034,0.58481133,-28.836758,-96.56975,0.29575387,99.75546,0.091816895,-9.530249,0.5446852,1.0,0.7482659,-28.645933,-97.521164,0.2672125,0.004440217018127441,5578.847923994064,60000
108.308105,0.118410975,-9.465177,0.5284171,1.0,3.9393446,-2.4652345,65.49283,0.2640742,-26.80276,-96.55916,0.24711134,94.815895,0.10541988,-9.449902,0.5245983,1.0,0.4234298,-29.828957,-97.21292,0.26306415,0.004428507471084595,5600.9904952049255,65000
113.06206,0.1481823,-9.421335,0.5174568,1.0,3.0912004,-3.5938852,68.66128,0.28147286,-29.887722,-95.899155,0.26604533,114.95792,0.16517699,-9.411852,0.5150858,1.0,0.25598538,-28.460018,-95.80588,0.31164354,0.004442661809921264,5623.203838348389,70000
95.270996,0.107623935,-9.4578705,0.52659065,1.0,5.4118943,-4.3879595,71.05408,0.41682947,-28.88536,-97.487915,0.26575172,99.79577,0.12504381,-9.422852,0.51783586,1.0,0.45697924,-29.3989,-96.23219,0.27049565,0.0044525074958801265,5645.466405391693,75000
116.2447,0.13752325,-9.459485,0.5269942,1.0,4.9405994,-7.0042944,94.30492,0.5214346,-28.107681,-96.22104,0.32601565,94.777565,0.05009679,-9.458674,0.52679133,1.0,0.48119754,-28.772747,-95.52687,0.2636549,0.1596576231956482,6443.754643201828,80000
105.90725,0.14937517,-9.419008,0.5168749,1.0,4.147732,-4.677519,74.4316,0.2750004,-29.240692,-95.808365,0.2791186,107.186676,0.0896928,-9.4674,0.5289729,1.0,0.31017038,-27.080227,-97.52994,0.33331144,0.004427424287796021,6465.891789674759,85000
105.2708,0.1458142,-9.427586,0.5190193,1.0,2.5797958,-2.2621496,57.631912,0.36818162,-29.612947,-95.94449,0.2769671,89.574295,0.09612642,-9.496376,0.53621715,1.0,0.72410804,-27.527216,-96.65846,0.25410438,0.004427241754531861,6488.028020143509,90000
96.65941,0.06840818,-9.4765,0.53124774,1.0,1.7535528,-2.000441,53.1752,0.4538505,-26.631613,-97.44274,0.26293972,115.724976,0.16241887,-9.498768,0.53681475,1.0,0.35714293,-29.251802,-96.51688,0.32187432,0.00442731614112854,6510.164629936218,95000
105.51054,0.11351987,-9.48217,0.5326655,1.0,3.8453507,-5.704602,80.97446,0.43729454,-29.112677,-95.99363,0.28779066,105.119156,0.1201489,-9.455634,0.5260315,1.0,0.36573118,-28.356806,-95.96561,0.2855833,0.004411085462570191,6532.220084190369,100000
106.391525,0.15747193,-9.486916,0.53385186,1.0,3.55378,-3.0080395,70.849396,0.5536258,-26.14879,-96.59239,0.26255015,100.2692,0.13505146,-9.488131,0.53415585,1.0,0.77881795,-27.875713,-96.205795,0.26402223,0.15979448823928832,7331.192648649216,105000
108.94429,0.15105572,-9.4890175,0.53437734,1.0,7.5735054,-6.62525,91.32186,0.28746063,-28.032625,-96.3761,0.26826873,100.79736,0.18172362,-9.465404,0.5284738,1.0,0.29305145,-30.686378,-97.274536,0.37005502,0.004426064205169678,7353.322996377945,110000
119.72492,0.17266873,-9.490422,0.5347284,1.0,6.675743,-5.2290163,79.870514,0.51700646,-28.176933,-97.27612,0.2404331,96.44503,0.12487666,-9.473848,0.53058493,1.0,0.3716386,-28.608925,-96.71858,0.25332516,0.004438602304458618,7375.516049623489,115000
100.563324,0.12728743,-9.445269,0.5234401,1.0,11.425065,-10.86662,127.14795,0.4917847,-26.013096,-96.23656,0.25561136,108.130424,0.17161253,-9.484554,0.53326166,1.0,0.3587435,-29.338184,-96.49543,0.27401555,0.00443617091178894,7397.696933507919,120000
97.774635,0.11157083,-9.442221,0.52267814,1.0,4.982581,-4.8293886,65.31808,0.27833998,-27.31731,-95.73677,0.27529567,95.960754,0.086122125,-9.457611,0.5265257,1.0,0.33391786,-29.844063,-95.96695,0.2630334,0.004425830078125,7419.826185941696,125000
103.099144,0.14376247,-9.489318,0.53445244,1.0,5.134571,-3.644939,72.36094,0.29072127,-26.638578,-96.43941,0.29604393,103.71357,0.15717633,-9.468777,0.529317,1.0,0.31827956,-29.118387,-97.900085,0.26201606,0.004425814867019653,7441.955291032791,130000
100.55118,0.13794553,-9.441612,0.52252614,1.0,3.802953,-4.085107,70.56819,0.22276337,-29.87972,-96.57275,0.2567637,96.03493,0.12846363,-9.452375,0.5252169,1.0,0.31598818,-28.693563,-97.1962,0.2890131,0.0044336266040802,7464.123454809189,135000
106.13365,0.15115619,-9.46375,0.52806044,1.0,3.3207493,-5.02786,65.740326,0.32434148,-29.662012,-95.85959,0.22120762,115.10774,0.14177273,-9.453392,0.52547073,1.0,0.35153538,-27.713661,-97.18099,0.24990793,0.00443282265663147,7486.287596464157,140000
93.6988,0.08220316,-9.463957,0.5281122,1.0,6.315541,-4.9867654,83.793015,0.4399549,-28.708961,-96.03236,0.29474515,96.80672,0.13053212,-9.468327,0.5292047,1.0,0.34489346,-27.209576,-96.68259,0.30427286,0.004425901222229004,7508.417140245438,145000
103.47002,0.14267047,-9.543686,0.5480443,1.0,5.3933487,-5.9101944,78.40487,0.2525714,-28.201344,-96.582886,0.2509559,101.02915,0.11116059,-9.504791,0.5383208,1.0,0.2996353,-28.13402,-96.482834,0.29351228,0.00442667465209961,7530.550538063049,150000
91.63472,0.088175446,-9.476709,0.5313003,1.0,7.839811,-7.336451,75.4668,0.297759,-28.563969,-95.74083,0.20947617,112.6367,0.15817878,-9.413502,0.5154986,1.0,0.45457393,-29.755426,-97.4019,0.28683865,0.20715463528633118,8566.323819160461,155000
106.37834,0.13021067,-9.484615,0.5332766,1.0,4.4214516,-4.71871,75.27089,0.30174398,-28.277683,-96.388245,0.3065214,108.691025,0.15996161,-9.438591,0.5217706,1.0,0.4311129,-29.399132,-96.0795,0.27992433,0.0044249587059020995,8588.448641300201,160000
112.56767,0.11272806,-9.501026,0.5373796,1.0,5.455781,-6.9061766,83.418106,0.35636234,-28.919441,-98.76349,0.25368282,108.70994,0.14495577,-9.471356,0.52996194,1.0,0.40608406,-28.376892,-96.64393,0.23324868,0.004428704977035522,8610.592192173004,165000
108.323975,0.1377342,-9.449982,0.52461827,1.0,6.1666965,-4.7285075,87.05681,0.41366592,-27.534992,-97.31758,0.2712939,114.031296,0.18980767,-9.457354,0.5264613,1.0,0.2874011,-29.97256,-96.988106,0.3459509,0.004429648780822754,8632.74047446251,170000
