training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
15.316595,-0.0013783774,-9.438366,0.5217144,1.0,1.2882575,-0.75309753,46.754128,1.9870633,0.5030279,-2.2618868,0.3700445,16.64666,0.015130919,-9.264338,0.47820735,1.0,1.2451301,-3.3920283,-5.2456365,3.0041766,0.00672839503288269,33.64198303222656,1
42.58522,0.07521743,-7.8356543,0.121036574,1.0,1.0939183,-0.7865107,31.493141,0.47579205,-14.465836,-24.786606,0.12430176,35.74624,0.0706414,-7.874176,0.13066697,1.0,0.49117675,-14.625132,-24.820555,0.13721976,0.21638906807899475,1115.5873565673828,5000
50.98417,0.12994131,-7.7609797,0.10236785,1.0,0.9976554,-0.99569404,26.912043,0.5968071,-20.494457,-43.01184,0.17327845,49.699093,0.08678752,-7.7712812,0.104943305,1.0,0.487272,-21.046848,-42.99218,0.16877885,0.22357617049217224,2233.468395471573,10000
57.740482,0.14722301,-7.7639675,0.10311488,1.0,1.5679467,-1.4512875,30.943657,0.50091267,-26.03443,-58.124184,0.17863053,56.733685,0.11023146,-7.775085,0.105894186,1.0,0.6689107,-26.129879,-57.964897,0.2184147,0.12090686511993408,2838.0029101371765,15000
52.089287,0.14964183,-7.7197433,0.09205882,1.0,1.0055168,-0.78556204,27.710508,0.93405914,-26.043793,-68.90713,0.19337691,62.89232,0.14623544,-7.775138,0.10590752,1.0,0.36619776,-27.026867,-69.67877,0.25775325,0.006953437852859497,2872.770130634308,20000
66.27174,0.15761486,-7.748613,0.0992762,1.0,1.2778354,-1.0522648,35.149887,0.62098575,-26.28587,-76.96708,0.29855198,60.298626,0.16215199,-7.7601795,0.10216782,1.0,0.5780057,-27.916512,-77.05918,0.22823566,0.12798674850463868,3512.704034805298,25000
62.047943,0.17577721,-7.7247324,0.093306094,1.0,1.7538438,-2.2933862,42.95223,0.4013207,-27.448467,-81.383995,0.2669416,58.635056,0.076585814,-7.787104,0.10889909,1.0,0.328426,-28.075777,-81.95744,0.24487966,0.006100140476226807,3543.2047679424286,30000
52.941353,0.11198765,-7.764583,0.10326871,1.0,1.7243786,-1.8726379,37.10142,0.34211746,-28.478561,-84.872345,0.23602122,65.00285,0.19419587,-7.7770443,0.106384,1.0,0.35368085,-28.119831,-86.02978,0.2878412,0.12124536499977112,4149.431798458099,35000
66.79915,0.16498868,-7.724524,0.09325395,1.0,2.443828,-2.7401638,51.02279,0.4709021,-29.364807,-87.68512,0.25582814,61.75814,0.13079447,-7.7517614,0.10006344,1.0,0.80385256,-27.9474,-87.84601,0.2622754,0.007155690336227417,4185.210275173187,40000
52.390144,0.13647874,-7.731118,0.09490244,1.0,1.5597394,-1.0760638,32.879658,1.0917585,-27.151382,-89.017334,0.226234,66.814545,0.1770858,-7.7668004,0.10382307,1.0,0.60407126,-29.005033,-89.02365,0.25627422,0.12042091603279113,4787.31504201889,45000
66.946396,0.15529825,-7.7347565,0.09581217,1.0,1.7835681,-2.1466281,40.5435,0.6443525,-27.836033,-90.231766,0.23423885,57.465355,0.15083422,-7.761603,0.10252372,1.0,0.78320503,-30.61641,-90.903854,0.24808231,0.004976855325698853,4812.199345588684,50000
56.236923,0.15268978,-7.7111998,0.089922935,1.0,2.4693117,-1.3751105,34.110714,0.6103537,-29.415709,-92.246,0.2641669,59.20911,0.17733338,-7.734931,0.09585567,1.0,0.5322132,-29.225618,-90.86937,0.23635459,0.12456135568618774,5435.006221294403,55000
65.714096,0.20738348,-7.7257714,0.09356579,1.0,1.1233891,-1.4547741,34.42589,0.6487813,-28.981766,-90.1962,0.23216255,56.830463,0.122335,-7.7300873,0.0946448,1.0,1.4011881,-29.417028,-91.51782,0.23009133,0.007299741649627685,5471.504955291748,60000
65.34013,0.0838086,-7.715291,0.09094569,1.0,7.7579675,-4.248691,64.95438,0.27620274,-28.1943,-92.33568,0.3411899,71.42064,0.2087357,-7.741374,0.09746653,1.0,1.983043,-30.265976,-94.1541,0.38097543,0.007309065818786621,5508.050310373306,65000
81.473366,0.14286704,-7.7138305,0.090580545,1.0,1.9163721,-2.2617393,47.751682,0.5708,-28.100513,-88.18422,0.49808878,77.53708,0.16287489,-7.756504,0.10124896,1.0,0.7310819,-27.076694,-87.66115,0.5525477,0.009284406328201295,5554.472375869751,70000
79.919586,0.07389101,-7.646014,0.07362649,1.0,3.8764184,-5.1192737,80.33,1.025984,-25.068926,-86.67471,1.8042783,94.18013,0.10610543,-7.731912,0.095101,1.0,1.0782514,-25.086723,-92.01634,0.6029716,0.008778848600387574,5598.366646289825,75000
78.66417,0.105651125,-7.66532,0.078453004,1.0,2.1286404,-4.557004,50.40189,0.6219627,-22.520298,-89.000534,0.7698487,86.8561,0.089480445,-7.734064,0.095639005,1.0,0.73782355,-22.341976,-86.625244,0.7919148,0.1499687996864319,6348.210775852203,80000
83.99676,0.117289186,-7.6772304,0.081430495,1.0,4.5994477,-7.972753,63.085155,1.4320581,-20.603413,-85.0574,0.526452,77.31096,0.082695946,-7.7265434,0.09375873,1.0,0.4797154,-21.63285,-82.65057,0.7318461,0.007299666833877563,6384.7091562747955,85000
65.911644,0.106281325,-7.67003,0.07963052,1.0,1.1283908,-1.2326134,33.20665,0.48591232,-20.932224,-103.55946,0.42059094,72.56365,0.114001796,-7.726301,0.09369826,1.0,0.8857454,-19.955978,-78.33656,0.98652023,0.00916798062324524,6430.549101829529,90000
66.03542,0.13395697,-7.653863,0.07558874,1.0,2.3858964,-2.025563,35.425102,1.8964097,-21.244432,-106.72685,0.3935094,62.984108,0.10305847,-7.7347183,0.095802546,1.0,0.72189516,-21.803617,-87.76968,0.56185114,0.00892875828742981,6475.19292807579,95000
63.796425,0.14735845,-7.649497,0.074497245,1.0,1.4044007,-2.325893,42.302452,0.454539,-23.766378,-116.11304,0.44157314,59.598747,0.07657091,-7.7195663,0.0920145,1.0,0.8173537,-22.48212,-89.11946,0.49084702,0.007232497072219848,6511.3554611206055,100000
