training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
20.000576,0.0056197355,-9.407356,0.5139619,1.0,1.7998614,-1.3254282,51.23068,2.7463365,0.53154063,-2.381308,0.31221604,24.554794,0.0018419987,-9.249161,0.47441322,1.0,0.68754256,-3.570088,-5.5203714,3.2285428,0.005446599626541137,27.233006954193115,1
90.60983,0.14917836,-7.8679166,0.12910205,1.0,1.9871414,-2.9135463,44.431232,0.5928328,-13.223379,-24.845825,0.22132726,99.13379,0.1685713,-7.850968,0.124864906,1.0,0.9016603,-13.03997,-24.832306,0.19292393,0.17258329586982726,890.1495175361633,5000
116.092255,0.3755538,-7.7483687,0.099215075,1.0,3.3664093,-4.2353964,84.77544,1.1864644,-17.762688,-42.729538,0.36181784,113.151695,0.26519668,-7.7726445,0.105284035,1.0,0.36843044,-18.053562,-42.67321,0.3072689,0.17988407535552978,1789.5700125694275,10000
109.68195,0.2670194,-7.7627134,0.10280126,1.0,4.896192,-4.797618,84.40567,0.9134639,-22.092659,-58.00797,0.27766955,116.87832,0.24042012,-7.7342553,0.09568681,1.0,0.73534715,-21.827076,-57.38186,0.28688404,0.09682047991752625,2273.6725628376007,15000
98.83278,0.2180114,-7.7278337,0.09408145,1.0,3.8156307,-3.3065257,66.957565,0.44247234,-23.055733,-68.912506,0.28901473,104.96649,0.32196367,-7.7050467,0.08838468,1.0,0.5702299,-23.095345,-68.91861,0.29067957,0.002849487257003784,2287.920037508011,20000
103.90675,0.3251142,-7.6938515,0.08558582,1.0,5.5179706,-2.5106885,53.62226,0.9597002,-23.256813,-77.11458,0.29009983,103.36184,0.31321037,-7.7102437,0.08968389,1.0,0.43728387,-23.393532,-77.68614,0.25485548,0.09781995768547058,2777.0201649665833,25000
105.0112,0.35642263,-7.6841187,0.083152674,1.0,4.521755,-3.3320012,63.801662,0.5166869,-24.020596,-81.05464,0.23660363,94.90585,0.2905258,-7.682841,0.08283307,1.0,0.43760887,-25.13102,-81.90637,0.3494807,0.00303745756149292,2792.2074868679047,30000
109.58191,0.34269965,-7.6924534,0.08523624,1.0,4.628792,-5.6710176,78.129814,0.7329228,-24.470358,-83.58078,0.3042917,99.97357,0.3076822,-7.6929827,0.085368566,1.0,0.38498223,-23.859928,-85.0567,0.23758876,0.08702092394828796,3227.3124372959137,35000
108.795,0.30064654,-7.7098827,0.089593664,1.0,3.086098,-3.2287836,62.243263,0.5034683,-24.94292,-85.037094,0.30886734,102.5764,0.33496407,-7.7001724,0.087166,1.0,0.3899183,-25.134026,-85.3801,0.2835142,0.0027654852867126465,3241.1398918628693,40000
89.275406,0.29157847,-7.672632,0.08028103,1.0,1.9229295,-2.166483,50.96475,0.3388201,-24.515774,-87.94944,0.31212714,93.91714,0.2837166,-7.6910615,0.08488834,1.0,0.3849151,-25.025784,-86.11813,0.3140706,0.09377777771949768,3710.0290248394012,45000
93.300934,0.24464184,-7.675969,0.0811152,1.0,2.5010242,-3.8161082,58.287544,0.58058876,-24.655132,-86.34535,0.3087401,98.22312,0.25257912,-7.7009087,0.08735005,1.0,0.41235188,-26.212376,-88.3535,0.2464212,0.002873266553878784,3724.3953924179077,50000
92.35917,0.2620073,-7.688949,0.084360294,1.0,2.2605577,-2.1804686,50.556885,0.44626617,-24.880817,-86.20323,0.38350534,94.73583,0.27883735,-7.687928,0.08410497,1.0,0.5619534,-24.544256,-88.548325,0.33921447,0.09799348940849305,4214.362926244736,55000
106.476166,0.35320023,-7.686808,0.08382506,1.0,8.417734,-8.693295,93.933304,0.6132308,-26.77879,-86.80495,0.2862284,111.34758,0.3173434,-7.677535,0.08150672,1.0,0.4330004,-25.603071,-85.827995,0.32406133,0.002893025207519531,4228.828083276749,60000
99.841,0.2666825,-7.667919,0.07910259,1.0,6.574686,-6.124632,81.33587,0.36628348,-24.74226,-87.01131,0.27275485,100.667366,0.2773676,-7.681939,0.0826077,1.0,0.45882255,-26.389675,-86.66899,0.28787303,0.002939790678024292,4243.527076721191,65000
98.0583,0.35438704,-7.6431475,0.0729099,1.0,4.093043,-4.957535,64.68049,0.3506832,-26.097416,-86.12445,0.27644473,110.09319,0.35513324,-7.6861353,0.0836568,1.0,0.48568475,-26.928566,-86.47328,0.32493156,0.002988553619384766,4258.469904661179,70000
