training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
40.853386,-0.028229848,-9.764388,0.60322,1.0,0.9848,-1.6624677,73.5557,2.0762143,-0.856856,-3.4811444,1.3778993,31.823402,-0.014825562,-9.758858,0.6018371,1.0,2.3785865,0.044283714,-1.7710264,4.8082266,0.007859559822082519,39.297805070877075,1
90.25662,0.09766047,-9.465559,0.5285126,1.0,1.244845,-1.2412789,37.34111,0.5604987,-12.682379,-25.609026,0.2083066,92.75222,0.11127136,-9.471489,0.5299952,1.0,0.68331647,-13.147998,-25.590744,0.21922584,0.22509386949539184,1164.7675640583038,5000
102.34073,0.05703062,-9.471629,0.53003025,1.0,2.3645306,-1.718376,54.01105,0.4582262,-18.82928,-43.42268,0.2769537,116.83965,0.11293633,-9.4284935,0.51924646,1.0,0.22866257,-18.340366,-43.449463,0.2885484,0.2400011511325836,2364.7734146118164,10000
113.526344,0.11821263,-9.460575,0.5272666,1.0,2.0008194,-2.0633955,52.330635,0.48637354,-21.428375,-58.174637,0.31678036,115.916885,0.12662318,-9.479821,0.53207815,1.0,0.36815658,-21.227215,-58.202415,0.34099007,0.1251629791736603,2990.588659763336,15000
97.442505,0.13187915,-9.495832,0.53608125,1.0,1.7553195,-2.7921553,57.50585,0.49929178,-23.681458,-69.66507,0.308217,99.161194,0.10275278,-9.428819,0.51932776,1.0,0.46305257,-23.049921,-69.62642,0.27026206,0.009954253721237183,3040.3599693775177,20000
93.92253,0.095687374,-9.449989,0.52462006,1.0,1.954054,-1.5266596,52.41862,0.4623785,-24.216835,-78.04377,0.2716888,95.8917,0.09419939,-9.4835415,0.53300846,1.0,0.55309415,-24.681686,-78.18506,0.29473186,0.1300614399909973,3690.6672954559326,25000
104.672745,0.08831193,-9.52482,0.5433283,1.0,1.9893868,-1.8440189,54.518112,0.59619564,-24.55854,-83.576385,0.30380386,88.15853,0.08531594,-9.481612,0.53252596,1.0,0.5425402,-25.009396,-83.42236,0.2865063,0.009179260683059692,3736.563623189926,30000
100.118645,0.113107175,-9.511965,0.5401143,1.0,2.1951962,-2.6509924,53.87669,0.62459695,-24.147411,-86.777115,0.2789571,99.01103,0.076384224,-9.534682,0.5457935,1.0,0.5747718,-24.49602,-86.623764,0.32202753,0.13216267356872557,4397.377156972885,35000
107.725,0.13773786,-9.496357,0.5362122,1.0,1.9053608,-1.9551815,54.967358,0.68946517,-24.150185,-88.48466,0.26466197,104.8076,0.09172493,-9.498124,0.5366541,1.0,0.37699902,-23.402164,-86.785416,0.2909516,0.011813225841522217,4456.443313837051,40000
102.26619,0.13222164,-9.461293,0.5274463,1.0,2.7749956,-2.3141794,62.92621,0.28699258,-24.485016,-89.89542,0.3693592,103.39682,0.1358448,-9.490507,0.53474975,1.0,0.46598405,-24.300304,-88.41931,0.24996687,0.13328217940330506,5122.854475736618,45000
