training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
41.703857,0.01276256,-9.370842,0.50483334,1.0,1.3512013,-1.727642,83.14398,1.809584,-0.99248475,-2.9506989,1.3438677,27.345575,-0.0066103786,-9.268801,0.47932303,1.0,1.9189003,-0.19647372,-2.1042924,5.820494,0.008059603691101074,40.29802584648132,1
48.859043,0.07074341,-8.065693,0.17854613,1.0,0.5828041,-0.55141366,23.292765,0.49813908,-14.4864,-25.632011,0.14651461,56.119324,0.08376443,-8.0891695,0.18441537,1.0,0.6627866,-14.3205185,-25.610247,0.19120269,0.22667052664756776,1173.6506931781769,5000
78.55954,0.12606652,-8.043694,0.17304641,1.0,1.0204185,-1.2378083,38.866615,0.3984764,-19.974247,-44.198994,0.3548432,65.6122,0.060248833,-8.061533,0.17750606,1.0,0.4340482,-19.718824,-43.960526,0.30630976,0.2260920454978943,2304.1110079288483,10000
79.17111,0.11197154,-8.010713,0.16480121,1.0,1.0470687,-1.1574386,41.409874,0.8067347,-21.198515,-59.033783,0.27212983,77.08283,0.06376859,-8.043616,0.17302707,1.0,0.4664054,-22.684624,-59.449173,0.31396732,0.12536553311347962,2930.9389328956604,15000
73.79089,0.110517964,-8.043541,0.17300817,1.0,1.1260478,-1.7389302,34.133648,0.59214485,-22.96357,-69.0038,0.31289643,72.69051,0.086938895,-8.069882,0.17959356,1.0,0.5330558,-23.41272,-69.23999,0.30624446,0.0073666594982147214,2967.7722692489624,20000
66.56785,0.09315402,-8.0166855,0.16629428,1.0,1.3999141,-1.6458598,36.56259,0.7184669,-23.813675,-75.44214,0.3457833,73.705246,0.101448424,-8.051071,0.17489086,1.0,0.5310757,-23.16613,-72.68178,0.30126128,0.12494339876174927,3592.4896273612976,25000
77.547165,0.090039834,-8.026999,0.16887274,1.0,1.996946,-2.151096,45.679283,0.6070051,-23.77001,-78.687706,0.32273316,72.097275,0.09687519,-8.045913,0.1736013,1.0,0.54855114,-23.096703,-76.927124,0.3226517,0.00706246919631958,3627.8020012378693,30000
70.63311,0.10359304,-7.996698,0.16129747,1.0,1.1694933,-1.9081692,42.461754,0.50173163,-24.073122,-81.35931,0.32369772,71.460556,0.09865871,-8.011183,0.16491859,1.0,0.8109476,-23.484383,-76.88923,0.32799113,0.12370250673294067,4246.31471824646,35000
81.80101,0.077921055,-8.022251,0.16768557,1.0,1.6578348,-1.7806149,39.890583,0.43092757,-22.994984,-80.36546,0.29901063,83.18252,0.16733906,-8.048909,0.17435017,1.0,0.43600094,-24.009846,-77.530045,0.38126665,0.00715206151008606,4282.07505440712,40000
72.34369,0.109616265,-8.017748,0.16655992,1.0,1.3100327,-1.229691,35.969162,0.4830188,-24.042992,-81.60541,0.39249733,78.15883,0.13781264,-8.0332775,0.17044255,1.0,0.52035433,-23.863136,-73.45532,0.38121116,0.11547280988693237,4859.439306259155,45000
67.155685,0.062482655,-8.021549,0.16751036,1.0,3.4438257,-2.160173,46.49779,0.79613954,-22.98716,-80.22177,0.3748154,77.85898,0.09956825,-8.047498,0.17399764,1.0,0.39612105,-23.933216,-72.02927,0.55358803,0.004502854204177857,4881.953629732132,50000
75.36131,0.116725475,-7.9898343,0.15958154,1.0,1.876065,-1.435195,42.194176,0.58726484,-23.78795,-79.49035,0.37437555,75.59477,0.12902835,-8.005911,0.16360068,1.0,0.6019708,-22.951527,-75.60465,0.44146353,0.13560803203582764,5559.993862867355,55000
105.83239,0.19960196,-7.955326,0.15095447,1.0,3.1578999,-3.569476,74.80389,0.7669314,-23.038445,-82.923004,1.1048083,91.74951,0.07084881,-7.987213,0.15892623,1.0,0.5424057,-21.573782,-65.62028,0.56808394,0.0071338598728179934,5595.663190364838,60000
79.34029,0.10237269,-7.9559193,0.15110266,1.0,1.8409417,-1.355046,40.776466,0.58504784,-22.468082,-83.500275,0.417282,72.71851,0.09720216,-8.016885,0.16634418,1.0,1.2769337,-21.656822,-67.48988,0.4644102,0.007131259441375732,5631.3195123672485,65000
81.121475,0.109889574,-7.935958,0.14611234,1.0,1.663903,-1.869741,44.88779,0.9118109,-20.541513,-89.93353,0.41304314,86.63522,0.09952992,-7.986667,0.15878978,1.0,0.8278046,-21.873394,-65.208534,0.63143474,0.007129624462127685,5666.967664003372,70000
85.462234,0.12175825,-7.9334774,0.14549224,1.0,3.016109,-2.9230878,63.63361,0.57618225,-18.732368,-94.15309,0.7374447,79.024475,0.06385771,-7.992775,0.1603167,1.0,0.95836604,-18.093172,-56.327682,0.9079241,0.007125002861022949,5702.592702627182,75000
78.09805,0.0889468,-7.999654,0.16203639,1.0,2.6888611,-2.2827947,51.52819,0.35973617,-19.032236,-100.87037,0.51643133,80.570335,0.075310886,-8.014636,0.16578197,1.0,0.43337184,-19.456043,-45.95716,0.44966388,0.151040709066391,6457.796395778656,80000
67.15449,0.06469481,-7.941407,0.14747463,1.0,1.5150657,-1.8964475,51.49226,0.8130696,-20.889172,-105.93071,0.7170666,82.91607,0.13543682,-7.9676294,0.15403034,1.0,0.6676321,-19.017376,-46.618683,0.41804945,0.007159646224975586,6493.594654560089,85000
72.2399,0.0894111,-7.972426,0.15522945,1.0,2.2274735,-2.7554724,42.28102,1.4203196,-20.241138,-106.82968,0.34860945,74.86847,0.12915665,-7.9605684,0.15226504,1.0,0.753041,-19.134567,-47.69793,0.57907826,0.007159122276306152,6529.390297174454,90000
70.13925,0.05587451,-7.9633665,0.15296459,1.0,1.4546626,-1.3739805,35.97326,0.5721449,-20.74609,-111.046684,0.39108336,74.071785,0.10251184,-7.9547644,0.15081394,1.0,0.71314776,-19.560997,-49.650253,0.49189994,0.007160023880004883,6565.190442323685,95000
83.78201,0.11488694,-7.951503,0.14999871,1.0,4.0627723,-5.193049,56.26343,0.5146656,-21.128948,-96.52431,0.45986825,80.43671,0.122812405,-7.953644,0.15053397,1.0,1.4269476,-21.001879,-50.534264,0.6285521,0.004843960380554199,6589.410279989243,100000
68.966736,0.08284761,-7.9421043,0.14764902,1.0,3.5124278,-2.4258966,44.417736,0.9511607,-21.230537,-115.57695,0.37646976,69.00987,0.0887593,-8.013786,0.1655696,1.0,1.17776,-21.353262,-53.88189,0.37347084,0.16831254053115846,7430.973159790039,105000
71.10704,0.1214114,-7.9299183,0.14460257,1.0,2.9749527,-4.743788,43.523224,0.5153492,-21.776768,-115.85657,0.45543104,68.160385,0.082600266,-7.9403353,0.14720677,1.0,0.34522128,-20.853254,-54.736496,0.56183064,0.009904878282546997,7480.497594833374,110000
58.551483,0.07332614,-7.9195576,0.14201245,1.0,3.644722,-2.2371743,37.06869,0.45861775,-21.73936,-108.098656,0.3353217,75.32968,0.10651478,-7.97912,0.15690288,1.0,0.7839189,-21.287106,-55.818176,0.43211114,0.00989931378364563,7529.994196891785,115000
81.567375,0.12546866,-7.9130325,0.14038105,1.0,3.7517853,-2.8743033,50.126053,0.6145911,-21.913517,-118.95851,0.40165663,80.27544,0.034564197,-7.9638124,0.15307589,1.0,0.9007671,-20.754877,-55.025883,0.42405015,0.009221479558944702,7576.10165309906,120000
73.90106,0.113928005,-7.9321775,0.14516735,1.0,2.0713077,-1.2827004,38.32449,0.47523195,-21.447186,-120.78848,0.380191,84.28482,0.11427702,-7.939509,0.14700013,1.0,0.44067752,-21.790514,-69.8661,0.3596976,0.007134965896606445,7611.776542663574,125000
70.68227,0.10008767,-7.923889,0.14309531,1.0,1.6984713,-1.6886784,36.442936,0.6706027,-21.610561,-125.05446,0.41939813,72.61065,0.101211675,-7.999607,0.16202462,1.0,0.70740014,-21.469326,-69.94725,0.4518351,0.007120469808578491,7647.3789529800415,130000
84.04773,0.15583369,-7.9482946,0.14919664,1.0,2.5633664,-1.6096202,45.507984,0.46970707,-21.783033,-125.890076,0.43636048,82.665535,0.09451595,-7.974075,0.15564167,1.0,0.71504235,-21.580904,-70.41878,0.50119627,0.007117756795883179,7682.967764139175,135000
81.27935,0.08476085,-7.9442196,0.14817783,1.0,6.597006,-3.4530718,52.46414,1.1037202,-20.558102,-107.89697,0.47844863,77.69114,0.096771516,-7.9712954,0.15494679,1.0,0.60662436,-21.796593,-66.04599,0.37415648,0.007124816799163818,7718.5919098854065,140000
76.30667,0.119025394,-7.926459,0.14373773,1.0,1.3432926,-3.3325343,39.81809,0.45534033,-21.84823,-121.71657,0.34436914,77.62845,0.11951209,-7.994355,0.16071174,1.0,0.35411936,-21.866816,-75.63956,0.5320722,0.006079946231842041,7748.991674661636,145000
77.67561,0.15489307,-7.905204,0.13842395,1.0,2.2886052,-2.5439816,37.525436,0.84047806,-22.285984,-127.25644,0.5290948,76.92135,0.06443791,-7.966422,0.15372849,1.0,0.4890303,-21.798195,-56.558235,0.4486348,0.004428479671478271,7771.1341252326965,150000
84.94981,0.17051418,-7.9244013,0.14322332,1.0,3.270583,-2.3849807,42.418373,0.32020718,-22.635845,-128.7377,0.3939954,82.182434,0.1060542,-7.924571,0.14326581,1.0,0.72174543,-20.848997,-69.219955,0.52158046,0.18735712380409242,8707.919831037521,155000
68.96428,0.09323123,-7.9024696,0.13774037,1.0,1.898593,-1.8409915,40.640625,0.54455674,-22.610863,-124.20279,0.35100564,68.46304,0.12140293,-7.9577827,0.15156871,1.0,0.6562294,-22.004473,-52.02226,0.33875388,0.009891730546951295,8757.378515005112,160000
81.35492,0.11991145,-7.89601,0.13612533,1.0,2.8487933,-3.113779,42.689484,1.2199028,-21.590403,-120.749054,0.3174351,83.49145,0.12634802,-7.949697,0.14954722,1.0,0.594618,-21.743769,-56.25541,0.32126102,0.009916468858718872,8806.960904598236,165000
70.4693,0.094114274,-7.9104676,0.13973987,1.0,1.5656363,-1.3255522,33.729946,0.55448735,-22.508533,-123.38063,0.38227496,81.12259,0.105885096,-7.935211,0.14592582,1.0,0.94718003,-22.593328,-58.35775,0.8789439,0.009599032592773437,8854.95614862442,170000
70.81914,0.12210052,-7.903508,0.13799994,1.0,2.2444396,-2.5115886,39.143284,0.36395597,-22.02009,-120.22079,0.32402354,82.25067,0.1414198,-7.940095,0.1471467,1.0,0.80745625,-21.598236,-51.077988,0.43591458,0.006710902881622315,8888.510689496994,175000
74.423996,0.1279948,-7.9137793,0.14056784,1.0,2.4700136,-1.4889216,39.312443,0.8133465,-21.816746,-124.407074,0.40039372,78.44093,0.10060975,-7.932746,0.14530951,1.0,0.63591546,-21.180294,-76.19037,0.60538775,0.0044247772693634035,8910.634630203247,180000
76.93771,0.10990267,-7.9265156,0.14375195,1.0,2.4775288,-3.160675,41.293476,0.6412193,-22.2346,-118.299255,0.35799,70.709335,0.06523806,-7.970703,0.15479867,1.0,0.8820629,-21.216282,-70.988525,0.6300497,0.00442578501701355,8932.763596057892,185000
63.461754,0.08900487,-7.898649,0.13678527,1.0,2.7639127,-1.4579396,38.076027,0.49894056,-23.066856,-110.00656,0.29496872,86.57199,0.14125268,-7.9601073,0.1521498,1.0,0.39062485,-22.029701,-58.967773,0.38250566,0.004423543214797974,8954.881475448608,190000
73.29184,0.1472829,-7.871754,0.13006146,1.0,5.3793106,-4.7084312,44.009804,0.4377017,-21.794373,-105.55928,0.3399034,72.42532,0.10729154,-7.926983,0.14386874,1.0,1.2998044,-22.92379,-57.039547,0.43759418,0.004421911716461182,8976.991060256958,195000
67.1861,0.1363016,-7.8754106,0.13097557,1.0,2.5851276,-3.8266227,39.83537,1.0790205,-21.362118,-134.34525,0.29997945,81.16098,0.1610776,-7.94549,0.1484955,1.0,1.2258551,-21.35974,-52.3466,0.33737394,0.0044038062095642086,8999.010113954544,200000
62.746975,0.06404528,-7.8910484,0.134885,1.0,1.8691585,-2.6081624,43.277134,0.96676373,-22.691927,-134.12427,0.4900159,79.9476,0.076655924,-7.935009,0.14587528,1.0,0.70268494,-22.000637,-79.283585,0.53711677,0.22750275897979735,10136.524053096771,205000
80.386635,0.092081815,-7.9079056,0.13909931,1.0,1.949096,-2.8275473,46.640396,0.5594852,-22.418383,-114.76014,0.48642543,75.90814,0.06807351,-7.93282,0.14532794,1.0,1.3217608,-21.901587,-91.65129,6.012349,0.009906781768798828,10186.057999372482,210000
71.89998,0.09383419,-7.889208,0.13442495,1.0,0.84464604,-0.8429032,28.85495,0.6868357,-22.91168,-127.63051,0.33634377,77.748886,0.0888119,-7.934799,0.1458228,1.0,1.6666323,-21.627861,-62.175774,0.5394418,0.009906520462036134,10235.590664863586,215000
79.34706,0.09783681,-7.895706,0.1360496,1.0,3.7272193,-2.3505595,42.391754,0.9108219,-21.838596,-114.210815,0.31562728,75.20108,0.09422545,-7.9540777,0.15064242,1.0,1.2668574,-20.900698,-54.640324,0.42045406,0.009896459674835205,10285.073025465012,220000
66.75414,0.08340612,-7.9204254,0.14222932,1.0,2.7885377,-2.501726,46.65707,0.44566154,-21.680183,-130.49231,0.46624172,79.31283,0.11996102,-7.94205,0.1476354,1.0,1.8375425,-21.164177,-52.06793,0.45666113,0.00991018319129944,10334.62397313118,225000
82.7302,0.1270894,-7.888583,0.13426885,1.0,6.206008,-4.8223457,58.28957,1.0931444,-22.68583,-130.88434,0.36110938,83.77084,0.1461223,-7.9468527,0.1488362,1.0,0.71091545,-21.588402,-81.113716,0.5316192,0.009903044748306274,10384.139234781265,230000
84.549515,0.13924256,-7.8721995,0.13017279,1.0,4.427731,-7.510216,57.31144,0.62488323,-22.701271,-127.86774,0.37746042,69.72319,0.060499378,-7.9534845,0.15049402,1.0,3.4690533,-20.789219,-58.070427,0.5570224,0.009917334842681884,10433.725967645645,235000
80.597046,0.11519909,-7.899915,0.13710174,1.0,1.007386,-2.3254602,35.64126,0.36029267,-21.985298,-141.48387,0.39889458,79.292046,0.11773897,-7.92345,0.1429855,1.0,2.1738968,-21.75783,-51.710094,0.5740594,0.00989974036216736,10483.224706411362,240000
76.49891,0.12060477,-7.8843784,0.13321754,1.0,2.537696,-2.8184993,42.335186,0.44648817,-21.197891,-119.12933,0.38418192,76.29678,0.10927309,-7.9454026,0.14847362,1.0,1.1861392,-20.676804,-64.27519,0.6404364,0.00905462589263916,10528.497879743576,245000
79.563,0.12931138,-7.888187,0.13416973,1.0,1.4916217,-1.7937298,46.219273,5.3284583,-22.0239,-110.73939,0.68466145,83.708755,0.11161661,-7.9647818,0.15331838,1.0,1.4410883,-21.6208,-52.523705,0.6792327,0.007206760549545288,10564.531715869904,250000
74.957596,0.12903474,-7.888946,0.13435948,1.0,2.2829108,-2.3788211,36.35196,1.368654,-21.713669,-125.612686,0.40460104,81.041336,0.12716925,-7.9330482,0.14538495,1.0,0.9827776,-21.275658,-71.902466,0.57096636,0.0072066697597503665,10600.5650908947,255000
79.793564,0.11883621,-7.9043417,0.1382083,1.0,2.215869,-2.3465862,39.18694,0.4521749,-21.59815,-109.85141,0.391003,78.9129,0.09111628,-7.9562263,0.15117967,1.0,5.6918607,-21.235662,-70.636566,0.46273935,0.007212818002700806,10636.62923169136,260000
74.28723,0.10648265,-7.8635073,0.12799993,1.0,2.8999667,-1.8071532,38.71796,0.9360815,-22.57029,-142.78177,0.361571,82.3303,0.08338848,-7.928842,0.14433353,1.0,6.172237,-20.335037,-60.213448,0.40203157,0.007206424903869629,10672.661393404007,265000
85.655655,0.12784879,-7.899419,0.13697769,1.0,1.9909191,-1.2786101,36.906403,0.68317074,-21.446434,-137.38504,0.41463616,87.58712,0.110828474,-7.970323,0.1547037,1.0,0.7962998,-20.418898,-65.15003,0.61063683,0.0065565807342529295,10705.444337368011,270000
71.34558,0.060834654,-7.875486,0.13099438,1.0,5.9847665,-5.897238,124.040985,0.55811065,-21.76252,-132.42654,1.8373123,76.95407,0.07406223,-7.938575,0.14676663,1.0,1.271125,-21.140175,-74.59317,0.7202867,0.004425728225708008,10727.573046684265,275000
70.33272,0.081092924,-7.902254,0.13768657,1.0,2.8572423,-1.8235068,38.109367,4.543152,-21.54603,-145.31482,0.38669723,82.99495,0.1508129,-7.9445205,0.14825305,1.0,1.9087894,-19.997871,-67.6795,1.2000673,0.004429796171188355,10749.72207069397,280000
80.49341,0.11225126,-7.90217,0.13766548,1.0,1.6118453,-1.7854334,44.768692,0.73516625,-21.473352,-121.64537,0.4221205,80.5574,0.11087276,-7.9277906,0.14407057,1.0,0.41902363,-20.43141,-76.81121,0.4798044,0.004431023502349854,10771.877218723297,285000
