training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
26.040707,0.0010201698,-9.522135,0.54265666,1.0,0.8153661,-0.5381324,37.445995,2.0194883,0.24419057,-1.9948801,0.48320633,22.768127,-0.018939579,-9.436527,0.5212547,1.0,1.6281865,-2.2117522,-4.489977,2.5884695,0.0054633041381835935,27.31653094291687,1
94.54037,0.13314188,-8.548449,0.29923505,1.0,1.4718357,-1.4247285,53.307217,0.367775,-13.239517,-25.01746,0.270297,96.69516,0.15527487,-8.566116,0.3036521,1.0,0.21291754,-13.1627445,-25.023712,0.21482009,0.18095351996421813,932.0841722488403,5000
111.83198,0.16662654,-8.53588,0.29609308,1.0,1.9699503,-2.18364,56.540672,0.5833746,-17.305101,-43.77117,0.3460728,122.22922,0.20621973,-8.527851,0.2940858,1.0,0.6868473,-17.693651,-43.68892,0.33348724,0.1838215546607971,1851.1921076774597,10000
126.97303,0.256158,-8.492951,0.28536075,1.0,1.7295402,-1.6734567,60.21569,0.7294238,-19.30618,-58.71801,0.34386688,113.57698,0.21110949,-8.518463,0.2917387,1.0,0.6059747,-19.653627,-58.597134,0.3461594,0.09436870393753052,2323.035888671875,15000
110.59341,0.25828475,-8.498438,0.2867326,1.0,1.3399594,-1.0868516,41.883514,0.8937954,-20.156242,-67.3076,0.34155443,112.574295,0.24241763,-8.506643,0.28878385,1.0,0.71567464,-19.079254,-68.11107,0.39869708,0.003543257665634155,2340.7522206306458,20000
114.0929,0.24245232,-8.445209,0.27342525,1.0,1.8126246,-1.9822632,60.245716,0.36802518,-20.149052,-74.10205,0.34132886,102.20999,0.22382206,-8.475339,0.28095776,1.0,0.32581955,-19.757187,-73.34639,0.35061264,0.09504434294700623,2815.97407078743,25000
102.30739,0.21206683,-8.472593,0.28027117,1.0,2.345806,-2.0030384,60.9768,0.44875324,-20.923702,-75.06651,0.30619866,109.838066,0.2302464,-8.467463,0.2789884,1.0,0.42836624,-21.566523,-74.63606,0.33762586,0.0038012551307678223,2834.980398416519,30000
110.79524,0.23733696,-8.487476,0.28399208,1.0,1.7560775,-1.7708422,55.51395,0.38018352,-20.234035,-73.31146,0.3179438,110.46458,0.21356755,-8.442076,0.27264193,1.0,0.42816794,-20.472395,-77.65535,0.29818678,0.09104668607711792,3290.214010953903,35000
102.02611,0.22621706,-8.426604,0.268774,1.0,1.9470639,-1.4126687,45.510124,0.3060189,-21.587534,-79.38834,0.2828925,113.59636,0.3106704,-8.423188,0.26791993,1.0,0.31809562,-20.001875,-75.766266,0.35436165,0.00376574010848999,3309.042764186859,40000
104.86037,0.26831776,-8.450485,0.27474433,1.0,1.4763792,-1.529794,51.17913,0.31622985,-20.273245,-78.75726,0.30043083,93.07701,0.23527235,-8.471952,0.280111,1.0,0.445121,-21.84111,-79.52781,0.29598856,0.09748963890075683,3796.49111866951,45000
101.26047,0.21992233,-8.437929,0.2716053,1.0,1.7248751,-1.8085907,45.929817,0.3868618,-21.156792,-78.932396,0.2683012,117.75011,0.25648463,-8.44148,0.27249286,1.0,0.46727827,-19.707973,-76.35539,0.277691,0.0038659746646881104,3815.8210315704346,50000
111.804054,0.24319777,-8.444628,0.27327973,1.0,1.7068714,-1.9584621,50.794487,0.40612018,-22.236607,-77.48054,0.27553076,102.934616,0.24720909,-8.426465,0.26873922,1.0,0.48763946,-20.710278,-79.21988,0.38003355,0.09013863840103149,4266.5144119262695,55000
109.87675,0.25627837,-8.438665,0.2717893,1.0,1.6388934,-1.642717,48.01583,1.0605991,-21.041218,-79.206505,0.27427712,101.04167,0.20455375,-8.430926,0.2698546,1.0,0.4942509,-21.11942,-77.381226,0.30420858,0.0034205493927001954,4283.617192983627,60000
96.95644,0.1412994,-8.464676,0.27829182,1.0,2.602636,-2.6496441,50.21067,0.33722788,-20.573133,-75.93405,0.25449908,99.12331,0.24234706,-8.464001,0.27812338,1.0,0.46093464,-20.993053,-78.067505,0.30228192,0.003411069583892822,4300.672567844391,65000
99.17155,0.20751178,-8.422905,0.26784924,1.0,1.9312289,-1.1483316,41.542088,0.35365593,-21.487177,-78.66489,0.36133146,97.65521,0.20908171,-8.43959,0.27202046,1.0,0.523983,-21.169926,-77.43074,0.28242183,0.0033994520664215088,4317.669866323471,70000
103.52256,0.22049391,-8.459242,0.2769336,1.0,1.6132419,-2.5396767,48.793278,0.53604215,-21.561977,-78.02417,0.30820948,111.39117,0.20887631,-8.418457,0.26673728,1.0,0.5119355,-21.191395,-79.6,0.37920594,0.0034202396392822264,4334.7711045742035,75000
102.05405,0.24215047,-8.457304,0.27644882,1.0,3.502688,-3.6879058,69.80137,0.37968892,-21.064777,-83.63133,0.36155784,98.49482,0.22903904,-8.437767,0.2715649,1.0,0.47278774,-21.618511,-78.883835,0.40187612,0.0939755229473114,4804.648910999298,80000
93.82989,0.21275759,-8.451719,0.27505273,1.0,1.7777491,-1.6022027,41.81529,0.37603372,-20.642982,-77.402016,0.30573016,103.20673,0.23972054,-8.438261,0.27168804,1.0,0.5066315,-20.848228,-76.81088,0.3034479,0.003779545307159424,4823.546675205231,85000
99.92111,0.28304505,-8.42283,0.26783043,1.0,2.077577,-2.6671305,51.78301,0.39024627,-21.645058,-83.12428,0.32095903,98.67056,0.23825975,-8.459756,0.27706194,1.0,0.47313243,-21.871742,-78.15977,0.29220182,0.003701014757156372,4842.051782131195,90000
109.61077,0.29823214,-8.444707,0.2732998,1.0,1.6516445,-1.9111122,48.97324,0.34910154,-21.70896,-81.39197,0.3049559,93.77221,0.18270768,-8.44256,0.27276313,1.0,0.30646545,-21.94682,-76.6914,0.27549845,0.0036546925067901612,4860.3252825737,95000
111.50188,0.23476154,-8.402369,0.26271516,1.0,2.96353,-2.5876756,59.260307,0.52096266,-19.517021,-77.696434,0.29230955,112.77789,0.24239281,-8.42592,0.26860285,1.0,0.592486,-22.208443,-80.81091,0.32561895,0.003737353038787842,4879.012083768845,100000
