training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
39.933723,0.034685776,-9.312,0.49012327,1.0,2.0726042,-2.2951136,105.832664,1.9057268,-1.081178,-3.0655077,1.5369208,28.12347,0.024583,-9.243358,0.47296238,1.0,3.0140128,0.8106342,-1.5004631,4.3664603,0.007853416872024536,39.26709055900574,1
100.46682,0.19482102,-7.8658724,0.12859115,1.0,1.4232589,-1.845469,55.235588,0.82436955,-13.462616,-26.022354,0.2752787,111.664604,0.2950265,-7.8480034,0.12412376,1.0,0.93513036,-12.924696,-25.987473,0.34266743,0.23157185130119323,1197.1266045570374,5000
115.41728,0.28407696,-7.785312,0.10845102,1.0,2.5568502,-2.505044,59.701096,0.71041197,-17.22678,-44.838215,0.36573735,113.70874,0.28711915,-7.775305,0.10594913,1.0,0.611144,-17.08998,-44.34676,0.34241322,0.23434781818389894,2368.8657681941986,10000
104.20815,0.2481718,-7.7353215,0.09595339,1.0,1.5369526,-1.9145823,52.506798,0.7316849,-18.74788,-57.639053,0.3771581,114.56671,0.27381456,-7.7607803,0.102318004,1.0,0.9955939,-19.339983,-58.827225,0.3966376,0.12014519371986389,2969.591979265213,15000
103.33723,0.2499543,-7.7380543,0.09663646,1.0,2.895983,-6.0343275,53.524235,0.6456053,-19.960499,-65.12076,0.317479,101.65695,0.22151214,-7.7390842,0.096893944,1.0,0.66940886,-20.12757,-62.924362,0.37011993,0.006731224298477173,3003.248111963272,20000
103.16493,0.29241037,-7.7031813,0.087918244,1.0,1.636327,-1.4274316,43.054253,0.33344364,-20.34185,-70.446625,0.27989143,103.75437,0.23003748,-7.743851,0.09808576,1.0,0.39382416,-19.5043,-70.110085,0.37292632,0.14042085766792298,3705.352534532547,25000
101.621864,0.27126002,-7.700445,0.08723423,1.0,1.8228042,-1.0123936,44.189114,0.5500334,-19.86921,-75.14259,0.30501407,99.9064,0.31017798,-7.711919,0.09010261,1.0,0.9338447,-19.891708,-70.055756,0.28946584,0.011956659650802613,3765.135856151581,30000
98.78552,0.24757838,-7.7101483,0.08966009,1.0,2.443675,-2.930023,61.14638,0.51873004,-20.135265,-74.41138,0.31735626,103.73058,0.32184038,-7.713292,0.09044605,1.0,0.60277694,-19.91993,-70.36893,0.38439512,0.13818607563972474,4456.066388845444,35000
107.98564,0.31341016,-7.704401,0.08822328,1.0,1.4808422,-1.7232918,43.885376,0.4074845,-20.874191,-71.19414,0.3020615,115.238174,0.2961656,-7.7264166,0.093727075,1.0,0.54419994,-21.50683,-74.166405,0.4514053,0.00913589301109314,4501.745879411697,40000
101.54901,0.3337712,-7.6695986,0.079522744,1.0,4.9640594,-4.790728,79.63536,0.42919627,-20.58764,-70.077835,0.35986936,97.451996,0.25282973,-7.7087784,0.08931751,1.0,0.45005122,-21.175493,-69.728096,0.40236607,0.14973513202667235,5250.421672821045,45000
