training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
25.48124,0.0047907056,-9.799639,0.61203265,1.0,0.91558874,-1.1716878,53.158638,2.393635,-0.6086785,-2.5889895,0.7337021,21.288956,-0.018064838,-9.761923,0.60260355,1.0,1.8111806,-0.65195704,-2.8508205,9.06311,0.008526015901565551,42.63009023666382,1
98.5939,0.09919138,-9.477906,0.5315996,1.0,2.3491209,-2.2894018,46.08886,0.4492268,-12.798325,-25.49065,0.23205894,98.165695,0.0895411,-9.443547,0.5230098,1.0,0.6041541,-12.537873,-25.548,0.22408982,0.2076212109565735,1080.736228942871,5000
114.47447,0.1397124,-9.479238,0.53193223,1.0,3.420245,-2.656706,70.24208,0.50303376,-17.605536,-43.534313,1.6152344,121.084915,0.13945533,-9.452944,0.5253588,1.0,0.5118103,-17.22844,-43.336483,0.36413282,0.21168787446022033,2139.175761938095,10000
107.66412,0.12047686,-9.481691,0.5325457,1.0,2.5069644,-1.9765118,57.44593,1.0182185,-20.776234,-58.067524,0.30848774,110.48001,0.1441528,-9.429851,0.5195856,1.0,0.65123045,-20.853981,-58.434116,0.3214785,0.11466467084884643,2712.499521255493,15000
112.36974,0.16599047,-9.423569,0.518015,1.0,5.3601665,-3.9628515,95.85938,0.300871,-22.659,-69.36035,0.293909,110.03194,0.11919243,-9.46541,0.5284754,1.0,0.41983533,-23.783737,-69.07092,0.29884467,0.0035244524478912354,2730.121829032898,20000
103.84258,0.12652034,-9.458984,0.5268692,1.0,3.410442,-3.1672716,65.56889,0.4566577,-23.00698,-77.80029,0.28309363,114.69293,0.16671127,-9.412136,0.515157,1.0,0.8138854,-23.964302,-77.42932,0.36951807,0.11696139397621155,3314.929053068161,25000
111.717964,0.123615295,-9.473543,0.53050876,1.0,4.17514,-4.4328046,76.50161,0.5539921,-25.38575,-83.117615,0.2736635,95.22803,0.14107458,-9.487862,0.53408825,1.0,0.36434478,-24.905977,-83.38518,0.35976017,0.003979554176330566,3334.826858997345,30000
117.487335,0.13593021,-9.46941,0.52947533,1.0,4.5734577,-5.310278,86.82367,0.4504695,-25.316168,-87.47464,0.35793298,105.02169,0.08068986,-9.509661,0.53953815,1.0,0.48564228,-24.24604,-87.67691,0.33878434,0.11571393513679504,3913.396751642227,35000
110.30444,0.07499981,-9.470396,0.52972186,1.0,6.7522864,-6.189979,105.18041,0.9817039,-23.83392,-89.24516,0.43021804,116.162766,0.10094121,-9.491436,0.5349821,1.0,0.556897,-26.94816,-89.76593,0.29332662,0.003998782777786255,3933.3907055854797,40000
100.39841,0.10120124,-9.459419,0.5269778,1.0,4.5303893,-6.058707,74.47316,0.47515357,-26.352394,-93.18866,0.25949287,104.269005,0.14917925,-9.468141,0.5291581,1.0,0.39543074,-25.32715,-93.3562,0.290106,0.119031884765625,4528.5503306388855,45000
103.095184,0.12978946,-9.481396,0.532472,1.0,3.5837903,-4.406429,75.24625,0.47453737,-25.71634,-93.45151,0.3172961,114.90407,0.083100565,-9.477112,0.5314006,1.0,0.36644068,-25.609385,-93.31035,0.3994615,0.0043949198246002194,4550.524963140488,50000
111.19121,0.13242356,-9.479463,0.5319885,1.0,4.545605,-3.2390587,80.89689,0.29333243,-26.405895,-95.79785,0.33805114,109.67905,0.13180314,-9.44577,0.52356553,1.0,0.5195383,-26.335835,-93.5755,0.27948666,0.11633344917297363,5132.192519187927,55000
110.014366,0.12729704,-9.392809,0.5103251,1.0,6.22227,-6.0981455,95.20147,0.6201039,-25.755213,-96.35779,0.32699382,104.18631,0.12864359,-9.436672,0.521291,1.0,0.46061656,-27.252125,-94.12683,0.25026003,0.003947393083572387,5151.9295489788055,60000
103.66273,0.086441115,-9.483419,0.5329777,1.0,3.9066882,-3.1004999,70.87174,0.40942052,-26.135443,-94.74478,0.2996569,99.934784,0.118007556,-9.543337,0.5479572,1.0,0.30085912,-26.759218,-95.6951,0.30057532,0.004265971803665161,5173.259457826614,65000
100.946884,0.13468131,-9.444826,0.5233295,1.0,6.22912,-5.1996956,80.091705,0.35268307,-27.04116,-95.34181,0.2751518,112.08038,0.14252616,-9.48917,0.5344156,1.0,0.2145839,-24.881115,-95.67157,0.3085719,0.00444082088470459,5195.463609933853,70000
102.15611,0.107810885,-9.470302,0.5296984,1.0,3.1958036,-4.826346,82.32845,0.6750934,-26.727985,-92.394714,0.3303721,105.11075,0.11818841,-9.418915,0.5168516,1.0,0.5721477,-25.556717,-95.07225,0.30173716,0.004450872087478638,5217.718030691147,75000
87.73065,0.09841192,-9.421602,0.5175236,1.0,3.1515462,-4.4742994,63.615955,0.50286794,-26.570324,-95.46037,0.29806787,116.51962,0.13105774,-9.45667,0.5262905,1.0,0.5028079,-26.105728,-95.21373,0.34373593,0.14012396578788758,5918.338070869446,80000
103.68599,0.09880472,-9.501839,0.53758264,1.0,3.387698,-3.4186509,70.18443,0.41905522,-27.118319,-95.37514,0.31410623,97.512375,0.1198432,-9.465148,0.5284101,1.0,0.46028036,-26.795164,-96.8584,0.29796612,0.0041315367698669435,5938.995794773102,85000
104.98885,0.11792801,-9.508131,0.5391559,1.0,6.6982837,-5.7846384,98.871544,0.3871899,-27.516321,-94.58198,0.32118812,111.831665,0.13353936,-9.437978,0.52161753,1.0,0.2630628,-26.307957,-95.02165,0.26907086,0.004375631141662598,5960.873996019363,90000
98.1022,0.11490528,-9.437874,0.5215914,1.0,7.4077578,-7.432585,102.94233,0.25028712,-26.305532,-96.0627,0.3090644,119.12331,0.17202806,-9.441494,0.52249634,1.0,0.47029293,-25.694426,-95.210846,0.3940916,0.004475678968429565,5983.252450704575,95000
