training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
16.079071,0.0023770402,-9.442827,0.5228298,1.0,2.6122162,-2.256069,114.67766,2.3566566,-0.23849541,-1.790456,1.4494125,15.508219,-0.000990971,-9.252831,0.4753309,1.0,2.2227266,-0.06426759,-1.8804309,6.5913897,0.009465094995498658,47.325488567352295,1
55.108986,0.048926294,-7.884346,0.1332094,1.0,1.6528665,-1.5941162,41.00055,0.8244071,-13.033673,-24.827923,0.23160394,63.51745,0.05724171,-7.9652643,0.15343904,1.0,0.71945536,-12.989632,-24.931898,0.33127445,0.20918609585762024,1093.2560136318207,5000
64.37463,0.049482286,-7.797476,0.11149197,1.0,3.0325196,-2.781405,46.33211,1.186087,-19.960003,-43.496613,0.28914648,79.049774,0.12675695,-7.8191767,0.11691713,1.0,0.6369867,-18.608156,-43.55442,0.29293954,0.20453985056877136,2115.955410003662,10000
74.74037,0.13306648,-7.7782965,0.10669708,1.0,1.5178536,-3.5243483,43.21717,0.76233625,-22.314034,-59.2109,0.35044467,80.88169,0.062336985,-7.793598,0.11052251,1.0,0.6537105,-21.276566,-59.56516,0.44823152,0.10561074523925781,2644.0094010829926,15000
71.287704,0.11852038,-7.789251,0.10943562,1.0,2.7349422,-14.03893,60.927902,0.54435086,-21.702267,-70.59187,0.4529902,73.61001,0.06356901,-7.7785573,0.10676229,1.0,0.5389884,-23.461296,-69.78259,0.37762824,0.0035782886028289797,2661.9008939266205,20000
74.587685,0.10267086,-7.7653513,0.10346083,1.0,6.30636,-3.3210518,65.5185,0.6563536,-23.802414,-77.5063,0.36833003,70.55104,0.07654069,-7.794167,0.11066471,1.0,0.58068675,-22.816381,-78.458176,0.46223927,0.10652592887878418,3194.53076338768,25000
62.341972,0.073417865,-7.7739763,0.10561712,1.0,2.242119,-1.8801224,49.26468,0.5790378,-24.026167,-85.32176,0.5721812,76.39645,0.11576854,-7.8020144,0.11262658,1.0,0.6286231,-22.704124,-85.444885,0.35176632,0.003561834478378296,3212.3399817943573,30000
72.60436,0.09963107,-7.775742,0.10605851,1.0,5.8615475,-3.6136148,69.00726,0.54916334,-24.588776,-87.16343,0.38747078,67.83454,0.082085006,-7.797642,0.11153351,1.0,0.70987034,-23.938887,-85.44546,0.39829123,0.1078140209197998,3751.4104418754578,35000
68.19176,0.11089709,-7.7524004,0.10022308,1.0,5.309597,-4.614187,57.433064,0.56024474,-25.234768,-85.75902,0.34344298,78.80876,0.13983402,-7.801033,0.112381175,1.0,0.5238168,-24.787104,-80.91655,0.41791332,0.003859791612625122,3770.709435939789,40000
77.22138,0.13371542,-7.7368317,0.096330866,1.0,6.1174283,-9.229731,55.76805,1.0429657,-24.362427,-89.556015,0.36631677,72.10846,0.13580643,-7.7556944,0.10104657,1.0,1.0614834,-23.826244,-82.4287,0.36457685,0.11354288377761841,4338.424081087112,45000
65.90924,0.13291723,-7.7073565,0.08896213,1.0,8.896583,-2.4708862,46.889946,0.8185437,-23.866608,-92.00975,0.3652385,74.63902,0.13813978,-7.795233,0.1109312,1.0,0.5286451,-25.167526,-81.00469,0.42498165,0.004422369003295898,4360.5359625816345,50000
69.51955,0.08264943,-7.7061386,0.08865756,1.0,2.2273183,-4.1699553,47.8983,0.4584084,-25.64333,-86.72101,0.36775458,78.827286,0.12367149,-7.7320104,0.095125526,1.0,0.6789693,-24.857292,-90.20844,0.5494612,0.11194413528442383,4920.257103443146,55000
71.22771,0.10408133,-7.728215,0.09417679,1.0,3.7506967,-14.217411,56.068245,0.50099,-25.05567,-91.245224,0.38839644,86.8087,0.14259876,-7.7477217,0.09905346,1.0,0.95808715,-24.843426,-86.21272,0.33600163,0.004708605909347534,4943.80016875267,60000
69.464325,0.08286957,-7.7335076,0.095499866,1.0,1.6956911,-2.0159938,37.088837,0.49897945,-25.34586,-85.930046,0.35718736,94.68198,0.19382395,-7.743618,0.09802748,1.0,0.5743426,-22.907444,-85.36331,0.54117334,0.004718243503570556,4967.391422986984,65000
74.388214,0.082998596,-7.737609,0.09652516,1.0,1.8403162,-1.5326996,51.04213,1.4047534,-24.06059,-83.84111,0.42240775,79.144356,0.04928739,-7.7638993,0.10309781,1.0,0.5174779,-24.395374,-85.2715,0.77848697,0.004722264242172241,4991.002784490585,70000
75.25275,0.1749228,-7.717869,0.09159011,1.0,4.010608,-6.453363,52.984367,0.36581838,-24.049534,-89.5948,0.3971661,73.260086,0.06909464,-7.7627387,0.1028076,1.0,0.84736365,-24.072704,-91.45956,0.4423198,0.00473979811668396,5014.701811552048,75000
90.86537,0.13710365,-7.740245,0.09718419,1.0,4.463785,-2.1590464,55.49547,0.5231081,-22.796894,-88.09297,0.45522428,84.24252,0.124126874,-7.7523723,0.10021607,1.0,0.9139433,-22.028107,-85.4049,0.40562934,0.10749731421470642,5552.188549757004,80000
71.27138,0.05257946,-7.686121,0.0836531,1.0,1.3982848,-2.49325,44.823193,0.5618378,-22.925518,-87.37935,0.4725643,87.90206,0.13591415,-7.76021,0.10217549,1.0,0.8403673,-22.547249,-87.15086,0.46852502,0.004731095790863037,5575.844076156616,85000
74.30069,0.07938014,-7.69142,0.084978,1.0,1.6518348,-1.9671078,42.805676,0.72531915,-22.074097,-84.54895,0.4814195,92.418564,0.17629722,-7.748126,0.099154525,1.0,0.597885,-21.784245,-83.75656,0.5828661,0.004730294227600098,5599.495603561401,90000
69.81836,0.057381283,-7.6915607,0.08501321,1.0,5.352834,-7.2904987,56.635532,0.73934036,-21.125404,-105.40347,0.5351624,77.69227,0.10471788,-7.735441,0.0959832,1.0,0.36907947,-21.135044,-91.17396,0.7467085,0.0037226361751556396,5618.108821630478,95000
74.70819,0.10302779,-7.7047124,0.08830108,1.0,4.825771,-4.0475683,47.441795,0.69365585,-21.963127,-106.021484,0.38229746,91.95064,0.18079683,-7.7140326,0.09063116,1.0,1.2218211,-22.458,-75.73796,0.45254222,0.003917885494232178,5637.698293685913,100000
84.83962,0.121084295,-7.68087,0.082340464,1.0,7.956415,-16.832333,122.101234,0.96787393,-23.316725,-104.81188,1.0870199,69.85864,0.06801441,-7.720514,0.09225142,1.0,0.44170165,-21.28946,-88.68802,0.44695365,0.13948596725463866,6335.1283712387085,105000
63.911606,0.083194196,-7.6835017,0.08299841,1.0,2.3484983,-1.9484122,37.663345,0.4976497,-23.03162,-106.81666,0.50615567,78.498085,0.12155683,-7.7311525,0.09491101,1.0,1.4437788,-21.892267,-101.09997,0.539098,0.0032893858432769775,6351.575329780579,110000
