training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
5.227879,-0.0052135377,-5.098298,0.20144227,1.0,0.4958715,-0.20091486,22.945904,3.757862,0.83423567,-2.3933566,0.37247157,5.3584533,0.0006630153,-5.0771284,0.19297428,1.0,-0.07032436,-2.5756018,-4.494685,2.3210442,0.0052884769439697265,26.442397356033325,1
21.566696,0.124960735,-4.6711035,0.030564452,1.0,0.18465629,-0.1329782,6.5167575,1.1678779,-15.411619,-24.963295,0.12126781,15.824596,0.102600925,-4.672286,0.031037247,1.0,0.92665243,-15.390624,-24.50053,0.084637,0.2590113480567932,1321.4991569519043,5000
28.657146,0.14228627,-4.6858306,0.036455102,1.0,0.338131,-0.32357246,9.80108,0.84117836,-23.57545,-43.119827,0.2792021,28.829855,0.13500811,-4.6739817,0.031715646,1.0,0.753052,-22.984564,-43.699986,0.23154229,0.2626683945655823,2634.841157436371,10000
31.935534,0.17935711,-4.670171,0.030191148,1.0,0.5420111,-0.46984926,22.64162,0.5225929,-28.729733,-58.36634,0.4970831,30.69717,0.16332458,-4.673102,0.031363744,1.0,0.5916424,-28.333782,-60.039597,0.20171632,0.13135102519989014,3291.5962896347046,15000
33.43448,0.12330243,-4.6722336,0.03101635,1.0,0.2980536,-0.2251229,11.235535,0.62145245,-31.702452,-69.55564,0.4070306,37.553207,0.23097016,-4.6698475,0.030061802,1.0,0.6398642,-30.38265,-68.340836,0.32254332,0.0023435272693634033,3303.313937664032,20000
36.20835,0.15825552,-4.6585326,0.025535896,1.0,0.34298497,-0.2947737,9.793415,0.6587785,-32.751575,-75.1557,0.33165044,37.303925,0.14770031,-4.670664,0.03038835,1.0,0.7623323,-31.081173,-77.55173,0.34627804,0.13393853435516356,3973.0066583156586,25000
40.784138,0.15340541,-4.667698,0.029202048,1.0,0.37827665,-0.24268049,9.365229,0.79409754,-32.703423,-80.46682,0.31949818,35.090813,0.117989,-4.671138,0.0305782,1.0,0.81593347,-32.26155,-80.74736,0.39275348,0.002340137767791748,3984.7073695659637,30000
33.771103,0.11911725,-4.6617203,0.026811106,1.0,0.32119095,-0.22932106,11.348367,0.5349999,-33.8433,-83.15126,0.32811898,42.166557,0.13994595,-4.6687245,0.029612819,1.0,0.48753554,-33.167706,-82.65642,0.29031196,0.13482766313552857,4658.846003293991,35000
33.059586,0.15401815,-4.6650224,0.028131941,1.0,0.20937859,-0.20859721,10.100683,0.6227952,-34.235703,-85.821106,0.2406776,39.55426,0.202607,-4.661721,0.02681154,1.0,0.44439745,-33.66496,-83.60106,0.30004787,0.0024747900009155274,4671.219978809357,40000
33.996452,0.14536788,-4.6684875,0.029517949,1.0,0.34102565,-0.4167936,14.754546,0.5963162,-35.166706,-88.68658,0.3620207,36.20145,0.1435216,-4.6704636,0.030308316,1.0,0.49603724,-35.999,-87.40281,0.33788252,0.13325536890029907,5337.49697637558,45000
29.93735,0.12306572,-4.6587267,0.02561377,1.0,0.354751,-0.21014524,11.125248,0.6063958,-36.692944,-91.74364,0.29136324,34.832294,0.17742844,-4.671398,0.0306823,1.0,0.340327,-35.253387,-88.78008,0.38746312,0.002407326650619507,5349.533629179001,50000
34.246315,0.13728827,-4.6672535,0.029024322,1.0,0.28032047,-0.2373424,8.91521,0.48573375,-35.334755,-92.27649,0.25843605,38.69548,0.20914367,-4.6613708,0.02667117,1.0,0.5130355,-35.2332,-91.316956,0.38763654,0.13319756231307983,6015.5218143463135,55000
41.152256,0.19756004,-4.6620603,0.026947016,1.0,0.35224944,-0.19260515,10.449771,0.7015759,-34.729164,-91.154335,0.29137105,36.420464,0.1665518,-4.665143,0.028180182,1.0,0.4687107,-36.54383,-92.41577,0.26312354,0.002388741683959961,6027.465550899506,60000
35.086052,0.18161024,-4.6589394,0.02569874,1.0,0.18556856,-0.32983676,10.0859,0.45779943,-36.71955,-92.92503,0.24309967,37.517876,0.19354345,-4.6608725,0.02647202,1.0,0.6693417,-36.464546,-92.21912,0.31402504,0.0023936562061309813,6039.433939695358,65000
38.971596,0.19319682,-4.663215,0.027408993,1.0,0.66830045,-0.20354739,10.746903,0.48324272,-36.549335,-95.18083,0.2369468,33.739395,0.18392113,-4.670781,0.030435309,1.0,0.4319792,-36.246796,-93.75421,0.36826998,0.0024044761180877687,6051.456338167191,70000
33.27028,0.15484175,-4.663086,0.027357329,1.0,0.6258603,-0.56361973,12.835305,0.592762,-37.95674,-93.041016,0.3114366,29.359749,0.14491446,-4.6639256,0.027693272,1.0,0.34200498,-36.316017,-96.92151,0.3566987,0.0023966909408569335,6063.439817905426,75000
34.817932,0.20987703,-4.657939,0.025298452,1.0,0.35465583,-0.28634447,10.258802,0.39526895,-36.911217,-93.67764,0.2716038,36.12597,0.18817939,-4.664447,0.02790168,1.0,0.4058709,-37.10907,-93.18576,0.29003483,0.133497030544281,6730.925044298172,80000
33.603165,0.13690464,-4.6556005,0.024363067,1.0,0.30405247,-0.39617872,10.890369,0.47221565,-37.632393,-93.705635,0.2777662,36.248768,0.17464435,-4.67315,0.031382993,1.0,0.6465652,-36.183174,-94.36308,0.27968457,0.0023184574127197263,6742.5173506736755,85000
35.60485,0.16043977,-4.659315,0.025849104,1.0,0.9853853,-1.1021417,25.350447,0.39767095,-36.115547,-96.510994,0.3527872,34.610744,0.15688601,-4.670785,0.030436916,1.0,0.37872112,-36.513554,-94.70853,0.20402794,0.002320935869216919,6754.122049331665,90000
40.52832,0.23256928,-4.6505404,0.022338957,1.0,0.5451783,-0.3947321,12.751051,0.5240543,-35.626495,-96.96746,0.32389116,36.68934,0.16232866,-4.670269,0.03023058,1.0,0.7098118,-37.51863,-95.299805,0.839159,0.0023311870574951174,6765.778017759323,95000
31.561512,0.143783,-4.6575737,0.025152398,1.0,0.538615,-0.3524048,12.282496,0.5307183,-37.337727,-97.04443,0.28648573,33.50325,0.16193017,-4.659792,0.026039785,1.0,0.7288895,-37.89087,-95.67705,0.38540894,0.002328776121139526,6777.421917676926,100000
32.682632,0.16744135,-4.6541944,0.023800686,1.0,0.2530037,-0.22366114,10.087766,0.56639445,-37.144554,-95.68916,0.30185747,40.241383,0.20876785,-4.664421,0.027891403,1.0,0.84776884,-37.34903,-95.62908,0.35688156,0.13651743521690368,7460.009530067444,105000
