training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
5.2400045,-0.0011309388,-5.072217,0.19100967,1.0,0.53086746,-0.25412107,25.387716,2.2391207,0.58012277,-1.4210637,0.26285768,5.3096147,0.004650974,-5.0747004,0.19200316,1.0,-1.1082337,-3.864618,-6.1123486,3.7509418,0.0060778780460357664,30.389397382736206,1
22.165665,0.08865514,-4.665651,0.028383344,1.0,0.20351832,-0.26814827,6.712699,0.85096484,-15.4608755,-24.96502,0.13817385,21.087128,0.040557202,-4.6698523,0.030063793,1.0,0.8595755,-15.259263,-25.295334,0.19284193,0.07455457105636597,403.162273645401,5000
36.06536,0.16680479,-4.6694126,0.029888032,1.0,0.3848995,-0.490963,8.448875,0.5338509,-23.127117,-43.860214,0.311664,39.6168,0.10063538,-4.6785808,0.033555266,1.0,0.3879308,-22.232246,-43.74182,0.26420283,0.08170962538719177,811.7104346752167,10000
43.41512,0.10075922,-4.674265,0.031828906,1.0,0.18526316,-0.32132658,12.383816,0.5658128,-26.501575,-58.22196,0.43783456,42.90429,0.14412501,-4.6725883,0.031158328,1.0,0.52302307,-26.472195,-59.22942,0.26305556,0.04240488834381104,1023.7348897457123,15000
39.855766,0.08700086,-4.6758776,0.032474115,1.0,0.47376174,-0.26446047,13.768438,0.53010887,-28.135023,-68.51433,0.4153635,42.777847,0.14229365,-4.67278,0.031235117,1.0,0.84632134,-27.009644,-67.30231,0.3053861,0.010398744630813599,1075.7286248207092,20000
45.785774,0.110925674,-4.657048,0.024942385,1.0,0.27576238,-0.33233362,11.319852,1.1765115,-28.626104,-74.835884,0.3679132,40.95431,0.13505906,-4.6596804,0.025995104,1.0,0.729345,-27.869473,-75.19943,0.5872748,0.04496957287788391,1300.576508283615,25000
36.365257,0.12566048,-4.6680694,0.029350787,1.0,0.31835192,-0.25891867,11.464031,0.78247017,-28.890434,-80.37482,0.46792904,40.01349,0.1081119,-4.673765,0.031628978,1.0,0.7321871,-28.973934,-80.46405,0.6707253,0.009012146949768067,1345.637262582779,30000
36.71785,0.17077701,-4.6634417,0.02749958,1.0,0.5061084,-0.6019781,16.743546,0.5345125,-29.708126,-84.05683,0.42557007,41.719986,0.17591068,-4.66119,0.026599055,1.0,0.65898526,-29.78926,-83.84766,0.3862601,0.03810672960281372,1536.1709249019623,35000
45.714363,0.16585161,-4.655115,0.024169106,1.0,1.266847,-1.4451255,31.602295,0.582549,-30.935413,-88.79921,0.53277445,38.439156,0.13520534,-4.658733,0.025616033,1.0,0.48205996,-29.79201,-85.748,0.44510302,0.00628190565109253,1567.5804679393768,40000
42.62574,0.20259748,-4.6544757,0.02391322,1.0,0.62671727,-0.44450232,18.464415,0.5963653,-30.742508,-88.72978,0.5121005,40.264294,0.103446424,-4.670735,0.030416846,1.0,0.44933674,-32.201355,-89.1996,0.60409176,0.044819613981246946,1791.6785497665405,45000
39.390842,0.12901999,-4.6564775,0.024713892,1.0,0.4417102,-0.42269635,15.140329,0.55102044,-32.92243,-91.37363,0.46016595,44.095142,0.16598608,-4.664133,0.02777614,1.0,0.44968176,-31.271992,-91.85179,0.39637178,0.007477700471878052,1829.0670716762543,50000
42.98082,0.17820212,-4.6631455,0.027381117,1.0,2.0042808,-2.0879354,34.67996,0.57096213,-30.914001,-91.51384,0.7224562,43.163963,0.20758328,-4.6603403,0.02625904,1.0,0.5578626,-30.242168,-89.8082,0.3133644,0.043715461778640746,2047.6443917751312,55000
40.511997,0.112568855,-4.6580644,0.025348721,1.0,0.50369537,-0.2353252,11.112907,0.43798244,-30.740538,-91.3212,0.35428,38.179493,0.16407083,-4.6573668,0.025069926,1.0,0.40698826,-31.402485,-90.674225,0.35539046,0.00608581600189209,2078.0734899044037,60000
39.492744,0.14611328,-4.662084,0.02695652,1.0,1.0067582,-1.0236789,29.522493,0.7341101,-32.018547,-91.361404,0.6964501,34.02133,0.11793175,-4.660727,0.026413782,1.0,0.3826989,-32.33522,-92.13266,0.47976273,0.009006258630752563,2123.104791164398,65000
42.86238,0.124420755,-4.659537,0.025937704,1.0,0.55299485,-0.5291249,15.093144,0.37014145,-31.90964,-90.910126,0.5847168,41.27221,0.18130153,-4.6640472,0.02774164,1.0,0.5657132,-31.953457,-91.65222,0.3791747,0.011977502727508546,2182.992315530777,70000
40.064476,0.22662246,-4.658781,0.025635356,1.0,0.37676856,-0.29711404,11.598316,0.44480526,-33.25766,-90.44369,0.35255498,38.505867,0.062932536,-4.66259,0.027158862,1.0,0.66260827,-31.455723,-91.2591,0.48208922,0.015389104747772216,2259.9378502368927,75000
44.465195,0.22612664,-4.653408,0.023486169,1.0,0.83578753,-0.8077082,20.688873,0.39683884,-32.62957,-93.836914,0.43681908,38.56253,0.100356475,-4.662684,0.027196426,1.0,0.44628635,-32.414818,-89.611465,0.48883194,0.07098542685508728,2614.865015268326,80000
37.32231,0.153572,-4.6506042,0.02236461,1.0,0.5668846,-0.49861178,13.484728,0.48804617,-33.66905,-91.000916,0.5613804,38.686634,0.12174922,-4.6550946,0.024160843,1.0,0.86158013,-31.931374,-91.14241,0.58827394,0.005933908176422119,2644.5345783233643,85000
36.12477,0.14767772,-4.6554337,0.024296492,1.0,0.2952678,-0.20264083,9.905159,0.64088875,-31.855394,-90.8867,0.24848978,42.01928,0.10572068,-4.6594987,0.025922358,1.0,0.82134444,-32.233173,-91.8728,0.44434893,0.009022853136062622,2689.648861169815,90000
38.28374,0.11650661,-4.653698,0.023602234,1.0,1.0990783,-1.0180453,21.08435,0.40002853,-31.147469,-91.57385,0.44674397,42.869713,0.09171629,-4.665162,0.028187802,1.0,0.3797816,-33.15313,-91.91553,0.54132086,0.01241231017112732,2751.710441350937,95000
40.619316,0.23390669,-4.649882,0.022075726,1.0,0.42580765,-0.403383,11.303402,1.1349804,-32.66297,-92.76853,0.45088798,39.880615,0.12594214,-4.661125,0.026573036,1.0,0.5774134,-32.788685,-91.69075,0.66325176,0.016312006282806397,2833.270489215851,100000
34.953777,0.110668644,-4.6493344,0.021856738,1.0,0.53577644,-0.47671184,13.658653,0.21113223,-33.254925,-92.59273,0.4576411,40.98446,0.19991359,-4.652548,0.02314203,1.0,0.3237306,-32.864563,-91.59941,0.30247656,0.07071840553283691,3186.8625304698944,105000
34.34826,0.060793377,-4.654719,0.02401064,1.0,0.34799534,-0.25401556,11.282242,0.4875759,-34.655746,-92.28259,0.49899673,37.697586,0.13330233,-4.6533823,0.023475757,1.0,0.5144745,-32.717186,-91.941414,0.33384427,0.005115705871582031,3212.441071033478,110000
37.522263,0.1511473,-4.6486673,0.021589821,1.0,0.37328067,-0.29277688,9.385686,0.62395537,-32.750156,-93.67796,0.4753096,38.558224,0.105107635,-4.655142,0.02417973,1.0,0.9436714,-32.572563,-91.79553,0.282878,0.005689083766937256,3240.886505126953,115000
40.293858,0.025244191,-4.6561346,0.02457667,1.0,2.9087696,-3.0924168,44.44596,0.36711538,-32.69927,-92.90799,0.5586893,36.491554,0.22651249,-4.653925,0.023692831,1.0,0.37374514,-33.168888,-94.18256,0.3537398,0.010224546861648559,3292.0092599391937,120000
40.62371,0.21246073,-4.658261,0.025427341,1.0,1.6970073,-1.8792701,32.30223,0.30959868,-34.805428,-94.93979,0.50903285,37.553272,0.19334035,-4.6591988,0.025802523,1.0,0.49847618,-31.690302,-94.29944,0.28012607,0.016862657070159912,3376.3225541114807,125000
41.784195,0.17201704,-4.6475163,0.02112941,1.0,0.51985323,-0.31642663,11.254375,0.32898185,-29.95681,-95.14374,0.38328597,38.55739,0.22086337,-4.6604347,0.026296789,1.0,0.33896422,-33.288307,-94.18766,0.32823148,0.01981814112663269,3475.4132738113403,130000
39.201515,0.074343845,-4.6522584,0.02302639,1.0,0.83823985,-0.5318362,12.131501,0.72427,-32.53716,-92.993744,0.3810525,39.67373,0.20460303,-4.6559587,0.024506353,1.0,0.5110568,-32.744606,-93.11664,0.50516194,0.01980279231071472,3574.4272446632385,135000
43.741234,0.10823429,-4.649211,0.0218072,1.0,0.3787201,-0.45699853,10.9495125,0.6882552,-33.07775,-94.316605,0.4152437,41.10369,0.16890332,-4.658738,0.025618184,1.0,0.38582727,-34.29337,-94.69143,0.30972835,0.01982965922355652,3673.57555270195,140000
38.503437,0.090812266,-4.6529427,0.023299912,1.0,0.59471613,-0.40291625,18.966833,0.2180087,-32.942223,-93.43364,0.5765039,35.764626,0.1824634,-4.648104,0.02136467,1.0,0.30782625,-33.434246,-93.84518,0.42178237,0.019851721382141113,3772.83416891098,145000
36.578262,0.1298895,-4.649048,0.02174219,1.0,0.30307153,-0.4680395,9.23378,0.5277797,-34.39075,-93.26985,0.2445212,35.959396,0.087877996,-4.6538506,0.023663271,1.0,0.55546916,-33.999306,-93.723694,0.2396347,0.019830699586868287,3871.9876759052277,150000
41.101612,0.18467814,-4.6506634,0.022388121,1.0,0.64731055,-0.57975334,13.002201,0.8709988,-34.112743,-94.3194,0.3378501,37.83478,0.109993204,-4.6576366,0.025177574,1.0,0.57759655,-32.600616,-93.71179,0.3700089,0.07691975889205932,4256.586501598358,155000
34.903122,0.11710225,-4.649187,0.02179762,1.0,0.59721386,-0.5361826,12.145176,0.45073384,-31.76451,-94.1255,0.3019295,36.42463,0.109011516,-4.6586223,0.025571842,1.0,0.53807366,-33.54181,-94.302345,0.37803626,0.00512280821800232,4282.200562238693,160000
36.18792,0.15604424,-4.6471562,0.020985449,1.0,0.800294,-0.71401,16.01727,0.40457225,-33.79551,-94.65474,0.5117279,39.571396,0.073262885,-4.6585636,0.025548447,1.0,0.6784972,-33.233,-93.99776,0.5919697,0.005123875904083252,4307.819960832596,165000
38.474052,0.14735013,-4.649723,0.022012208,1.0,0.687076,-0.5824514,14.672782,0.45780462,-33.981026,-95.49805,0.42340463,38.60685,0.17440036,-4.651451,0.022703564,1.0,0.49230132,-33.262295,-93.787254,0.5233188,0.005143080997467041,4333.5353808403015,170000
37.768654,0.18001413,-4.648015,0.021329101,1.0,0.79738784,-0.69485384,19.580269,0.4401526,-34.959766,-95.44011,0.33557963,35.72937,0.09640376,-4.6629047,0.027285058,1.0,0.4664976,-33.170288,-94.50369,0.51709706,0.009751177310943604,4382.291299819946,175000
36.270683,0.1039954,-4.651395,0.02268101,1.0,0.54559475,-0.48628488,10.679123,0.55469483,-33.349518,-95.57809,0.2716915,38.663025,0.19083092,-4.6536274,0.023573846,1.0,0.57663155,-34.825165,-95.640656,0.42232066,0.01572016634941101,4460.892151117325,180000
40.46508,0.08315268,-4.6542006,0.023803322,1.0,0.62694806,-0.5565101,13.200663,0.56854045,-32.709305,-94.67551,0.4118996,41.84476,0.15456939,-4.656535,0.024736894,1.0,0.35708413,-34.67686,-94.15289,0.59013593,0.01989693398475647,4560.3768475055695,185000
37.50284,0.12383511,-4.6524277,0.02309403,1.0,1.1754967,-1.135818,18.00703,0.802117,-33.263428,-95.396835,0.4679773,38.63691,0.10404835,-4.653138,0.023378018,1.0,0.92993927,-35.22644,-95.58121,0.32190147,0.019902869844436646,4659.891223192215,190000
39.741577,0.1720838,-4.642394,0.01908058,1.0,1.5822221,-0.834919,19.72911,0.40487662,-32.64611,-96.45297,0.5056905,37.269684,0.16586639,-4.649733,0.022016143,1.0,0.32156706,-34.106506,-94.8546,0.4106156,0.01985025668144226,4759.14252614975,195000
38.16325,0.15401249,-4.6431274,0.019374019,1.0,0.5138396,-0.2397242,13.3702755,0.77558696,-33.489616,-93.99141,0.4248491,39.664757,0.17023967,-4.653754,0.023624618,1.0,0.46976715,-34.287262,-95.19142,0.5824814,0.019818781423568726,4858.236465215683,200000
33.130104,0.05611416,-4.64783,0.021255108,1.0,1.1695617,-1.0684098,19.751755,0.3043127,-34.68132,-93.446304,0.5906793,37.85952,0.09389994,-4.6561885,0.024598455,1.0,0.5879288,-31.86287,-94.34056,0.3867996,0.09429612703323365,5329.717120885849,205000
36.331196,0.10142092,-4.642778,0.01923417,1.0,0.93587947,-0.86256784,17.478828,0.38705248,-35.155968,-95.19287,0.718598,32.43232,0.18597132,-4.651613,0.022768198,1.0,0.9134141,-34.242218,-93.561646,0.26173234,0.005122075939178467,5355.327521085739,210000
38.039764,0.09437389,-4.652568,0.023150185,1.0,1.111151,-0.9965668,18.938528,0.73340607,-32.309334,-95.31879,0.4714358,40.69514,0.19794206,-4.6548176,0.024049856,1.0,0.52322817,-34.96704,-94.23846,0.4637518,0.0051115090847015385,5380.885077953339,215000
35.59861,0.10457457,-4.6507425,0.022419969,1.0,1.7753448,-0.6914132,26.800516,0.6193743,-32.845097,-93.9285,0.5250733,40.64501,0.15168247,-4.649012,0.021727769,1.0,0.37699246,-32.740273,-93.75852,0.31178993,0.005124372005462646,5406.506949901581,220000
36.90204,0.14286326,-4.650886,0.022477377,1.0,1.2964228,-1.8931195,19.722118,0.42302585,-33.002472,-94.63551,0.44185182,36.090935,0.11940542,-4.6548557,0.024065355,1.0,0.7712264,-33.260338,-95.33652,0.27442288,0.00505983681678772,5431.806141614914,225000
40.486458,0.17727563,-4.6431108,0.019367263,1.0,5.770194,-6.721464,76.06338,0.49562645,-34.954327,-95.13954,1.1284622,39.53804,0.10185133,-4.651288,0.022638291,1.0,0.4511788,-34.42924,-93.73269,0.28294066,0.006891777658462524,5466.265040636063,230000
38.970123,0.15676609,-4.651112,0.022567904,1.0,0.28530112,-0.40721262,8.541292,0.5517042,-34.594208,-94.2164,0.31787932,34.68968,0.14625046,-4.658208,0.025406186,1.0,0.90771973,-32.1542,-93.41841,0.4765653,0.012648563718795776,5529.507874488831,235000
