training/grad/max;training/grad/min;training/grad/norm;training/high_actor/actor_loss;training/high_actor/adv;training/high_actor/bc_log_prob;training/high_actor/mse;training/high_actor/std;training/low_actor/actor_loss;training/low_actor/adv;training/low_actor/bc_log_prob;training/low_actor/mse;training/low_actor/std;training/value/v_max;training/value/v_mean;training/value/v_min;training/value/value_loss;validation/high_actor/actor_loss;validation/high_actor/adv;validation/high_actor/bc_log_prob;validation/high_actor/mse;validation/high_actor/std;validation/low_actor/actor_loss;validation/low_actor/adv;validation/low_actor/bc_log_prob;validation/low_actor/mse;validation/low_actor/std;validation/value/v_max;validation/value/v_mean;validation/value/v_min;validation/value/value_loss;time/epoch_time;time/total_time;step
10.163808;-14.3324995;318.2175;43.637806;-0.019054268;-14.220545;1.0062319;1.0;21.44501;-0.012395338;-9.399487;0.5119948;1.0;1.9889976;1.0039054;-1.7620735;1.0608559;54.925663;0.013934453;-13.775688;0.91726047;1.0;20.291885;0.005729928;-9.368283;0.50419384;1.0;-0.3143471;-4.5665126;-6.048975;12.356138;0.0005676698625039995;63.074368953704834;1
19.12175;-19.3101;265.1527;461.75873;2.39369;-9.853923;0.1329075;1.0;164.25229;0.44847104;-7.5675383;0.054007456;1.0;0.25705612;-39.474373;-100.66019;0.8995737;475.20038;2.462583;-9.999035;0.16192989;1.0;176.4329;0.43788618;-7.624344;0.06820889;1.0;0.21084416;-36.53021;-100.68856;0.9601425;0.011798898358623166;1374.0617678165436;111112
13.212631;-20.230526;226.07205;498.43054;3.0154848;-9.744136;0.110950194;1.0;155.73927;0.39747962;-7.5460877;0.048644833;1.0;0.20165712;-41.748962;-101.07373;1.0163805;482.36417;2.3385487;-9.833102;0.12874341;1.0;164.19199;0.40629065;-7.653453;0.07548615;1.0;0.2571831;-41.813114;-100.96179;1.0091763;0.0066865161512569046;2117.007266998291;222223
29.979904;-15.578621;212.71075;535.5155;2.9468997;-9.7605915;0.114241295;1.0;140.68475;0.3285112;-7.559163;0.051913835;1.0;0.010297298;-41.89749;-100.892235;1.083147;500.57092;2.8246744;-9.87121;0.13636492;1.0;141.71059;0.29601976;-7.648676;0.07429184;1.0;0.10604911;-38.91455;-100.828384;1.450818;0.006081070868935554;2792.681136369705;333334
28.423668;-61.775673;296.1958;512.16516;2.6337833;-9.6329775;0.08871843;1.0;133.96759;0.40364337;-7.54943;0.049480386;1.0;0.16742581;-44.053318;-100.47987;0.9141979;516.2975;2.8573437;-9.795641;0.12125137;1.0;133.15689;0.2895754;-7.6369023;0.07134858;1.0;0.12235517;-40.14931;-101.02969;0.84083116;0.006011259217750688;3460.598163127899;444445
30.598606;-21.046963;294.09467;511.18103;2.8840847;-9.633791;0.08888123;1.0;153.55212;0.37995487;-7.551175;0.049916804;1.0;0.111329496;-38.506126;-100.8383;0.9229357;507.2514;2.7736025;-9.745887;0.11130039;1.0;162.44455;0.33457512;-7.6600966;0.077147216;1.0;0.29209134;-39.570442;-100.805;1.0749688;0.006061208655727317;4134.065121650696;555556
57.794746;-224.7995;606.1955;472.17493;2.5996976;-9.673304;0.0967836;1.0;149.86725;0.4564975;-7.5474668;0.04898971;1.0;0.30944526;-39.911793;-100.84044;1.489234;505.49118;3.0655415;-9.770978;0.116318606;1.0;157.63068;0.4641166;-7.670719;0.079802796;1.0;0.1856591;-38.972828;-100.856255;1.6297343;0.00602993788037123;4804.057551622391;666667
14.67705;-20.859663;203.47562;524.5565;3.1581802;-9.56287;0.07469692;1.0;146.97156;0.4373743;-7.5450945;0.048396625;1.0;0.083806455;-41.972168;-100.83571;1.0286355;484.026;2.413604;-9.709427;0.1040084;1.0;167.39766;0.41340208;-7.6715846;0.08001909;1.0;0.13557383;-40.503433;-101.32684;1.2613226;0.006014643952189728;5472.350658893585;777778
43.407745;-12.316372;237.39445;496.4748;2.6733725;-9.593834;0.080889724;1.0;145.841;0.4042261;-7.5554285;0.050980106;1.0;0.10775747;-41.546062;-100.71892;1.519136;487.27505;2.7032099;-9.753912;0.11290548;1.0;167.715;0.44649994;-7.6672087;0.07892522;1.0;0.14700684;-40.767635;-100.65008;1.4687922;0.005960060306860158;6134.578922510147;888889
28.1078;-44.68346;249.56789;522.4478;3.0764203;-9.541844;0.07049183;1.0;159.7127;0.4354937;-7.5470786;0.048892602;1.0;0.15770483;-43.98607;-100.896805;1.3020175;497.96368;2.6919231;-9.827072;0.12753744;1.0;172.16019;0.37954116;-7.6710978;0.07989741;1.0;0.1495048;-40.1668;-100.56177;1.8345633;0.0059367567688376095;6794.217907190323;1000000
