training/grad/max;training/grad/min;training/grad/norm;training/high_actor/actor_loss;training/high_actor/adv;training/high_actor/bc_log_prob;training/high_actor/mse;training/high_actor/std;training/low_actor/actor_loss;training/low_actor/adv;training/low_actor/bc_log_prob;training/low_actor/mse;training/low_actor/std;training/value/v_max;training/value/v_mean;training/value/v_min;training/value/value_loss;validation/high_actor/actor_loss;validation/high_actor/adv;validation/high_actor/bc_log_prob;validation/high_actor/mse;validation/high_actor/std;validation/low_actor/actor_loss;validation/low_actor/adv;validation/low_actor/bc_log_prob;validation/low_actor/mse;validation/low_actor/std;validation/value/v_max;validation/value/v_mean;validation/value/v_min;validation/value/value_loss;time/epoch_time;time/total_time;step
9.614567;-8.427435;267.50046;74.98167;0.019541273;-14.150721;0.9922671;1.0;38.966087;0.017507616;-9.38287;0.5078404;1.0;1.4637969;-0.29822928;-2.575861;1.7181811;107.164505;0.0123767555;-14.409682;1.0440593;1.0;32.852013;0.006864458;-9.270254;0.47968644;1.0;0.41947454;-3.2791905;-5.5875626;7.4098616;0.00033921513551983827;37.6905357837677;1
30.868788;-26.375996;638.25085;644.0582;4.299425;-9.706198;0.10336256;1.0;164.42609;0.40299314;-7.579374;0.056966387;1.0;0.11960955;-38.431343;-102.1131;2.369057;655.4387;4.402056;-9.795845;0.12129197;1.0;157.87381;0.33186272;-7.639076;0.07189207;1.0;0.083439216;-39.30106;-102.52566;1.3034389;0.008427767075924195;974.108167886734;111112
19.894894;-18.40386;228.6539;667.60065;4.645713;-9.686247;0.09937233;1.0;141.93965;0.3521682;-7.5619593;0.052612774;1.0;0.059683166;-39.97194;-100.52648;1.2692577;671.5898;4.5527005;-9.7955475;0.121232584;1.0;150.41266;0.3100217;-7.647511;0.074000664;1.0;0.03786874;-38.75637;-102.1398;1.6826229;0.004182477693935137;1438.8274505138397;222223
12.576884;-9.049618;192.1165;661.74304;4.3975077;-9.679817;0.09808631;1.0;155.16013;0.3147025;-7.564192;0.053170953;1.0;0.056146853;-38.81178;-100.82544;1.5784812;677.6063;4.179208;-9.798658;0.121854715;1.0;167.16379;0.35867605;-7.665045;0.07838422;1.0;0.124281935;-38.93222;-100.783516;1.8097788;0.0038524721211050097;1866.879484653473;333334
10.431607;-11.7905;207.32423;658.99805;4.436804;-9.535822;0.06928723;1.0;151.77179;0.4330421;-7.556114;0.051151574;1.0;-0.022113033;-39.359337;-100.790115;1.2121332;666.97363;4.347362;-9.678925;0.09790803;1.0;163.2324;0.42587033;-7.6732492;0.080435276;1.0;0.12648249;-38.911705;-100.799225;1.2104143;0.0037277464361910317;2281.073122739792;444445
22.830112;-10.853024;199.43042;648.28735;3.934597;-9.514219;0.064966775;1.0;158.08867;0.4014453;-7.553343;0.050458603;1.0;0.12762414;-39.474533;-101.87282;0.9874258;671.23206;4.737274;-9.638411;0.08980526;1.0;162.9649;0.40522727;-7.692893;0.0853461;1.0;0.1342079;-40.49875;-101.11644;1.7546866;0.003535346359328598;2673.8889939785004;555556
9.132572;-6.865419;199.03839;663.66846;4.985147;-9.491337;0.060390335;1.0;154.11145;0.3164556;-7.571396;0.0549719;1.0;0.02088949;-40.45586;-100.71625;1.5682206;640.1435;4.315804;-9.663683;0.0948594;1.0;184.0864;0.40850794;-7.669456;0.07948696;1.0;0.03992241;-39.532646;-101.47331;2.5769863;0.0036403308009276486;3078.3697917461395;666667
8.27242;-8.75681;190.7874;678.2041;4.8675222;-9.474326;0.056988306;1.0;168.0343;0.48664114;-7.5499144;0.049601525;1.0;0.18967742;-40.13947;-100.95315;1.1949644;655.1863;4.389251;-9.677368;0.09759652;1.0;164.56525;0.45665786;-7.686513;0.08375115;1.0;0.19659105;-40.99504;-100.67676;2.6017706;0.0035749089475285763;3475.5815031528473;777778
11.979245;-25.75299;244.90955;656.52747;4.151206;-9.485802;0.059283316;1.0;156.9955;0.5041717;-7.5427704;0.04781559;1.0;0.13220541;-39.167526;-100.803635;1.3382733;666.94946;4.5881815;-9.654079;0.09293884;1.0;164.6507;0.36157954;-7.6876545;0.08403656;1.0;0.1072035;-41.856445;-101.24921;2.2465954;0.003598486708437728;3875.412961959839;888889
5.9764433;-12.858323;167.8338;643.11206;4.2213297;-9.492541;0.06063121;1.0;154.68092;0.4186988;-7.554632;0.05078111;1.0;0.1861082;-40.826286;-100.6139;1.0914547;673.44434;4.65044;-9.706027;0.10332842;1.0;161.54674;0.36934674;-7.7101765;0.0896671;1.0;0.2355144;-39.572502;-100.547775;1.5889404;0.0034811204631036478;4262.203742265701;1000000
