training/grad/max,training/grad/min,training/grad/norm,training/high_actor/actor_loss,training/high_actor/adv,training/high_actor/bc_log_prob,training/high_actor/mse,training/high_actor/std,training/low_actor/actor_loss,training/low_actor/adv,training/low_actor/bc_log_prob,training/low_actor/mse,training/low_actor/std,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/high_actor/actor_loss,validation/high_actor/adv,validation/high_actor/bc_log_prob,validation/high_actor/mse,validation/high_actor/std,validation/low_actor/actor_loss,validation/low_actor/adv,validation/low_actor/bc_log_prob,validation/low_actor/mse,validation/low_actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
7.9417443,-8.127256,265.95392,76.89828,-0.0160661,-14.112376,0.9845983,1.0,38.978767,0.018225769,-9.355991,0.50112057,1.0,2.4798882,-0.25832745,-2.4863374,2.0248923,73.3873,-0.010253503,-14.247349,1.0115927,1.0,32.90245,0.01202767,-9.239735,0.47205675,1.0,1.0018448,-1.3180832,-3.460912,9.8651085,0.012075304365158081,60.37652325630188,1
80.25619,-130.8202,847.72253,733.79364,6.065123,-10.1348505,0.18909314,1.0,205.22675,0.19576278,-7.814286,0.11569454,1.0,0.08196602,-15.747482,-26.792965,1.237766,704.63086,5.6182513,-10.164731,0.19506924,1.0,203.34113,0.24374375,-7.791773,0.110066235,1.0,0.14784387,-15.448484,-26.731804,1.3713964,0.24547391147613526,1287.746081829071,5000
19.41974,-16.967518,360.5898,801.12915,6.838582,-9.71081,0.10428482,1.0,161.94598,0.1652441,-7.7505913,0.099770725,1.0,0.2993278,-19.919556,-43.810776,1.056679,814.3502,6.981454,-9.750536,0.11223018,1.0,168.3414,0.2182998,-7.7519655,0.100114405,1.0,0.104263835,-20.106915,-43.893723,1.0695096,0.2456801061630249,2516.146614074707,10000
88.30578,-101.52251,798.39215,795.4945,7.7674775,-9.800758,0.12227476,1.0,179.00421,0.08033823,-7.7429705,0.0978656,1.0,0.016305115,-24.388107,-56.680702,1.3138123,844.9281,8.141569,-9.845566,0.13123602,1.0,199.88129,0.22919866,-7.7560916,0.10114591,1.0,0.06681618,-24.920532,-56.72204,1.6154914,0.15865920577049256,3309.4426481723785,15000
82.73579,-77.555954,871.4062,825.7725,8.141611,-9.662743,0.09467136,1.0,183.18112,0.2204789,-7.6870255,0.08387937,1.0,0.19083941,-26.621103,-66.95147,1.4908187,817.0583,7.9532933,-9.697062,0.101535335,1.0,177.44574,0.07640858,-7.7256413,0.0935332,1.0,0.22606048,-25.588814,-66.93341,1.0653673,0.010728384685516358,3363.0845758914948,20000
17.149591,-17.201653,372.1066,835.749,8.44301,-9.679268,0.09797659,1.0,173.04277,0.1557801,-7.6957912,0.08607094,1.0,0.08673557,-28.105474,-74.643616,1.1861825,836.26,8.381666,-9.674896,0.097102225,1.0,186.45047,0.2029904,-7.7132087,0.09042513,1.0,0.07921788,-29.112392,-74.7077,1.4233654,0.16407955021858214,4183.482332468033,25000
73.13985,-49.14922,546.1103,830.7668,8.442568,-9.64521,0.09116509,1.0,165.45879,0.271693,-7.6879168,0.08410218,1.0,0.07014005,-29.460114,-80.58954,1.2454023,824.4979,8.281715,-9.694373,0.10099762,1.0,182.89462,0.17342986,-7.7301593,0.09466275,1.0,0.1525281,-28.90894,-80.476654,1.2691039,0.008512070941925048,4226.042688846588,30000
49.39039,-44.169834,425.39838,834.2532,8.584469,-9.661674,0.09445767,1.0,172.48137,0.24300951,-7.682579,0.08276777,1.0,-0.042839203,-29.07161,-85.002594,0.7423878,832.3601,8.712241,-9.65077,0.09227695,1.0,193.13069,0.33150476,-7.704631,0.08828067,1.0,-0.04071221,-29.328249,-85.12157,1.3443136,0.16583103008270264,5055.197845220566,35000
77.20587,-63.63441,523.6669,813.60876,8.214131,-9.718936,0.10591018,1.0,152.96011,0.20782994,-7.669906,0.07959961,1.0,0.08251924,-28.641636,-88.47304,0.93676656,839.4742,8.411567,-9.744286,0.110980086,1.0,146.54443,0.14202091,-7.7264233,0.09372882,1.0,0.06655969,-28.950813,-88.36633,1.2298002,0.008275048017501832,5096.573086977005,40000
62.36582,-65.47514,526.56824,828.3325,8.839134,-9.639679,0.0900588,1.0,184.1753,0.27745348,-7.666746,0.0788095,1.0,0.12657398,-29.72136,-90.59034,1.4418191,832.35657,8.83252,-9.6086645,0.0838559,1.0,192.67973,0.26488978,-7.709139,0.08940783,1.0,0.15460566,-30.827534,-90.61043,1.2275118,0.16499835391044618,5921.564873218536,45000
