training/grad/max,training/grad/min,training/grad/norm,training/high_actor/actor_loss,training/high_actor/adv,training/high_actor/bc_log_prob,training/high_actor/mse,training/high_actor/std,training/low_actor/actor_loss,training/low_actor/adv,training/low_actor/bc_log_prob,training/low_actor/mse,training/low_actor/std,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/high_actor/actor_loss,validation/high_actor/adv,validation/high_actor/bc_log_prob,validation/high_actor/mse,validation/high_actor/std,validation/low_actor/actor_loss,validation/low_actor/adv,validation/low_actor/bc_log_prob,validation/low_actor/mse,validation/low_actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
12.230906,-8.232766,234.10724,123.5764,0.021005865,-14.22443,1.0070091,1.0,75.53261,0.016829034,-9.764921,0.60335314,1.0,1.8944235,-0.31103235,-2.5682347,1.8348092,102.305244,-0.0150510855,-14.366192,1.0353613,1.0,44.473137,-0.027603399,-9.752002,0.6001234,1.0,0.94610566,-3.4373627,-5.9248924,7.534509,0.012968897151947021,64.8444881439209,1
43.811504,-33.40539,477.52457,566.75366,3.6613567,-10.258237,0.2137702,1.0,208.0599,0.04831565,-9.3522215,0.50017834,1.0,0.06989383,-16.225536,-26.714859,1.1022793,549.82446,3.2584405,-10.287445,0.21961188,1.0,229.40692,0.23886874,-9.352957,0.50036216,1.0,0.06636164,-15.696161,-26.80508,1.0931499,0.25624884247779844,1346.0887038707733,5000
18.991657,-28.771694,394.77817,636.2611,3.7201643,-10.214081,0.20493928,1.0,247.26253,0.17704836,-9.339027,0.49687976,1.0,0.11475468,-20.535374,-42.926193,1.5394709,627.0028,3.62781,-10.233843,0.2088915,1.0,235.58038,0.166415,-9.3743725,0.50571626,1.0,0.09499681,-21.279736,-42.991695,1.3450532,0.2707930103778839,2700.0537588596344,10000
28.603228,-44.966232,383.59933,620.0412,4.0173044,-10.1815605,0.19843517,1.0,256.78632,0.207305,-9.334195,0.49567172,1.0,0.075187795,-25.42458,-55.894028,1.1228173,651.0703,4.483755,-10.129983,0.1881197,1.0,258.7157,0.28946114,-9.354498,0.50074744,1.0,0.035978466,-25.759298,-55.910187,0.95039237,0.1664000744342804,3532.0541331768036,15000
6.9069996,-12.198198,218.7726,616.5761,4.260702,-9.96903,0.15592916,1.0,237.51724,0.22358671,-9.2889595,0.48436302,1.0,0.08912223,-28.501432,-65.842606,1.0352285,611.60144,4.010252,-10.009353,0.16399348,1.0,247.30153,0.25114164,-9.306415,0.48872656,1.0,0.0350169,-28.194778,-65.84659,1.2819164,0.04123472585678101,3738.2277715206146,20000
16.40889,-11.878968,254.99385,611.07214,3.8308785,-9.936046,0.14933205,1.0,254.85817,0.2589152,-9.3194,0.49197295,1.0,0.016338486,-30.223877,-73.48758,1.4015105,638.89526,4.2016144,-9.866457,0.13541439,1.0,257.79724,0.26917413,-9.340359,0.4972126,1.0,-0.0016576108,-29.543175,-73.50958,1.1639185,0.1629870231151581,4553.162891387939,25000
9.311358,-11.892294,228.439,638.3473,4.9319987,-9.888918,0.13990663,1.0,257.65997,0.29767585,-9.298656,0.4867872,1.0,0.020053897,-33.211407,-79.41454,1.5074594,629.8424,4.2431536,-9.9074,0.14360297,1.0,241.92108,0.22403137,-9.331815,0.4950766,1.0,0.033596266,-28.888702,-79.380295,1.4122705,0.032652520418167116,4716.425497055054,30000
37.652782,-33.397724,396.44028,621.8151,3.9299264,-10.018963,0.16591552,1.0,275.6593,0.35111535,-9.277423,0.48147878,1.0,0.101189464,-31.763786,-84.090515,1.5375867,646.33234,4.385515,-9.959675,0.15405795,1.0,285.90106,0.32200253,-9.30249,0.4877455,1.0,0.061265904,-32.76439,-84.08379,1.5712769,0.16938029413223266,5563.32697057724,35000
19.754211,-12.79422,255.27802,619.48425,4.187211,-9.844233,0.13096945,1.0,291.77,0.4147033,-9.315228,0.49093008,1.0,0.07271114,-33.277367,-87.71587,1.3908107,650.3387,4.355629,-9.853335,0.13279006,1.0,270.7341,0.33133933,-9.358725,0.5018042,1.0,0.073256254,-31.524097,-87.71389,1.5918744,0.02591132974624634,5692.88362121582,40000
11.64123,-20.143377,234.1293,615.27527,3.9316678,-9.87192,0.1365069,1.0,261.18018,0.31916118,-9.298622,0.4867785,1.0,0.028208636,-31.79219,-90.61888,1.2098162,646.7311,4.6106615,-9.844748,0.13107231,1.0,268.08337,0.34557784,-9.371842,0.50508356,1.0,0.04114699,-33.79512,-90.60298,1.3851244,0.176720810174942,6576.487678289413,45000
7.492113,-5.806043,186.66043,631.87646,4.1579075,-9.853568,0.13283665,1.0,267.24542,0.2872288,-9.339991,0.49712056,1.0,0.04638168,-33.647713,-92.81798,1.4705331,650.3251,4.6697564,-9.859292,0.13398127,1.0,269.619,0.2861128,-9.353954,0.5006115,1.0,0.04585312,-32.36111,-92.76512,1.5864272,0.018784894371032715,6670.412153482437,50000
21.453905,-18.234495,287.6819,616.4221,4.245432,-9.905497,0.1432224,1.0,300.2554,0.37697092,-9.335208,0.49592492,1.0,0.018855315,-35.075367,-94.4358,1.5262341,637.8345,4.465118,-9.911019,0.14432688,1.0,280.4222,0.30070484,-9.342627,0.4977795,1.0,0.017402206,-32.875443,-94.41021,1.4924378,0.19996430444717408,7670.2336802482605,55000
15.7456045,-19.081362,214.00066,630.5872,4.5509453,-9.846701,0.13146316,1.0,275.03455,0.30457506,-9.330013,0.49462652,1.0,0.01734393,-33.373714,-95.67793,1.4737543,620.1849,4.410513,-9.86216,0.13455491,1.0,268.43405,0.27705985,-9.346224,0.49867886,1.0,0.033450816,-33.660675,-95.72536,1.5773811,0.04121395673751831,7876.303466558456,60000
19.206335,-40.390846,321.39316,655.4983,4.577587,-9.858421,0.13380723,1.0,283.01758,0.287705,-9.336702,0.49629828,1.0,0.06411074,-33.752117,-96.6317,1.8300258,617.4574,4.0250688,-9.904538,0.14303069,1.0,280.42743,0.26356584,-9.387444,0.50898385,1.0,0.031034041,-34.428833,-96.65732,1.3208046,0.03569995903968811,8054.803263187408,65000
5.5327682,-4.851656,170.0409,649.4348,4.350989,-9.823023,0.12672754,1.0,282.06192,0.25528798,-9.391803,0.5100738,1.0,0.015982095,-36.19888,-97.33147,1.5072455,636.56146,4.531955,-9.796944,0.12151184,1.0,279.1234,0.29819903,-9.360559,0.5022628,1.0,0.023813434,-33.18358,-97.35869,1.5059966,0.022592003059387206,8167.763280391693,70000
18.93444,-31.39999,260.50665,642.7855,4.574768,-9.857799,0.13368274,1.0,257.5332,0.19392507,-9.378637,0.5067823,1.0,0.036376957,-34.383114,-97.68376,1.3633822,644.9668,5.026621,-9.871605,0.13644405,1.0,276.7542,0.2330763,-9.351972,0.5001159,1.0,0.06289016,-33.641434,-97.68628,1.511798,0.013057431411743163,8233.05044221878,75000
23.784697,-13.980105,229.51077,646.26855,4.699401,-9.781171,0.118357204,1.0,273.4358,0.30441648,-9.3264675,0.4937401,1.0,0.035272535,-33.624794,-97.95381,1.3455479,629.88367,4.327465,-9.7826185,0.11864676,1.0,286.60468,0.3807389,-9.334177,0.49566728,1.0,0.08606818,-35.08634,-97.95626,1.5951543,0.23220559873580932,9394.078439235687,80000
13.203359,-17.985247,212.34244,626.7713,4.2787786,-9.783542,0.118831255,1.0,277.6382,0.35316986,-9.288824,0.48432884,1.0,0.06689083,-33.239433,-98.17604,1.3249204,635.45593,4.3208017,-9.824549,0.12703279,1.0,266.63605,0.23958708,-9.377795,0.50657177,1.0,0.05591613,-33.894215,-98.21504,1.5207254,0.03627951092720032,9575.475996732712,85000
21.69751,-14.624312,238.4506,631.95483,4.3983727,-9.784232,0.118969515,1.0,284.67804,0.4051618,-9.271965,0.48011395,1.0,0.011419103,-32.964546,-98.12778,1.6677897,602.97534,3.7771451,-9.782865,0.118696,1.0,257.6546,0.3022318,-9.352843,0.5003338,1.0,0.009509888,-33.0328,-98.29801,1.2544711,0.022937526369094848,9690.163633823395,90000
9.833447,-11.315092,178.4368,612.3564,4.0491753,-9.768215,0.115765885,1.0,273.49887,0.37571177,-9.314558,0.4907623,1.0,-0.0071177743,-33.934265,-98.28917,1.1600435,612.4163,4.021881,-9.799736,0.1220701,1.0,251.56802,0.28416032,-9.313931,0.49060583,1.0,0.0042071044,-34.91073,-98.44031,1.4044495,0.011303881120681763,9746.683040857315,95000
13.290259,-22.636656,229.8439,619.2082,4.347942,-9.798088,0.1217407,1.0,253.3568,0.24585009,-9.346989,0.49887,1.0,0.047751702,-34.0065,-98.392044,1.3793664,621.3231,4.3800898,-9.797209,0.12156458,1.0,271.18237,0.25227416,-9.345396,0.4984721,1.0,0.05242145,-36.63633,-98.44145,1.5193921,0.011312469434738159,9803.245393276215,100000
16.179358,-22.908875,223.62462,616.07104,4.4065723,-9.7879925,0.11972141,1.0,285.9316,0.22783905,-9.339142,0.49690843,1.0,0.045390714,-35.409313,-98.389725,1.584731,618.29285,4.3719387,-9.784729,0.11906882,1.0,296.14627,0.3372177,-9.341904,0.49759886,1.0,0.047406584,-33.648792,-98.37827,1.4954631,0.2446501676082611,11026.496235132217,105000
10.992875,-7.4853435,161.07875,621.671,4.4207134,-9.764934,0.11510978,1.0,252.92838,0.09274844,-9.350975,0.49986658,1.0,0.02606241,-35.287476,-98.51589,1.2273905,628.2329,4.44828,-9.781051,0.11833314,1.0,262.42517,0.25159445,-9.377967,0.5066147,1.0,0.036089197,-37.13852,-98.47269,1.3073528,0.0412283643245697,11232.638058662415,110000
36.927586,-44.93966,328.99188,641.01074,4.1801586,-9.832867,0.12869625,1.0,302.88455,0.4157281,-9.319022,0.49187857,1.0,0.010913409,-34.0832,-98.280975,1.4359806,642.7699,4.510035,-9.847815,0.1316859,1.0,274.04572,0.25162852,-9.369502,0.5044985,1.0,-0.0194127,-35.572258,-98.190674,1.8591352,0.041239792728424075,11438.837027072906,115000
12.19902,-19.897104,220.6695,629.7849,4.2703247,-9.776972,0.11751753,1.0,261.86838,0.31905973,-9.344759,0.4983128,1.0,-0.032982897,-36.39731,-98.162415,1.6054255,635.1968,4.7724113,-9.796699,0.1214626,1.0,265.76212,0.26964527,-9.357321,0.50145334,1.0,-0.007644076,-35.16785,-98.41431,1.4857788,0.04125714383125305,11645.122748613358,120000
22.773066,-27.055063,219.6554,616.10333,4.1240745,-9.838416,0.1298062,1.0,265.9359,0.13427728,-9.312868,0.49034014,1.0,0.054586366,-34.529404,-99.09685,1.3767439,648.69275,4.5183477,-9.795736,0.12127037,1.0,285.1626,0.3837934,-9.288995,0.48437163,1.0,0.0060664564,-34.035316,-98.62593,1.4693661,0.04125986881256104,11851.422097921371,125000
13.686668,-12.066956,191.42667,633.03455,4.6747966,-9.735706,0.10926437,1.0,283.04755,0.35810933,-9.298975,0.4868668,1.0,-0.014852814,-35.17529,-98.7696,1.3265283,614.8543,4.2172832,-9.819851,0.12609306,1.0,281.77344,0.35851264,-9.378761,0.5068133,1.0,-0.005897142,-35.561745,-98.69949,1.3822278,0.03745827145576477,12038.713457345963,130000
8.993562,-21.132587,226.4492,625.24194,4.381509,-9.820179,0.12615888,1.0,288.15106,0.3620203,-9.294451,0.4857357,1.0,0.10763554,-33.239296,-98.83894,1.4465657,634.04877,4.2881746,-9.804014,0.12292581,1.0,289.28088,0.40843534,-9.360518,0.5022525,1.0,0.08120363,-35.14672,-98.770996,1.5318427,0.026575403499603273,12171.590478658676,135000
9.333981,-5.81168,178.85643,630.5747,4.4136887,-9.743413,0.11080556,1.0,253.84111,0.21348408,-9.376709,0.5063001,1.0,0.081952125,-34.717903,-99.094666,1.543939,607.51184,4.1940336,-9.742285,0.11057992,1.0,275.23502,0.39232796,-9.385733,0.50855625,1.0,0.24880399,-34.453663,-98.86206,1.2597587,0.022864579963684083,12285.913380622864,140000
13.782062,-15.14553,194.19583,626.0143,4.221699,-9.747853,0.11169362,1.0,279.64075,0.39576504,-9.323466,0.49298948,1.0,0.03479351,-35.13006,-98.965576,1.3216754,636.82556,4.263315,-9.770545,0.11623194,1.0,284.84738,0.27302706,-9.399548,0.51200986,1.0,0.031543493,-36.07433,-99.12334,1.6275986,0.011304526805877686,12342.43601822853,145000
16.950695,-18.50979,198.52411,605.7814,4.335818,-9.773537,0.11683037,1.0,279.79834,0.22209994,-9.292792,0.485321,1.0,0.009924632,-36.515495,-99.22539,1.4036156,651.7366,4.9836597,-9.765328,0.11518872,1.0,301.70227,0.43065092,-9.382055,0.50763685,1.0,0.006595146,-34.981457,-99.29599,1.4017968,0.011302536249160767,12398.948701143265,150000
11.510106,-16.272732,178.23352,631.0491,4.369997,-9.76067,0.11425698,1.0,274.447,0.25674266,-9.346117,0.49865222,1.0,0.060184065,-34.88591,-98.98644,1.0980594,626.2416,4.473874,-9.738406,0.10980417,1.0,272.759,0.25704166,-9.359849,0.5020853,1.0,0.09731518,-33.406723,-99.12882,1.5847646,0.2229441177368164,13513.669292449951,155000
11.219404,-29.133825,262.85284,664.52466,4.7101545,-9.736512,0.10942548,1.0,271.0009,0.26603475,-9.328281,0.4941933,1.0,0.11334792,-35.118057,-99.19144,1.3367498,648.43274,4.8012133,-9.78125,0.118372954,1.0,267.21188,0.21866073,-9.4205475,0.51725996,1.0,0.109884396,-36.53428,-99.09756,1.4819295,0.04124511003494263,13719.894844532013,160000
4.6449523,-8.1322775,167.13153,647.56177,4.7279615,-9.733369,0.10879685,1.0,263.63385,0.29532918,-9.3292465,0.49443474,1.0,0.08303935,-32.322437,-99.22465,1.2434845,643.4167,4.7421956,-9.758023,0.11372765,1.0,269.893,0.28385094,-9.331301,0.49494818,1.0,0.073937535,-34.09217,-98.977585,1.422255,0.04129058437347412,13926.347770929337,165000
4.663097,-6.1328735,142.54112,630.7854,4.585279,-9.73594,0.109310865,1.0,264.77472,0.24981703,-9.348236,0.4991819,1.0,0.0059897043,-35.228607,-99.12692,1.2185717,643.6885,4.709251,-9.724168,0.106956534,1.0,270.8471,0.25895596,-9.361446,0.5024847,1.0,-0.030321755,-33.614075,-99.16039,1.6392925,0.04132012414932251,14132.948393821716,170000
20.983398,-16.743315,195.64616,611.2556,4.1504498,-9.778271,0.11777725,1.0,257.59406,0.23540425,-9.377731,0.5065556,1.0,0.031487856,-33.45877,-99.1624,1.4946629,618.7886,4.313087,-9.737055,0.109533764,1.0,281.52814,0.3843108,-9.362709,0.5028004,1.0,0.036135964,-35.24607,-99.159195,1.4481506,0.0412925078868866,14339.410938501358,175000
7.056518,-4.9413824,152.7307,604.88196,4.0211554,-9.745678,0.11125853,1.0,244.09032,0.1558503,-9.372712,0.505301,1.0,-0.02357125,-34.83462,-98.97155,1.460182,619.9798,4.369404,-9.774199,0.11696269,1.0,270.02655,0.2691423,-9.358976,0.50186723,1.0,-0.02918113,-34.280754,-99.27632,1.3523192,0.04029704856872558,14540.896183729172,180000
7.0947094,-3.219879,142.83365,628.07166,4.68128,-9.758435,0.11381012,1.0,264.19604,0.2647184,-9.352138,0.5001573,1.0,0.044176064,-36.02642,-99.368126,1.364395,615.4398,4.380143,-9.73834,0.10979086,1.0,257.56567,0.24150622,-9.411348,0.51496005,1.0,0.03922281,-36.00485,-99.292076,1.544626,0.028380328845977784,14682.79783296585,185000
12.551595,-14.12515,192.27725,652.23737,4.819305,-9.73177,0.10847699,1.0,249.50839,0.22868463,-9.331344,0.494959,1.0,0.0065495856,-32.746044,-99.25767,1.1813549,617.0236,4.1464925,-9.796252,0.12137335,1.0,249.00822,0.20429823,-9.373028,0.50538003,1.0,0.027001798,-33.19705,-99.19048,1.1880476,0.020630668544769287,14785.951177120209,190000
9.425259,-19.526217,204.20445,620.80554,4.0331016,-9.753231,0.1127692,1.0,283.7829,0.28117722,-9.339388,0.49696994,1.0,0.064740606,-34.516026,-99.29297,1.3703749,623.2595,4.202764,-9.751103,0.112343684,1.0,279.26416,0.28589344,-9.387565,0.509014,1.0,0.08149575,-37.902416,-99.3555,1.2770343,0.018894199085235597,14880.42217707634,195000
