training/grad/max,training/grad/min,training/grad/norm,training/high_actor/actor_loss,training/high_actor/adv,training/high_actor/bc_log_prob,training/high_actor/mse,training/high_actor/std,training/low_actor/actor_loss,training/low_actor/adv,training/low_actor/bc_log_prob,training/low_actor/mse,training/low_actor/std,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/high_actor/actor_loss,validation/high_actor/adv,validation/high_actor/bc_log_prob,validation/high_actor/mse,validation/high_actor/std,validation/low_actor/actor_loss,validation/low_actor/adv,validation/low_actor/bc_log_prob,validation/low_actor/mse,validation/low_actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
17.826519,-24.389393,325.62323,127.66094,-0.012274628,-14.173023,0.99672776,1.0,40.799675,0.018960789,-9.370794,0.5048214,1.0,2.0559297,-0.81868917,-2.8416054,1.8108337,76.86389,-0.015386336,-13.735448,0.9092125,1.0,39.573776,0.015184918,-9.356651,0.50128585,1.0,1.3398207,-3.5140882,-5.225702,7.6144075,0.010253963708877564,51.26982045173645,1
53.383545,-53.466343,787.9395,741.8713,6.0237904,-10.122537,0.18663037,1.0,156.70132,0.061101303,-8.0089655,0.16436444,1.0,0.27358165,-15.219289,-27.127449,1.3074785,729.09875,5.7023487,-10.0966015,0.18144321,1.0,165.21548,0.15731557,-8.022521,0.16775325,1.0,0.2048406,-15.572323,-27.174494,1.1230177,0.2320992723941803,1211.7661838531494,5000
31.24634,-43.516678,532.3396,795.5925,7.4004273,-9.674426,0.09700816,1.0,156.08995,0.17925984,-7.9401283,0.14715496,1.0,0.12300605,-19.707119,-43.740738,1.1952021,786.92377,6.9326396,-9.676191,0.09736128,1.0,145.75339,0.1073336,-7.942104,0.1476489,1.0,0.3333602,-19.792118,-43.700806,1.0922365,0.23281608324050904,2375.846601486206,10000
25.044914,-31.091845,424.6575,801.68787,7.772212,-9.703472,0.10281736,1.0,180.63554,0.0862308,-7.91689,0.14134544,1.0,0.11148703,-21.7673,-56.01335,1.1812699,771.01935,7.5939646,-9.728586,0.10784016,1.0,184.20952,0.11165346,-7.956956,0.15136184,1.0,0.07554196,-22.579184,-56.030075,1.7527778,0.11954243755340577,2973.5587911605835,15000
22.18268,-22.227379,309.80365,801.5063,8.260878,-9.682924,0.09870782,1.0,159.56366,0.06292346,-7.8941793,0.13566777,1.0,0.09614978,-24.941124,-65.13728,1.0485938,787.9291,7.9036436,-9.686417,0.099406265,1.0,180.10332,0.13377559,-7.941182,0.14741856,1.0,0.09099959,-23.949306,-65.06865,1.6575236,0.008496164655685425,3016.039618253708,20000
35.49661,-29.615574,438.81888,807.3598,8.160078,-9.729614,0.10804593,1.0,190.84418,0.10863486,-7.888334,0.13420643,1.0,0.092658415,-24.739565,-71.31777,0.93312526,800.4514,8.268209,-9.751858,0.11249473,1.0,202.10248,0.27097547,-7.909485,0.13949414,1.0,0.04550067,-24.081226,-71.59996,1.4330641,0.139806982421875,3715.07453417778,25000
14.625059,-15.755911,300.94263,791.42487,7.9377,-9.655798,0.093282536,1.0,211.09291,0.18760186,-7.879199,0.13192272,1.0,0.04728676,-24.49997,-76.08908,1.3940728,797.4715,8.116107,-9.717047,0.10553237,1.0,206.05157,0.19581172,-7.9108467,0.13983467,1.0,0.04617258,-25.409672,-76.02473,1.9794803,0.008488595247268678,3757.5175137519836,30000
13.940289,-8.854013,283.00876,809.1557,8.507652,-9.627317,0.087586455,1.0,171.96268,0.19685097,-7.893855,0.13558677,1.0,0.07276367,-24.947308,-78.59543,1.4544288,811.0945,8.520439,-9.71958,0.106038906,1.0,203.42238,0.19093907,-7.9140606,0.14063822,1.0,0.0017328374,-26.919968,-78.656494,1.8490908,0.15289147324562072,4521.974883317947,35000
11.199749,-8.073625,218.55797,803.775,8.635503,-9.637163,0.0895557,1.0,198.6904,0.24055442,-7.871141,0.12990816,1.0,0.044110794,-26.56562,-81.18579,1.1940993,768.16626,8.015942,-9.668482,0.09581935,1.0,200.72705,0.27405602,-7.9031878,0.13791981,1.0,0.109624445,-26.390043,-81.03299,1.8021479,0.008475706815719604,4564.353419303894,40000
26.529974,-33.75584,389.432,817.8021,8.736412,-9.671436,0.096410245,1.0,194.91052,0.26524746,-7.888831,0.1343307,1.0,0.07685156,-26.517801,-83.239105,1.357892,804.25903,8.465027,-9.726243,0.10737159,1.0,205.85281,0.19714247,-7.881197,0.13242218,1.0,0.10384466,-26.581398,-82.73859,1.7432228,0.14172760334014892,5272.991438865662,45000
22.458317,-23.953264,356.28168,809.43774,8.858122,-9.602217,0.08256634,1.0,192.79102,0.25392693,-7.83112,0.119903006,1.0,0.06698274,-26.810944,-84.70251,1.7064799,816.5775,8.71793,-9.639254,0.08997364,1.0,200.50818,0.34063354,-7.8753777,0.13096732,1.0,0.08302135,-26.831528,-85.37131,1.2936099,0.008457239532470703,5315.2776391506195,50000
12.690165,-8.9343605,225.15836,802.1126,8.866978,-9.665706,0.095264055,1.0,192.0851,0.25772855,-7.8756733,0.13104132,1.0,0.13150147,-28.434055,-88.288895,1.4645088,817.9807,8.779155,-9.689466,0.10001625,1.0,203.03174,0.2895431,-7.910302,0.13969857,1.0,0.07048424,-27.950706,-86.37065,1.3053007,0.15229941573143005,6076.774721622467,55000
20.537455,-12.394344,301.37842,790.7685,8.502506,-9.669264,0.09597572,1.0,192.53113,0.17639282,-7.8722844,0.13019407,1.0,0.13102427,-28.151535,-89.164185,1.6856515,806.3638,8.692086,-9.720999,0.10632284,1.0,209.504,0.24874714,-7.883111,0.1329008,1.0,0.05625127,-29.000942,-89.360214,1.7368107,0.008503485536575317,6119.292150259018,60000
31.629658,-23.266003,391.62692,798.6726,8.530818,-9.736118,0.10934658,1.0,202.92892,0.4636424,-7.850112,0.124650925,1.0,0.17963472,-28.249222,-89.457375,1.670383,810.6427,8.815678,-9.710193,0.10416148,1.0,215.39844,0.2630816,-7.8649006,0.12834817,1.0,0.31711084,-28.387135,-91.42855,1.7124821,0.0085029061794281,6161.806683540344,65000
12.5535345,-17.56078,286.74548,803.8952,8.874731,-9.687122,0.09954731,1.0,192.17294,0.25509077,-7.8560953,0.12614682,1.0,0.20147799,-28.086918,-92.91708,1.9467347,811.12854,8.538534,-9.734085,0.10894008,1.0,187.25108,0.20332506,-7.8918586,0.13508758,1.0,0.07705766,-29.078114,-91.25757,1.8920904,0.008501783514022827,6204.3156042099,70000
24.990313,-18.463783,340.64825,798.81836,8.471416,-9.701125,0.10234801,1.0,191.52179,0.29251558,-7.8587265,0.1268045,1.0,0.11778997,-28.102962,-94.219315,1.6522721,821.6019,8.861265,-9.663637,0.094850324,1.0,212.05693,0.28802323,-7.880025,0.13212931,1.0,0.7744133,-27.485,-92.32417,1.8294852,0.008497520065307617,6246.803206682205,75000
26.881516,-29.511068,398.2337,818.87573,9.17207,-9.701585,0.10243988,1.0,193.54562,0.2559112,-7.841393,0.122471236,1.0,0.17186798,-28.832495,-94.994415,1.3714415,799.69006,8.618427,-9.738621,0.109847106,1.0,216.47568,0.3236349,-7.88708,0.133893,1.0,0.11190788,-30.022938,-95.10705,1.5938871,0.1971008460521698,7232.307441473007,80000
17.867762,-14.42872,334.22147,824.1948,8.738241,-9.679102,0.09794343,1.0,194.1021,0.28178608,-7.8435993,0.123022765,1.0,0.11179349,-29.438484,-96.371765,1.788779,818.30066,8.828949,-9.696125,0.101348035,1.0,198.90216,0.28565702,-7.8622985,0.12769757,1.0,0.037649963,-28.53809,-96.77161,1.3994455,0.008497954225540161,7274.7972140312195,85000
16.86758,-16.989418,293.43234,824.5393,8.585485,-9.69291,0.100705005,1.0,191.74661,0.3119323,-7.823819,0.11807783,1.0,0.05065563,-28.44823,-96.88844,1.7448692,814.02295,8.856553,-9.681192,0.098361455,1.0,199.44241,0.32954565,-7.8716955,0.13004695,1.0,0.07323037,-29.547318,-88.370575,1.4262416,0.00850278525352478,7317.311141490936,90000
14.154603,-14.696044,284.2381,814.1867,8.657408,-9.656473,0.0934175,1.0,204.9346,0.35841063,-7.8386593,0.12178784,1.0,0.04877229,-30.586952,-98.24368,2.275413,813.0205,8.898079,-9.705545,0.103232004,1.0,208.8726,0.31068987,-7.8929768,0.13536717,1.0,0.01750851,-28.126637,-98.06957,2.0710535,0.008500793075561524,7359.815109968185,95000
27.414482,-18.787441,373.97424,811.68494,8.970052,-9.750772,0.11227746,1.0,198.0089,0.34845424,-7.8490953,0.12439675,1.0,0.124535516,-30.030752,-98.689255,1.4449577,792.9989,8.501437,-9.766636,0.115450144,1.0,206.61746,0.40479684,-7.8879566,0.13411209,1.0,0.1745422,-29.676762,-98.3631,2.3430307,0.00850128207206726,7402.32152223587,100000
26.545984,-16.355652,299.39227,810.7145,8.705947,-9.67633,0.097388946,1.0,191.11938,0.27277762,-7.8141727,0.11566606,1.0,0.13160563,-29.650677,-99.010155,1.403271,802.25745,8.652227,-9.71787,0.10569693,1.0,188.31848,0.2781518,-7.896603,0.13627373,1.0,0.10775873,-29.30885,-99.55458,1.871606,0.1726258225917816,8265.450639486313,105000
19.21027,-15.43893,279.1555,836.2473,8.966863,-9.721502,0.10642343,1.0,183.78967,0.25255874,-7.831958,0.120112464,1.0,0.24077804,-28.433714,-99.63199,1.7905071,827.1645,8.940663,-9.687252,0.099573396,1.0,183.67041,0.21840082,-7.8985505,0.13676062,1.0,0.12790418,-27.46059,-98.17024,1.6855602,0.019832948446273802,8364.61538386345,110000
31.052887,-53.20339,417.6062,806.89606,8.509469,-9.719788,0.106080435,1.0,210.53122,0.37498075,-7.829077,0.119392104,1.0,0.17690776,-30.095085,-100.333145,1.8106619,817.76434,8.848091,-9.755198,0.11316251,1.0,197.84502,0.40345538,-7.882141,0.13265835,1.0,0.15874118,-28.387844,-99.611015,1.7843208,0.01983235445022583,8463.77715921402,115000
23.96154,-36.377716,415.58453,828.35,9.294192,-9.73003,0.10812884,1.0,198.85112,0.3017347,-7.8265553,0.118761845,1.0,0.09968738,-30.634968,-99.98747,2.087023,828.60767,9.257051,-9.779724,0.11806788,1.0,201.33063,0.2889738,-7.859586,0.12701935,1.0,0.082520396,-30.055931,-100.587234,1.9872911,0.01984805817604065,8563.01745390892,120000
21.466618,-9.976464,275.70752,801.4391,8.540338,-9.769673,0.116057634,1.0,185.30005,0.28752768,-7.833666,0.12053941,1.0,0.19552067,-29.895748,-99.72188,1.8362205,809.4127,8.977644,-9.738916,0.10990631,1.0,198.25246,0.30315608,-7.8778553,0.13158676,1.0,0.10187596,-28.53212,-100.096436,1.5650582,0.01983111219406128,8662.173019886017,125000
26.392418,-17.954123,348.7462,817.0066,9.082316,-9.7727375,0.11667033,1.0,195.70474,0.23171209,-7.8560276,0.12612978,1.0,0.37000942,-28.34506,-98.44493,1.4614515,822.31793,8.909764,-9.689791,0.10008114,1.0,211.85678,0.45759442,-7.8830633,0.13288885,1.0,0.13790707,-30.46421,-99.60057,2.309695,0.01437748293876648,8734.060440063477,130000
21.019684,-25.489676,306.79187,818.7143,8.95788,-9.725208,0.10716467,1.0,206.62335,0.30354667,-7.837146,0.12140947,1.0,0.3066463,-29.12634,-99.83212,1.4593625,820.1715,9.188301,-9.715931,0.10530906,1.0,193.05405,0.28782934,-7.868105,0.12914912,1.0,0.06505518,-28.993288,-100.04834,1.9280505,0.011006888914108276,8789.09488582611,135000
16.510685,-12.729355,236.61028,819.3503,8.826345,-9.6534395,0.09281086,1.0,195.67624,0.41217837,-7.826982,0.118868425,1.0,0.08924401,-29.113214,-100.0941,1.3385031,802.9144,8.529467,-9.735121,0.10914717,1.0,197.75069,0.29566813,-7.920223,0.14217882,1.0,0.27599445,-30.09253,-99.94059,1.7492318,0.008498319387435914,8831.586485385895,140000
9.722719,-16.167412,231.03036,805.72034,8.344071,-9.722864,0.10669573,1.0,203.02438,0.46225077,-7.8649464,0.1283596,1.0,0.10753974,-28.781258,-99.96997,2.1140356,787.63916,8.2280655,-9.7639885,0.114920534,1.0,199.27246,0.2558112,-7.8660793,0.12864274,1.0,0.08534753,-30.089218,-100.33476,1.7220819,0.008492764854431152,8874.050313711166,145000
11.81734,-18.913021,271.79602,796.57416,8.824658,-9.6532,0.09276297,1.0,205.96709,0.3401556,-7.834098,0.1206474,1.0,0.016195733,-29.449892,-100.19771,1.6905053,807.64294,9.079563,-9.722324,0.10658795,1.0,192.8284,0.3287564,-7.8727045,0.13029906,1.0,0.0557775,-29.673326,-100.29271,1.8820817,0.010981929397583008,8928.95996427536,150000
14.767105,-24.403633,341.79462,818.0264,9.051998,-9.708763,0.103875734,1.0,211.89484,0.34965533,-7.8370495,0.121385366,1.0,0.026370786,-29.827175,-100.61478,2.1052313,825.41235,8.8875885,-9.666214,0.09536595,1.0,204.5783,0.42038912,-7.8680634,0.12913875,1.0,0.07934735,-28.689259,-100.943115,1.3440499,0.21952596440315247,10026.589789867401,155000
6.370187,-6.180108,204.15793,820.8822,8.741919,-9.768904,0.11590365,1.0,182.98553,0.245305,-7.8441706,0.12316561,1.0,0.3158173,-29.091858,-99.85427,1.5736616,818.35406,8.567064,-9.800993,0.12232158,1.0,187.4112,0.29536295,-7.9018116,0.13757583,1.0,0.09496397,-29.852737,-100.88705,1.6422353,0.019823523092269896,10125.707406520844,160000
10.76646,-9.826153,237.19734,791.8037,8.433848,-9.756832,0.113489226,1.0,182.77396,0.3003739,-7.841483,0.12249379,1.0,0.13490193,-27.661331,-100.29909,1.6992264,820.2952,9.038239,-9.711999,0.10452292,1.0,189.81212,0.2970771,-7.880978,0.13236742,1.0,0.12542108,-29.074036,-100.62271,1.8718528,0.01983066473007202,10224.860734462738,165000
17.48843,-24.799225,298.88055,815.70526,8.713911,-9.733985,0.10891984,1.0,186.53789,0.2229001,-7.816607,0.116274826,1.0,0.15474702,-28.462564,-98.14899,1.3351955,819.68396,9.023864,-9.711229,0.10436878,1.0,197.65254,0.37600255,-7.8704386,0.12973261,1.0,0.2698514,-28.887323,-100.01903,2.0537734,0.01984472255706787,10324.08434844017,170000
15.887271,-36.21521,347.72464,817.7499,9.041588,-9.705295,0.10318191,1.0,187.3645,0.38688302,-7.834893,0.12084623,1.0,0.13659346,-30.224876,-99.83449,1.879375,819.9783,9.164192,-9.73399,0.108920954,1.0,195.12894,0.30757856,-7.869853,0.1295861,1.0,0.27337998,-28.182814,-100.04869,1.558288,0.019942349815368653,10423.796102523804,175000
11.263073,-16.90427,252.23088,805.10657,8.768343,-9.695829,0.1012887,1.0,203.60924,0.38642192,-7.8124905,0.11524564,1.0,0.1887563,-29.655693,-99.718185,1.856343,800.24567,8.679007,-9.709705,0.10406412,1.0,215.6705,0.31175455,-7.8908844,0.13484417,1.0,0.088364094,-28.840832,-100.27989,2.462541,0.01993551025390625,10523.473655462265,180000
