training/grad/max,training/grad/min,training/grad/norm,training/high_actor/actor_loss,training/high_actor/adv,training/high_actor/bc_log_prob,training/high_actor/mse,training/high_actor/std,training/low_actor/actor_loss,training/low_actor/adv,training/low_actor/bc_log_prob,training/low_actor/mse,training/low_actor/std,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/high_actor/actor_loss,validation/high_actor/adv,validation/high_actor/bc_log_prob,validation/high_actor/mse,validation/high_actor/std,validation/low_actor/actor_loss,validation/low_actor/adv,validation/low_actor/bc_log_prob,validation/low_actor/mse,validation/low_actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
15.138964,-24.131027,335.1988,133.17993,-0.047631614,-14.240804,1.0102838,1.0,57.69049,-0.034594517,-9.378792,0.5068209,1.0,2.4703548,-0.43430454,-2.752835,1.358855,111.34294,0.016323488,-13.688986,0.89992017,1.0,50.10148,0.033434574,-9.30777,0.48906547,1.0,0.70209783,-4.9115906,-6.6896467,12.514809,0.015541215562820435,77.70607924461365,1
5.776228,-5.146481,198.96266,388.1193,2.0174646,-10.795058,0.32113463,1.0,172.34833,0.18731299,-7.757655,0.10153671,1.0,0.2485826,-15.667158,-26.915485,0.875123,369.55145,1.7660341,-11.03643,0.36940897,1.0,176.32997,0.19440101,-7.793368,0.11046496,1.0,0.19649532,-15.958795,-26.95133,0.9326263,0.27734850249290466,1464.4485943317413,5000
7.585708,-12.1874,206.57845,493.08398,2.408474,-10.375887,0.2373002,1.0,201.67477,0.30245933,-7.711515,0.09000161,1.0,0.0003134925,-22.535427,-43.780434,0.92926514,519.0198,2.7163868,-10.452496,0.2526221,1.0,184.02002,0.22187446,-7.736886,0.0963445,1.0,-0.04005176,-22.29089,-43.770844,0.7876427,0.2631196177005768,2780.046685218811,10000
13.173689,-18.592638,228.14563,573.6277,2.891578,-10.427849,0.24769269,1.0,215.87112,0.35078055,-7.6632204,0.07792808,1.0,0.14211023,-24.074057,-56.405746,1.358445,570.57056,2.9117641,-10.437361,0.24959512,1.0,208.80168,0.20675609,-7.693475,0.08549168,1.0,0.18475008,-24.438637,-56.579254,1.2985343,0.13095689778327943,3434.8311755657196,15000
7.5234833,-5.953877,189.75894,544.0521,2.873985,-10.173405,0.19680405,1.0,210.5481,0.43502676,-7.667658,0.07903738,1.0,0.13247526,-26.766586,-66.06714,1.3115501,565.81616,3.3997564,-10.164861,0.19509517,1.0,199.91461,0.18820241,-7.704928,0.08835496,1.0,0.10334672,-26.467129,-65.88623,1.1650116,0.013612004423141479,3502.891200065613,20000
8.240397,-7.502465,210.5717,571.52075,3.3929293,-10.053102,0.1727433,1.0,187.22705,0.32638037,-7.657093,0.07639631,1.0,0.13667528,-30.463219,-73.37268,1.5806056,586.0476,3.606433,-10.115126,0.18514821,1.0,191.87491,0.29798847,-7.70457,0.08826548,1.0,0.19944863,-30.331846,-73.47035,1.4261004,0.10861462259292602,4045.964316368103,25000
9.702063,-9.806181,202.58394,560.529,3.4179626,-10.068161,0.17575493,1.0,197.07274,0.36424422,-7.6581764,0.076667026,1.0,0.07022263,-30.494463,-79.22084,1.5918201,563.74786,3.2033105,-10.09968,0.182059,1.0,197.45059,0.35726276,-7.6864157,0.08372694,1.0,0.1231509,-30.223389,-79.3107,1.4280052,0.008371979522705079,4087.82422041893,30000
7.565402,-8.140777,172.48659,597.7717,3.5692687,-9.985842,0.15929122,1.0,193.69003,0.39019644,-7.610708,0.06479995,1.0,0.046925224,-32.388515,-83.72403,1.173165,583.7427,3.5149536,-10.061897,0.17450233,1.0,183.59805,0.32066572,-7.6905413,0.084758356,1.0,0.07051692,-30.357998,-84.10065,1.5994008,0.11492678322792053,4662.458143234253,35000
11.8535385,-10.073952,255.33295,591.6539,3.301754,-10.15321,0.192765,1.0,184.93472,0.32738048,-7.6518564,0.0750871,1.0,0.08991619,-32.07371,-87.72444,1.9421695,582.969,3.5783873,-10.214755,0.20507407,1.0,191.5055,0.17631048,-7.6911516,0.084910974,1.0,0.060180146,-31.522888,-87.88637,1.6230571,0.013819102239608765,4731.553657054901,40000
8.28222,-16.220192,216.51308,607.1018,4.053131,-9.933096,0.14874218,1.0,169.81651,0.2694489,-7.656496,0.076246955,1.0,0.15651408,-32.6406,-90.787155,1.5749075,602.8939,3.6634936,-9.995157,0.16115463,1.0,193.33844,0.35809588,-7.690099,0.08464762,1.0,0.16579822,-34.393654,-91.39592,1.5023162,0.11369124121665955,5300.0098650455475,45000
