training/grad/max,training/grad/min,training/grad/norm,training/high_actor/actor_loss,training/high_actor/adv,training/high_actor/bc_log_prob,training/high_actor/mse,training/high_actor/std,training/low_actor/actor_loss,training/low_actor/adv,training/low_actor/bc_log_prob,training/low_actor/mse,training/low_actor/std,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/high_actor/actor_loss,validation/high_actor/adv,validation/high_actor/bc_log_prob,validation/high_actor/mse,validation/high_actor/std,validation/low_actor/actor_loss,validation/low_actor/adv,validation/low_actor/bc_log_prob,validation/low_actor/mse,validation/low_actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
16.46645,-24.348644,320.91895,121.4209,-0.013199974,-14.16876,0.995875,1.0,39.16075,0.015991349,-9.332265,0.49518907,1.0,1.6107974,-0.82533664,-2.9260068,1.8762372,75.063416,0.01859176,-13.682769,0.8986768,1.0,38.687973,0.017975155,-9.297371,0.48646563,1.0,0.67721623,-3.339473,-4.9713106,7.249587,0.010342184925079346,51.7109260559082,1
35.733162,-24.31627,576.0625,738.7324,6.3546386,-9.970542,0.15623128,1.0,179.93634,0.21193376,-7.8162365,0.11618209,1.0,0.50462574,-16.191986,-27.61596,1.7719862,709.5038,6.5015483,-10.017689,0.16566068,1.0,191.61868,0.22146581,-7.825291,0.11844569,1.0,0.37914753,-16.189156,-27.667732,1.3199437,0.22922109365463256,1197.8163957595825,5000
32.803627,-29.761652,437.46234,804.02625,7.690781,-9.82231,0.12658505,1.0,159.25423,0.09117764,-7.774905,0.10584933,1.0,0.10802023,-19.863022,-43.81759,1.0699906,803.1654,7.47933,-9.782732,0.118669465,1.0,160.86476,0.06256584,-7.791619,0.110027686,1.0,0.08542748,-20.028337,-43.78695,1.2788914,0.242670241355896,2411.1676042079926,10000
13.3398075,-15.502159,300.17654,790.51105,8.0389385,-9.696118,0.10134675,1.0,171.78502,0.10546054,-7.7622666,0.10268959,1.0,0.109485455,-21.959621,-56.136257,1.0397357,819.46674,8.329486,-9.757984,0.11371982,1.0,173.70096,0.17168815,-7.7459574,0.09861241,1.0,0.08240577,-22.946203,-56.141243,1.1174709,0.12528947491645814,3037.614983320236,15000
36.53679,-22.767778,507.8818,829.07605,8.265638,-9.780584,0.11823982,1.0,186.12775,0.16175434,-7.737299,0.09644777,1.0,0.06891929,-23.308092,-64.86537,1.2550268,828.7761,8.402561,-9.773292,0.11678129,1.0,195.02228,0.22774222,-7.7503834,0.09971877,1.0,0.15760958,-24.117292,-65.00106,1.3967699,0.012170635461807251,3098.4681639671326,20000
30.605503,-31.53321,489.39325,835.77405,8.935563,-9.679944,0.09811177,1.0,182.94012,0.25067848,-7.7103324,0.08970605,1.0,0.09399811,-24.724953,-70.960075,1.1885183,820.4829,9.004611,-9.655591,0.09324118,1.0,185.26253,0.18216014,-7.735586,0.09601948,1.0,0.035864253,-25.919846,-71.042305,1.4343162,0.1382280569076538,3789.608451604843,25000
30.052546,-19.956686,498.1678,819.2593,8.648178,-9.673656,0.09685414,1.0,211.82727,0.32844007,-7.699213,0.08692619,1.0,0.0482767,-24.617619,-75.57513,2.370512,838.38416,8.611216,-9.73452,0.10902672,1.0,186.29631,0.31308562,-7.717288,0.09144493,1.0,0.11467545,-25.138922,-75.512924,1.3518388,0.008307251501083374,3831.144711971283,30000
17.270248,-19.736294,333.67422,817.63556,9.013588,-9.663253,0.09477364,1.0,191.91876,0.28389072,-7.7047634,0.08831381,1.0,0.04637026,-26.999718,-78.07948,1.1712699,839.639,9.08084,-9.661765,0.09447595,1.0,175.6202,0.18474844,-7.7048216,0.088328354,1.0,0.06091765,-26.764915,-78.489655,1.5633018,0.14327576746940612,4547.523551702499,35000
35.37978,-34.62879,455.3975,835.36664,9.026445,-9.574432,0.07700929,1.0,179.91135,0.26158115,-7.6794004,0.08197315,1.0,0.20724241,-27.266102,-81.79315,1.5986154,845.8116,9.146198,-9.7026205,0.10264702,1.0,204.29306,0.26606616,-7.7165446,0.09125909,1.0,0.118995495,-27.720703,-81.35263,1.6885061,0.008318079566955567,4589.1139533519745,40000
26.137857,-25.619164,377.04886,836.24414,9.2110405,-9.616876,0.08549809,1.0,200.44363,0.3692839,-7.68416,0.08316299,1.0,0.10276236,-26.586586,-83.27324,1.6005257,828.8888,9.265598,-9.639611,0.09004519,1.0,191.85197,0.23944661,-7.7113733,0.089966275,1.0,0.14512068,-27.273441,-83.55046,1.3978488,0.14415910258293152,5309.909467935562,45000
