training/grad/max,training/grad/min,training/grad/norm,training/high_actor/actor_loss,training/high_actor/adv,training/high_actor/bc_log_prob,training/high_actor/mse,training/high_actor/std,training/low_actor/actor_loss,training/low_actor/adv,training/low_actor/bc_log_prob,training/low_actor/mse,training/low_actor/std,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/high_actor/actor_loss,validation/high_actor/adv,validation/high_actor/bc_log_prob,validation/high_actor/mse,validation/high_actor/std,validation/low_actor/actor_loss,validation/low_actor/adv,validation/low_actor/bc_log_prob,validation/low_actor/mse,validation/low_actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
9.081358,-10.564513,276.04944,71.50974,-0.024183527,-14.208737,1.0038704,1.0,36.929806,6.5140426e-05,-9.801674,0.6125414,1.0,2.63865,0.916815,-1.9283547,1.2357254,66.35901,-0.051886305,-13.905164,0.9431557,1.0,46.408813,0.025419893,-9.752532,0.60025585,1.0,1.0545086,-4.198872,-6.097255,11.152811,0.011461329793930053,57.3066508769989,1
6.3607554,-8.334176,270.84726,564.0751,2.7545216,-10.639765,0.29007587,1.0,220.3817,0.13011138,-9.380592,0.50727105,1.0,0.5319564,-13.737366,-25.45311,1.6220057,536.5293,2.535233,-10.814211,0.3249651,1.0,220.92523,0.047108814,-9.403097,0.512897,1.0,0.5951845,-14.028715,-25.409832,1.7168725,0.2335396324634552,1225.0048160552979,5000
25.325441,-21.160925,360.6482,612.32825,3.5630813,-10.434307,0.2489845,1.0,229.86063,0.16776755,-9.3011265,0.48740453,1.0,0.0057226513,-20.662193,-42.265343,1.0947762,629.7469,3.9208274,-10.339918,0.2301065,1.0,225.38495,0.16716571,-9.325009,0.49337533,1.0,0.030453827,-21.217163,-42.288902,1.2224907,0.23219810538291932,2385.995345592499,10000
32.387203,-22.897943,381.03125,636.8137,4.040146,-10.369078,0.23593846,1.0,259.10754,0.18781556,-9.283007,0.4828747,1.0,0.08298589,-25.55065,-56.162243,1.3438051,628.30493,3.9718742,-10.472771,0.25667697,1.0,236.40521,0.08559644,-9.316908,0.49135,1.0,0.03324695,-25.24985,-56.249573,1.4927864,0.13436368427276613,3057.8137731552124,15000
61.74518,-41.846947,588.78516,616.09436,3.7925053,-10.093009,0.18072465,1.0,230.12138,0.21227852,-9.348483,0.4992439,1.0,0.009302244,-28.167702,-67.21982,1.3293836,612.52185,3.6825204,-10.092691,0.18066125,1.0,228.67566,0.16588986,-9.322583,0.49276865,1.0,0.05356958,-29.218817,-67.18544,1.2772359,0.019885232734680177,3157.2399389743805,20000
25.790459,-27.211824,323.87915,623.42175,3.7090023,-10.187199,0.1995628,1.0,253.9079,0.22337958,-9.282618,0.4827774,1.0,0.08173304,-30.889765,-75.32592,1.2166435,662.8191,4.2990894,-10.078967,0.17791638,1.0,240.8984,0.21987692,-9.356364,0.5012139,1.0,0.04202369,-29.255339,-75.29489,1.25923,0.13613752512931823,3837.927568435669,25000
46.800922,-43.6828,536.61304,647.3827,4.331417,-10.066222,0.17536739,1.0,263.2803,0.2772565,-9.3394165,0.49697694,1.0,0.0538783,-31.35579,-81.453186,1.335992,619.68787,4.0690947,-10.077061,0.17753491,1.0,283.464,0.33624697,-9.314583,0.4907686,1.0,0.05151417,-29.746647,-81.54784,1.3447173,0.01110651125907898,3893.460126876831,30000
53.222454,-62.36081,512.687,653.7937,4.3191557,-9.99814,0.16175102,1.0,290.62955,0.31718242,-9.356589,0.5012702,1.0,0.16002859,-31.684052,-86.137985,1.4059522,645.69995,4.3267393,-10.012011,0.164525,1.0,285.71957,0.35934255,-9.3263,0.49369767,1.0,0.07267591,-33.229313,-86.16846,1.4655514,0.14997908101081847,4643.355535268784,35000
49.753277,-37.481842,491.068,644.42615,4.403577,-9.969221,0.1559671,1.0,282.57602,0.33407408,-9.268095,0.47914666,1.0,0.23281652,-33.536396,-89.87538,1.2220693,632.39844,3.976673,-9.935952,0.1493135,1.0,258.66718,0.2743651,-9.364874,0.50334156,1.0,0.013591599,-32.407036,-89.82659,1.5309803,0.012809279441833497,4707.401935577393,40000
31.838377,-29.12375,376.92758,631.1687,4.225459,-9.965942,0.15531142,1.0,259.72516,0.32635254,-9.358957,0.50186217,1.0,0.073671386,-34.041412,-92.43874,1.2510185,630.4627,4.0520854,-9.922987,0.14672045,1.0,248.5782,0.25563094,-9.291055,0.48488665,1.0,0.009650558,-34.87498,-92.343216,1.4188912,0.15653974227905273,5490.100648164749,45000
31.121851,-21.274874,274.68607,638.7401,4.1667366,-9.888096,0.13974218,1.0,246.41203,0.35939902,-9.309626,0.48952925,1.0,-0.031840514,-35.580055,-94.56676,1.5166683,615.04095,4.0120316,-9.935375,0.14919809,1.0,270.86212,0.27821892,-9.321293,0.49244627,1.0,-0.024192836,-35.490738,-94.539795,1.3575699,0.008502652072906495,5532.613911390305,50000
43.159843,-38.730156,379.01184,618.876,4.270098,-9.854385,0.13300015,1.0,267.11194,0.28661337,-9.383012,0.5078759,1.0,-0.015306529,-34.770905,-96.24863,1.1590265,656.8241,4.862301,-9.819835,0.12608986,1.0,251.00058,0.26570365,-9.356857,0.5013372,1.0,-0.03408374,-35.20417,-96.2171,1.3413346,0.18446805911064149,6454.954210519791,55000
12.975442,-11.366028,293.32086,633.7617,4.255924,-9.875671,0.13725732,1.0,273.0861,0.39086908,-9.3269,0.49384785,1.0,-0.0075507797,-35.009357,-97.36667,1.4487126,647.9171,4.502857,-9.8494835,0.13201971,1.0,275.59027,0.2738682,-9.371424,0.50497884,1.0,-0.026274946,-36.49938,-97.39641,1.4416025,0.019873315620422362,6554.320792675018,60000
80.26352,-46.321472,522.41754,626.4351,4.5311537,-9.824838,0.12709044,1.0,283.22592,0.38090658,-9.3363085,0.49620014,1.0,0.17783284,-34.652134,-98.17972,1.5912774,606.7074,4.241316,-9.818777,0.12587829,1.0,287.08258,0.39726076,-9.364451,0.5032358,1.0,0.14663216,-35.370605,-98.15433,1.5775368,0.019867504262924194,6653.658318281174,65000
35.28611,-89.21633,438.2566,604.6501,4.0520134,-9.866524,0.13542764,1.0,267.23486,0.21762842,-9.35047,0.49974024,1.0,0.078696325,-36.72159,-98.860214,1.7876108,640.68915,4.53364,-9.845192,0.1311615,1.0,284.61475,0.29924634,-9.363204,0.5029241,1.0,0.07057591,-35.062874,-98.839935,1.5252925,0.01987445411682129,6753.030592679977,70000
49.820465,-97.81467,431.07285,629.24695,4.3305254,-9.850557,0.1322345,1.0,267.43414,0.24314648,-9.338217,0.49667707,1.0,0.0389398,-35.8711,-99.335754,1.4215704,640.0906,4.3185377,-9.910907,0.14430432,1.0,274.03012,0.3187866,-9.382927,0.50785446,1.0,0.0679499,-36.147987,-99.222305,1.7538044,0.01890895700454712,6847.575380563736,75000
78.17562,-78.74686,417.56247,624.3347,4.5579367,-9.873308,0.1367846,1.0,257.0785,0.3353741,-9.302632,0.48778117,1.0,0.08613467,-35.423927,-99.821884,1.2968757,610.4004,3.7012796,-9.91143,0.14440906,1.0,278.4897,0.32009274,-9.372706,0.50529957,1.0,0.037440352,-36.734634,-99.529625,1.3232448,0.2094541042327881,7894.845903158188,80000
115.532295,-83.80356,598.93866,654.3377,4.518096,-9.83802,0.129727,1.0,260.91684,0.34308577,-9.323411,0.49297574,1.0,-0.08298346,-35.766403,-99.93265,1.4513206,640.29407,4.4501038,-9.86352,0.13482682,1.0,266.7559,0.21329048,-9.34108,0.497393,1.0,-0.016675767,-37.93261,-99.83805,1.3226094,0.01765045733451843,7983.098193883896,85000
97.51929,-118.119705,595.6603,609.84985,4.1487303,-9.850671,0.13225715,1.0,256.58408,0.2458233,-9.355624,0.50102895,1.0,0.1433944,-33.22345,-99.53454,1.7006841,664.58417,4.814079,-9.85652,0.13342683,1.0,292.77414,0.34803,-9.29263,0.48528045,1.0,0.12428492,-36.247055,-99.70224,1.7951276,0.012063697862625122,8043.416684627533,90000
81.47629,-51.52052,460.70227,644.46985,4.499467,-9.863149,0.1347528,1.0,280.13666,0.33733267,-9.374332,0.5057062,1.0,-0.0043836273,-35.56373,-99.68954,1.3095049,648.1704,4.1839857,-9.928186,0.14776032,1.0,265.5918,0.2959799,-9.389198,0.50942254,1.0,0.029505502,-35.284725,-99.60272,1.5696353,0.008509690427780152,8085.965140342712,95000
22.612007,-26.987967,282.34763,650.18665,4.6017017,-9.806873,0.123497546,1.0,239.09216,0.19890687,-9.316193,0.49117088,1.0,0.032347783,-35.657986,-99.88828,1.4462055,653.77,4.6266165,-9.86946,0.13601492,1.0,278.604,0.302797,-9.37004,0.50463295,1.0,0.028225482,-36.92164,-100.07239,1.2012734,0.009916757726669312,8135.548933029175,100000
30.409367,-35.938942,284.988,634.70874,4.2295904,-9.798643,0.12185152,1.0,275.9436,0.36758292,-9.349294,0.4994465,1.0,0.118618056,-37.05935,-100.2039,1.3405703,638.57825,4.425372,-9.798162,0.121755295,1.0,290.72794,0.36900392,-9.327765,0.49406433,1.0,0.05724606,-36.653816,-100.12208,1.268997,0.2789791715621948,9530.444794654846,105000
