training/grad/max;training/grad/min;training/grad/norm;training/high_actor/actor_loss;training/high_actor/adv;training/high_actor/bc_log_prob;training/high_actor/mse;training/high_actor/std;training/low_actor/actor_loss;training/low_actor/adv;training/low_actor/bc_log_prob;training/low_actor/mse;training/low_actor/std;training/value/v_max;training/value/v_mean;training/value/v_min;training/value/value_loss;validation/high_actor/actor_loss;validation/high_actor/adv;validation/high_actor/bc_log_prob;validation/high_actor/mse;validation/high_actor/std;validation/low_actor/actor_loss;validation/low_actor/adv;validation/low_actor/bc_log_prob;validation/low_actor/mse;validation/low_actor/std;validation/value/v_max;validation/value/v_mean;validation/value/v_min;validation/value/value_loss;time/epoch_time;time/total_time;step
19.10623;-18.822508;396.0589;109.49019;0.021377997;-13.98094;0.9583109;1.0;41.7265;0.017420162;-9.312899;0.4903477;1.0;3.3772058;1.0669527;-1.6988277;0.9797348;86.46457;0.02309158;-13.606873;0.8834974;1.0;34.08578;0.010862673;-9.270851;0.4798355;1.0;1.1056508;-3.9048386;-5.41706;9.556096;0.0004874228263853813;54.158039569854736;1
17.831415;-26.095295;345.94168;585.8131;3.3937962;-9.864056;0.13493402;1.0;172.14102;0.317317;-7.603111;0.062900625;1.0;0.06333683;-35.92796;-101.581406;1.6780074;644.2433;4.089391;-9.904887;0.14310056;1.0;178.41574;0.35032153;-7.676298;0.081197515;1.0;0.09046416;-35.226868;-101.7655;1.8216724;0.011040546635486821;1280.8842220306396;111112
25.030106;-44.597878;465.68835;621.28876;4.142453;-9.731012;0.108325504;1.0;179.83176;0.3672909;-7.601779;0.06256781;1.0;0.17046322;-35.494995;-102.18872;2.1198764;603.53375;3.8345156;-9.85318;0.1327591;1.0;185.1336;0.30940107;-7.7063656;0.088714376;1.0;0.13883947;-36.794613;-101.13864;3.8983464;0.006782635342463147;2034.509621143341;222223
13.000614;-18.189613;237.37233;607.7415;3.823982;-9.669014;0.09592571;1.0;180.9875;0.40545243;-7.611205;0.064924255;1.0;0.091338456;-35.901695;-100.89194;1.4556344;621.6142;3.7702057;-9.799194;0.12196181;1.0;181.36092;0.4183484;-7.695363;0.08596366;1.0;0.12016467;-37.1261;-101.201035;1.7389992;0.006193309478669815;2722.654433488846;333334
19.178623;-24.699791;304.33203;585.08527;3.5309937;-9.827985;0.12771997;1.0;166.68156;0.29948026;-7.5931225;0.060403563;1.0;0.0746778;-35.548004;-105.40572;2.5586262;633.31024;4.0083947;-9.992512;0.16062544;1.0;172.91504;0.30793977;-7.722336;0.09270698;1.0;0.075143285;-36.675457;-100.88826;2.3721888;0.006142477526525988;3405.151257753372;444445
30.049095;-31.90908;305.38013;592.28723;3.6548002;-9.6190815;0.08593925;1.0;178.376;0.39493686;-7.5803533;0.057211258;1.0;0.16547027;-37.35484;-101.45302;1.6118329;637.2499;4.1025715;-9.737146;0.10955211;1.0;188.64694;0.38123357;-7.702452;0.08773607;1.0;0.19880566;-37.82428;-100.46028;2.306214;0.00601593331281022;4073.5876264572144;555556
15.484247;-10.821137;227.99376;629.9219;4.399852;-9.599035;0.08193002;1.0;185.56418;0.41844034;-7.5782595;0.056687795;1.0;0.049912788;-37.997604;-100.70273;1.8488073;641.4498;4.469803;-9.7200165;0.10612631;1.0;195.97334;0.43289328;-7.7200394;0.092132844;1.0;0.20882435;-36.773026;-100.2677;1.4730833;0.006100306751380207;4751.398812294006;666667
21.421406;-25.745956;298.00696;619.48376;4.3365436;-9.583924;0.07890779;1.0;166.66653;0.306298;-7.5906925;0.059796207;1.0;0.3340538;-38.38018;-100.44942;2.2432585;619.07794;3.98539;-9.771455;0.116413884;1.0;190.29715;0.3622515;-7.722325;0.09270422;1.0;0.1299443;-37.834114;-100.36935;2.762255;0.006054429863481377;5424.112572431564;777778
23.927418;-45.873116;331.49597;598.7989;3.731238;-9.568436;0.07580989;1.0;184.46715;0.33619845;-7.5865345;0.058756582;1.0;0.29147238;-39.481483;-100.654755;2.8397188;611.4756;3.7131186;-9.769818;0.11608666;1.0;171.79633;0.38319218;-7.717202;0.09142353;1.0;0.42865002;-36.088127;-100.365364;2.503654;0.006064458249612211;6097.940596818924;888889
15.38155;-6.988415;197.25095;601.59705;4.022928;-9.57233;0.07658913;1.0;168.34274;0.4116428;-7.5833797;0.057968;1.0;0.33893615;-37.427837;-104.28848;1.0956069;634.27856;3.8265977;-9.684755;0.09907404;1.0;183.1144;0.3807845;-7.7015023;0.087498575;1.0;0.10676019;-38.610584;-99.94841;2.421236;0.005994859445873011;6764.035427808762;1000000
