training/grad/max,training/grad/min,training/grad/norm,training/high_actor/actor_loss,training/high_actor/adv,training/high_actor/bc_log_prob,training/high_actor/mse,training/high_actor/std,training/low_actor/actor_loss,training/low_actor/adv,training/low_actor/bc_log_prob,training/low_actor/mse,training/low_actor/std,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/high_actor/actor_loss,validation/high_actor/adv,validation/high_actor/bc_log_prob,validation/high_actor/mse,validation/high_actor/std,validation/low_actor/actor_loss,validation/low_actor/adv,validation/low_actor/bc_log_prob,validation/low_actor/mse,validation/low_actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
11.646509,-18.917511,287.45892,87.9586,-0.015257278,-14.203789,1.0028807,1.0,46.919357,0.01693041,-9.401429,0.51248026,1.0,2.104787,-0.7465743,-2.3972216,1.2095866,84.81697,-0.015210391,-13.515808,0.86528456,1.0,35.822556,0.011149748,-9.29291,0.4853503,1.0,0.8922856,-5.4578643,-7.403824,15.421544,0.011571705484390259,57.858529806137085,1
28.465374,-19.743296,393.7515,698.5646,5.483597,-10.170448,0.19621253,1.0,139.06853,0.11641187,-7.8286285,0.1192801,1.0,0.026689064,-13.763147,-26.081112,0.9129715,682.0131,5.2516975,-10.267646,0.21565218,1.0,130.24986,0.09108456,-7.8379064,0.12159957,1.0,0.2007792,-13.795061,-26.253416,0.740296,0.2519006895065308,1317.361979007721,5000
125.186295,-113.132355,944.0586,815.67993,7.234721,-10.012812,0.1646853,1.0,177.81949,0.15173,-7.7735343,0.105506554,1.0,0.012617325,-20.392256,-44.17856,1.0203923,826.8848,7.2026825,-10.00499,0.1631209,1.0,178.54968,0.14362305,-7.760109,0.10215013,1.0,0.04901579,-20.022577,-44.266182,1.5564898,0.2328343502521515,2481.5337314605713,10000
122.994934,-119.217575,797.1426,806.2301,7.6654797,-9.955963,0.15331571,1.0,178.46365,0.18895935,-7.716228,0.091180004,1.0,0.042191647,-23.417086,-57.77562,1.1060736,849.6735,8.275829,-9.907054,0.14353366,1.0,175.45483,0.14195764,-7.713932,0.090605915,1.0,0.033734318,-23.897348,-57.76825,1.6188209,0.11845853004455566,3073.8263862133026,15000
21.418682,-21.616926,293.02808,842.88776,8.481609,-9.850814,0.13228583,1.0,158.0839,0.15146649,-7.69399,0.08562044,1.0,0.06682779,-26.53622,-67.92099,1.0855975,831.935,8.500006,-9.833225,0.12876801,1.0,176.27063,0.22905836,-7.7121706,0.090165496,1.0,0.081394576,-25.267773,-67.898735,1.0747156,0.014435363340377807,3146.0032052993774,20000
52.221523,-66.96333,616.8459,847.3858,8.462094,-9.861988,0.13452059,1.0,182.19711,0.1930866,-7.684942,0.08335843,1.0,0.13394779,-27.700356,-75.542496,1.1651748,834.0153,8.548315,-9.945892,0.15130143,1.0,186.34106,0.28146487,-7.7099047,0.08959922,1.0,0.18794665,-26.886957,-75.295166,1.6670504,0.12895989618301393,3790.8026881217957,25000
102.547615,-53.17065,609.77185,833.1582,8.218109,-9.840088,0.13014065,1.0,179.62167,0.25200415,-7.6907945,0.08482155,1.0,0.2518356,-28.722864,-81.1082,2.0508282,844.20496,8.397025,-9.837215,0.1295659,1.0,182.35342,0.2656042,-7.6948204,0.08582811,1.0,0.16888197,-28.22541,-79.68939,3.6947508,0.010928455305099487,3845.444968700409,30000
27.769766,-41.42562,502.74887,838.001,9.132336,-9.897293,0.14158162,1.0,184.02608,0.18026513,-7.667073,0.07889113,1.0,0.07165384,-29.478706,-84.51435,1.9473705,839.0704,8.7743225,-9.83556,0.12923506,1.0,193.85437,0.3317763,-7.693839,0.085582815,1.0,0.03242179,-28.138485,-84.703705,1.2741776,0.13602682642936706,4525.579105377197,35000
59.003517,-43.88372,504.80426,852.9237,9.351923,-9.842459,0.13061483,1.0,172.65575,0.15844461,-7.6612773,0.07744232,1.0,0.2568923,-30.737188,-87.71304,1.129379,846.15234,9.232655,-9.803726,0.12286816,1.0,188.08562,0.35685128,-7.68954,0.084507935,1.0,0.13873865,-29.745056,-86.65275,5.0850477,0.010765531969070435,4579.406767845154,40000
45.57483,-35.291634,398.24173,842.5121,9.119399,-9.721347,0.106392376,1.0,176.23438,0.3184744,-7.6528435,0.0753338,1.0,0.11639642,-30.673859,-89.7961,1.2895482,835.809,8.95174,-9.734827,0.10908816,1.0,188.47179,0.248254,-7.685112,0.083400995,1.0,0.100014105,-32.09786,-89.7166,1.2603264,0.1326370771408081,5242.592156648636,45000
