training/grad/max;training/grad/min;training/grad/norm;training/high_actor/actor_loss;training/high_actor/adv;training/high_actor/bc_log_prob;training/high_actor/mse;training/high_actor/std;training/low_actor/actor_loss;training/low_actor/adv;training/low_actor/bc_log_prob;training/low_actor/mse;training/low_actor/std;training/value/v_max;training/value/v_mean;training/value/v_min;training/value/value_loss;validation/high_actor/actor_loss;validation/high_actor/adv;validation/high_actor/bc_log_prob;validation/high_actor/mse;validation/high_actor/std;validation/low_actor/actor_loss;validation/low_actor/adv;validation/low_actor/bc_log_prob;validation/low_actor/mse;validation/low_actor/std;validation/value/v_max;validation/value/v_mean;validation/value/v_min;validation/value/value_loss;time/epoch_time;time/total_time;step
28.070263;-46.81599;817.8881;262.6737;-0.008558491;-14.205772;1.0032774;1.0;307.88025;0.0147898905;-24.414047;0.48727024;1.0;3.935349;0.23385394;-2.8165429;1.8792349;242.03554;0.038724966;-14.114641;0.98505116;1.0;218.96637;-0.017368603;-24.010765;0.44886258;1.0;1.0519793;-1.6812195;-4.632935;2.7346802;0.0005407602947027844;60.08442211151123;1
9.741252;-6.474106;187.98;535.3887;2.5773082;-9.405333;0.043189373;1.0;513.4056;0.6161197;-20.085663;0.075043365;1.0;0.1489076;-38.224106;-94.911835;0.8035222;548.944;2.7824125;-9.444531;0.051029276;1.0;473.60822;0.5752562;-20.122248;0.078527465;1.0;0.12530816;-37.404984;-92.46537;0.6181407;0.015383954795356545;1769.4110276699066;111112
7.512082;-4.6932635;258.00897;577.07153;3.0341876;-9.519806;0.06608428;1.0;429.20282;0.5578038;-20.076897;0.074208476;1.0;0.25450832;-40.470238;-92.466965;1.2735815;575.45605;3.1617553;-9.604666;0.08305614;1.0;429.88068;0.5827192;-20.124168;0.07871033;1.0;0.30383876;-42.10514;-94.280106;0.8346039;0.007578129444832478;2611.424572467804;222223
6.727848;-8.665126;228.76482;575.4189;3.1859517;-9.590935;0.08030988;1.0;377.83417;0.538016;-20.031054;0.06984224;1.0;0.21201038;-40.79134;-103.66527;0.7004062;604.43634;3.291379;-9.75038;0.11219883;1.0;416.52298;0.5757004;-20.065256;0.0730998;1.0;0.21644379;-42.089855;-98.93284;0.68896604;0.006660043146668818;3351.4286296367645;333334
8.548705;-7.099178;244.66803;578.1202;3.0525916;-9.65223;0.092569016;1.0;459.62094;0.61975425;-20.035585;0.07027392;1.0;0.14367129;-42.94664;-101.451416;0.8995167;588.8441;3.0752826;-9.870239;0.13617091;1.0;476.38776;0.63695;-20.095007;0.07593325;1.0;0.15890327;-41.614143;-99.45413;0.8831862;0.006657959439398267;4091.2011659145355;444445
8.292127;-6.3500566;241.31087;546.53186;2.7328756;-9.70759;0.10364111;1.0;477.59842;0.63178134;-20.014835;0.06829763;1.0;0.2615354;-43.326275;-103.14708;0.6888933;573.3329;3.0718503;-9.881756;0.13847406;1.0;449.89056;0.6417104;-20.072496;0.07378937;1.0;0.25608206;-42.159348;-98.91239;0.85461986;0.006634793097576911;4828.399666786194;555556
6.2216454;-5.6961536;240.53304;595.4617;3.2768192;-9.708729;0.103868626;1.0;337.6563;0.58378017;-20.002838;0.0671551;1.0;0.12667774;-40.4669;-103.61455;0.95510644;607.6669;3.55472;-9.945998;0.15132259;1.0;389.6466;0.6233406;-20.074173;0.07394883;1.0;0.08657001;-44.4871;-99.68849;0.7802486;0.006652585409394644;5567.575089216232;666667
9.0335245;-8.254979;237.01895;552.277;3.0402718;-9.71315;0.1047529;1.0;384.3749;0.57250226;-20.016758;0.06848084;1.0;0.19406994;-42.55828;-102.168205;0.6085795;591.22723;3.3857708;-9.92536;0.14719504;1.0;381.2901;0.60791606;-20.048523;0.07150613;1.0;0.09539646;-43.769997;-99.28389;0.55034035;0.0067043918498176465;6312.506776571274;777778
6.3091016;-8.23731;270.54233;552.98694;2.8108315;-9.777164;0.11755591;1.0;418.49042;0.634947;-20.005531;0.06741157;1.0;0.12863041;-45.428116;-102.17813;0.52293503;596.7416;3.0535846;-10.023463;0.1668155;1.0;445.691;0.6446707;-20.079239;0.074431516;1.0;0.2156733;-43.450195;-96.033905;0.47975546;0.0066813424846128245;7054.877425670624;888889
5.1533847;-7.0699253;247.18777;584.0237;3.2536552;-9.728706;0.10786426;1.0;424.8745;0.6324095;-19.981827;0.065154165;1.0;0.06703204;-40.41636;-100.248795;0.5556242;586.187;3.3413076;-9.957446;0.15361215;1.0;421.7391;0.64463294;-20.083652;0.07485175;1.0;0.05171241;-43.754135;-97.93575;0.6847467;0.0066908520558995105;7798.304693222046;1000000
