training/grad/max;training/grad/min;training/grad/norm;training/high_actor/actor_loss;training/high_actor/adv;training/high_actor/bc_log_prob;training/high_actor/mse;training/high_actor/std;training/low_actor/actor_loss;training/low_actor/adv;training/low_actor/bc_log_prob;training/low_actor/mse;training/low_actor/std;training/value/v_max;training/value/v_mean;training/value/v_min;training/value/value_loss;validation/high_actor/actor_loss;validation/high_actor/adv;validation/high_actor/bc_log_prob;validation/high_actor/mse;validation/high_actor/std;validation/low_actor/actor_loss;validation/low_actor/adv;validation/low_actor/bc_log_prob;validation/low_actor/mse;validation/low_actor/std;validation/value/v_max;validation/value/v_mean;validation/value/v_min;validation/value/value_loss;time/epoch_time;time/total_time;step
3.987067;-3.6786995;94.27019;27.166859;0.00025996892;-14.10197;0.98251694;1.0;2.3305802;-0.001723623;-2.3358998;0.49802268;1.0;0.5801858;-1.6699911;-2.6163173;1.4230088;23.189236;-0.008984908;-13.667695;0.895662;1.0;2.4992533;0.0016432097;-2.3331175;0.49524042;1.0;0.57292527;-1.5273376;-3.435796;20.84261;0.00028453637252617966;31.61512303352356;1
8.434632;-10.215453;221.04413;550.89813;4.0175915;-10.166194;0.19536178;1.0;52.111626;0.68464667;-2.1188464;0.28096938;1.0;0.23592566;-34.570328;-95.96835;0.9764246;569.89246;4.7193265;-10.186125;0.19934784;1.0;56.64009;0.7411492;-2.1130686;0.27519166;1.0;0.25038713;-35.568405;-96.54498;0.9691072;0.005433135003857584;635.2961888313293;111112
5.4901304;-5.289919;126.09144;549.83704;3.9337735;-10.256163;0.21335542;1.0;47.64949;0.69320035;-2.1333022;0.29542542;1.0;0.22311592;-34.55797;-94.96029;0.9682154;556.3872;4.0140247;-10.212427;0.20460849;1.0;49.905735;0.61995876;-2.1261451;0.2882682;1.0;0.23129739;-33.153854;-95.897255;1.0034671;0.003411221710849015;1014.3204481601715;222223
9.195836;-4.9300456;159.90768;586.60114;5.050833;-10.162451;0.1946132;1.0;54.682835;0.66726327;-2.1415854;0.30370814;1.0;0.09203535;-34.640774;-93.02749;1.1605973;539.97284;3.6604428;-10.338301;0.22978306;1.0;55.20812;0.68084115;-2.1118886;0.27401173;1.0;0.13792026;-33.133965;-93.97586;1.2207613;0.003273887437982363;1378.08535861969;333334
7.156342;-5.571614;117.87921;560.42914;4.2051954;-10.244624;0.21104784;1.0;52.00665;0.7169142;-2.103405;0.26552796;1.0;0.10737319;-34.535175;-94.92316;0.81360626;527.3014;3.3520598;-10.314997;0.22512221;1.0;49.859337;0.63582385;-2.107593;0.269716;1.0;0.0720981;-33.802017;-93.3824;0.9918133;0.003272539038663764;1741.7004480361938;444445
9.38442;-7.616482;185.88808;569.3364;4.361309;-10.221441;0.20641127;1.0;55.590897;0.65759635;-2.1056247;0.26774782;1.0;0.40715748;-33.072685;-95.0782;1.0660197;564.39294;4.3749714;-10.218796;0.20588212;1.0;53.427338;0.7308801;-2.107885;0.27000773;1.0;0.37643003;-34.627045;-97.28659;1.0778277;0.0032607104035402984;2104.00124502182;555556
17.871153;-11.047138;155.8415;574.2031;4.7568936;-10.139435;0.19000982;1.0;50.250904;0.67179096;-2.1065183;0.2686414;1.0;0.1766704;-37.179256;-93.1429;0.8985411;584.1006;4.318652;-10.21056;0.20423494;1.0;49.962902;0.6888524;-2.1182353;0.2803583;1.0;0.075763375;-35.334812;-93.4449;0.7827219;0.003289199313378772;2469.467472076416;666667
7.144597;-8.722266;120.75109;557.8838;4.6468773;-10.216823;0.20548753;1.0;49.885406;0.6947142;-2.1080434;0.27016637;1.0;0.24823076;-35.876236;-93.64833;0.9896898;557.4225;4.2289796;-10.222376;0.20659809;1.0;53.222786;0.68773437;-2.1301837;0.29230672;1.0;0.34049207;-33.701904;-94.04067;0.9043907;0.0032963796842142333;2835.731518983841;777778
8.650724;-5.367826;109.53186;576.335;4.5871897;-10.157552;0.19363336;1.0;50.770466;0.643746;-2.1079419;0.27006477;1.0;0.04292675;-35.135765;-93.87827;0.94592893;562.6718;4.3353157;-10.183214;0.19876575;1.0;49.94085;0.6622982;-2.1258597;0.28798246;1.0;0.11891059;-35.90221;-90.516884;0.92408895;0.0032845956446153285;3200.6862292289734;888889
48.32135;-35.698296;481.0583;587.5835;4.707123;-10.119318;0.18598653;1.0;44.845795;0.6123547;-2.1211777;0.28330046;1.0;0.13873723;-36.10878;-95.531525;1.5358902;556.322;3.7551775;-10.20936;0.20399515;1.0;49.918663;0.6448908;-2.1187298;0.28085294;1.0;0.12760106;-33.638206;-94.175575;0.878851;0.0033381314249367688;3571.589354276657;1000000
