training/actor/actor_loss;training/actor/adv;training/actor/bc_log_prob;training/actor/mse;training/actor/std;training/grad/max;training/grad/min;training/grad/norm;training/value/d_neg_loss;training/value/d_neg_max;training/value/d_neg_mean;training/value/d_neg_min;training/value/d_pos_loss;training/value/d_pos_max;training/value/d_pos_mean;training/value/d_pos_min;training/value/lam;training/value/lam_loss;training/value/total_loss;training/value/value_loss;validation/actor/actor_loss;validation/actor/adv;validation/actor/bc_log_prob;validation/actor/mse;validation/actor/std;validation/value/d_neg_loss;validation/value/d_neg_max;validation/value/d_neg_mean;validation/value/d_neg_min;validation/value/d_pos_loss;validation/value/d_pos_max;validation/value/d_pos_mean;validation/value/d_pos_min;validation/value/lam;validation/value/lam_loss;validation/value/total_loss;validation/value/value_loss;time/epoch_time;time/total_time;step
173.81308;-0.0046662064;-9.372196;0.50517184;1.0;22.960785;-52.226078;712.13086;483.95978;29.556086;16.835943;0.40190503;52.276077;25.343397;6.564437;0.009749419;1.0;-52.226078;484.00977;536.23584;123.04706;0.016451228;-9.343531;0.4980056;1.0;485.64908;29.585194;15.133222;0.041878536;30.799849;23.94201;4.8984547;0.0073200394;1.0003;-30.759075;485.69913;516.4582;0.00022071574157450622;24.52394938468933;1
116.92168;0.34890658;-7.6106367;0.06478217;1.0;265.60233;-291.62784;2468.4395;191.1326;1357.8153;425.03784;2.1745832;0.05039227;2.3989258;0.78666013;0.0011923587;538.2052;-0.2111214;218.04286;218.25398;105.71861;0.28004247;-7.6622505;0.07768557;1.0;185.58565;1454.7515;434.98404;0.029715782;0.047972504;2.6878154;0.73154676;0.0035992227;538.1996;1.0911978;212.49564;211.40443;0.00996921854279833;1132.2137942314148;111112
122.031555;0.311756;-7.5969386;0.061357606;1.0;169.27264;-146.65927;1329.6265;180.84653;1868.7716;480.2621;2.5406337;0.05584864;2.616625;0.80565727;0.001038699;529.78125;-3.098499;207.33559;210.43408;111.63699;0.3117992;-7.677985;0.08161938;1.0;182.09427;1801.0695;500.38586;0.2765828;0.060177706;2.9812472;0.74699545;0.0006954091;529.826;-5.3924127;208.58557;213.97798;0.004835371741060981;1669.4767880439758;222223
116.3426;0.3082216;-7.605124;0.06340398;1.0;128.60133;-82.53485;944.14294;182.77173;2084.9763;489.93085;1.5793089;0.042901184;2.0798714;0.803586;0.0024853924;527.87146;3.7472625;209.16531;205.41805;114.752686;0.28358665;-7.670263;0.07968873;1.0;172.4994;2117.7578;521.658;0.041602436;0.09499814;7.084465;0.7779683;0.00030926877;527.8475;-23.752155;198.89178;222.64394;0.004263076550397641;2143.1514921188354;333334
115.98343;0.31460208;-7.5941663;0.060664576;1.0;135.74081;-142.23929;1200.1349;173.4531;2326.1057;535.99146;2.4990256;0.04588241;2.067365;0.80147326;0.0011056302;533.6704;2.1974356;200.13661;197.93918;123.065475;0.32120323;-7.687787;0.0840698;1.0;179.08412;2435.3594;529.9829;0.09850099;0.07803111;3.7631893;0.80355513;0.001801885;533.6605;-14.959095;205.76715;220.72624;0.004247206036823575;2615.062805891037;444445
119.57605;0.3335129;-7.588581;0.05926816;1.0;96.3246;-114.84706;1027.4401;165.989;2211.0432;535.6734;0.5540688;0.04558201;2.184811;0.7959355;0.0023149233;517.0736;2.2844257;191.84268;189.55826;113.07309;0.2940864;-7.6825323;0.0827561;1.0;166.33063;2499.9956;581.02966;0.058676623;0.26231533;10.566965;0.7976984;0.0010649483;517.0822;-109.784485;192.18475;301.96924;0.004229205119746196;3084.974020242691;555556
127.136536;0.38084656;-7.593603;0.06052384;1.0;130.07716;-180.45673;1196.611;171.71269;2596.4458;571.10364;0.9896142;0.049198043;2.4188564;0.82932806;0.0010067975;516.6704;0.41434804;197.54622;197.13187;114.58913;0.28611892;-7.6796436;0.0820339;1.0;169.24063;2736.061;597.1078;0.031443775;0.15021166;5.6164455;0.7881672;0.0003236634;516.7179;-51.781162;195.07652;246.85768;0.004257478474178075;3558.026716709137;666667
115.504456;0.32760555;-7.597162;0.0614134;1.0;107.092606;-58.19004;727.362;165.66638;2685.7375;579.8425;1.5774813;0.046456728;2.1307445;0.79377794;0.0021818185;519.0305;1.8390666;191.6179;189.77884;121.006744;0.2869287;-7.6755667;0.08101463;1.0;168.17154;2615.8206;596.74963;0.019635925;0.16028148;8.554492;0.8099533;0.00033247276;518.97504;-57.233337;194.12029;251.35362;0.0042235051173363704;4027.304599046707;777778
116.0745;0.30618495;-7.591484;0.059994064;1.0;63.877007;-72.55976;718.3716;165.58948;2523.1685;571.00507;0.019958239;0.043596968;2.0667815;0.81480086;0.00045295063;517.26666;3.3120754;191.4528;188.14073;124.549835;0.3281945;-7.7017217;0.08755336;1.0;172.11604;2794.5435;592.42444;0.1305816;0.13332893;6.5357633;0.81049234;0.00048672766;517.2711;-43.10365;197.9796;241.08325;0.004248360005834905;4499.344131469727;888889
123.532524;0.31035742;-7.6009455;0.062359367;1.0;70.66055;-73.871025;814.10126;164.53586;2757.4875;595.50073;0.012921687;0.052181795;2.137942;0.801492;0.002041511;513.6683;-1.1207186;190.21928;191.34;124.2597;0.31876117;-7.720155;0.09216164;1.0;165.89566;2875.3748;620.86707;3.083523;0.2684551;14.218112;0.8095966;0.00032625638;513.7045;-112.22137;191.58087;303.80225;0.0042434266675046555;4970.835515260696;1000000
