training/actor/actor_loss;training/actor/adv;training/actor/bc_log_prob;training/actor/mse;training/actor/std;training/grad/max;training/grad/min;training/grad/norm;training/value/d_neg_loss;training/value/d_neg_max;training/value/d_neg_mean;training/value/d_neg_min;training/value/d_pos_loss;training/value/d_pos_max;training/value/d_pos_mean;training/value/d_pos_min;training/value/lam;training/value/lam_loss;training/value/total_loss;training/value/value_loss;validation/actor/actor_loss;validation/actor/adv;validation/actor/bc_log_prob;validation/actor/mse;validation/actor/std;validation/value/d_neg_loss;validation/value/d_neg_max;validation/value/d_neg_mean;validation/value/d_neg_min;validation/value/d_pos_loss;validation/value/d_pos_max;validation/value/d_pos_mean;validation/value/d_pos_min;validation/value/lam;validation/value/lam_loss;validation/value/total_loss;validation/value/value_loss;time/epoch_time;time/total_time;grad/value_cosine_similarity_mean;grad/actor_cosine_similarity_mean;grad/value_cosine_similarity_std;grad/actor_cosine_similarity_std;grad/value_magnitude_similarity_mean;grad/actor_magnitude_similarity_mean;grad/value_magnitude_similarity_std;grad/actor_magnitude_similarity_std;grad/value_scale_mean;grad/actor_scale_mean;grad/value_scale_std;grad/actor_scale_std;feature/embedding_rank;step
311.56973;0.13174897;-9.811427;0.6149798;1.0;23.77106;-102.40197;1018.7381;482.0935;30.829586;18.71688;4.222948;102.45197;30.361887;9.939066;2.354578;1.0;-102.40197;482.1435;584.5455;261.65475;0.069620915;-9.761963;0.6026138;1.0;483.48846;29.76752;17.310886;4.15958;75.641426;27.280891;8.340672;1.8498094;1.0003;-75.614105;483.53848;559.1526;0.00015125363621800694;16.80594491958618;0.06659334;-0.00018867967;0.077609584;0.24953127;0.6209496;0.20627931;0.29242513;0.31165132;995.5278;770.41266;1091.709;1395.3782;228;1
89.01715;0.1676727;-9.314838;0.49083263;1.0;272.54346;-282.22824;2227.1494;168.11642;932.64557;411.2659;2.5631886;0.06118502;2.9522717;0.6329366;0.0011254936;767.851;-8.588429;206.50899;215.09741;86.04388;0.16379447;-9.354322;0.5007036;1.0;169.938;941.32654;408.75177;0.9714086;0.060010076;2.973072;0.623915;0.0012972422;767.989;-7.6876273;208.33746;216.02509;0.016118628919227065;1807.7629256248474;0.1399984;5.1152806e-06;0.39501682;0.06202897;0.47773457;0.3901287;0.38840663;0.34424588;18931.586;285.60873;87829.87;843.2532;14;111112
72.08356;0.123699985;-9.325895;0.49359706;1.0;268.80255;-431.19775;1900.0677;158.4502;981.737;423.49164;0.9321469;0.042854406;3.0293133;0.6047615;0.0010230878;752.4571;5.3767533;196.07304;190.69629;62.247093;0.11725958;-9.376881;0.50634325;1.0;165.50568;953.6188;413.30353;0.9660438;0.040989265;3.2274823;0.5909714;0.0028858813;752.4223;6.7798786;203.12679;196.34691;0.01156060580055598;3092.273399591446;0.13454121;-7.5842625e-05;0.38574937;0.052738916;0.43946376;0.3738569;0.38340154;0.34378168;17311.63;426.35544;67962.3;1185.196;16;222223
72.28133;0.12702018;-9.333098;0.49539754;1.0;288.67783;-236.23279;1629.7529;162.31688;1187.3398;425.60916;0.78284657;0.04118253;2.7705042;0.6134815;0.0024292413;734.0821;6.472748;199.02098;192.54823;76.33888;0.15250373;-9.390351;0.50971085;1.0;161.0748;1134.8485;427.98187;1.4126215;0.043119766;2.794754;0.61863184;0.002873782;734.023;5.0502505;197.77594;192.7257;0.012334508817596358;4462.773015975952;0.13826497;1.9512097e-05;0.36762592;0.048953317;0.4455105;0.36333084;0.38733348;0.34015623;16796.617;473.74548;67120.055;1266.4784;20;333334
84.62318;0.17538856;-9.345106;0.49839962;1.0;227.36166;-195.02486;1376.0599;154.41925;1357.9194;443.6202;3.3457918;0.044620674;2.7915053;0.6203654;0.0037384569;721.2921;3.880066;190.48386;186.60379;84.22468;0.19026479;-9.398602;0.5117732;1.0;163.13979;1379.029;434.67743;2.5287218;0.051990755;3.1919873;0.6303732;0.0014499064;721.2639;-1.4358591;199.20299;200.63884;0.012321111028548545;5831.783988952637;0.12336292;-1.904699e-05;0.3597373;0.048016373;0.44014156;0.35582393;0.38601676;0.34050682;15901.027;534.68665;59260.48;1549.9902;22;444445
79.671814;0.13665646;-9.272869;0.48034012;1.0;278.21194;-229.76474;1588.971;160.32114;1391.8824;442.43524;2.0841675;0.055144742;2.6824322;0.6406239;0.005578432;720.2998;-3.7057562;196.33614;200.04189;87.470795;0.18600374;-9.384454;0.5082364;1.0;157.34592;1428.841;438.4162;1.0358311;0.05079042;3.1132789;0.6234013;0.002413323;720.3373;-0.5693697;193.3628;193.93216;0.012296225281740876;7198.029882907867;0.12027969;0.00047731705;0.34903762;0.04712053;0.4315507;0.355592;0.38554406;0.33920014;18661.307;561.2312;78466.5;1608.8501;24;555556
77.34392;0.16555081;-9.345249;0.49843508;1.0;310.7588;-200.91959;1589.6404;153.09323;1520.7515;452.16544;0.88695943;0.03940407;3.0253243;0.6271355;0.0015285265;722.2241;7.652638;189.20444;181.5518;79.89751;0.16470544;-9.393452;0.5104861;1.0;153.0044;1567.667;456.46988;2.194726;0.06099975;3.351185;0.6292217;0.0013095478;722.21967;-7.944236;189.11539;197.05962;0.012285902775004185;8563.128832101822;0.11592421;0.00041756645;0.34753552;0.046230264;0.4264337;0.35047752;0.38575134;0.33802402;17207.828;637.7005;81262.63;1974.4335;24;666667
78.956726;0.16721699;-9.321697;0.49254727;1.0;580.3491;-265.39603;2187.6665;155.69983;1471.9893;443.98932;6.260775;0.06498882;3.6877196;0.63143176;0.0016479046;712.0642;-10.673003;191.30304;201.97604;83.08871;0.14590581;-9.416632;0.51628083;1.0;156.40753;1572.3167;448.547;1.7686388;0.051435567;2.9743896;0.64401895;0.0035409243;712.1223;-1.022299;192.01366;193.03595;0.012239833591838598;9923.108988523483;0.12958618;0.0012969417;0.3554945;0.045411687;0.4229535;0.35371473;0.38246486;0.34020504;13391.64;649.04083;57153.6;1913.0957;25;777778
81.57232;0.12025203;-9.338621;0.49677816;1.0;352.86652;-404.41385;1824.2164;144.9011;1592.9655;470.85815;1.2514311;0.06817406;3.4221725;0.663247;0.0009893803;704.2764;-12.79956;180.11491;192.91447;87.451195;0.16445127;-9.42407;0.5181405;1.0;163.34723;1414.7632;439.15848;1.6620173;0.052921794;2.6085176;0.64516467;0.003795881;704.3318;-2.057912;198.56383;200.62173;0.012212796256346747;11280.084999799728;0.124934904;0.00086825405;0.35230964;0.04597009;0.4292384;0.3530571;0.3825141;0.34007776;14981.664;697.03876;61792.035;2344.157;26;888889
75.28027;0.12126141;-9.359282;0.50194323;1.0;225.26697;-229.5918;1288.3042;158.62273;1576.177;445.75806;1.7088994;0.04547404;2.7425463;0.6285039;0.0024902844;700.8376;3.1719625;193.66461;190.49265;76.35397;0.12922268;-9.405003;0.51337373;1.0;159.90399;1623.0272;446.53058;0.78465956;0.05006046;4.0695243;0.6174253;0.00075399113;700.775;-0.042367272;194.94273;194.9851;0.01207399865460893;12621.639072418213;0.12979384;0.0003630772;0.36074957;0.045632817;0.42637634;0.35763422;0.38405564;0.34180903;13184.704;647.8367;47384.76;2297.3635;26;1000000
