training/actor/actor_loss;training/actor/adv;training/actor/bc_log_prob;training/actor/mse;training/actor/std;training/grad/max;training/grad/min;training/grad/norm;training/value/d_neg_loss;training/value/d_neg_max;training/value/d_neg_mean;training/value/d_neg_min;training/value/d_pos_loss;training/value/d_pos_max;training/value/d_pos_mean;training/value/d_pos_min;training/value/lam;training/value/lam_loss;training/value/total_loss;training/value/value_loss;validation/actor/actor_loss;validation/actor/adv;validation/actor/bc_log_prob;validation/actor/mse;validation/actor/std;validation/value/d_neg_loss;validation/value/d_neg_max;validation/value/d_neg_mean;validation/value/d_neg_min;validation/value/d_pos_loss;validation/value/d_pos_max;validation/value/d_pos_mean;validation/value/d_pos_min;validation/value/lam;validation/value/lam_loss;validation/value/total_loss;validation/value/value_loss;time/epoch_time;time/total_time;grad/value_cosine_similarity_mean;grad/actor_cosine_similarity_mean;grad/value_cosine_similarity_std;grad/actor_cosine_similarity_std;grad/value_magnitude_similarity_mean;grad/actor_magnitude_similarity_mean;grad/value_magnitude_similarity_std;grad/actor_magnitude_similarity_std;grad/value_scale_mean;grad/actor_scale_mean;grad/value_scale_std;grad/actor_scale_std;feature/embedding_rank;step
293.02582;0.22506191;-9.586012;0.5586261;1.0;20.047264;-101.24437;1109.1147;482.64178;29.42847;18.164047;5.156965;101.29437;28.104074;9.763449;0.011923302;1.0;-101.24437;482.69177;583.93616;208.71594;-0.047645297;-9.481528;0.53250504;1.0;484.56656;28.617355;16.224022;1.4668999;66.56233;26.090677;7.7621784;0.012506444;1.0003;-66.53229;484.61658;551.14886;0.00014318248142024387;15.909152746200562;0.074450016;0.012598901;0.08489513;0.274627;0.66076016;0.21553825;0.27497315;0.31260118;802.8816;594.2412;776.971;1150.9011;232;1
104.41441;0.256795;-8.327032;0.2438809;1.0;173.74583;-178.93391;1401.9805;290.7287;918.54156;231.74997;0.6512549;0.053072505;2.7166219;0.72875726;0.005144719;569.49005;-1.7497604;319.20322;320.95297;113.351814;0.30469173;-8.3284855;0.24424449;1.0;289.8026;979.91956;235.38734;0.15800011;0.056744263;3.0123599;0.73494065;0.0014937286;569.48114;-3.84073;318.27667;322.1174;0.015395838784892129;1726.556198835373;0.05491527;-0.00010950432;0.29562822;0.06722604;0.45398906;0.3839838;0.40248474;0.34289703;9184.99;219.60767;20652.37;426.67612;25;111112
112.596634;0.3225072;-8.316687;0.24129465;1.0;288.02878;-213.044;1225.656;295.82028;1136.9917;236.6995;0.7133832;0.0452242;2.042634;0.7280271;0.0031520934;552.02924;2.6363811;323.42175;320.78537;115.73632;0.290536;-8.330533;0.24475631;1.0;279.9254;1174.5787;263.37518;0.8248389;0.061353892;2.557524;0.752203;0.00048155236;552.0685;-6.2681255;307.52884;313.79697;0.012335805744199605;3097.1999146938324;0.046807412;-0.00022472758;0.2812117;0.05933424;0.4134262;0.37008238;0.41012117;0.3429816;13082.048;271.92096;42670.555;492.21423;29;222223
121.17732;0.2964476;-8.289888;0.23459513;1.0;167.77318;-128.72636;949.9026;278.1955;1198.3547;263.64984;0.556479;0.051028743;1.994454;0.7637154;0.0010597231;550.05176;-0.5658617;305.6981;306.26395;118.50528;0.33323812;-8.336569;0.24626529;1.0;280.93475;1218.7571;260.91208;2.365002;0.050770596;2.025621;0.746109;0.00036228378;550.04675;-0.42386323;308.4371;308.86096;0.012464879386542671;4482.185131788254;0.041671153;0.00033047362;0.28958863;0.055771887;0.4027038;0.3669396;0.40718156;0.34168765;10790.244;315.0213;23399.287;692.0412;29;333334
101.81656;0.2658865;-8.294456;0.23573673;1.0;132.5606;-160.58417;919.09955;275.12482;1249.3508;270.9886;1.0613139;0.03908015;1.9418447;0.7218075;7.724747e-05;540.70447;5.904412;302.16003;296.2556;122.6599;0.2757544;-8.340595;0.24727179;1.0;278.87332;1291.283;269.1022;1.295113;0.07030887;2.3722076;0.77882165;0.0009001362;540.6712;-10.980422;305.9069;316.8873;0.012582503555499313;5880.239688396454;0.041721486;0.00039303693;0.2809757;0.054012008;0.4030626;0.37430367;0.40453053;0.34230116;10460.079;305.9895;22609.666;652.38275;31;444445
105.956856;0.24477693;-8.302363;0.23771378;1.0;91.59752;-122.71145;825.1381;272.71375;1330.99;286.86942;1.3654468;0.05073966;2.6349869;0.7402457;0.0022405516;544.3233;-0.40261424;299.9299;300.33252;109.645035;0.28701746;-8.337299;0.24644792;1.0;276.5815;1357.6816;277.30048;1.1419733;0.044194758;2.4847891;0.7301832;0.0028519393;544.3166;3.15989;303.79733;300.63745;0.012051942988756344;7219.343130111694;0.045643292;0.00032348846;0.2762261;0.052569076;0.40969986;0.3695624;0.40587145;0.34192094;10454.502;326.62054;26782.473;666.08527;31;555556
112.25208;0.2994821;-8.320898;0.24234733;1.0;89.268875;-98.27455;761.2552;275.4599;1311.2521;274.38547;0.38332802;0.048839506;2.3537054;0.7560763;0.0026383298;543.7503;0.6310195;302.6474;302.0164;119.91357;0.29401892;-8.322167;0.24266471;1.0;277.17383;1310.2928;277.96967;2.4362743;0.053395428;2.3816817;0.7661265;0.002095083;543.75104;-1.846267;304.3614;306.20764;0.011952812064344275;8547.432035207748;0.04404131;0.00017941173;0.27777773;0.050905943;0.4109486;0.3710875;0.41058135;0.341264;9614.04;353.02478;20827.605;728.7139;31;666667
112.78573;0.30203944;-8.285573;0.23351619;1.0;120.475136;-88.0282;798.68414;276.82385;1354.2067;272.80933;2.8215284;0.057432406;2.4766495;0.7596229;0.0020780065;546.22656;-4.059777;304.13516;308.19495;124.30226;0.3173336;-8.348654;0.24928652;1.0;279.08154;1362.9135;277.36566;0.6936409;0.05498983;2.2557368;0.7696047;0.0016785166;546.2484;-2.725686;306.39398;309.11966;0.011945290835900577;9874.685248374939;0.04674461;0.00023068515;0.28150463;0.050474524;0.40516132;0.36608055;0.40767017;0.3398484;9574.66;380.0412;20551.127;736.5105;31;777778
110.03161;0.27315268;-8.297573;0.23651609;1.0;97.59624;-94.235275;766.88464;275.57037;1416.687;287.8684;1.5224559;0.04471215;2.2988064;0.73474944;0.0019309563;537.9215;2.8444493;302.46646;299.622;107.777115;0.25910562;-8.349294;0.24944647;1.0;271.3719;1408.7498;295.44843;0.1359539;0.08308395;6.225114;0.7380656;0.0022640203;537.90454;-17.796007;298.2671;316.0631;0.012366758381353413;11248.768141508102;0.042879764;-1.2818755e-05;0.27015266;0.04958898;0.40900964;0.37000868;0.4125218;0.34089637;8777.862;360.401;19508.99;708.3759;31;888889
118.19408;0.28723758;-8.301441;0.23748325;1.0;78.01014;-105.02722;702.01184;278.19858;1424.2802;274.98007;0.012075348;0.05431977;2.4005706;0.7649977;0.0016123756;537.90533;-2.3236265;305.09384;307.41748;125.69556;0.33589816;-8.339644;0.24703398;1.0;274.75357;1403.9442;283.698;0.0601695;0.051251553;2.6897664;0.7637435;0.0013181935;537.8871;-0.6731938;301.64792;302.3211;0.012277747360135285;12612.96093249321;0.044699613;-5.3895466e-05;0.2618279;0.049849246;0.40548596;0.3689227;0.40715635;0.33996722;8539.649;373.71518;19069.982;722.33716;31;1000000
