training/actor/actor_loss;training/actor/adv;training/actor/bc_log_prob;training/actor/mse;training/actor/std;training/grad/max;training/grad/min;training/grad/norm;training/value/d_neg_loss;training/value/d_neg_max;training/value/d_neg_mean;training/value/d_neg_min;training/value/d_pos_loss;training/value/d_pos_max;training/value/d_pos_mean;training/value/d_pos_min;training/value/lam;training/value/lam_loss;training/value/total_loss;training/value/value_loss;validation/actor/actor_loss;validation/actor/adv;validation/actor/bc_log_prob;validation/actor/mse;validation/actor/std;validation/value/d_neg_loss;validation/value/d_neg_max;validation/value/d_neg_mean;validation/value/d_neg_min;validation/value/d_pos_loss;validation/value/d_pos_max;validation/value/d_pos_mean;validation/value/d_pos_min;validation/value/lam;validation/value/lam_loss;validation/value/total_loss;validation/value/value_loss;time/epoch_time;time/total_time;step
231.72684;0.04635097;-9.450049;0.5246353;1.0;30.838646;-78.69473;1012.4939;483.78674;29.15533;17.009953;4.3554745;78.744736;25.886143;8.554604;0.011645373;1.0;-78.69473;483.83676;562.5315;197.57588;0.09602534;-9.312548;0.4902599;1.0;486.00848;26.387403;14.770653;3.0902457;51.819168;25.434471;6.927972;0.011918379;1.0003;-51.784702;486.0585;537.8432;0.00026831197437810595;29.81241488456726;1
133.51749;0.39769956;-7.616046;0.066134445;1.0;255.39296;-383.42236;1547.4406;295.92297;1255.6798;260.46344;3.0220058;0.053694572;2.2938814;0.84395474;0.000750723;430.31235;-1.5898198;317.4386;319.0284;129.8656;0.35829437;-7.662611;0.077775784;1.0;291.227;1301.6461;262.7192;0.3101245;0.16393325;11.834523;0.8609977;0.0029043835;430.3029;-49.025806;312.74213;361.76794;0.010231987037912407;1166.6987295150757;111112
137.75627;0.42515957;-7.624116;0.06815194;1.0;122.03464;-156.99188;826.51373;293.85748;1596.0552;282.96606;1.3798354;0.050310325;2.2535832;0.87201595;0.00084894546;425.03973;-0.13190009;315.10947;315.24136;145.00705;0.45226192;-7.6909804;0.08486806;1.0;287.3804;1582.4254;291.0068;0.57548624;0.05371634;2.4425213;0.8875827;0.0014039259;425.02087;-1.5795214;308.63144;310.21097;0.004768149454133112;1696.4925866127014;222223
138.6312;0.424667;-7.616875;0.066341706;1.0;181.95978;-192.3154;1047.1007;285.15085;1763.534;308.56714;1.7093713;0.049387112;2.2491016;0.879899;0.0028282907;434.5555;0.26633406;306.87863;306.6123;144.64343;0.43619323;-7.685028;0.08338001;1.0;290.86163;1689.2689;300.23923;4.1731286;0.06678208;3.6124983;0.886907;0.0029651162;434.57312;-7.2930403;312.5903;319.88333;0.004258697065179381;2169.6806807518005;333334
127.38113;0.407121;-7.603897;0.06309724;1.0;180.74014;-138.27785;903.4793;280.7765;1906.5602;323.852;2.1791024;0.04760936;2.9067063;0.8682146;0.0006327589;437.97293;1.0470364;302.67514;301.6281;133.91336;0.39092648;-7.67933;0.08195537;1.0;280.09265;1996.6205;323.5496;0.81393594;0.086152256;3.6365154;0.92446816;0.0012389474;437.97815;-15.833898;301.99158;317.82547;0.004266287363792933;2643.7121415138245;444445
128.52805;0.37658012;-7.5853662;0.058464594;1.0;113.70938;-107.95122;694.5961;274.22876;2056.697;344.05975;1.4253675;0.04325673;2.260771;0.860749;0.0015776936;454.4655;3.064584;296.95203;293.88745;137.32295;0.4142564;-7.7067785;0.08881756;1.0;281.79718;1930.6127;318.50845;1.2701509;0.14847417;7.5846224;0.9271091;0.0020579183;454.4486;-44.751453;304.5196;349.27106;0.0042686246258996354;3118.0032963752747;555556
138.19553;0.38031387;-7.6027946;0.0628217;1.0;121.32002;-122.84165;742.42413;283.5841;2290.7097;321.07635;0.6875785;0.047547743;2.427288;0.8872032;0.0020054858;456.09244;1.1184564;306.38873;305.27026;142.9999;0.4264269;-7.697729;0.08655519;1.0;284.5666;2090.3203;312.39487;1.2578663;0.17894028;6.754737;0.9514395;0.0040518898;456.0846;-58.80768;307.37082;366.1785;0.004244456111082851;3589.6090636253357;666667
145.71289;0.41878712;-7.6083984;0.06422253;1.0;74.35042;-101.22718;837.4035;291.32678;2563.4053;309.97614;1.1989987;0.05066904;2.3151333;0.9148451;0.0019867546;451.77078;-0.30225262;313.91534;314.2176;149.4143;0.34360218;-7.730611;0.094775625;1.0;277.6538;2448.4714;345.07654;1.0438585;0.67740107;13.943154;0.9935473;0.0056326687;451.76086;-283.43524;300.24188;583.6771;0.004233084293089481;4059.9512963294983;777778
134.29292;0.44486123;-7.596595;0.061271694;1.0;124.251976;-142.19579;908.3994;277.57654;2546.8953;321.79852;1.1882756;0.042551987;2.2204366;0.8898007;0.0025071756;475.66342;3.5427477;301.3597;297.81696;141.4256;0.37977427;-7.697106;0.086399436;1.0;277.92328;2389.438;316.62692;0.82031155;0.1433587;7.107954;0.9435089;0.0131378295;475.6573;-44.40675;301.70615;346.11288;0.004309967861489163;4538.836139202118;888889
145.44899;0.42394143;-7.590997;0.059872318;1.0;115.37823;-111.803566;796.9288;276.1991;2705.9434;351.7536;0.93114704;0.046994105;2.117651;0.9022231;0.00065954763;462.63397;1.3906295;299.33078;297.94016;146.90958;0.29290342;-7.7036033;0.08802381;1.0;268.62274;2542.1367;344.72733;1.2595457;0.22047287;9.424912;0.9452546;0.007821338;462.63245;-78.86628;291.75436;370.62064;0.004275636487321668;5013.906392097473;1000000
