training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,training/value/d_neg_loss,training/value/d_neg_max,training/value/d_neg_mean,training/value/d_neg_min,training/value/d_pos_loss,training/value/d_pos_max,training/value/d_pos_mean,training/value/d_pos_min,training/value/lam,training/value/lam_loss,training/value/total_loss,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/value/d_neg_loss,validation/value/d_neg_max,validation/value/d_neg_mean,validation/value/d_neg_min,validation/value/d_pos_loss,validation/value/d_pos_max,validation/value/d_pos_mean,validation/value/d_pos_min,validation/value/lam,validation/value/lam_loss,validation/value/total_loss,validation/value/value_loss,time/epoch_time,time/total_time,step
316.12546,0.23859556,-9.441571,0.522516,1.0,44.59264,-92.35039,1195.9628,483.2378,28.508633,17.563444,3.688324,92.40039,27.664324,9.375511,0.0135739995,1.0,-92.35039,483.28778,575.6382,264.10995,0.20064256,-9.272393,0.4802214,1.0,485.31012,28.231125,15.474762,3.759381,64.90335,27.006422,7.8051243,0.09402169,1.0003,-64.87281,485.36017,550.233,0.005336865139007568,26.68432879447937,1
443.81506,2.0072246,-7.7785053,0.106749386,1.0,286.03784,-389.08997,2610.6716,79.743744,1603.2004,712.6755,3.8002422,9.121311,13.715092,3.0275602,0.02765114,4.903896,-44.484764,79.988945,124.47371,465.63574,2.2260408,-7.756877,0.10134216,1.0,83.989044,1556.3295,700.0144,1.0243925,9.478523,13.70156,3.1171374,0.026054151,4.90547,-46.251335,84.23432,130.48566,0.17457197432518004,899.5442056655884,5000
359.3428,1.2366312,-7.703988,0.08811994,1.0,491.4384,-328.34436,3239.5288,138.86499,1083.7993,487.33923,1.1575673,2.434547,8.055702,1.8577522,0.031649426,23.54173,-56.136364,140.04207,196.17844,366.8187,1.2539036,-7.737688,0.09654498,1.0,145.51103,1036.161,473.81384,1.3566513,2.3078976,9.9523325,1.8147819,0.009602139,23.5489,-53.171005,146.68848,199.85948,0.1761731209754944,1780.409818649292,10000
253.92479,0.8428388,-7.714278,0.09069258,1.0,304.13513,-445.69284,3260.5588,220.36078,779.7069,318.91125,0.7561633,0.6276834,4.650935,1.1700513,0.0023424788,104.81885,-60.55211,225.60173,286.15384,256.33704,0.79130733,-7.703778,0.08806746,1.0,208.1642,831.63354,337.49585,0.94062066,0.4932422,4.688573,1.1275036,0.01593123,104.84899,-46.473495,213.40666,259.88016,0.08959047026634216,2228.362178325653,15000
150.32068,0.5331185,-7.7032194,0.087927796,1.0,208.07858,-177.33414,1255.879,295.78696,592.68494,215.71317,0.053083796,0.09685159,2.9433632,0.81407845,0.0041350992,381.9392,-17.894459,314.8839,332.77838,163.8118,0.58190155,-7.682294,0.08269646,1.0,292.79285,568.79706,219.2263,0.36787122,0.117268436,3.361521,0.8346882,0.0036926528,382.01828,-25.697771,311.89374,337.59152,0.0030894579887390137,2243.8094725608826,20000
112.37591,0.4783171,-7.716406,0.09122439,1.0,160.79247,-96.410355,1189.7339,316.78925,481.0271,191.13405,0.704836,0.039098613,2.4743545,0.72876734,0.004924663,617.7268,6.7340794,347.67557,340.9415,132.7238,0.53107154,-7.6710534,0.07988634,1.0,315.89667,479.6078,191.80914,0.020495797,0.059306063,2.5106986,0.75597155,0.007872811,617.75745,-5.748889,346.78452,352.53342,0.10582208180427552,2772.9198842048645,25000
121.29475,0.5109849,-7.680647,0.08228467,1.0,162.89334,-129.80197,1360.5079,309.461,494.75696,199.44385,0.03684374,0.04915292,2.5617485,0.74210334,0.00062114943,614.52893,0.52055675,340.18747,339.6669,126.30136,0.5342647,-7.705881,0.08859319,1.0,314.40988,515.56726,193.92543,0.35942733,0.050587013,2.4933457,0.7488877,0.0023346418,614.5345,-0.3607395,345.1366,345.49734,0.00450166563987732,2795.428216934204,30000
129.73517,0.52322876,-7.6686735,0.07929137,1.0,141.42201,-246.8492,1330.2195,314.3186,499.14157,193.86777,0.32870936,0.052802827,2.9910755,0.74714136,0.0011567133,619.6804,-1.7368567,345.30264,347.0395,126.244385,0.5078938,-7.700052,0.087135896,1.0,313.87262,500.0231,194.14496,0.29872164,0.046060115,2.3431334,0.7314244,0.005782881,619.6834,2.4414818,344.85678,342.4153,0.10285292530059814,3309.692847967148,35000
131.39719,0.53521854,-7.6615295,0.07750537,1.0,232.81021,-163.27454,1421.7825,312.9635,517.1477,195.88593,0.968349,0.053665318,2.7125635,0.7601749,0.0018535249,616.5647,-2.2599049,343.79172,346.05164,118.40318,0.5107092,-7.6867313,0.08380586,1.0,306.11407,495.1469,203.21014,0.28048024,0.047645085,2.4626245,0.7407424,0.008188658,616.5377,1.4518946,336.94098,335.48907,0.003142534351348877,3325.405522584915,40000
117.16092,0.4914731,-7.6818743,0.08259145,1.0,232.10684,-176.91808,1442.2346,312.0845,533.6568,196.23538,0.59096766,0.048986234,2.829836,0.71621203,0.00061663834,619.0933,0.62761635,343.03918,342.41156,131.92334,0.5524874,-7.695018,0.08587736,1.0,311.93643,499.40054,196.21677,0.36732942,0.046687413,2.1468244,0.76260746,0.0037794644,619.1792,2.0510855,342.8954,340.8443,0.10494101552963257,3850.1106021404266,45000
120.939766,0.4975573,-7.6965947,0.086271614,1.0,256.69846,-269.43597,1781.2638,308.92572,493.66626,200.01761,0.050482072,0.054085612,2.5084019,0.74684596,0.0022669244,616.93823,-2.52057,339.77264,342.2932,128.89674,0.5080804,-7.6868086,0.08382526,1.0,309.5362,520.276,199.23605,0.20972861,0.05491095,2.5252454,0.7433795,0.0035102202,616.9832,-3.0299735,340.38538,343.41534,0.0030181636333465574,3865.201423883438,50000
127.30272,0.55682945,-7.655574,0.076016545,1.0,196.27534,-102.976875,1106.7961,310.83002,532.80066,197.84125,1.1536006,0.050664976,2.6070595,0.74945474,0.0011245008,619.6604,-0.41205898,341.81305,342.2251,131.25346,0.5340682,-7.6746287,0.08078016,1.0,310.78552,538.4967,197.90466,0.17740089,0.05140228,3.0017705,0.7446544,0.0031968285,619.6323,-0.8688965,341.76715,342.63605,0.10885078482627869,4409.455353021622,55000
