training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,training/value/d_neg_loss,training/value/d_neg_max,training/value/d_neg_mean,training/value/d_neg_min,training/value/d_pos_loss,training/value/d_pos_max,training/value/d_pos_mean,training/value/d_pos_min,training/value/lam,training/value/lam_loss,training/value/total_loss,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/value/d_neg_loss,validation/value/d_neg_max,validation/value/d_neg_mean,validation/value/d_neg_min,validation/value/d_pos_loss,validation/value/d_pos_max,validation/value/d_pos_mean,validation/value/d_pos_min,validation/value/lam,validation/value/lam_loss,validation/value/total_loss,validation/value/value_loss,time/epoch_time,time/total_time,step
318.98087,0.04069811,-9.825006,0.61837435,1.0,21.694658,-156.36812,1194.7095,480.9618,29.4366,19.85757,4.5472436,156.41812,28.448383,12.542456,3.3105962,1.0,-156.36812,481.01178,637.3799,292.8591,0.15227759,-9.731079,0.5948929,1.0,483.13907,28.672249,17.66267,5.109558,112.07889,25.896902,10.461033,2.495996,1.0003,-112.0625,483.1891,595.2516,0.005266045618057251,26.330230712890625,1
345.81024,0.56907046,-9.320631,0.49228072,1.0,297.2732,-188.47588,1926.8701,74.75395,1727.6243,788.1299,3.4350226,6.3335342,15.5997305,2.523223,0.12628654,4.687868,-29.456379,74.98834,104.444725,339.91455,0.69106555,-9.314724,0.4908039,1.0,83.94025,1723.7023,769.8285,1.8883091,7.430132,18.046457,2.673571,0.1603222,4.6893096,-34.607723,84.17471,118.78244,0.2356765498638153,1204.7129821777344,5000
224.01534,0.25315487,-9.265698,0.47854775,1.0,806.18933,-841.00433,3983.7974,122.190125,1215.6233,532.80774,1.7252439,2.146296,9.679918,1.5884849,0.040484756,22.786518,-47.76729,123.32945,171.09674,237.11856,0.2618756,-9.336121,0.49615315,1.0,114.840675,1196.1584,549.8269,3.2938933,1.8148037,9.602522,1.5538406,0.058253333,22.792982,-40.22514,115.980316,156.20546,0.24741953268051148,2441.8106484413147,10000
153.30005,0.1621166,-9.362782,0.5028181,1.0,980.38025,-840.35767,4694.2627,174.68015,924.5717,390.3054,2.2421932,0.54683036,6.4216633,1.0410593,0.029293803,98.443504,-48.90972,179.60233,228.51204,169.88876,0.25220767,-9.304506,0.48824975,1.0,164.2381,912.5166,404.64337,2.1350102,0.5839903,7.605047,1.043642,0.03935453,98.4712,-52.58266,169.16167,221.74432,0.14650834188461304,3174.3523592948914,15000
97.839355,0.14435592,-9.310413,0.48972613,1.0,977.18726,-637.679,3643.5747,236.0856,678.8092,286.96558,1.3902715,0.15072793,4.708297,0.75330704,0.023449218,321.99582,-32.43397,252.18538,284.61935,103.85954,0.1345929,-9.351328,0.49995506,1.0,239.72919,676.6363,282.33002,1e-06,0.14415354,3.942549,0.7393166,0.01462023,322.06708,-30.323755,255.83255,286.1563,0.00547789249420166,3201.7418229579926,20000
74.52318,0.12241779,-9.330009,0.49462542,1.0,1186.1075,-537.8623,3791.0127,280.70343,537.1633,230.85687,1.4638065,0.062837124,2.9726593,0.6501589,0.019569812,706.93335,-9.07499,316.0501,325.1251,72.207306,0.12076524,-9.292025,0.4851291,1.0,284.07175,535.01556,227.37253,0.9171005,0.075530946,4.069595,0.62683094,0.02936157,706.9786,-18.049831,319.4207,337.47052,0.14580925583839416,3930.788103580475,25000
65.72754,0.101994075,-9.283243,0.48293376,1.0,1478.8527,-1255.9045,6218.791,293.8869,509.83542,215.2776,2.3163111,0.06023768,2.981465,0.59418446,0.026040278,806.9907,-8.261712,334.23642,342.49814,69.44615,0.1337953,-9.329744,0.4945591,1.0,300.7354,499.07562,208.25206,0.95284903,0.044060104,3.1715236,0.6128197,0.009031567,806.99036,4.79344,341.08493,336.2915,0.005468784189224243,3958.132027864456,30000
54.97215,0.1141836,-9.352712,0.500301,1.0,374.31564,-198.87465,1592.853,317.69934,412.42102,188.76315,1.1927236,0.028146092,2.617088,0.5562575,0.014395754,835.6493,18.262203,359.4818,341.2196,56.557804,0.12992762,-9.336008,0.49612528,1.0,325.6107,411.58734,180.45624,1.1966512,0.026196897,2.1943843,0.5704709,0.0069515873,835.54486,19.888561,367.3879,347.49936,0.1424568093776703,4670.4160759449005,35000
51.13803,0.10698664,-9.275738,0.48105738,1.0,559.7449,-428.9233,2077.3308,327.7398,394.15384,178.24187,0.94797087,0.034157675,3.0284097,0.60311526,0.030532619,816.93945,12.942221,368.5868,355.64456,57.855385,0.117387794,-9.328452,0.49423608,1.0,325.00958,389.74512,181.15341,1.2526345,0.03916839,2.7812533,0.6365136,0.018086582,816.90674,8.848414,365.85492,357.0065,0.00547420825958252,4697.787120580673,40000
77.39339,0.1450978,-9.339975,0.49711677,1.0,452.336,-1063.92,2827.736,297.9184,497.84998,211.12671,1.2310869,0.051697228,2.9079967,0.6269757,0.011895,798.93146,-1.3559684,337.865,339.22095,72.50936,0.17287058,-9.341097,0.49739724,1.0,294.80615,496.33588,214.5263,2.0324414,0.047157675,3.2671175,0.6275677,0.038022913,798.94025,2.2708485,334.75314,332.4823,0.14482569971084594,5421.915621757507,45000
77.04524,0.13461722,-9.320088,0.4921451,1.0,613.4841,-889.8878,3267.27,278.74353,522.0845,232.68298,0.18236753,0.045565896,2.9002843,0.6132058,0.0047478257,824.687,3.6567488,319.97787,316.32114,72.86877,0.12617242,-9.370216,0.5046772,1.0,287.8623,520.5806,222.71063,2.6296272,0.047789205,2.6779125,0.60724205,0.013689138,824.68195,1.8232034,329.0964,327.2732,0.005476152467727661,5449.296385526657,50000
74.405014,0.12443106,-9.316537,0.49125713,1.0,638.3603,-588.81055,2736.5125,276.46527,536.84644,235.33649,1.184469,0.054593857,3.0500638,0.59934556,0.008146767,841.1226,-3.8639967,318.52142,322.3854,83.62439,0.16659643,-9.304215,0.48817688,1.0,282.99783,544.8265,228.24393,0.3304289,0.043713495,2.5249543,0.5951531,0.0055279513,841.1013,5.287588,325.05292,319.76532,0.18830256509780885,6390.809212684631,55000
77.447815,0.12760039,-9.333199,0.49542254,1.0,926.369,-497.2806,2941.8938,288.07928,559.11285,222.62436,1.0683843,0.046613008,3.0386405,0.6247529,0.00663875,840.6358,2.8472276,330.11108,327.26385,70.35838,0.12840085,-9.337975,0.4966166,1.0,287.2597,533.9636,223.00987,1.0054206,0.050863408,3.677156,0.5981761,0.011085729,840.64703,-0.72582036,329.29205,330.01788,0.00547404670715332,6418.179447412491,60000
71.41803,0.12914628,-9.325113,0.49340135,1.0,771.59753,-963.7551,2661.2458,282.74512,539.12445,228.17505,0.15740988,0.04850077,3.358403,0.60873246,0.005931953,860.3112,1.289806,325.76068,324.4709,78.47191,0.16778642,-9.299704,0.4870487,1.0,287.32278,501.0599,223.36519,0.8113195,0.049630545,3.428115,0.5942893,0.013522732,860.3161,0.31784865,330.3386,330.02075,0.005475520133972168,6445.557049512863,65000
64.0451,0.14964388,-9.262668,0.47778997,1.0,477.1634,-617.14185,1952.0493,283.50055,550.51917,227.35495,0.66010416,0.023049055,2.3941383,0.56864744,0.0061778454,873.08563,23.530483,327.15485,303.62436,72.84033,0.12886398,-9.295164,0.48591396,1.0,280.01337,518.0743,230.9301,1.0485135,0.053003065,3.342659,0.60161996,0.004621736,873.05273,-2.6218338,323.66602,326.28784,0.005474287700653076,6472.92848944664,70000
70.589935,0.14395924,-9.330239,0.49468288,1.0,936.3586,-1221.2521,3855.5828,277.281,548.37366,235.3157,0.42197973,0.051864274,3.3341382,0.5910548,0.0024872306,851.6013,-1.5876174,319.86108,321.4487,78.093445,0.12526381,-9.355318,0.50095236,1.0,279.2705,533.7204,232.78427,0.94169307,0.06082626,3.4276597,0.61204636,0.01520165,851.6159,-9.219815,321.8513,331.0711,0.005474272108078003,6500.299852609634,75000
74.70865,0.13999303,-9.322113,0.49265105,1.0,477.6215,-1108.719,3168.5725,279.69226,552.4384,232.21751,2.3572211,0.044226564,3.01682,0.6029928,0.004939763,859.0322,4.959568,322.64386,317.6843,71.16989,0.13828532,-9.306661,0.48878795,1.0,278.10913,548.24445,234.26733,0.919427,0.04117126,3.0515165,0.58167374,0.0035083275,859.03345,7.584183,321.06082,313.47662,0.1867967692375183,7434.28370141983,80000
75.28466,0.15041336,-9.348997,0.4993722,1.0,587.1548,-826.48987,2287.0186,275.06122,554.42316,237.29636,0.031003322,0.042963233,2.9482236,0.60864305,0.0017784502,853.67596,6.0071197,317.745,311.73788,88.67223,0.1620098,-9.2945385,0.4857575,1.0,274.8839,537.65485,237.55536,0.5537625,0.071634084,3.4034638,0.61793166,0.0041288505,853.54944,-18.46576,317.56137,336.02713,0.005474595642089844,7461.6566824913025,85000
76.778145,0.14104454,-9.293004,0.48537385,1.0,505.11157,-620.03204,2363.4705,274.36136,547.0596,238.47928,0.26633176,0.048249565,3.0406764,0.5994981,0.0046676267,853.91296,1.4947197,317.057,315.5623,61.52409,0.059340492,-9.346886,0.49884444,1.0,283.17126,551.65436,229.0769,0.31264147,0.042611983,3.141622,0.583906,0.0029791244,853.91986,6.3087754,325.86725,319.55847,0.005475629186630249,7489.034829854965,90000
76.515076,0.12528832,-9.331566,0.49501467,1.0,444.18414,-364.2506,1876.3741,280.97867,559.5869,230.88431,0.16636889,0.04485879,2.7931898,0.6122953,0.005946689,860.35016,4.4232407,323.9962,319.57294,69.81795,0.13114521,-9.38102,0.50737786,1.0,277.29724,567.151,235.27661,1e-06,0.04963316,3.8970022,0.5859219,0.003757594,860.3514,0.31561175,320.31482,319.9992,0.005474206590652466,7516.405864477158,95000
74.518074,0.08610079,-9.333706,0.4955495,1.0,786.6374,-774.476,3513.0532,280.2829,558.8593,231.96631,0.5833683,0.06157509,3.9796948,0.6056345,0.0037163862,853.2992,-9.877013,322.94785,332.82486,75.15033,0.12262728,-9.3545265,0.50075465,1.0,272.96927,567.9196,239.79628,0.041786607,0.05406566,3.1692336,0.6053114,0.0011505015,853.29425,-3.4692035,315.63397,319.10318,0.005476383209228516,7543.7877814769745,100000
