training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,training/value/d_neg_loss,training/value/d_neg_max,training/value/d_neg_mean,training/value/d_neg_min,training/value/d_pos_loss,training/value/d_pos_max,training/value/d_pos_mean,training/value/d_pos_min,training/value/lam,training/value/lam_loss,training/value/total_loss,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/value/d_neg_loss,validation/value/d_neg_max,validation/value/d_neg_mean,validation/value/d_neg_min,validation/value/d_pos_loss,validation/value/d_pos_max,validation/value/d_pos_mean,validation/value/d_pos_min,validation/value/lam,validation/value/lam_loss,validation/value/total_loss,validation/value/value_loss,time/epoch_time,time/total_time,step
320.13843,0.33394274,-9.421261,0.5174383,1.0,24.79905,-163.54385,1384.0397,480.46686,30.872522,20.356598,6.5976963,163.59386,30.032915,12.939153,0.037872996,1.0,-163.54385,480.51688,644.0607,265.2483,0.1124253,-9.295713,0.48605156,1.0,482.8024,29.525293,18.002056,6.573428,107.722206,26.522243,10.39814,0.017046645,1.0003,-107.70451,482.85242,590.55695,0.004759326601028443,23.796634197235107,1
428.80344,2.0136833,-8.135548,0.19600996,1.0,158.13116,-178.49194,1794.8706,128.06845,1186.7057,488.42368,4.0711164,12.720736,18.664204,3.3235822,0.0618521,5.035762,-63.806805,128.32024,192.12704,434.68994,2.214775,-8.109047,0.18938479,1.0,135.80986,1236.2668,478.17786,2.296052,14.087921,16.273212,3.4956264,0.011370771,5.037304,-70.71327,136.06172,206.775,0.2169046045780182,1108.319658756256,5000
352.1211,1.2821572,-8.064522,0.17825338,1.0,186.86935,-207.0936,1973.2203,221.52283,819.8392,309.87463,0.79176044,3.0518746,9.803857,1.9223258,0.014608281,23.466858,-70.444565,222.69618,293.14075,344.6612,1.2521818,-8.065729,0.17855531,1.0,232.83401,834.9374,297.77783,0.73540246,3.4257655,9.242434,1.9577553,0.012180228,23.47378,-79.241974,234.00772,313.2497,0.20495863442420958,2133.1128346920013,10000
251.07353,0.7189867,-8.0624275,0.1777298,1.0,268.72873,-133.6065,1570.617,329.63483,504.28778,176.67123,0.2939741,0.50156814,5.0218987,1.1175522,0.012032199,92.47602,-41.759224,334.25864,376.01785,274.0111,0.82112193,-8.077689,0.18154529,1.0,325.98013,489.22528,180.27457,0.45508033,0.5895083,5.4824567,1.1771082,0.009122805,92.49838,-49.903645,330.60504,380.5087,0.10769317812919617,2671.5787267684937,15000
146.13078,0.5022274,-8.047899,0.17409793,1.0,85.129974,-126.67581,885.5437,382.4314,340.5911,120.3589,0.514207,0.078588456,2.5786085,0.77350956,0.0063190493,273.09818,-7.807455,396.0863,403.89377,147.45811,0.5135393,-8.061829,0.17758018,1.0,386.05103,345.22675,116.6435,0.27906388,0.08632363,2.9739277,0.7920643,0.001994968,273.14612,-9.921658,399.70834,409.63,0.005429308891296386,2698.7252724170685,20000
117.46231,0.44656998,-8.033346,0.17045961,1.0,130.96227,-151.09265,1013.3622,397.47095,271.94388,104.788925,0.11071505,0.044980336,2.3335595,0.7257886,0.007306006,363.78815,1.8260945,415.66034,413.83426,125.69997,0.46870366,-8.073506,0.18049958,1.0,396.485,290.52994,105.80576,0.4651493,0.05212779,2.9239254,0.7424501,0.003339538,363.79874,-0.77408695,414.67493,415.449,0.11465044736862183,3271.977514743805,25000
127.3448,0.48776117,-8.027445,0.1689841,1.0,191.23149,-142.89923,1210.1554,391.92334,304.21442,110.517296,0.20216408,0.061525784,2.939629,0.75260997,0.0021552064,367.99527,-4.241434,410.32312,414.56454,132.44226,0.49210653,-8.030649,0.16978538,1.0,391.5586,319.164,110.89844,1.0260876,0.05415882,2.240338,0.74241513,0.0019565313,368.00934,-1.5304849,409.95905,411.48953,0.0054277575492858885,3299.1163034439087,30000
130.2909,0.48577952,-8.003763,0.16306376,1.0,414.3799,-290.14093,1728.9054,397.80002,288.96884,104.48044,0.20613796,0.06037281,2.7665281,0.7515155,0.003503721,363.0376,-3.7657201,415.9519,419.71762,127.52722,0.4731329,-8.058329,0.1767049,1.0,391.42618,306.76193,111.04175,0.67987365,0.060776092,2.7374785,0.74732614,0.0029254286,363.01303,-3.9118617,409.5768,413.48868,0.11059705905914306,3852.1016023159027,35000
133.36295,0.50926524,-8.018712,0.166801,1.0,86.70677,-78.80875,736.06946,392.85645,320.92233,109.579605,1.4214795,0.061259195,2.5126011,0.7669934,0.0038948015,369.61334,-4.1615486,411.3371,415.49866,130.10776,0.47883314,-8.032238,0.1701824,1.0,394.08435,299.65814,108.325455,0.13811491,0.06509094,2.7934632,0.7528348,0.0061152666,369.59274,-5.5775013,412.56396,418.14148,0.005434943914413452,3879.2763254642487,40000
120.9791,0.45544598,-8.018233,0.16668132,1.0,149.41837,-86.67921,755.0383,397.20425,308.1666,105.09932,0.40974492,0.041700743,2.2246306,0.7357288,0.0007046589,371.0784,3.0796752,415.75818,412.6785,132.0375,0.48213896,-8.034475,0.17074177,1.0,393.98154,304.9637,108.42767,0.39660046,0.0494988,2.6784806,0.7701098,0.0004501074,371.07822,0.18598461,412.53543,412.34946,0.10841346826553344,4421.34366774559,45000
