training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,training/value/d_neg_loss,training/value/d_neg_max,training/value/d_neg_mean,training/value/d_neg_min,training/value/d_pos_loss,training/value/d_pos_max,training/value/d_pos_mean,training/value/d_pos_min,training/value/lam,training/value/lam_loss,training/value/total_loss,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/value/d_neg_loss,validation/value/d_neg_max,validation/value/d_neg_mean,validation/value/d_neg_min,validation/value/d_pos_loss,validation/value/d_pos_max,validation/value/d_pos_mean,validation/value/d_pos_min,validation/value/lam,validation/value/lam_loss,validation/value/total_loss,validation/value/value_loss,time/epoch_time,time/total_time,step
290.72644,0.044364475,-9.611734,0.56505656,1.0,21.396265,-144.51877,1227.4429,481.52005,30.46246,19.294712,5.6290355,144.56877,27.708628,11.894313,0.012799949,1.0,-144.51877,481.57004,626.0888,258.83844,0.11087175,-9.482921,0.5328531,1.0,484.31683,28.214472,16.475435,1.9089261,99.90633,27.038666,9.758751,0.019040816,1.0003,-99.886284,484.36682,584.2531,0.006298000288009644,31.49000597000122,1
335.3882,0.9010395,-8.597329,0.3114553,1.0,134.40091,-169.43362,1567.7788,117.01129,1322.3267,541.40576,0.9981245,11.178045,13.829075,3.1018925,0.006656387,5.048306,-56.177776,117.2637,173.44148,339.5127,0.74804306,-8.628357,0.31921235,1.0,102.88746,1305.4877,562.4598,0.92347634,10.034324,15.854549,3.0122788,0.012708114,5.0499053,-50.419888,103.13995,153.55984,0.25981166443824766,1330.548330783844,5000
258.75058,0.57798475,-8.578199,0.30667275,1.0,152.65993,-166.23805,1671.4326,195.2316,853.98816,349.25018,1.8013505,2.8410563,7.1878715,1.7907772,0.007951686,24.15416,-67.41562,196.4393,263.85492,263.37308,0.5098452,-8.593014,0.3103764,1.0,191.00525,843.6445,355.94006,0.94663036,3.1077266,9.218986,1.866859,0.013978635,24.161392,-73.87893,192.21332,266.09225,0.24093580951690674,2535.227380990982,10000
185.49799,0.28834015,-8.589043,0.3093837,1.0,183.42026,-263.58502,1950.1986,302.85812,495.7069,205.99127,0.5749868,0.48776817,4.7040915,1.0797671,0.004639148,100.16054,-43.847095,307.86615,351.71326,178.07635,0.356292,-8.579742,0.30705845,1.0,301.54187,516.45087,207.57643,1.15358,0.5336548,5.5678196,1.0477095,0.006421688,100.186,-48.455437,306.55118,355.00662,0.1267834857940674,3169.144816160202,15000
117.7397,0.22950587,-8.531172,0.29491577,1.0,348.42624,-196.97057,1851.852,365.5918,349.1452,137.98598,0.57897925,0.104145266,3.2412367,0.75304115,0.002763721,296.06116,-16.03031,380.39487,396.42517,113.28406,0.22518031,-8.559857,0.30208737,1.0,366.4436,345.541,137.02533,0.50696486,0.093969695,3.2125154,0.72235024,0.002563987,296.11737,-13.02019,381.24945,394.26965,0.010547730207443238,3221.883470058441,20000
88.26665,0.21017025,-8.516442,0.2912336,1.0,175.12534,-90.054985,889.7227,377.64026,314.835,125.32015,0.7048056,0.05091395,2.4366155,0.6763256,0.002069767,422.12622,-0.38580135,398.74658,399.1324,80.225266,0.124934494,-8.550875,0.29984155,1.0,377.49457,312.33597,125.4574,1.8248088,0.047394212,2.317589,0.6605834,0.0037282866,422.12338,1.0999643,398.60074,397.50076,0.1473123529434204,3958.445238828659,25000
102.94902,0.21554768,-8.519306,0.2919496,1.0,424.17606,-231.50566,1608.7703,379.0734,315.58118,123.82955,0.077427916,0.06079465,2.1895418,0.70719314,0.0011186089,428.6721,-4.6273656,400.507,405.13437,79.75585,0.17551872,-8.562208,0.3026749,1.0,377.20947,305.80307,125.774826,1.460535,0.042488858,2.4826148,0.6576222,0.0038317936,428.7001,3.2200277,398.64447,395.42444,0.011898011255264282,4017.9352972507477,30000
95.52538,0.19544831,-8.534985,0.295869,1.0,254.23613,-118.73287,1101.4808,378.59033,306.5773,124.28633,0.6654295,0.048189305,2.2871828,0.7003269,0.00018883031,429.11694,0.7770003,400.04617,399.26917,89.97143,0.21327838,-8.551001,0.29987308,1.0,381.1348,316.88608,121.70078,0.33703646,0.050661802,2.8980553,0.67908835,0.0042015184,429.12677,-0.28399676,402.59113,402.87512,0.13569890098571777,4696.429809808731,35000
83.3498,0.18904394,-8.52001,0.29212567,1.0,321.7771,-180.87352,1320.0695,382.03165,288.08273,120.68445,0.5832759,0.04760715,2.4761333,0.68502223,0.0028920663,418.56964,1.0015748,402.96014,401.95856,75.00725,0.175118,-8.542231,0.29768062,1.0,382.30838,309.32617,120.4378,2.0269916,0.042717442,2.5599594,0.66168565,0.0045766933,418.55988,3.048187,403.23636,400.18817,0.009977200698852539,4746.315815210342,40000
66.23178,0.15662178,-8.545044,0.298384,1.0,108.036545,-101.75454,712.1482,396.71027,248.49837,105.53996,1.2890729,0.035964884,2.7592583,0.6694426,0.0016429389,439.18402,6.163999,418.66946,412.50546,67.7347,0.14797708,-8.532629,0.2952802,1.0,395.75058,255.18436,106.4986,0.24964815,0.032737315,2.04077,0.68162906,0.0056845546,439.16788,7.5812173,417.70895,410.12775,0.11483949947357178,5320.513315439224,45000
