training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,training/value/d_neg_loss,training/value/d_neg_max,training/value/d_neg_mean,training/value/d_neg_min,training/value/d_pos_loss,training/value/d_pos_max,training/value/d_pos_mean,training/value/d_pos_min,training/value/lam,training/value/lam_loss,training/value/total_loss,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/value/d_neg_loss,validation/value/d_neg_max,validation/value/d_neg_mean,validation/value/d_neg_min,validation/value/d_pos_loss,validation/value/d_pos_max,validation/value/d_pos_mean,validation/value/d_pos_min,validation/value/lam,validation/value/lam_loss,validation/value/total_loss,validation/value/value_loss,time/epoch_time,time/total_time,step
285.99048,0.26465827,-9.394937,0.5108572,1.0,30.783653,-131.14566,1194.4667,481.79956,28.986038,19.012878,4.8951874,131.19566,25.95435,11.241042,0.015588944,1.0,-131.14566,481.84958,612.99524,207.7343,0.035285424,-9.260292,0.4771959,1.0,484.30066,27.782722,16.49165,1.051446,92.493164,27.109798,9.424921,0.01510653,1.0003,-92.4709,484.3507,576.8216,0.005985882806777954,29.929415702819824,1
364.68097,1.1332045,-7.7759156,0.106101856,1.0,384.8935,-671.66626,3680.7888,149.30563,1145.5239,443.71915,3.5733166,16.109474,15.921878,3.9232807,0.004496399,5.0768967,-81.532295,149.55948,231.09177,345.3493,1.0751472,-7.830843,0.11983379,1.0,149.32257,1208.8527,443.56628,1.489015,14.33789,13.037799,3.6492069,0.013407948,5.0784793,-72.56075,149.57648,222.13724,0.2361083158493042,1210.4709975719452,5000
339.32455,0.75692254,-7.7163754,0.09121673,1.0,490.9141,-633.47876,3701.8108,250.97047,747.29614,271.53497,1.160996,3.4817061,7.2015157,2.1811635,0.0030486984,23.016716,-78.98661,252.1213,331.1079,321.39194,0.6848256,-7.768371,0.10421571,1.0,250.49292,712.91345,270.2505,2.2467208,3.015913,6.2763996,2.0450578,0.006561566,23.023598,-68.28599,251.6441,319.93008,0.23183440809249878,2369.643039226532,10000
231.17455,0.36773735,-7.738848,0.09683498,1.0,206.09125,-208.72293,1546.6177,348.65497,422.16803,155.90208,2.1230578,0.47943762,8.230706,1.1994627,0.0015718893,85.52842,-36.72912,352.9314,389.66052,235.76651,0.35125476,-7.7347503,0.09581049,1.0,346.88327,414.07877,157.82803,1.2043965,0.46132624,4.0109844,1.2271358,0.0038759941,85.54914,-35.188606,351.16074,386.34933,0.13130434617996214,3026.16477394104,15000
127.10924,0.2747583,-7.729387,0.09446964,1.0,96.49027,-63.43284,689.32776,388.02722,374.88766,114.62984,0.57504445,0.078566834,2.6390824,0.8503915,0.0015500725,248.99544,-7.1130114,400.477,407.59,126.079506,0.26229793,-7.755945,0.10110927,1.0,393.27243,355.3596,109.171265,1.0573217,0.08661701,3.7254903,0.87615764,0.005961024,249.04626,-9.1193285,405.72476,414.8441,0.007853215169906617,3065.430850982666,20000
105.46332,0.24060336,-7.6985664,0.08676459,1.0,231.78926,-312.91003,1381.7188,394.25784,452.39725,108.637344,0.496415,0.04910127,2.193169,0.8191926,0.0024533782,339.97147,0.30554256,411.2564,410.95087,111.94545,0.2876831,-7.7357483,0.096060105,1.0,388.23608,462.21445,114.95978,0.03718809,0.0505102,2.6667807,0.81210124,0.0019647602,339.9718,-0.17345391,405.23468,405.40814,0.11054608907699585,3618.1613001823425,25000
98.88194,0.24268478,-7.694809,0.08582513,1.0,251.02454,-190.96103,1848.3181,373.16315,758.1354,137.03215,0.3598718,0.06660118,4.941815,0.81041235,0.0047277054,321.35773,-5.334917,389.23102,394.56595,100.03143,0.25635767,-7.764615,0.10327672,1.0,376.46634,678.9667,132.45984,1.6808535,0.040750932,2.2468348,0.79034626,0.0035873288,321.34763,2.9721663,392.53372,389.56155,0.011337550687789917,3674.849057197571,30000
97.401276,0.24430013,-7.718596,0.09177195,1.0,114.74324,-183.5776,1112.0089,368.59814,885.9334,147.97604,0.15744874,0.051847696,3.5224593,0.8182938,0.0040186257,319.45496,-0.5902555,384.5709,385.16113,95.07732,0.2261147,-7.751495,0.099996634,1.0,367.45105,888.1443,149.13396,1.2111359,0.06847344,4.3663015,0.80334735,0.004026646,319.45193,-5.901377,383.42365,389.325,0.10187221879959106,4184.210152626038,35000
109.54614,0.2686503,-7.6766586,0.08128762,1.0,102.423325,-121.08465,797.41797,372.5087,958.1255,147.06978,0.41143236,0.04999957,2.4627476,0.83175147,0.0029769598,306.13196,0.00013228993,387.81528,387.81516,100.003975,0.28568035,-7.735656,0.096036926,1.0,369.20648,949.6114,148.58818,0.137274,0.03715909,2.2125037,0.8029218,0.009616196,306.1188,3.9308445,384.51242,380.58157,0.007942545080184937,4223.922883749008,40000
109.887695,0.22915593,-7.719469,0.0919902,1.0,119.04335,-177.93973,843.05615,364.71057,976.1842,161.19461,1.1506246,0.047465906,2.27771,0.827412,0.0029185787,298.776,0.7571268,379.64938,378.89224,105.95923,0.25864682,-7.734194,0.09567152,1.0,361.7425,930.2835,163.9718,0.10116189,0.056103095,3.8118877,0.8268159,0.0019494953,298.77814,-1.8234713,376.6814,378.50488,0.12581422152519225,4852.993992567062,45000
108.61134,0.27458715,-7.6896553,0.08453679,1.0,232.28073,-105.97307,1240.7782,361.48245,987.8982,172.15604,1.4004873,0.05139658,2.7890825,0.83130205,0.0037446434,294.21884,-0.4108995,376.19342,376.6043,107.814156,0.24745698,-7.736993,0.09637113,1.0,367.4759,1076.7495,161.6703,1.068671,0.11863357,7.7284336,0.8506724,0.0048407866,294.21307,-20.192894,382.18652,402.37943,0.010339961051940919,4904.693800449371,50000
106.28159,0.27157348,-7.690795,0.08482159,1.0,108.73423,-72.31337,886.03107,354.77722,1114.6976,186.25195,0.86991644,0.053540412,4.0734253,0.8199512,0.0023258296,292.86572,-1.0368652,369.4205,370.45737,107.130646,0.22226179,-7.7563896,0.101220466,1.0,368.82675,1103.2988,157.11319,0.43858826,0.04906375,2.8768418,0.82803524,0.0010139782,292.86346,0.27419376,383.46994,383.19574,0.11508391213417053,5480.113363027573,55000
106.54491,0.26575124,-7.6906595,0.084787756,1.0,114.36542,-65.65036,578.2826,355.06097,1097.377,186.4766,0.66268194,0.044707287,2.3743465,0.82733345,0.0009325609,301.12122,1.5937483,370.11703,368.5233,105.428955,0.25189263,-7.77945,0.106985465,1.0,366.71246,1049.2351,162.022,1.1072676,0.051466867,3.026178,0.8284731,0.0044744625,301.1199,-0.44170272,381.76846,382.21017,0.01384261245727539,5549.326427221298,60000
118.37306,0.3048753,-7.7059174,0.088602185,1.0,59.57494,-41.869923,439.65408,364.22424,1130.6417,174.52405,0.3191535,0.046588533,2.0337512,0.8409667,0.00086365885,293.13828,1.0000318,378.88116,377.88113,111.57394,0.25785667,-7.753789,0.10057013,1.0,359.82123,1151.2164,178.24576,0.2415025,0.07193676,4.732252,0.8411296,0.00304339,293.12683,-6.4302516,374.4776,380.90784,0.01828697838783264,5640.7613224983215,65000
102.43982,0.23209855,-7.667609,0.07902531,1.0,71.94943,-60.142292,666.00464,367.19766,1123.5853,164.62675,0.46495935,0.049346562,3.5256827,0.8404796,0.0016625427,310.781,0.2030762,382.7367,382.53363,107.58889,0.26688814,-7.7605157,0.10225193,1.0,369.83917,1021.337,156.74619,1.1305053,0.04153616,2.8631227,0.82254773,0.0013048882,310.77985,2.6303911,385.37817,382.74777,0.018277221393585206,5732.147430896759,70000
104.84822,0.25770816,-7.6945777,0.085767366,1.0,88.13783,-59.541016,525.7108,367.62195,1131.2158,171.3373,0.5570227,0.041046314,2.5396135,0.82598233,0.004269943,297.28256,2.6617749,382.48608,379.8243,113.11445,0.27543098,-7.7459393,0.09860779,1.0,368.4928,1120.2014,162.12677,0.08558746,0.15916784,11.769744,0.8560231,0.0034208319,297.27292,-32.452644,383.35645,415.80908,0.013346729612350464,5798.88108086586,75000
104.42258,0.27302483,-7.683788,0.08306992,1.0,85.6883,-79.57002,620.1631,359.93,1110.8647,178.44482,0.31262195,0.04281687,2.4073327,0.81920177,0.0025039094,308.51782,2.2161238,375.3559,373.13977,109.754944,0.26745677,-7.755852,0.101086,1.0,361.0257,1061.4744,173.71555,0.1673348,0.12316128,9.695827,0.8359729,0.0025424329,308.50824,-22.570856,376.4511,399.02197,0.14051135687828065,6501.437871217728,80000
109.429016,0.27781406,-7.6771936,0.08142137,1.0,77.25751,-80.326126,526.9642,363.29453,1176.5138,178.46494,0.6958557,0.04167913,2.1218991,0.8456879,0.0014069006,290.77,2.4194598,377.83304,375.41357,109.168434,0.28787977,-7.7283897,0.09422047,1.0,361.91602,1183.7197,177.75687,0.543943,0.04189976,2.295198,0.8436502,0.0015134502,290.75778,2.3552082,376.4539,374.0987,0.013128854417800904,6567.082146644592,85000
117.40272,0.27215344,-7.6825304,0.08275549,1.0,122.389534,-138.07431,728.7184,358.65244,1187.9666,190.98904,0.5978045,0.053127505,2.931013,0.85416037,0.00089947984,290.39047,-0.9081974,373.17197,374.08017,116.45459,0.27453887,-7.75037,0.09971541,1.0,365.94385,1172.6719,171.9465,0.30438095,0.0741788,5.734644,0.84169215,0.0031327484,290.38992,-7.02128,380.46335,387.48462,0.017194398403167725,6653.054141759872,90000
106.5195,0.25549978,-7.686102,0.08364852,1.0,80.36682,-100.776634,623.879,358.43185,1196.1576,190.11382,0.13561928,0.048778802,2.5848212,0.83350503,0.00255931,290.29578,0.3545088,372.94666,372.59213,113.83325,0.25527626,-7.765607,0.10352474,1.0,372.8141,1175.3082,156.06451,0.306529,0.04864594,2.2764342,0.85223955,0.0047169337,290.2915,0.39307243,387.32864,386.93558,0.018332474946975708,6744.7165184021,95000
121.281784,0.29724592,-7.673072,0.080390915,1.0,70.27747,-113.06925,536.8579,358.6546,1274.2117,194.09137,0.50635004,0.05333231,2.1599135,0.860464,0.0015196939,291.73727,-0.97215885,373.24146,374.21362,111.562836,0.26620275,-7.747883,0.0990936,1.0,362.8128,1262.2014,177.35455,0.5198806,0.06689097,4.4768987,0.86166596,0.0052555297,291.71643,-4.9273734,377.39862,382.326,0.01835645866394043,6836.498815536499,100000
115.88647,0.29140693,-7.702736,0.08780681,1.0,74.11076,-72.124435,551.5564,359.35062,1333.9767,193.432,0.09650259,0.048876327,2.674179,0.8431115,0.0021834185,294.33517,0.33073685,374.06738,373.73663,108.28676,0.2720809,-7.748165,0.099164225,1.0,358.91843,1241.2628,189.83023,0.8141809,0.08095291,5.8927565,0.83562195,0.0047560623,294.32968,-9.110361,373.63492,382.74527,0.13675954580307007,7520.296545982361,105000
111.85063,0.27383304,-7.6799803,0.08211814,1.0,123.36064,-83.03683,711.34265,350.09558,1260.6285,210.96297,1e-06,0.046274997,2.3512187,0.84097064,0.00084912626,292.02805,1.0878055,364.697,363.6092,116.20601,0.23468947,-7.7597103,0.10205059,1.0,354.91223,1230.5919,193.0787,0.30488092,0.053461485,2.7905781,0.8633567,0.0015099597,292.03238,-1.0108653,369.51385,370.52472,0.011611733388900756,7578.355214834213,110000
94.5287,0.2551173,-7.6914425,0.0849835,1.0,221.81448,-241.28738,1147.6605,369.5978,1244.4008,177.46938,0.6259118,0.065743655,4.186351,0.83194935,0.0020623624,297.66,-4.6862564,384.4808,389.16705,101.62332,0.27508745,-7.744822,0.09832843,1.0,379.9538,1130.3721,150.11229,0.2227311,0.1415524,7.331963,0.84569716,0.0015980033,297.66226,-27.251696,394.83688,422.0886,0.014003045272827148,7648.370445728302,115000
107.05929,0.28925082,-7.718498,0.09174749,1.0,52.97405,-62.6339,419.39365,358.22452,1252.3181,191.57486,0.19022684,0.04006335,2.3797703,0.8420855,0.0031746821,297.7307,2.9584458,373.11105,370.15262,109.17925,0.23352358,-7.7432837,0.0979439,1.0,355.39026,1224.0148,188.55945,0.49540552,0.1451248,9.497112,0.873206,0.00179672,297.73013,-28.321518,370.27673,398.59827,0.018281186151504515,7739.776378154755,120000
117.58195,0.27671203,-7.702364,0.08771388,1.0,66.619965,-80.26207,600.2545,350.94995,1314.5703,207.6169,1.7405285,0.051230047,2.1971073,0.86719686,0.0020051799,294.5195,-0.3622726,365.67593,366.0382,102.8262,0.26178387,-7.773692,0.10554598,1.0,360.71878,1324.1996,187.00388,1.1573727,0.041223705,2.2161233,0.82062936,0.005206896,294.52118,2.584805,375.44485,372.86005,0.018321215963363648,7831.382462024689,125000
110.4424,0.2780702,-7.677002,0.08137339,1.0,63.743412,-62.306107,444.55606,361.90955,1360.971,189.31117,1.1713516,0.046493795,2.5624382,0.8568497,0.0022495792,293.14346,1.0278214,376.56674,375.5389,103.34332,0.23110938,-7.730871,0.09484081,1.0,357.56958,1375.8241,196.08301,1.332292,0.049539134,3.399681,0.8445146,0.0029514167,293.13382,0.13509566,372.2263,372.0912,0.018328738498687745,7923.026157617569,130000
114.76359,0.28839922,-7.6498494,0.074585244,1.0,65.02729,-102.23923,510.3816,352.49097,1387.1508,212.13367,2.156641,0.0507819,2.3541424,0.843222,0.0027343042,293.61337,-0.22957554,367.17163,367.4012,117.79499,0.22783068,-7.767941,0.10410828,1.0,352.1626,1379.3356,200.03787,0.113799214,0.08005616,4.7174754,0.87432146,0.0027933507,293.63156,-8.825438,366.84418,375.66962,0.02266320309638977,8036.342174768448,135000
122.81427,0.3081053,-7.6982756,0.08669187,1.0,92.15818,-90.786255,500.85254,356.46332,1465.0533,201.50876,0.6128178,0.052517727,2.6087875,0.87090856,0.0033092208,295.00424,-0.7427399,371.21353,371.95627,112.00814,0.26515216,-7.7534976,0.10049741,1.0,355.13217,1417.4126,203.0279,0.5143746,0.05384416,2.6784127,0.85384524,0.0021882919,295.00763,-1.1340567,369.88254,371.0166,0.023531019830703735,8153.997277736664,140000
124.08407,0.38146633,-7.6585617,0.07676336,1.0,187.79642,-306.45795,1050.821,360.4784,1442.293,194.45638,1.2238892,0.043835573,1.9859056,0.8739952,0.003580471,299.4392,1.8458714,375.45038,373.6045,110.011246,0.25419357,-7.731944,0.09510902,1.0,358.31323,1386.7004,199.89398,0.20348312,0.05029636,3.095653,0.84316605,0.0011316787,299.42706,-0.088737614,373.28458,373.37332,0.02355883288383484,8271.791445016861,145000
111.98621,0.2432398,-7.694013,0.08562618,1.0,83.638535,-96.2462,475.8758,358.67548,1319.4506,195.52472,0.7220737,0.045790102,2.189712,0.86149734,0.0010926119,308.78375,1.2999482,374.1147,372.81473,113.84427,0.30354345,-7.737911,0.09660069,1.0,362.07077,1302.5927,184.10178,0.029073033,0.05951934,4.562654,0.84802306,0.003367836,308.7798,-2.9393792,377.50974,380.44913,0.023586967945098878,8389.726286649704,150000
119.085365,0.31765175,-7.6814394,0.082482785,1.0,54.72084,-47.141483,395.61496,354.55112,1457.6793,209.68498,0.33941472,0.0441199,2.306339,0.86723614,0.001936509,295.43994,1.7372172,369.32312,367.5859,122.25397,0.29764703,-7.762018,0.1026275,1.0,365.70667,1449.0398,176.58032,0.19741055,0.058116257,3.839721,0.86969733,0.0076032877,295.42233,-2.3977234,380.47778,382.87552,0.17511583423614502,9265.30546283722,155000
119.78543,0.29552323,-7.6900315,0.084630854,1.0,125.90701,-80.351006,467.35837,358.56342,1490.6948,200.45427,1.4475384,0.044045635,2.1158435,0.86185884,0.00044685646,297.17075,1.7694634,373.42197,371.6525,109.18431,0.26695114,-7.770193,0.10467124,1.0,354.74637,1452.7162,205.69522,2.0226278,0.046987183,2.423462,0.8396776,0.0037578703,297.19836,0.8954044,369.6063,368.71088,0.007888253593444824,9304.746732234955,160000
