training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,training/value/d_neg_loss,training/value/d_neg_max,training/value/d_neg_mean,training/value/d_neg_min,training/value/d_pos_loss,training/value/d_pos_max,training/value/d_pos_mean,training/value/d_pos_min,training/value/lam,training/value/lam_loss,training/value/total_loss,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/value/d_neg_loss,validation/value/d_neg_max,validation/value/d_neg_mean,validation/value/d_neg_min,validation/value/d_pos_loss,validation/value/d_pos_max,validation/value/d_pos_mean,validation/value/d_pos_min,validation/value/lam,validation/value/lam_loss,validation/value/total_loss,validation/value/value_loss,time/epoch_time,time/total_time,step
302.75604,0.25055003,-9.309699,0.48954785,1.0,22.59933,-159.12392,1394.031,480.6565,30.946514,20.165363,6.155197,159.17392,30.032915,12.742756,0.037872996,1.0,-159.12392,480.70654,639.83044,270.79736,0.19443011,-9.201037,0.4623822,1.0,483.2261,29.24731,17.57486,5.55162,99.16982,26.235397,10.115349,0.016066782,1.0003,-99.14956,483.2761,582.42566,0.004375884866714477,21.879425525665283,1
453.38986,2.4248447,-7.7949395,0.110857844,1.0,272.32764,-239.51923,2511.9219,150.35239,1057.7048,438.4358,1.6257937,14.983544,15.4269085,3.6327085,0.012519871,5.0493817,-75.40517,150.60486,226.01003,472.6602,2.5126212,-7.7579618,0.10161339,1.0,146.33049,1042.4335,442.8986,2.1313481,15.016608,15.994365,3.7113702,0.0055162054,5.050976,-75.59598,146.58304,222.17902,0.22215464425086975,1132.6526501178741,5000
392.17676,1.4940543,-7.722517,0.09275229,1.0,251.39319,-149.83516,1674.0099,249.5514,751.49274,272.2327,0.22309367,3.3061461,7.3052497,2.0569677,0.020843519,23.040579,-75.02349,250.70343,325.72693,370.16748,1.4750646,-7.726604,0.093773976,1.0,243.5392,707.66895,279.41766,1.4503657,3.3586206,9.847838,1.9718531,0.009761191,23.047445,-76.25526,244.69159,320.94684,0.21520691242218018,2208.6872136592865,10000
272.57663,0.83420193,-7.693837,0.085582204,1.0,168.1974,-78.23276,1083.8695,352.2894,442.3469,152.08553,0.44204128,0.44376242,4.1993837,1.144644,0.0036318235,87.032394,-34.270084,356.64102,390.9111,289.15814,0.89380646,-7.720344,0.09220891,1.0,353.93338,421.8557,150.28537,0.11242676,0.5077572,5.3561306,1.1831613,0.000916285,87.053696,-39.849453,358.28607,398.13553,0.11783594121932983,2797.866923093796,15000
151.02675,0.5562212,-7.7163286,0.091205075,1.0,108.13853,-57.50051,720.1884,393.9756,291.02075,108.370865,0.8858435,0.07256398,2.4130113,0.80305344,0.0031000972,249.8326,-5.6372185,406.46722,412.10443,161.03343,0.5954508,-7.7027135,0.087801345,1.0,398.54666,304.71448,103.715744,0.24104662,0.08824654,3.1974473,0.8412368,0.0046821916,249.87178,-9.55673,411.04025,420.597,0.006739034223556518,2831.56209564209,20000
123.23111,0.5268377,-7.689266,0.084439434,1.0,77.2077,-40.176064,453.595,409.56354,215.85194,92.33403,0.18223065,0.04854506,2.376554,0.79058987,0.0036874213,316.1302,0.45995107,425.37006,424.9101,123.9129,0.52787536,-7.698704,0.08679897,1.0,412.72586,232.71335,89.137405,0.692608,0.045728058,2.3860765,0.7857816,0.0041618547,316.09927,1.3503581,428.53085,427.18048,0.11189618883132935,3391.043041706085,25000
139.4236,0.55929244,-7.693407,0.08547486,1.0,62.61065,-127.698364,826.2965,401.84088,290.6734,100.28775,0.49119318,0.05294633,2.3774505,0.80545795,0.005282394,324.65375,-0.95653653,418.07355,419.0301,130.5004,0.54269433,-7.6901007,0.08464804,1.0,404.46115,291.68558,97.60163,1.0580804,0.052315768,2.3819928,0.7782174,0.0025522714,324.67697,-0.75187624,420.695,421.44687,0.00918032546043396,3436.944671869278,30000
133.45676,0.56696045,-7.6564903,0.07624547,1.0,89.55868,-91.032486,665.1395,402.2449,294.65005,99.90291,0.7700608,0.044771373,2.4381769,0.81402194,0.0030537706,326.26227,1.7059039,418.558,416.8521,143.91974,0.57066286,-7.6873837,0.083968826,1.0,404.4509,288.23505,97.6071,0.37444854,0.06145961,2.8605027,0.8126422,0.002376927,326.2273,-3.7384367,420.76227,424.5007,0.1162191056728363,4018.040203332901,35000
129.3436,0.52180624,-7.695838,0.08608255,1.0,85.144516,-70.158134,662.658,401.26218,266.46588,100.891525,0.017960915,0.04421877,2.5109274,0.7869588,0.0037040627,328.53424,1.8993319,417.68887,415.78955,147.93492,0.56423396,-7.6831326,0.082906105,1.0,403.16864,276.26984,98.92639,0.025288101,0.06570144,2.6372995,0.81707233,0.0016927542,328.4949,-5.1578426,419.59338,424.75122,0.005465774965286255,4045.369081258774,40000
128.59973,0.53579485,-7.6670885,0.078895144,1.0,79.02741,-121.42189,758.6429,404.27594,266.68777,97.81604,0.4183715,0.045147765,2.384633,0.79307485,0.011451668,328.29025,1.5929415,420.69046,419.0975,138.3633,0.5646517,-7.695651,0.086035624,1.0,403.75043,314.65768,98.34724,0.75523996,0.056792494,2.64407,0.7975725,0.00342797,328.22482,-2.2294648,420.16168,422.39114,0.09760934700965881,4533.415817499161,45000
144.29085,0.57592463,-7.6689596,0.07936278,1.0,96.775116,-98.6243,642.76404,402.18008,318.7828,99.96676,0.18711913,0.052647553,2.358915,0.7977364,0.0042375075,329.3731,-0.87203264,418.64874,419.52078,150.71927,0.5887761,-7.69357,0.08551547,1.0,402.72742,295.29984,99.3911,0.3790772,0.061932668,2.464551,0.84219193,0.001510551,329.3552,-3.930086,419.1952,423.12527,0.007502332544326782,4570.927481651306,50000
135.68547,0.5551137,-7.653759,0.07556277,1.0,77.9167,-102.660225,547.3836,401.59537,271.65863,100.56299,0.102827854,0.047943443,2.3457596,0.7936392,0.0029587517,330.78256,0.6802734,418.1345,417.45422,132.13998,0.5265354,-7.6759825,0.08111861,1.0,399.5117,296.87195,102.685844,0.5483885,0.045690373,2.46196,0.78584397,0.0053878496,330.7488,1.4254044,416.04913,414.62372,0.13380449304580688,5239.949951171875,55000
130.33255,0.5340533,-7.6797132,0.08205137,1.0,43.332745,-35.974144,464.25296,404.33435,301.909,97.74762,0.348591,0.044146445,2.1076393,0.7887971,0.0012657429,331.31183,1.9393524,420.89996,418.9606,150.1998,0.59468585,-7.6696863,0.07954456,1.0,404.26538,270.8338,97.80963,0.14743945,0.05769182,2.3936489,0.82692456,0.0009564109,331.28766,-2.548205,420.82974,423.37796,0.005451840353012085,5267.209154129028,60000
