training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,training/value/d_neg_loss,training/value/d_neg_max,training/value/d_neg_mean,training/value/d_neg_min,training/value/d_pos_loss,training/value/d_pos_max,training/value/d_pos_mean,training/value/d_pos_min,training/value/lam,training/value/lam_loss,training/value/total_loss,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/value/d_neg_loss,validation/value/d_neg_max,validation/value/d_neg_mean,validation/value/d_neg_min,validation/value/d_pos_loss,validation/value/d_pos_max,validation/value/d_pos_mean,validation/value/d_pos_min,validation/value/lam,validation/value/lam_loss,validation/value/total_loss,validation/value/value_loss,time/epoch_time,time/total_time,step
314.55426,0.2230933,-9.799631,0.6120305,1.0,24.001993,-106.8103,964.002,481.5744,31.321774,19.240528,4.905462,106.860306,28.247515,10.185276,2.636517,1.0,-106.8103,481.6244,588.4347,267.6582,0.076240614,-9.73407,0.59564024,1.0,483.42392,30.080341,17.376236,4.4625444,79.754074,26.841562,8.588425,1.6880953,1.0003,-79.72799,483.4739,563.2019,0.005994198131561279,29.97099232673645,1
364.38654,0.67648005,-9.311186,0.48991936,1.0,188.73991,-232.36436,1468.4675,72.28339,1637.6676,757.1517,12.02809,10.931709,17.890703,3.168768,0.14448124,2.4739614,-26.920927,72.40708,99.32801,363.37354,0.52334297,-9.301876,0.48759186,1.0,64.22039,1635.3912,787.0856,7.5074987,9.907251,23.48511,3.084156,0.109952025,2.4744089,-24.39087,64.34412,88.734985,0.24931379532814027,1276.539971113205,5000
304.50952,0.47471386,-9.320761,0.49231318,1.0,242.57013,-1326.7455,6836.5435,89.32424,1334.5276,636.543,6.1010084,11.300657,77.29581,2.1625173,0.10467418,8.28327,-93.19223,89.7384,182.93063,304.66595,0.5070677,-9.285429,0.48348004,1.0,82.98155,1352.757,651.48804,7.314776,8.092995,63.616055,2.1999238,0.12541595,8.284992,-66.63615,83.395805,150.03195,0.2437885585308075,2495.482765674591,10000
200.79181,0.2564397,-9.3284025,0.49422365,1.0,342.1949,-400.4004,2132.4663,161.5074,933.46356,415.9574,0.9629781,1.3806038,12.20559,1.3608283,0.071885176,28.659437,-38.134357,162.94038,201.07474,209.83737,0.30309576,-9.2933235,0.48545393,1.0,145.5188,909.4192,440.80847,1.0770099,1.418819,9.932734,1.4088777,0.06815943,28.662485,-39.233753,146.95192,186.18567,0.15877962317466734,3289.3808846473694,15000
182.35757,0.26509526,-9.259678,0.47704226,1.0,1319.9153,-436.1467,4556.653,149.91269,1016.13666,432.09833,1.1959349,0.6007314,5.73162,1.1204855,0.033956833,77.12011,-42.47246,153.76869,196.24115,174.67175,0.22864527,-9.314263,0.49068874,1.0,145.52551,1008.46185,439.97403,2.4241858,0.81657547,8.027775,1.1551352,0.041745387,77.13659,-59.131016,149.38235,208.51337,0.007847633981704712,3328.619055747986,20000
149.98961,0.15582564,-9.301323,0.48745388,1.0,771.1579,-474.81146,4383.0186,216.12498,742.7108,318.2544,0.91994935,0.5018271,5.71296,1.0745901,0.044699788,124.04328,-56.046116,222.32715,278.37326,169.1959,0.2619262,-9.285388,0.48346984,1.0,201.80008,763.03357,337.922,1.7632631,0.5798702,5.483836,1.1179248,0.048294034,124.05387,-65.73245,208.00278,273.73523,0.15171261734962463,4087.182144165039,25000
124.977005,0.16137058,-9.32367,0.4930405,1.0,2241.7864,-1425.2958,8837.305,224.04715,667.74146,303.4469,2.3857045,0.29700398,6.590015,0.89041936,0.042656176,252.23932,-62.30412,236.6591,298.96323,144.72679,0.22382984,-9.342104,0.49764913,1.0,225.62569,661.82385,303.15308,2.8442225,0.3160975,5.193565,0.9157783,0.04411938,252.30249,-67.13706,238.24081,305.37787,0.007820131731033325,4126.282804965973,30000
71.97934,0.18566418,-9.305218,0.48842764,1.0,2485.5593,-9812.195,36521.24,276.0729,536.5997,236.3464,0.8578271,1.0723145,32.626396,0.6955578,0.022626588,501.7878,-512.985,301.16223,814.1472,85.568184,0.16682398,-9.357811,0.50157565,1.0,272.2161,555.7828,241.38356,0.683874,0.073140904,5.2586536,0.67539155,0.033410102,501.90887,-11.614625,297.31152,308.92615,0.15652452564239502,4908.905439853668,35000
50.949387,0.067712545,-9.286623,0.48377874,1.0,1748.142,-1387.9796,6354.6846,307.1949,489.98004,200.97165,0.2736803,0.048099846,4.364428,0.59293616,0.026901409,734.6277,1.3959066,343.92627,342.53036,63.494354,0.09649708,-9.319078,0.4918927,1.0,301.51178,475.89685,207.10684,0.43594167,0.05141334,2.973572,0.61895937,0.027153684,734.6897,-1.0383648,338.24628,339.28464,0.007849431657791138,4948.152600288391,40000
54.369415,0.09023348,-9.314066,0.49063933,1.0,1163.092,-584.4392,4269.1797,273.85864,543.604,239.84161,1.1794473,0.028087106,2.32556,0.56819636,0.022781938,841.22687,18.433716,315.91998,297.48627,63.119312,0.1272279,-9.34066,0.4972881,1.0,274.0111,549.9785,239.1973,3.0498056,0.029801764,2.9844468,0.5813748,0.016879976,841.18475,16.99045,316.07034,299.0799,0.1540689078807831,5718.497142791748,45000
