training/actor/actor_loss;training/actor/adv;training/actor/bc_log_prob;training/actor/mse;training/actor/std;training/grad/max;training/grad/min;training/grad/norm;training/value/d_neg_loss;training/value/d_neg_max;training/value/d_neg_mean;training/value/d_neg_min;training/value/d_pos_loss;training/value/d_pos_max;training/value/d_pos_mean;training/value/d_pos_min;training/value/lam;training/value/lam_loss;training/value/total_loss;training/value/value_loss;validation/actor/actor_loss;validation/actor/adv;validation/actor/bc_log_prob;validation/actor/mse;validation/actor/std;validation/value/d_neg_loss;validation/value/d_neg_max;validation/value/d_neg_mean;validation/value/d_neg_min;validation/value/d_pos_loss;validation/value/d_pos_max;validation/value/d_pos_mean;validation/value/d_pos_min;validation/value/lam;validation/value/lam_loss;validation/value/total_loss;validation/value/value_loss;time/epoch_time;time/total_time;step
254.25014;-0.03407003;-9.363913;0.5031012;1.0;20.744688;-92.19478;1056.2275;483.8024;29.738396;16.994177;3.0387971;92.24478;27.13506;9.142477;0.01011352;1.0;-92.19478;483.85242;576.0472;209.00314;0.016927037;-9.2246;0.46827304;1.0;486.639;29.141586;14.135395;0.013497307;61.22254;26.06105;7.453107;0.0071821897;1.0003;-61.1909;486.68906;547.87994;0.00014081208005158201;15.645773649215698;1
88.84587;0.044139475;-7.647606;0.074024424;1.0;234.12283;-243.33138;1302.1393;288.5394;1202.7847;320.97858;0.64777815;0.044891886;3.7261562;0.7301278;0.004091484;347.35706;1.7743396;305.90726;304.1329;93.29652;0.25253397;-7.7437;0.098047964;1.0;298.90253;1214.4747;304.9718;0.75794995;0.07035084;4.3481317;0.77978224;0.004894167;347.33105;-7.0684786;316.26907;323.33755;0.006515670282531244;739.6084182262421;111112
89.20969;0.2680273;-7.6573133;0.07645123;1.0;138.5467;-163.57167;755.8985;270.39035;2120.8735;404.15448;0.46259755;0.031328753;2.0916567;0.75614;0.002938016;353.0365;6.591632;288.04218;281.45053;110.767494;0.3393969;-7.7197676;0.092064925;1.0;278.48837;2235.848;421.434;0.48233235;0.06676096;4.046301;0.8243371;0.003929509;353.01547;-5.916877;296.13916;302.05603;0.0029922852527031907;1072.0842282772064;222223
102.59753;0.28464562;-7.628438;0.06923257;1.0;219.51973;-203.66322;811.0382;259.62256;2268.8179;455.82227;1.1440009;0.04343138;2.7930803;0.797815;0.0029775184;359.9655;2.3644774;277.62082;275.25635;103.129265;0.26825708;-7.7286916;0.0942958;1.0;286.17664;2278.6511;414.615;0.87451273;0.15016371;5.60901;0.8539715;0.004659279;359.92554;-36.05148;304.1729;340.2244;0.002603110518988815;1361.3184466362;333334
112.36389;0.30656326;-7.614586;0.06576945;1.0;83.144646;-168.29475;644.2908;277.61108;2370.4114;422.19495;1.0711092;0.05290811;3.4832003;0.835291;0.0011532303;366.02405;-1.0644385;295.91226;296.9767;108.78667;0.27328956;-7.741186;0.09741941;1.0;284.135;2384.2585;425.77078;0.26650473;0.42788827;19.046307;0.8850646;0.0049057663;366.02158;-138.31526;302.4361;440.75134;0.002579936216363142;1647.9777445793152;444445
100.737976;0.26340884;-7.6456137;0.07352637;1.0;135.42943;-204.81903;1081.0333;266.3877;2742.172;458.8161;1.2037454;0.05843597;3.6784801;0.82533675;0.0029818607;364.12863;-3.0717776;284.59412;287.6659;104.50428;0.19563252;-7.7331;0.0953979;1.0;273.83746;2466.4883;466.4392;1.3275586;0.49376217;19.74796;0.87866163;0.0070587583;364.15347;-161.59753;292.04514;453.64267;0.0026048253320287013;1937.402495622635;555556
104.121765;0.29452837;-7.6210613;0.06738822;1.0;129.07126;-227.74626;750.66675;253.45271;2769.7593;522.4313;1.6103195;0.04434583;2.4043467;0.8248867;0.0016312426;368.73883;2.0849125;271.88965;269.80475;115.59396;0.30371332;-7.741581;0.09751817;1.0;280.3918;2496.4023;439.59192;1.1851871;0.24760811;10.97143;0.8805891;0.004149517;368.74603;-72.86721;298.8291;371.69632;0.0025948813711932457;2225.7223649024963;666667
104.222145;0.19718455;-7.634118;0.07065247;1.0;131.23068;-287.53302;766.47534;254.14767;2639.3472;519.5976;0.8239393;0.039751906;2.2227902;0.8350072;0.0029799452;364.14722;3.731815;272.35504;268.62323;122.15842;0.17456685;-7.7510514;0.099885784;1.0;267.19342;2669.1821;488.39563;0.7547445;0.11922222;5.3399334;0.8894558;0.004344286;364.1474;-25.207088;285.4008;310.60788;0.002585519669164536;2513.00204372406;777778
107.69979;0.28720188;-7.62864;0.06928312;1.0;133.0772;-233.09386;1037.7415;255.02661;2637.8577;514.40594;0.881782;0.05312334;3.2429018;0.84488446;0.0039172913;367.04333;-1.1464008;273.37878;274.52518;115.15381;0.19739799;-7.727008;0.09387502;1.0;281.5036;2777.03;455.17374;0.18210545;1.5114802;38.858635;0.93278277;0.0058514164;367.03934;-536.4208;299.85553;836.2763;0.0025726063283188377;2798.8469076156616;888889
111.56067;0.2855187;-7.618129;0.06665519;1.0;141.87857;-178.0191;621.05566;262.47772;2780.6594;505.2802;1.6769596;0.054866247;3.3201058;0.8449096;0.003558134;365.9169;-1.7806417;280.77356;282.5542;123.87536;-0.014056012;-7.744585;0.09826924;1.0;267.9884;2804.279;507.27576;1.5264423;0.2513746;11.938712;0.89858985;0.004645607;365.89682;-73.68233;286.28326;359.96558;0.0025633547106954854;3083.663815975189;1000000
