training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,training/value/d_neg_loss,training/value/d_neg_max,training/value/d_neg_mean,training/value/d_neg_min,training/value/d_pos_loss,training/value/d_pos_max,training/value/d_pos_mean,training/value/d_pos_min,training/value/lam,training/value/lam_loss,training/value/total_loss,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/value/d_neg_loss,validation/value/d_neg_max,validation/value/d_neg_mean,validation/value/d_neg_min,validation/value/d_pos_loss,validation/value/d_pos_max,validation/value/d_pos_mean,validation/value/d_pos_min,validation/value/lam,validation/value/lam_loss,validation/value/total_loss,validation/value/value_loss,time/epoch_time,time/total_time,step
312.3328,0.4097156,-9.429992,0.51962066,1.0,36.239334,-92.01373,1184.7925,483.16083,28.305216,17.640911,4.5650263,92.063736,28.35637,9.405209,0.015446829,1.0,-92.01373,483.21082,575.22455,243.65207,0.19037789,-9.253454,0.47548643,1.0,485.29065,27.633842,15.494247,2.7063887,53.432796,25.02782,7.1450853,0.021763263,1.0003,-53.398815,485.3407,538.7395,0.004518034696578979,22.59017515182495,1
440.69482,2.1276927,-7.780064,0.10713907,1.0,258.45566,-378.55765,2924.1514,132.92143,1221.1584,501.90765,1.3202021,13.4677105,24.929703,3.4223924,0.01648496,4.6034055,-61.767162,133.1516,194.91876,427.47232,1.9506214,-7.760475,0.10224177,1.0,129.73552,1191.9326,507.83386,2.1359205,11.73546,31.603073,3.2914522,0.09328772,4.604742,-53.80853,129.96576,183.77429,0.22384903144836427,1141.8353345394135,5000
363.7066,1.340327,-7.7256184,0.09352748,1.0,371.07486,-348.738,3792.0522,195.93164,976.6717,368.3856,0.86264265,3.4342725,23.19102,1.9786208,0.0076760435,20.643639,-69.8637,196.9638,266.8275,352.48502,1.2409774,-7.7054367,0.08848213,1.0,189.34442,985.77905,380.45355,0.83775747,2.585598,15.403388,1.8610519,0.009464601,20.649668,-52.359257,190.3769,242.73616,0.2181900227546692,2232.7854499816895,10000
225.97867,0.72261333,-7.698675,0.08679174,1.0,179.13364,-154.09692,1387.6093,330.09415,549.13385,178.92995,0.36812434,0.6916672,7.4431195,1.1971866,0.0044962615,61.017647,-39.153023,333.14502,372.29803,216.73505,0.6208757,-7.7104216,0.089728415,1.0,333.09766,549.5098,175.53738,0.666779,0.5991142,6.610477,1.1897016,0.016222589,61.0182,-33.50596,336.1486,369.65454,0.11785097370147705,2822.0403220653534,15000
253.8386,0.73321414,-7.671631,0.08003076,1.0,291.91266,-564.7494,3175.0422,292.82397,652.15106,224.54578,1.780633,0.5913228,5.49662,1.2072867,0.0077171735,77.79865,-42.11418,296.71393,338.8281,265.15497,0.8218937,-7.7180276,0.09162983,1.0,298.98846,651.7441,217.10226,1.1815456,0.62969124,6.1183357,1.217337,0.012939452,77.80814,-45.1047,302.87888,347.98358,0.012634799146652222,2885.214320898056,20000
136.43959,0.47672367,-7.69253,0.08525552,1.0,178.36101,-178.92047,1715.0391,353.93384,615.2489,152.87842,0.56880915,0.1393886,4.3309584,0.8356911,0.0037711745,213.23734,-19.06099,364.5957,383.65668,134.31737,0.5103477,-7.6832147,0.08292656,1.0,352.00378,613.0523,155.67691,0.33971646,0.13346155,5.1111364,0.8506046,0.0023536175,213.27484,-17.80025,362.6675,380.46777,0.12219524531364441,3496.190549135208,25000
115.997604,0.47633803,-7.6703234,0.0797038,1.0,266.21683,-360.4765,2048.0476,334.34625,807.7122,183.99213,0.3323526,0.057226703,3.0495782,0.743984,0.0017247953,388.9298,-2.8106797,353.79276,356.60342,109.62286,0.45118213,-7.6820273,0.082629785,1.0,335.6357,799.3238,178.89452,0.29408225,0.042990405,2.5406322,0.7320715,0.0020474554,388.9404,2.726315,355.08273,352.3564,0.009426181983947754,3543.321462869644,30000
112.741554,0.5114488,-7.6864643,0.083739065,1.0,195.27342,-238.70825,1320.2809,331.0334,881.8833,188.54688,0.16004328,0.046150424,3.2428331,0.75001734,0.005027555,444.18518,1.7099252,353.24265,351.5327,108.35397,0.45623276,-7.681245,0.08243421,1.0,334.6772,876.32556,184.12,0.36166254,0.04853315,4.477577,0.7278034,0.0024170661,444.1805,0.65154696,356.88623,356.23468,0.1280696089744568,4183.669509410858,35000
111.73833,0.49074638,-7.662792,0.077821046,1.0,175.317,-296.0243,1770.2583,334.26428,1012.2092,189.96869,0.8064576,0.043498702,2.447506,0.7511085,0.009937526,453.83447,2.9505134,356.956,354.0055,112.34384,0.5111816,-7.6779833,0.08161868,1.0,333.53162,1011.8516,197.47302,0.4468102,0.042072088,2.6820586,0.7466791,0.023382727,453.79227,3.5976257,356.22122,352.6236,0.005748890924453735,4212.413967370987,40000
71.54223,0.35671613,-7.683193,0.08292125,1.0,252.51643,-153.7881,1281.6088,396.8541,507.1551,107.14836,0.5677558,0.024259817,2.4156551,0.6752323,0.0021747018,491.80112,12.659051,421.44415,408.7851,65.54725,0.3348818,-7.668275,0.07919165,1.0,389.7415,503.67618,114.5983,0.27035856,0.023861822,3.4893317,0.64375526,0.0067979107,491.80087,12.854779,414.3315,401.47675,0.12048039617538452,4814.815949678421,45000
