training/actor/actor_loss;training/actor/adv;training/actor/bc_log_prob;training/actor/mse;training/actor/std;training/grad/max;training/grad/min;training/grad/norm;training/value/d_neg_loss;training/value/d_neg_max;training/value/d_neg_mean;training/value/d_neg_min;training/value/d_pos_loss;training/value/d_pos_max;training/value/d_pos_mean;training/value/d_pos_min;training/value/lam;training/value/lam_loss;training/value/total_loss;training/value/value_loss;validation/actor/actor_loss;validation/actor/adv;validation/actor/bc_log_prob;validation/actor/mse;validation/actor/std;validation/value/d_neg_loss;validation/value/d_neg_max;validation/value/d_neg_mean;validation/value/d_neg_min;validation/value/d_pos_loss;validation/value/d_pos_max;validation/value/d_pos_mean;validation/value/d_pos_min;validation/value/lam;validation/value/lam_loss;validation/value/total_loss;validation/value/value_loss;time/epoch_time;time/total_time;grad/value_cosine_similarity_mean;grad/actor_cosine_similarity_mean;grad/value_cosine_similarity_std;grad/actor_cosine_similarity_std;grad/value_magnitude_similarity_mean;grad/actor_magnitude_similarity_mean;grad/value_magnitude_similarity_std;grad/actor_magnitude_similarity_std;grad/value_scale_mean;grad/actor_scale_mean;grad/value_scale_std;grad/actor_scale_std;feature/embedding_rank;step
20.90971;0.06633146;-5.0730352;0.19133702;1.0;0.6299434;-1.8786585;52.54009;479.04492;29.411932;21.789856;9.764805;1.9286585;11.074016;1.8558247;0.38185412;1.0;-1.8786585;479.0949;480.97357;23.741077;0.115348734;-5.0778475;0.19326186;1.0;476.35773;33.665115;24.500164;4.379991;2.2733788;12.948908;1.9574718;0.43280602;1.0003;-2.224046;476.4077;478.63177;0.0003197868633945752;35.531840324401855;0.030414557;0.009323019;0.054619174;0.32727438;0.95959896;0.51610464;0.1349628;0.34022912;129.49184;10.60198;103.97836;36.1974;255;1
39.889793;0.16728362;-4.6351004;0.016163096;1.0;39.588863;-46.519;1536.6179;208.94984;989.4888;328.73892;1.0691947;0.047106557;2.7576063;0.7513697;0.004900776;830.12103;2.4019089;250.4559;248.05399;58.91696;0.19259125;-4.6601706;0.026191086;1.0;214.68051;845.9277;317.78998;7.097442;3.3360984;46.288998;1.0760981;0.009504188;830.25836;-2728.3108;256.19336;2984.5042;0.029277498822863204;3288.5840151309967;0.025376588;0.00012099582;0.081888825;0.14517057;0.43348414;0.3354453;0.41177392;0.3439688;31223.426;41.30436;84332.22;99.02379;21;111112
40.92333;0.2284515;-4.632809;0.015246597;1.0;77.640755;-81.56871;1192.6084;147.1258;1311.9877;445.6582;6.8329387;0.043261737;2.4009614;0.78012943;0.009249991;692.60187;4.6669345;181.75589;177.08896;84.332565;0.2964761;-4.6529713;0.023311494;1.0;149.05963;1252.6212;453.40167;7.6055603;3.2312553;31.01134;1.4120336;0.007556436;692.5448;-2203.1619;183.68677;2386.8486;0.021980334613133763;5730.8409786224365;0.017959282;0.0013548834;0.070626825;0.13677686;0.30483925;0.28147003;0.36609572;0.33198562;61869.32;64.180435;146782.45;174.98822;20;222223
44.946808;0.20141605;-4.636599;0.016762609;1.0;43.34737;-61.00847;972.8369;127.441055;1442.4177;507.79828;13.325653;0.037027758;2.4908533;0.7964013;0.017091814;586.9443;7.6139836;156.78827;149.17429;94.66092;0.20879315;-4.658659;0.025586694;1.0;123.68547;1411.8105;515.0596;6.7591295;10.851217;65.496864;1.7867814;0.019503137;586.8662;-6338.869;153.0293;6491.8984;0.02130012501649846;8097.51917552948;0.011490435;2.7542526e-06;0.061479047;0.13137418;0.26928514;0.2569617;0.3400934;0.3257764;82460.15;76.71882;177628.92;163.56058;22;333334
46.237915;0.24732202;-4.631709;0.014806685;1.0;84.64406;-32.43529;1156.9058;97.93942;1757.3278;595.71924;21.777905;0.05016966;2.8866444;0.8170705;0.015573152;520.2967;-0.088274;123.95426;124.042534;101.67223;0.20054173;-4.656998;0.024922287;1.0;116.783455;1566.0212;552.3375;13.500219;3.9337664;19.72792;1.7547197;0.0073549566;520.2908;-2020.6879;142.79797;2163.4858;0.02130696117159664;10464.956943750381;0.012475703;-0.0004883297;0.065050654;0.12708908;0.25605664;0.2564225;0.33693135;0.32865924;98870.87;87.23105;214581.66;177.22609;24;444445
44.351097;0.21109436;-4.634478;0.015914118;1.0;53.53695;-50.856274;1203.1566;93.79529;1910.7002;609.75757;12.026533;0.051615283;3.302612;0.7877614;0.026199989;516.0098;-0.83350146;119.59578;120.42928;98.24657;0.21916297;-4.6655397;0.028339023;1.0;109.00981;1724.0273;576.97284;14.774555;13.072279;62.37565;1.9680223;0.033598896;516.02136;-6719.774;134.81104;6854.585;0.02089359709622809;12786.465416669846;0.0129761025;0.0011575271;0.06799804;0.12530519;0.2511022;0.24105847;0.3302989;0.32419676;106243.33;112.571304;245705.08;238.34833;26;555556
51.19645;0.29851907;-4.635068;0.016150054;1.0;29.170113;-36.06646;859.1879;74.72757;1904.204;699.94006;2.3243272;0.04963606;2.3550313;0.84090924;0.01186244;422.3557;0.15371308;95.84535;95.69164;118.36881;0.38466185;-4.6703353;0.030257035;1.0;95.24318;1989.7264;642.088;2.397864;12.08592;52.502396;2.2983732;0.012443258;422.34143;-5083.2676;116.36035;5199.628;0.020818532588781;15099.633398294449;0.012444425;0.0002866374;0.06794778;0.122718155;0.2478224;0.22685517;0.33020627;0.31765524;107897.805;123.92224;226947.81;259.35043;26;666667
41.061344;0.19151512;-4.6298523;0.014063966;1.0;31.4786;-31.85019;893.9012;83.8471;1882.9031;677.942;21.685493;0.031890735;2.537579;0.80900836;0.013597915;455.1324;8.242113;106.603714;98.3616;125.936676;0.3173119;-4.674882;0.03207583;1.0;95.74278;1876.6433;649.1092;9.335273;9.1504;30.221474;2.3071525;0.017534634;455.10004;-4141.5923;118.49805;4260.0903;0.021194837152383385;17454.612955331802;0.012022186;0.000686144;0.07252667;0.12087685;0.24327175;0.23128971;0.3264166;0.31950715;121131.26;136.86858;254623.14;344.92242;27;777778
50.566338;0.27559888;-4.628588;0.013558278;1.0;47.410027;-61.601845;1175.5529;66.81256;2347.2715;738.4251;50.55903;0.050950468;2.9538755;0.8448656;0.008109247;399.885;-0.38007745;86.80681;87.18689;130.76224;0.56318057;-4.6688724;0.029671991;1.0;78.06529;1942.0615;728.8264;6.0757847;17.480703;79.12815;2.5442414;0.046945896;399.86136;-6969.865;98.058105;7067.9233;0.021136191945460896;19803.076382398605;0.011446265;0.00019422518;0.07449233;0.12020423;0.25196582;0.22453046;0.33121258;0.31725124;116398.375;145.75958;249454.17;321.7349;28;888889
46.69532;0.25236696;-4.628869;0.013670616;1.0;77.52472;-96.98414;897.8078;70.637695;2222.0093;749.52246;20.586266;0.040856972;2.6301723;0.82401437;0.013660125;373.11224;3.4113758;89.29331;85.881935;133.92773;0.4231445;-4.6654077;0.028286044;1.0;78.73839;2048.8647;711.6681;17.05746;12.388483;47.004745;2.5687737;0.037231192;373.0847;-4603.299;97.39258;4700.6914;0.01942655653116316;21961.58050942421;0.0109258015;-7.375603e-05;0.07354907;0.11898059;0.25235015;0.2222667;0.33070272;0.31730902;128917.36;155.9847;288926.0;362.92242;28;1000000
