training/actor/actor_loss;training/actor/adv;training/actor/bc_log_prob;training/actor/mse;training/actor/std;training/grad/max;training/grad/min;training/grad/norm;training/value/d_neg_loss;training/value/d_neg_max;training/value/d_neg_mean;training/value/d_neg_min;training/value/d_pos_loss;training/value/d_pos_max;training/value/d_pos_mean;training/value/d_pos_min;training/value/lam;training/value/lam_loss;training/value/total_loss;training/value/value_loss;validation/actor/actor_loss;validation/actor/adv;validation/actor/bc_log_prob;validation/actor/mse;validation/actor/std;validation/value/d_neg_loss;validation/value/d_neg_max;validation/value/d_neg_mean;validation/value/d_neg_min;validation/value/d_pos_loss;validation/value/d_pos_max;validation/value/d_pos_mean;validation/value/d_pos_min;validation/value/lam;validation/value/lam_loss;validation/value/total_loss;validation/value/value_loss;time/epoch_time;time/total_time;grad/value_cosine_similarity_mean;grad/actor_cosine_similarity_mean;grad/value_cosine_similarity_std;grad/actor_cosine_similarity_std;grad/value_magnitude_similarity_mean;grad/actor_magnitude_similarity_mean;grad/value_magnitude_similarity_std;grad/actor_magnitude_similarity_std;grad/value_scale_mean;grad/actor_scale_mean;grad/value_scale_std;grad/actor_scale_std;feature/embedding_rank;step
23.288498;0.055195898;-5.0759516;0.1925037;1.0;0.80037516;-2.4446046;59.44925;480.79117;28.55017;20.029196;7.393418;2.4946046;11.53262;2.0135195;0.32195586;1.0;-2.4446046;480.84116;483.28577;26.62775;0.058683243;-5.0622387;0.18701844;1.0;477.754;34.363907;23.092274;5.2727427;2.564982;11.904246;2.0487642;0.19471948;1.0003;-2.5157366;477.80402;480.31976;0.0001531081045107687;17.01199746131897;0.038752705;0.01391624;0.08006906;0.37931553;0.94044983;0.4503471;0.13835594;0.3441571;129.6166;8.985041;105.93419;27.83423;250;1
35.144196;0.117313825;-4.638356;0.017465476;1.0;65.70016;-83.54702;1312.6727;247.58905;909.63196;286.52887;0.101167455;0.044392727;4.1208143;0.71022964;0.019999877;795.3001;4.459465;287.35406;282.8946;40.01927;0.16795492;-4.6432047;0.019404614;1.0;255.98318;862.0218;277.68365;2.0156612;0.2825808;10.848988;0.76044166;0.010724967;795.39;-184.99245;295.7527;480.74512;0.011851457560686077;1333.8393015861511;0.07141246;0.00023724254;0.15273082;0.14178705;0.62837666;0.3761593;0.39431402;0.34615633;6300.437;15.843872;34604.086;45.535954;17;111112
38.201683;0.12568066;-4.6429033;0.019284455;1.0;44.17783;-52.35959;870.4005;232.21172;1083.8406;314.59955;4.0393767;0.037809707;3.0683722;0.72106767;0.021655392;796.9952;9.715605;272.0615;262.3459;41.291378;0.124217555;-4.646919;0.020890374;1.0;229.3869;972.98364;320.27057;0.33985874;1.0019958;19.232498;0.8344467;0.009356815;796.92444;-758.6687;269.23315;1027.9019;0.0108335376201034;2537.564502954483;0.05440012;0.00085893966;0.1304083;0.13833465;0.57177687;0.36865443;0.39809301;0.34335113;7969.747;18.990723;39022.13;66.06868;22;222223
34.647663;0.13874511;-4.6373296;0.017054735;1.0;44.878273;-51.867397;1058.6399;206.52097;1245.3843;368.56036;4.323154;0.043437853;3.1941876;0.71968174;0.042562786;763.04297;5.0072002;244.67311;239.66591;41.88021;0.11751871;-4.6508636;0.022468364;1.0;215.53943;1240.326;352.6975;4.714552;1.2032343;23.285755;0.8769627;0.007663401;763.0659;-879.99384;253.69269;1133.6865;0.011075876079938733;3768.2161734104156;0.045451578;0.0009186979;0.11711877;0.13395062;0.47838554;0.36185303;0.39702246;0.342852;7083.9844;24.898487;26723.098;90.47195;25;333334
36.58299;0.13158286;-4.6344814;0.015915647;1.0;61.00438;-31.816269;897.0128;203.36446;1216.8951;378.33798;2.3462;0.03495118;2.582584;0.72851586;0.06565037;746.9849;11.241242;240.7137;229.47246;45.14376;0.001602754;-4.64704;0.020938957;1.0;199.57416;1284.0021;380.1589;0.46888417;12.327733;109.365074;1.0101662;0.026631655;746.88806;-9170.092;236.91895;9407.011;0.012055685592463089;5107.735458850861;0.04197609;0.0010660848;0.11224994;0.13092498;0.43732318;0.35605994;0.40740407;0.34156683;8889.414;23.380764;30430.885;63.292873;27;444445
33.18393;0.09570008;-4.638446;0.017501399;1.0;48.9644;-50.390907;1159.7432;200.14958;1314.9089;385.55933;3.3932834;0.055585545;3.731846;0.7337053;0.03864091;740.34955;-4.135255;237.16705;241.3023;43.64549;0.13997328;-4.6457615;0.020427614;1.0;204.6873;1237.634;376.19528;5.1640954;0.9275089;19.828518;0.8706225;0.041786574;740.28143;-649.6035;241.70142;891.30493;0.0119720168781944;6437.958231210709;0.045445297;-0.0001777136;0.118364535;0.12880695;0.44289714;0.36390764;0.4089122;0.34280747;10929.326;24.071587;40473.92;67.20102;28;555556
36.10539;0.15550736;-4.6314554;0.014705029;1.0;32.639954;-31.089355;807.2464;184.93661;1524.6937;417.15533;3.9088485;0.03744626;3.1286497;0.7594197;0.020919459;720.205;9.041266;220.94685;211.9056;50.959984;0.19156729;-4.6410017;0.018523637;1.0;203.34143;1480.6458;383.02408;6.7897882;4.6283712;59.24625;1.0368685;0.030793631;720.18;-3297.2512;239.35034;3536.6016;0.01187035610243847;7756.885373353958;0.050157025;-0.00066932186;0.12339313;0.12823446;0.4189263;0.34999946;0.39874196;0.34154156;10932.353;28.48414;44669.133;97.4807;29;666667
34.427208;0.14675266;-4.6353893;0.01627869;1.0;36.42667;-32.286926;925.02295;194.33762;1494.2113;405.70532;6.622647;0.04320459;3.2001052;0.7626904;0.07318852;715.99603;4.8654866;230.13742;225.27193;49.74198;0.12535785;-4.652691;0.023199359;1.0;197.75476;1310.6956;395.00592;2.7017133;1.0693928;14.409109;0.9536601;0.054991476;716.0043;-729.88965;233.55493;963.4446;0.01186745977085447;9075.490700483322;0.054546777;0.0005617709;0.12801085;0.12633106;0.4160187;0.35188282;0.4017677;0.34238338;12418.183;27.107843;54950.02;78.21541;31;777778
40.584774;0.21172407;-4.633214;0.015408537;1.0;59.01492;-50.441647;1111.9844;185.88159;1471.2007;419.67862;4.094655;0.047448717;3.9393706;0.77440614;0.089247435;706.4364;1.8023196;221.20341;219.4011;48.05035;0.17244102;-4.6454163;0.020289594;1.0;193.37793;1402.4948;401.42984;9.002656;1.0888523;16.857706;0.97985053;0.08386323;706.41003;-733.8557;228.69843;962.55414;0.011711400130551436;10376.756084442139;0.052898884;5.704462e-06;0.1315594;0.12395803;0.3826728;0.35038143;0.3934267;0.34499845;12850.889;40.648994;53517.664;146.3478;31;888889
37.209038;0.17799836;-4.6301947;0.014200881;1.0;42.98147;-23.643408;986.1729;175.48785;1630.7848;440.0891;9.30202;0.043339945;3.7222986;0.76867425;0.088891014;700.6274;4.6662173;210.51923;205.85301;50.989494;0.10244547;-4.649891;0.022079354;1.0;178.38148;1544.4169;431.6255;4.8518763;1.0732898;17.046473;0.99250484;0.09326963;700.5646;-716.88055;213.40967;930.2902;0.01169336940444614;11676.01805639267;0.06195026;-0.00022789357;0.1418491;0.11987555;0.39748114;0.34380165;0.40228102;0.34063956;13250.767;35.660767;52483.625;124.00415;31;1000000
