training/actor/actor_loss;training/actor/adv;training/actor/bc_log_prob;training/actor/mse;training/actor/std;training/grad/max;training/grad/min;training/grad/norm;training/value/d_neg_loss;training/value/d_neg_max;training/value/d_neg_mean;training/value/d_neg_min;training/value/d_pos_loss;training/value/d_pos_max;training/value/d_pos_mean;training/value/d_pos_min;training/value/lam;training/value/lam_loss;training/value/total_loss;training/value/value_loss;validation/actor/actor_loss;validation/actor/adv;validation/actor/bc_log_prob;validation/actor/mse;validation/actor/std;validation/value/d_neg_loss;validation/value/d_neg_max;validation/value/d_neg_mean;validation/value/d_neg_min;validation/value/d_pos_loss;validation/value/d_pos_max;validation/value/d_pos_mean;validation/value/d_pos_min;validation/value/lam;validation/value/lam_loss;validation/value/total_loss;validation/value/value_loss;time/epoch_time;time/total_time;step
663.20526;0.17575882;-24.567654;0.5018995;1.0;66.063;-317.60992;1854.2396;475.58112;31.614746;25.282959;14.863966;317.6599;30.941227;18.111954;0.36684576;1.0;-317.60992;475.6311;793.241;565.39014;-0.036336787;-23.910181;0.4392831;1.0;476.85605;30.697512;23.997055;9.454343;275.65125;27.525383;16.982801;1.4413759;1.0003;-275.68396;476.906;752.58997;0.00025444060974151307;28.27115273475647;1
235.91307;0.3045581;-20.16793;0.08287815;1.0;1090.4004;-1207.0906;6308.708;276.77948;640.1372;237.08897;0.49534395;0.038372383;2.421895;0.76817477;0.004661365;701.34;8.154914;311.84647;303.69156;241.24026;0.30351853;-20.222698;0.08809425;1.0;267.67633;632.4355;247.90897;3.2864969;0.038588263;2.2672749;0.7786105;0.004516276;701.2862;8.002894;302.74063;294.73773;0.014752695729563406;1667.4579329490662;111112
277.9492;0.32812685;-20.143692;0.08056973;1.0;2215.118;-905.7645;7754.1646;253.0322;703.2727;267.04813;0.4191533;0.04766304;2.3364131;0.8028185;0.002933806;684.2724;1.5991174;287.24582;285.6467;299.7551;0.33403826;-20.171377;0.08320654;1.0;253.45123;722.52545;268.39426;3.5370328;0.06086728;2.5816333;0.82668734;0.005249343;684.2326;-7.4357467;287.66284;295.0986;0.005794860813476536;2311.330720424652;222223
273.945;0.31777704;-20.105947;0.07697511;1.0;3025.3596;-1084.8429;8694.654;258.4364;679.16235;260.06967;3.7746854;0.046914525;2.1844904;0.8205087;0.0046898355;687.32574;2.1207266;292.80267;290.68195;279.5236;0.33082163;-20.178864;0.08391963;1.0;253.4091;703.6093;267.56052;1.0304826;0.044907853;2.1754422;0.8153714;0.012216069;687.32574;3.4999642;287.7754;284.27542;0.004781762472430578;2842.637136220932;333334
302.28635;0.35747355;-20.134474;0.07969193;1.0;1588.3259;-2068.4946;7347.785;254.35443;865.70044;267.36008;4.1883073;0.053206928;2.5730126;0.8472389;0.004302409;679.5951;-2.1794121;288.3342;290.5136;290.5791;0.36328363;-20.170118;0.08308663;1.0;246.35379;694.96783;276.19324;3.800068;0.06575636;3.6011496;0.83569205;0.0037641872;679.55365;-10.707291;280.33148;291.03876;0.0048041062872129;3376.426192998886;444445
276.0791;0.28507763;-20.096577;0.07608261;1.0;1056.8258;-665.6918;4342.3506;249.44061;986.0943;274.88483;1.379642;0.041279383;2.1655989;0.8263507;0.003089228;676.13696;5.896332;283.24747;277.35114;313.91742;0.39478093;-20.158453;0.081975706;1.0;240.85628;754.991;284.29172;3.2726169;0.05934699;3.049658;0.8529793;0.0018132285;676.1092;-6.3195844;274.66174;280.98132;0.00483456544032983;3913.599598646164;555556
314.08896;0.3371734;-20.080284;0.074530914;1.0;1345.6873;-2104.1934;5916.441;248.11057;913.5366;274.23782;4.4230976;0.04919689;2.1428127;0.8676479;0.0051553817;674.5435;0.54173213;281.83774;281.29602;293.545;0.30208284;-20.160416;0.08216263;1.0;233.16621;714.789;292.73975;4.997022;0.05305185;2.338023;0.84488946;0.0016100121;674.58246;-2.058725;266.89536;268.95407;0.004806324145837925;4447.635083198547;666667
313.05484;0.36319277;-20.106546;0.077032134;1.0;1074.7991;-1150.9197;4033.9482;249.57;992.8482;274.1246;2.277284;0.058977176;2.6741445;0.8671861;0.0021304018;673.0768;-6.042328;283.22385;289.26617;300.70123;0.33803573;-20.160524;0.08217296;1.0;239.52266;718.77344;284.19403;1.0722417;0.05072445;2.6465006;0.8611422;0.004291313;673.16156;-0.48767173;273.18073;273.6684;0.004807820596804895;4981.836842298508;777778
285.9461;0.29944116;-20.105139;0.07689811;1.0;708.1797;-1974.3405;4308.8647;237.56561;1111.0652;289.42047;7.224023;0.04934866;2.1725597;0.8631789;0.00047785993;672.1995;0.43783107;271.1756;270.73776;298.3665;0.34773213;-20.148315;0.08101014;1.0;235.6694;729.2757;291.2036;2.5190504;0.0592317;3.1825044;0.85937226;0.0013670416;672.21436;-6.20568;269.28012;275.4858;0.004788600099526537;5513.902993917465;888889
275.51367;0.3127207;-20.095205;0.07595204;1.0;743.4055;-2033.7952;5474.837;242.50056;1151.5923;282.8183;2.900055;0.045104794;2.2788115;0.85638547;0.0011584299;669.683;3.2782366;275.9847;272.70648;334.99823;0.35588998;-20.166367;0.08272942;1.0;235.65588;728.3;290.28613;3.7903175;0.07747472;3.2628133;0.90206206;0.0005212836;669.66833;-18.39895;269.13928;287.53824;0.004751714485200661;6041.870745420456;1000000
