training/actor/actor_loss;training/actor/adv;training/actor/bc_log_prob;training/actor/mse;training/actor/std;training/grad/max;training/grad/min;training/grad/norm;training/value/d_neg_loss;training/value/d_neg_max;training/value/d_neg_mean;training/value/d_neg_min;training/value/d_pos_loss;training/value/d_pos_max;training/value/d_pos_mean;training/value/d_pos_min;training/value/lam;training/value/lam_loss;training/value/total_loss;training/value/value_loss;validation/actor/actor_loss;validation/actor/adv;validation/actor/bc_log_prob;validation/actor/mse;validation/actor/std;validation/value/d_neg_loss;validation/value/d_neg_max;validation/value/d_neg_mean;validation/value/d_neg_min;validation/value/d_pos_loss;validation/value/d_pos_max;validation/value/d_pos_mean;validation/value/d_pos_min;validation/value/lam;validation/value/lam_loss;validation/value/total_loss;validation/value/value_loss;time/epoch_time;time/total_time;step
4.6192265;0.062179085;-2.3389819;0.5011048;1.0;6.762284;-6.5162015;137.27022;490.10883;31.679672;10.639512;0.09673305;2.5748637;30.247253;0.40738022;0.009232511;1.0;-2.5248637;490.1588;492.6837;7.404546;0.09145405;-2.3347557;0.49687874;1.0;486.04352;33.05772;14.737191;0.1292814;5.0396338;28.911957;0.6399294;0.009246478;1.0003;-4.991131;486.09354;491.08466;0.0002604148457667897;28.93495774269104;1
33.33525;0.24755302;-2.5087645;0.6708875;1.0;7.5367737;-16.59087;120.75916;430.46826;185.1835;71.00568;0.3932098;0.049395263;2.120066;0.9877973;0.045688443;184.93352;0.11183624;439.71494;439.6031;31.159285;0.20181954;-2.5502157;0.7123388;1.0;433.73508;190.78561;67.685036;0.43175855;0.047161087;1.9955322;0.9815785;0.049396068;184.93617;0.5250178;442.9819;442.45688;0.005494345827807589;639.4172205924988;111112
35.249138;0.239434;-2.513682;0.6758049;1.0;8.304695;-15.498129;97.62712;431.08508;197.33942;70.385666;1.3328629;0.055074416;2.3616743;1.0285845;0.017920852;183.8931;-0.93314993;440.27975;441.2129;32.945656;0.17699017;-2.5783658;0.74048895;1.0;431.9005;201.96121;69.55559;0.20895009;0.056221973;2.2344725;1.0235485;0.049577337;183.89897;-1.1442143;441.09546;442.2397;0.003976311283554631;1081.2291474342346;222223
30.3359;0.1824874;-2.5514336;0.7135566;1.0;9.110303;-3.3932097;73.017006;431.5124;202.63913;69.954285;0.27933687;0.043009788;1.7906883;0.9933314;0.013772857;184.52913;1.2898979;440.73883;439.44894;33.12242;0.2174313;-2.5421844;0.7043075;1.0;433.5731;198.58011;67.86313;0.96345556;0.056446232;2.3115118;1.0231543;0.012851196;184.5235;-1.1894811;442.79926;443.98874;0.0038065331088917363;1504.1768522262573;333334
31.54359;0.25043124;-2.4798691;0.641992;1.0;18.9488;-13.5204315;82.525154;432.742;195.38803;68.70986;0.40439966;0.044801265;1.7322831;0.99857473;0.03694356;184.24022;0.9578162;441.954;440.9962;31.601402;0.2176981;-2.532834;0.69495684;1.0;431.7291;193.14105;69.73239;0.5486672;0.05028596;2.324825;1.0101597;0.00589999;184.23012;-0.05268258;440.9406;440.9933;0.0038436476682249996;1931.2483923435211;444445
31.709284;0.22771479;-2.5261881;0.6883112;1.0;14.199158;-10.453325;98.40205;430.34802;205.03392;71.124435;0.26519144;0.05110609;2.2410352;1.0112684;0.037712555;184.66415;-0.20425533;439.58124;439.7855;31.97211;0.23665923;-2.536056;0.6981791;1.0;429.8434;198.30527;71.65209;0.060999483;0.0529043;2.475058;1.0015526;0.02721531;184.66794;-0.53633106;439.0768;439.61313;0.0039032249716072346;2364.9396300315857;555556
32.540653;0.21886012;-2.5363307;0.69845366;1.0;15.309906;-11.761333;88.03064;432.60345;193.491;68.84437;0.78084165;0.05002615;2.1513069;1.0120803;0.02164558;183.45029;-0.004796824;441.77597;441.78076;33.748558;0.21137041;-2.5347376;0.69686055;1.0;431.84027;198.76614;69.61896;0.98475075;0.054884233;2.1542387;1.0192118;0.05807086;183.46944;-0.89610726;441.01373;441.90985;0.0038812581491891335;2796.1901092529297;666667
29.746683;0.15783224;-2.5693712;0.73149407;1.0;10.8164215;-16.342705;80.6067;430.86676;200.33965;70.61354;0.46053028;0.044540536;2.0916011;0.9724173;0.020361725;184.574;1.0076753;440.0955;439.0878;33.7685;0.23066397;-2.5492043;0.71132743;1.0;431.2277;202.1453;70.2433;0.061021026;0.05739055;2.1539407;1.0286558;0.10027884;184.58704;-1.3641993;440.45703;441.82123;0.0039053621771994117;3230.118809700012;777778
30.37489;0.18386438;-2.5528045;0.71492743;1.0;12.148397;-3.1130846;70.435684;431.0055;202.79308;70.461685;0.6191121;0.04775028;2.1006455;0.9935732;1e-06;184.40387;0.41485733;440.22568;439.81082;32.431374;0.23026359;-2.5322049;0.6943277;1.0;428.37567;195.11046;73.13637;0.38550165;0.049240064;2.0242405;1.0246022;0.014272442;184.43246;0.14015703;437.59732;437.45715;0.003931513258448073;3666.9531848430634;888889
32.914368;0.2145834;-2.5282264;0.6903492;1.0;21.956299;-53.547935;213.88316;431.0791;192.85326;70.38953;0.77077615;0.052809358;2.1322415;1.0151353;1e-06;184.88971;-0.51942116;440.3236;440.84302;30.92857;0.21733962;-2.533863;0.6959861;1.0;432.11908;204.2435;69.3449;0.1773018;0.04902532;2.1921232;1.0011464;0.008112625;184.8771;0.18019624;441.36295;441.18274;0.003903639585745604;4100.690487384796;1000000
