agent,dataset,mean_squared_error,mean_absolute_error,max_error
HIQL,"antmaze-large-explore-v0,antmaze-large-explore-v0,antmaze-large-explore-v0,antmaze-large-explore-v0",0.003 $\pm$ 0.000,0.043 $\pm$ 0.003,0.145
HIQL,"antmaze-large-explore-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-navigate-v0",0.003 $\pm$ 0.001,0.041 $\pm$ 0.005,0.135
HIQL,"antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0",0.003 $\pm$ 0.000,0.039 $\pm$ 0.002,0.121
HIQL,"antmaze-large-explore80navigate-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore80navigate-v0",0.002 $\pm$ 0.001,0.035 $\pm$ 0.008,0.107
HIQL,"antmaze-large-navigate-v0,antmaze-large-navigate-v0,antmaze-large-navigate-v0,antmaze-large-navigate-v0",0.003 $\pm$ 0.000,0.041 $\pm$ 0.003,0.110
HIQL,"antmaze-medium-explore-v0,antmaze-medium-explore-v0,antmaze-medium-explore-v0,antmaze-medium-explore-v0",0.006 $\pm$ 0.000,0.065 $\pm$ 0.002,0.172
HIQL,"antmaze-medium-explore-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-navigate-v0",0.006 $\pm$ 0.001,0.056 $\pm$ 0.005,0.178
HIQL,"antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0",0.007 $\pm$ 0.003,0.060 $\pm$ 0.007,0.243
HIQL,"antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0",0.009 $\pm$ 0.002,0.073 $\pm$ 0.005,0.266
HIQL,"antmaze-medium-navigate-v0,antmaze-medium-navigate-v0,antmaze-medium-navigate-v0,antmaze-medium-navigate-v0",0.005 $\pm$ 0.001,0.054 $\pm$ 0.006,0.173
QRL,"antmaze-large-explore-v0,antmaze-large-explore-v0,antmaze-large-explore-v0,antmaze-large-explore-v0",0.001 $\pm$ 0.000,0.027 $\pm$ 0.006,0.074
QRL,"antmaze-large-explore-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-navigate-v0",0.001 $\pm$ 0.000,0.026 $\pm$ 0.007,0.072
QRL,"antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0",0.002 $\pm$ 0.000,0.031 $\pm$ 0.005,0.115
QRL,"antmaze-large-explore80navigate-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore80navigate-v0",0.001 $\pm$ 0.000,0.025 $\pm$ 0.003,0.086
QRL,"antmaze-large-navigate-v0,antmaze-large-navigate-v0,antmaze-large-navigate-v0,antmaze-large-navigate-v0",0.001 $\pm$ 0.000,0.024 $\pm$ 0.003,0.090
QRL,"antmaze-medium-explore-v0,antmaze-medium-explore-v0,antmaze-medium-explore-v0,antmaze-medium-explore-v0",0.001 $\pm$ 0.000,0.026 $\pm$ 0.005,0.085
QRL,"antmaze-medium-explore-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-navigate-v0",0.002 $\pm$ 0.000,0.036 $\pm$ 0.003,0.124
QRL,"antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0",0.002 $\pm$ 0.000,0.035 $\pm$ 0.004,0.107
QRL,"antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0",0.002 $\pm$ 0.001,0.035 $\pm$ 0.006,0.124
QRL,"antmaze-medium-navigate-v0,antmaze-medium-navigate-v0,antmaze-medium-navigate-v0,antmaze-medium-navigate-v0",0.002 $\pm$ 0.001,0.028 $\pm$ 0.005,0.111
