agent,dataset,constant_dataset,hps,phase_num,mean_normalized_goal_distance_return,mean_normalized_goal_distance_return_scaled
HIQL,"antmaze-large-explore-v0,antmaze-large-explore-v0,antmaze-large-explore-v0,antmaze-large-explore-v0",True,"frozenset({'discount', 'lr'})",0 -> 1,,
HIQL,"antmaze-large-explore-v0,antmaze-large-explore-v0,antmaze-large-explore-v0,antmaze-large-explore-v0",True,"frozenset({'discount', 'lr'})",1 -> 2,0.10518117009687385,0.2505389027554559
HIQL,"antmaze-large-explore-v0,antmaze-large-explore-v0,antmaze-large-explore-v0,antmaze-large-explore-v0",True,"frozenset({'discount', 'lr'})",2 -> 3,0.05148639802590297,0.14717323043632857
HIQL,"antmaze-large-explore-v0,antmaze-large-explore-v0,antmaze-large-explore-v0,antmaze-large-explore-v0",True,"frozenset({'discount', 'lr'})",3 -> 4,0.031361030334040085,0.0763502364614852
HIQL,"antmaze-large-explore-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-navigate-v0",False,"frozenset({'discount', 'lr'})",0 -> 1,,
HIQL,"antmaze-large-explore-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-navigate-v0",False,"frozenset({'discount', 'lr'})",1 -> 2,0.21439143298402777,0.4743092739671476
HIQL,"antmaze-large-explore-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-navigate-v0",False,"frozenset({'discount', 'lr'})",2 -> 3,0.05966858470704583,0.1262662533163238
HIQL,"antmaze-large-explore-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-navigate-v0",False,"frozenset({'discount', 'lr'})",3 -> 4,0.03294412809472336,0.0713788956028167
HIQL,"antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0",True,"frozenset({'discount', 'lr'})",0 -> 1,,
HIQL,"antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0",True,"frozenset({'discount', 'lr'})",1 -> 2,0.18981331180132005,0.25369640047417996
HIQL,"antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0",True,"frozenset({'discount', 'lr'})",2 -> 3,0.03537225856614362,0.05595669465112604
HIQL,"antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0",True,"frozenset({'discount', 'lr'})",3 -> 4,0.03337504444469282,0.054693651527154864
HIQL,"antmaze-large-explore80navigate-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore80navigate-v0",True,"frozenset({'discount', 'lr'})",0 -> 1,,
HIQL,"antmaze-large-explore80navigate-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore80navigate-v0",True,"frozenset({'discount', 'lr'})",1 -> 2,0.13656639541673538,0.24639195845738487
HIQL,"antmaze-large-explore80navigate-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore80navigate-v0",True,"frozenset({'discount', 'lr'})",2 -> 3,0.0564893851337093,0.062322296122880656
HIQL,"antmaze-large-explore80navigate-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore80navigate-v0",True,"frozenset({'discount', 'lr'})",3 -> 4,0.038658547969945785,0.06743385771652394
HIQL,"antmaze-large-navigate-v0,antmaze-large-navigate-v0,antmaze-large-navigate-v0,antmaze-large-navigate-v0",True,"frozenset({'discount', 'lr'})",0 -> 1,,
HIQL,"antmaze-large-navigate-v0,antmaze-large-navigate-v0,antmaze-large-navigate-v0,antmaze-large-navigate-v0",True,"frozenset({'discount', 'lr'})",1 -> 2,0.1818982540177526,0.20498950233176894
HIQL,"antmaze-large-navigate-v0,antmaze-large-navigate-v0,antmaze-large-navigate-v0,antmaze-large-navigate-v0",True,"frozenset({'discount', 'lr'})",2 -> 3,0.13705956949736936,0.15012699182453043
HIQL,"antmaze-large-navigate-v0,antmaze-large-navigate-v0,antmaze-large-navigate-v0,antmaze-large-navigate-v0",True,"frozenset({'discount', 'lr'})",3 -> 4,0.03813625046451501,0.04901693675688245
HIQL,"antmaze-medium-explore-v0,antmaze-medium-explore-v0,antmaze-medium-explore-v0,antmaze-medium-explore-v0",True,"frozenset({'discount', 'lr'})",0 -> 1,,
HIQL,"antmaze-medium-explore-v0,antmaze-medium-explore-v0,antmaze-medium-explore-v0,antmaze-medium-explore-v0",True,"frozenset({'discount', 'lr'})",1 -> 2,0.1635254481760392,0.37626243986065183
HIQL,"antmaze-medium-explore-v0,antmaze-medium-explore-v0,antmaze-medium-explore-v0,antmaze-medium-explore-v0",True,"frozenset({'discount', 'lr'})",2 -> 3,0.06052911330372114,0.14042192221907907
HIQL,"antmaze-medium-explore-v0,antmaze-medium-explore-v0,antmaze-medium-explore-v0,antmaze-medium-explore-v0",True,"frozenset({'discount', 'lr'})",3 -> 4,0.059732732751392556,0.1410384241635866
HIQL,"antmaze-medium-explore-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-navigate-v0",False,"frozenset({'discount', 'lr'})",0 -> 1,,
HIQL,"antmaze-medium-explore-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-navigate-v0",False,"frozenset({'discount', 'lr'})",1 -> 2,0.24118994766602198,0.3586737891345346
HIQL,"antmaze-medium-explore-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-navigate-v0",False,"frozenset({'discount', 'lr'})",2 -> 3,0.17201522431702726,0.15425912853886042
HIQL,"antmaze-medium-explore-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-navigate-v0",False,"frozenset({'discount', 'lr'})",3 -> 4,0.12721464813254754,0.11309443351733806
HIQL,"antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0",True,"frozenset({'discount', 'lr'})",0 -> 1,,
HIQL,"antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0",True,"frozenset({'discount', 'lr'})",1 -> 2,0.27950272917549934,0.3494366175796173
HIQL,"antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0",True,"frozenset({'discount', 'lr'})",2 -> 3,0.1268081160838077,0.0829625097778245
HIQL,"antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0",True,"frozenset({'discount', 'lr'})",3 -> 4,0.10950261430401623,0.0714757253704684
HIQL,"antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0",True,"frozenset({'discount', 'lr'})",0 -> 1,,
HIQL,"antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0",True,"frozenset({'discount', 'lr'})",1 -> 2,0.18309604318467526,0.2715100653261242
HIQL,"antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0",True,"frozenset({'discount', 'lr'})",2 -> 3,0.07721813968958564,0.1101855692928694
