dataset,constant_dataset,mean_normalized_goal_distance_return,mean_normalized_goal_distance_return_scaled
"antmaze-large-explore-v0,antmaze-large-explore-v0,antmaze-large-explore-v0,antmaze-large-explore-v0",True,0.05 $\pm$ 0.03,0.15 $\pm$ 0.07
"antmaze-large-explore-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-navigate-v0",False,0.12 $\pm$ 0.09,0.20 $\pm$ 0.16
"antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0",True,0.09 $\pm$ 0.08,0.11 $\pm$ 0.09
"antmaze-large-explore80navigate-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore80navigate-v0",True,0.06 $\pm$ 0.04,0.11 $\pm$ 0.08
"antmaze-large-navigate-v0,antmaze-large-navigate-v0,antmaze-large-navigate-v0,antmaze-large-navigate-v0",True,0.11 $\pm$ 0.09,0.13 $\pm$ 0.11
"antmaze-medium-explore-v0,antmaze-medium-explore-v0,antmaze-medium-explore-v0,antmaze-medium-explore-v0",True,0.07 $\pm$ 0.05,0.19 $\pm$ 0.10
"antmaze-medium-explore-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-navigate-v0",False,0.19 $\pm$ 0.11,0.19 $\pm$ 0.11
"antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0",True,0.14 $\pm$ 0.11,0.15 $\pm$ 0.14
"antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0",True,0.11 $\pm$ 0.09,0.15 $\pm$ 0.12
"antmaze-medium-navigate-v0,antmaze-medium-navigate-v0,antmaze-medium-navigate-v0,antmaze-medium-navigate-v0",True,0.12 $\pm$ 0.13,0.18 $\pm$ 0.19
