agent,dataset,constant_dataset,hps,phase,regret_phase_1,regret_phase_2,regret_phase_3,regret_phase_4,mean_regret_over_phases,mean_future_regret_over_phases
QRL,"antmaze-large-explore-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-navigate-v0",False,"frozenset({'discount', 'lr'})",2,0.7807381946061637,0.0,0.0,0.09388990058018083,0.21865702379658614,0.046944950290090416
QRL,"antmaze-large-explore-v0,antmaze-large-explore-v0,antmaze-large-explore-v0,antmaze-large-explore-v0",True,"frozenset({'discount', 'lr'})",2,0.03581693772377508,0.0,5.4354668913939954e-17,0.06448154049197341,0.02507461955393714,0.03224077024598673
HIQL,"antmaze-large-explore-v0,antmaze-large-explore-v0,antmaze-large-explore-v0,antmaze-large-explore-v0",True,"frozenset({'discount', 'lr'})",2,0.7838523672913394,1.2258712563569438e-16,0.04647950044284175,0.2881389877532436,0.27961771387185624,0.16730924409804268
HIQL,"antmaze-medium-navigate-v0,antmaze-medium-navigate-v0,antmaze-medium-navigate-v0,antmaze-medium-navigate-v0",True,"frozenset({'discount', 'lr'})",2,0.1320135029887267,-1.1102230246251565e-16,0.05092779013227,0.0876984914493895,0.06765994614259652,0.06931314079082976
QRL,"antmaze-medium-navigate-v0,antmaze-medium-navigate-v0,antmaze-medium-navigate-v0,antmaze-medium-navigate-v0",True,"frozenset({'discount', 'lr'})",2,0.20977586135189,-1.700029006457271e-16,0.0639312928060219,0.0575227493675474,0.08280747588136479,0.060727021086784655
QRL,"antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0",True,"frozenset({'discount', 'lr'})",2,0.48113212830510094,-1.7520707107365752e-16,0.08457723495771337,0.08120980456656908,0.16172979195734583,0.08289351976214122
QRL,"antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0",True,"frozenset({'discount', 'lr'})",2,0.2591817064720449,5.3198186596622086e-17,0.05734840549176765,0.0936092067098435,0.10253482966841404,0.07547880610080558
HIQL,"antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0",True,"frozenset({'discount', 'lr'})",2,0.24418867859016583,-1.16804714049105e-16,0.15245388173496516,0.14728017061437923,0.13598068273487754,0.14986702617467218
QRL,"antmaze-medium-explore-v0,antmaze-medium-explore-v0,antmaze-medium-explore-v0,antmaze-medium-explore-v0",True,"frozenset({'discount', 'lr'})",2,0.3969190236559006,-4.163336342344337e-17,0.08041522071488327,0.0375292389557235,0.12871587083162683,0.05897222983530338
HIQL,"antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0",True,"frozenset({'discount', 'lr'})",2,6.245004513516506e-17,1.5728159515523052e-16,-8.789265611615822e-17,0.12188874801100014,0.03047218700275007,0.06094437400550003
HIQL,"antmaze-large-explore-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-navigate-v0",False,"frozenset({'discount', 'lr'})",2,0.6638397033943405,8.326672684688674e-17,0.4137078817886644,0.18763650320912592,0.3162960220980327,0.30067219249889515
HIQL,"antmaze-medium-explore-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-navigate-v0",False,"frozenset({'discount', 'lr'})",2,0.039948724347999974,-6.187180397650612e-17,0.015358296513627199,0.10508841028239439,0.040098857786005374,0.0602233533980108
HIQL,"antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0",True,"frozenset({'discount', 'lr'})",2,0.5175547040096452,-1.1564823173178715e-16,0.1594273979098135,0.14932833681050436,0.20657760968249075,0.15437786736015893
HIQL,"antmaze-medium-explore-v0,antmaze-medium-explore-v0,antmaze-medium-explore-v0,antmaze-medium-explore-v0",True,"frozenset({'discount', 'lr'})",2,0.19983575990958968,8.789265611615822e-17,-1.1564823173178713e-18,0.07132041578215524,0.06778904392293625,0.03566020789107762
QRL,"antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0",True,"frozenset({'discount', 'lr'})",2,0.5396478600153409,4.625929269271486e-17,0.03777945661690407,0.08323228938521321,0.16516490150436455,0.06050587300105864
HIQL,"antmaze-large-navigate-v0,antmaze-large-navigate-v0,antmaze-large-navigate-v0,antmaze-large-navigate-v0",True,"frozenset({'discount', 'lr'})",2,1.1564823173178713e-18,-1.0177044392397268e-16,0.030483397547784424,9.483155002006545e-17,0.007620849386946104,0.015241698773892259
QRL,"antmaze-large-navigate-v0,antmaze-large-navigate-v0,antmaze-large-navigate-v0,antmaze-large-navigate-v0",True,"frozenset({'discount', 'lr'})",2,0.09943438444008879,6.47630097698008e-17,0.01860720588615857,0.07412419736014773,0.048041446921598785,0.04636570162315315
QRL,"antmaze-medium-explore-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-navigate-v0",False,"frozenset({'discount', 'lr'})",2,0.41955961157402605,5.3198186596622086e-17,4.85722573273506e-17,0.06693511012000002,0.12162368042350655,0.03346755506000003
HIQL,"antmaze-large-explore80navigate-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore80navigate-v0",True,"frozenset({'discount', 'lr'})",2,1.0599778242645048,1.0986582014519779e-16,0.011229343842212393,0.05654677594187738,0.28193848601214866,0.03388805989204489
QRL,"antmaze-large-explore80navigate-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore80navigate-v0",True,"frozenset({'discount', 'lr'})",2,0.031046795041957398,0.0,0.07450152613663513,0.03058175000852027,0.0340325177967782,0.0525416380725777
