agent,dataset,constant_dataset,hps,phase,regret_phase_1,regret_phase_2,regret_phase_3,regret_phase_4,mean_regret_over_phases,mean_future_regret_over_phases
QRL,"antmaze-large-explore-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-navigate-v0",False,"frozenset({'discount', 'lr'})",2,,-3.700743415417188e-17,0.0666666666666666,0.09999999999999996,0.055555555555555504,0.08333333333333329
QRL,"antmaze-large-explore-v0,antmaze-large-explore-v0,antmaze-large-explore-v0,antmaze-large-explore-v0",True,"frozenset({'discount', 'lr'})",2,,,,,,
HIQL,"antmaze-large-explore-v0,antmaze-large-explore-v0,antmaze-large-explore-v0,antmaze-large-explore-v0",True,"frozenset({'discount', 'lr'})",2,1.0,-7.401486830834377e-17,0.15384615384615383,0.9,0.5134615384615384,0.5269230769230769
HIQL,"antmaze-medium-navigate-v0,antmaze-medium-navigate-v0,antmaze-medium-navigate-v0,antmaze-medium-navigate-v0",True,"frozenset({'discount', 'lr'})",2,1.0,0.0,0.021052631578947156,0.0860215053763441,0.2767685342388228,0.05353706847764563
QRL,"antmaze-medium-navigate-v0,antmaze-medium-navigate-v0,antmaze-medium-navigate-v0,antmaze-medium-navigate-v0",True,"frozenset({'discount', 'lr'})",2,0.971830985915493,0.0,0.15294117647058836,0.11111111111111109,0.30897081837429813,0.13202614379084973
QRL,"antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0",True,"frozenset({'discount', 'lr'})",2,0.7043478260869565,0.0,0.06349206349206347,0.04032258064516128,0.2020406175560453,0.05190732206861238
QRL,"antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0",True,"frozenset({'discount', 'lr'})",2,0.36734693877551033,-3.932039878880763e-17,0.12162162162162164,0.15999999999999992,0.16224214009928295,0.1408108108108108
HIQL,"antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0",True,"frozenset({'discount', 'lr'})",2,0.27999999999999997,0.0,0.13186813186813187,0.15463917525773188,0.14162682678146593,0.14325365356293188
QRL,"antmaze-medium-explore-v0,antmaze-medium-explore-v0,antmaze-medium-explore-v0,antmaze-medium-explore-v0",True,"frozenset({'discount', 'lr'})",2,0.7272727272727272,-7.709882115452477e-17,0.5833333333333334,-6.47630097698008e-17,0.32765151515151514,0.29166666666666663
HIQL,"antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0",True,"frozenset({'discount', 'lr'})",2,6.47630097698008e-17,1.538121482032769e-16,-8.326672684688674e-17,0.11347517730496455,0.028368794326241172,0.05673758865248223
HIQL,"antmaze-large-explore-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-navigate-v0",False,"frozenset({'discount', 'lr'})",2,1.0,6.013708050052931e-17,0.36363636363636376,0.625,0.49715909090909094,0.4943181818181819
HIQL,"antmaze-medium-explore-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-navigate-v0",False,"frozenset({'discount', 'lr'})",2,1.1102230246251565e-16,-1.4340380734741606e-16,1.1564823173178713e-18,0.0793650793650793,0.01984126984126982,0.03968253968253965
HIQL,"antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0",True,"frozenset({'discount', 'lr'})",2,0.9268292682926829,-1.1796119636642288e-16,4.163336342344337e-17,3.700743415417188e-17,0.2317073170731707,3.9320398788807623e-17
