constant_dataset,agent,phase_num,Goal Distance Score Normalized Regret $< 0.1$ Ratio,Goal Distance Score Normalized Regret $< 0.2$ Ratio,Goal Distance Score,Success,Max Goal Distance Score
False,HIQL,1,0.03 $\pm$ 0.02,0.05 $\pm$ 0.02,0.08 $\pm$ 0.02,0.01 $\pm$ 0.01,0.40
False,HIQL,2,0.12 $\pm$ 0.14,0.24 $\pm$ 0.19,0.30 $\pm$ 0.01,0.11 $\pm$ 0.09,0.60
False,HIQL,3,0.13 $\pm$ 0.03,0.34 $\pm$ 0.04,0.39 $\pm$ 0.09,0.24 $\pm$ 0.23,0.77
False,HIQL,4,0.21 $\pm$ 0.10,0.52 $\pm$ 0.08,0.44 $\pm$ 0.19,0.31 $\pm$ 0.34,0.84
False,QRL,1,0.09 $\pm$ 0.01,0.21 $\pm$ 0.03,0.10 $\pm$ 0.02,0.01 $\pm$ 0.01,0.20
False,QRL,2,0.22 $\pm$ 0.04,0.36 $\pm$ 0.02,0.40 $\pm$ 0.12,0.17 $\pm$ 0.19,0.70
False,QRL,3,0.60 $\pm$ 0.08,0.80 $\pm$ 0.00,0.54 $\pm$ 0.15,0.32 $\pm$ 0.29,0.78
False,QRL,4,0.48 $\pm$ 0.29,0.80 $\pm$ 0.03,0.56 $\pm$ 0.14,0.38 $\pm$ 0.27,0.80
True,HIQL,1,0.03 $\pm$ 0.01,0.08 $\pm$ 0.03,0.17 $\pm$ 0.07,0.06 $\pm$ 0.06,0.61
True,HIQL,2,0.11 $\pm$ 0.08,0.29 $\pm$ 0.17,0.35 $\pm$ 0.11,0.21 $\pm$ 0.15,0.73
True,HIQL,3,0.17 $\pm$ 0.09,0.39 $\pm$ 0.16,0.39 $\pm$ 0.14,0.26 $\pm$ 0.19,0.85
True,HIQL,4,0.20 $\pm$ 0.10,0.42 $\pm$ 0.18,0.40 $\pm$ 0.16,0.28 $\pm$ 0.21,0.92
True,QRL,1,0.10 $\pm$ 0.05,0.22 $\pm$ 0.07,0.27 $\pm$ 0.12,0.10 $\pm$ 0.10,0.82
True,QRL,2,0.34 $\pm$ 0.21,0.63 $\pm$ 0.22,0.43 $\pm$ 0.21,0.26 $\pm$ 0.23,0.84
True,QRL,3,0.44 $\pm$ 0.25,0.60 $\pm$ 0.27,0.45 $\pm$ 0.22,0.29 $\pm$ 0.25,0.86
True,QRL,4,0.45 $\pm$ 0.19,0.66 $\pm$ 0.15,0.45 $\pm$ 0.21,0.29 $\pm$ 0.24,0.84
