dataset,hps,Goal Distance Score Normalized Regret $< 0.1$ Ratio,Goal Distance Score Normalized Regret $< 0.2$ Ratio,Goal Distance Score,Success,Max Goal Distance Score
"antmaze-large-explore-v0,antmaze-large-explore-v0,antmaze-large-explore-v0,antmaze-large-explore-v0","frozenset({'discount', 'lr'})",0.07 $\pm$ 0.07,0.20 $\pm$ 0.11,0.13 $\pm$ 0.04,0.01 $\pm$ 0.01,0.45
"antmaze-large-explore-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-navigate-v0","frozenset({'discount', 'lr'})",0.20 $\pm$ 0.16,0.43 $\pm$ 0.27,0.29 $\pm$ 0.14,0.07 $\pm$ 0.06,0.56
"antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0","frozenset({'discount', 'lr'})",0.29 $\pm$ 0.21,0.47 $\pm$ 0.23,0.43 $\pm$ 0.12,0.20 $\pm$ 0.11,0.74
"antmaze-large-explore80navigate-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore80navigate-v0","frozenset({'discount', 'lr'})",0.23 $\pm$ 0.14,0.45 $\pm$ 0.24,0.32 $\pm$ 0.06,0.08 $\pm$ 0.04,0.60
"antmaze-large-navigate-v0,antmaze-large-navigate-v0,antmaze-large-navigate-v0,antmaze-large-navigate-v0","frozenset({'discount', 'lr'})",0.27 $\pm$ 0.23,0.48 $\pm$ 0.30,0.42 $\pm$ 0.12,0.20 $\pm$ 0.13,0.78
"antmaze-medium-explore-v0,antmaze-medium-explore-v0,antmaze-medium-explore-v0,antmaze-medium-explore-v0","frozenset({'discount', 'lr'})",0.09 $\pm$ 0.05,0.19 $\pm$ 0.11,0.15 $\pm$ 0.05,0.04 $\pm$ 0.02,0.47
"antmaze-medium-explore-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-navigate-v0","frozenset({'discount', 'lr'})",0.27 $\pm$ 0.26,0.40 $\pm$ 0.29,0.41 $\pm$ 0.23,0.32 $\pm$ 0.23,0.84
"antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0","frozenset({'discount', 'lr'})",0.34 $\pm$ 0.27,0.55 $\pm$ 0.26,0.55 $\pm$ 0.18,0.49 $\pm$ 0.20,0.92
"antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0","frozenset({'discount', 'lr'})",0.29 $\pm$ 0.25,0.50 $\pm$ 0.25,0.48 $\pm$ 0.15,0.39 $\pm$ 0.16,0.83
"antmaze-medium-navigate-v0,antmaze-medium-navigate-v0,antmaze-medium-navigate-v0,antmaze-medium-navigate-v0","frozenset({'discount', 'lr'})",0.26 $\pm$ 0.20,0.46 $\pm$ 0.29,0.42 $\pm$ 0.14,0.33 $\pm$ 0.13,0.69
