agent,dataset,mean_squared_error,mean_absolute_error,max_error
HIQL,"antmaze-large-explore-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-navigate-v0",0.003 $\pm$ 0.001,0.040 $\pm$ 0.007,0.144
HIQL,"antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0",0.003 $\pm$ 0.001,0.039 $\pm$ 0.003,0.130
HIQL,"antmaze-large-explore80navigate-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore80navigate-v0",0.002 $\pm$ 0.001,0.036 $\pm$ 0.008,0.114
HIQL,"antmaze-large-navigate-v0,antmaze-large-navigate-v0,antmaze-large-navigate-v0,antmaze-large-navigate-v0",0.002 $\pm$ 0.000,0.039 $\pm$ 0.004,0.111
HIQL,"antmaze-medium-explore-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-navigate-v0",0.006 $\pm$ 0.001,0.057 $\pm$ 0.005,0.186
HIQL,"antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0",0.006 $\pm$ 0.004,0.058 $\pm$ 0.014,0.265
HIQL,"antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0",0.009 $\pm$ 0.002,0.072 $\pm$ 0.004,0.264
HIQL,"antmaze-medium-navigate-v0,antmaze-medium-navigate-v0,antmaze-medium-navigate-v0,antmaze-medium-navigate-v0",0.005 $\pm$ 0.001,0.053 $\pm$ 0.008,0.175
QRL,"antmaze-large-explore-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-navigate-v0",0.001 $\pm$ 0.000,0.028 $\pm$ 0.006,0.094
QRL,"antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0",0.002 $\pm$ 0.000,0.032 $\pm$ 0.004,0.095
QRL,"antmaze-large-explore80navigate-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore80navigate-v0",0.001 $\pm$ 0.000,0.025 $\pm$ 0.003,0.093
QRL,"antmaze-large-navigate-v0,antmaze-large-navigate-v0,antmaze-large-navigate-v0,antmaze-large-navigate-v0",0.001 $\pm$ 0.000,0.027 $\pm$ 0.005,0.099
QRL,"antmaze-medium-explore-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-navigate-v0",0.002 $\pm$ 0.001,0.033 $\pm$ 0.004,0.118
QRL,"antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0",0.002 $\pm$ 0.001,0.035 $\pm$ 0.006,0.118
QRL,"antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0",0.002 $\pm$ 0.000,0.035 $\pm$ 0.004,0.107
QRL,"antmaze-medium-navigate-v0,antmaze-medium-navigate-v0,antmaze-medium-navigate-v0,antmaze-medium-navigate-v0",0.002 $\pm$ 0.000,0.031 $\pm$ 0.002,0.106
