agent,dataset,mean_future_regret_over_phases_firstphase,mean_future_regret_over_phases_secondphase
HIQL,"antmaze-large-explore-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-navigate-v0",0.27 $\pm$ nan,0.30 $\pm$ nan
HIQL,"antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0",0.16 $\pm$ nan,0.15 $\pm$ nan
HIQL,"antmaze-large-explore80navigate-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore80navigate-v0",0.28 $\pm$ nan,0.03 $\pm$ nan
HIQL,"antmaze-large-navigate-v0,antmaze-large-navigate-v0,antmaze-large-navigate-v0,antmaze-large-navigate-v0",0.01 $\pm$ nan,0.02 $\pm$ nan
HIQL,"antmaze-medium-explore-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-navigate-v0",0.23 $\pm$ nan,0.06 $\pm$ nan
HIQL,"antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0",0.04 $\pm$ nan,0.06 $\pm$ nan
HIQL,"antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0",0.09 $\pm$ nan,0.15 $\pm$ nan
HIQL,"antmaze-medium-navigate-v0,antmaze-medium-navigate-v0,antmaze-medium-navigate-v0,antmaze-medium-navigate-v0",0.04 $\pm$ nan,0.07 $\pm$ nan
QRL,"antmaze-large-explore-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-navigate-v0",0.33 $\pm$ nan,0.05 $\pm$ nan
QRL,"antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0",0.04 $\pm$ nan,0.08 $\pm$ nan
QRL,"antmaze-large-explore80navigate-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore80navigate-v0",0.11 $\pm$ nan,0.05 $\pm$ nan
QRL,"antmaze-large-navigate-v0,antmaze-large-navigate-v0,antmaze-large-navigate-v0,antmaze-large-navigate-v0",0.08 $\pm$ nan,0.05 $\pm$ nan
QRL,"antmaze-medium-explore-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-navigate-v0",0.51 $\pm$ nan,0.03 $\pm$ nan
QRL,"antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0",0.04 $\pm$ nan,0.08 $\pm$ nan
QRL,"antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0",0.07 $\pm$ nan,0.06 $\pm$ nan
QRL,"antmaze-medium-navigate-v0,antmaze-medium-navigate-v0,antmaze-medium-navigate-v0,antmaze-medium-navigate-v0",0.15 $\pm$ nan,0.06 $\pm$ nan
