agent,dataset,constant_dataset,hps,phase,regret_phase_1,regret_phase_2,regret_phase_3,regret_phase_4,mean_regret_over_phases,mean_future_regret_over_phases
HIQL,"antmaze-large-explore-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-navigate-v0",False,"frozenset({'discount', 'lr'})",1,-1.295260195396016e-16,0.29881858571780634,0.31231945132233174,0.20877841195819638,0.2049791122495836,0.2733054829994448
HIQL,"antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0",True,"frozenset({'discount', 'lr'})",1,6.245004513516506e-17,1.5728159515523052e-16,-8.789265611615822e-17,0.12188874801100014,0.03047218700275007,0.040629582670333404
HIQL,"antmaze-medium-navigate-v0,antmaze-medium-navigate-v0,antmaze-medium-navigate-v0,antmaze-medium-navigate-v0",True,"frozenset({'discount', 'lr'})",1,-6.47630097698008e-17,0.04812801286812537,0.056812398221979754,0.009541824746655611,0.02862055895919017,0.03816074527892025
HIQL,"antmaze-medium-explore-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-navigate-v0",False,"frozenset({'discount', 'lr'})",1,-4.85722573273506e-17,0.21884256567849883,0.26430424738380015,0.21710966960353306,0.175064120666458,0.23341882755527735
QRL,"antmaze-large-explore-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-navigate-v0",False,"frozenset({'discount', 'lr'})",1,-5.551115123125783e-17,0.3551565777651246,0.40849968568624506,0.21782697593469647,0.24537080984651652,0.3271610797953554
QRL,"antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0",True,"frozenset({'discount', 'lr'})",1,-1.7578531223231644e-16,0.023059608043066837,0.0698524148384506,0.03734856181026378,0.03256514617294526,0.04342019489726041
HIQL,"antmaze-large-navigate-v0,antmaze-large-navigate-v0,antmaze-large-navigate-v0,antmaze-large-navigate-v0",True,"frozenset({'discount', 'lr'})",1,1.1564823173178713e-18,-1.0177044392397268e-16,0.030483397547784424,9.483155002006545e-17,0.007620849386946104,0.010161132515928139
HIQL,"antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0",True,"frozenset({'discount', 'lr'})",1,6.013708050052931e-17,0.017316905466780105,0.10723370490174282,0.14277456724698737,0.06683129440387758,0.08910839253850343
QRL,"antmaze-large-explore80navigate-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore80navigate-v0",True,"frozenset({'discount', 'lr'})",1,8.326672684688674e-17,0.1393942924047671,0.05467756018291217,0.12733092217638656,0.08035069369101648,0.10713425825468863
QRL,"antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0",True,"frozenset({'discount', 'lr'})",1,-9.483155002006545e-17,0.038703737326601394,0.08980144539832952,0.08987962501279119,0.0545962019344305,0.07279493591257404
QRL,"antmaze-medium-navigate-v0,antmaze-medium-navigate-v0,antmaze-medium-navigate-v0,antmaze-medium-navigate-v0",True,"frozenset({'discount', 'lr'})",1,-6.013708050052931e-17,0.119892645062271,0.19727987336272954,0.14568338573318354,0.115713976039546,0.15428530138606136
QRL,"antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0",True,"frozenset({'discount', 'lr'})",1,-4.394632805807911e-17,0.02829460726727807,0.06935155794250648,0.030159324653317426,0.03195137246577548,0.04260182995436732
HIQL,"antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0",True,"frozenset({'discount', 'lr'})",1,1.4687325429936968e-16,0.1462183101172653,0.17936168891219337,0.1524262374416705,0.11950155911778232,0.15933541215704305
QRL,"antmaze-large-navigate-v0,antmaze-large-navigate-v0,antmaze-large-navigate-v0,antmaze-large-navigate-v0",True,"frozenset({'discount', 'lr'})",1,0.0,0.04693403940644617,0.17616725670177033,0.03157517711141316,0.06366911830490742,0.08489215773987656
QRL,"antmaze-medium-explore-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-navigate-v0",False,"frozenset({'discount', 'lr'})",1,1.8503717077085943e-16,0.504199079650645,0.6220822608203344,0.3970520095500838,0.3808333375052658,0.5077777833403544
HIQL,"antmaze-large-explore80navigate-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore80navigate-v0",True,"frozenset({'discount', 'lr'})",1,0.0,0.2678907099727119,0.29796839737799025,0.27409605844107693,0.2099887914479448,0.2799850552639264
