agent,dataset,constant_dataset,hps,phase,regret_phase_1,regret_phase_2,regret_phase_3,regret_phase_4,mean_regret_over_phases,mean_future_regret_over_phases
HIQL,"antmaze-large-explore-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-navigate-v0",False,"frozenset({'discount', 'lr'})",1,0.0,0.9583333333333334,0.7272727272727274,0.6666666666666666,0.5880681818181819,0.7840909090909092
HIQL,"antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0",True,"frozenset({'discount', 'lr'})",1,6.47630097698008e-17,1.538121482032769e-16,-8.326672684688674e-17,0.11347517730496455,0.028368794326241172,0.03782505910165487
HIQL,"antmaze-medium-navigate-v0,antmaze-medium-navigate-v0,antmaze-medium-navigate-v0,antmaze-medium-navigate-v0",True,"frozenset({'discount', 'lr'})",1,0.0,0.02083333333333318,0.10526315789473666,0.09677419354838712,0.05571767119411424,0.074290228258819
HIQL,"antmaze-medium-explore-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-navigate-v0",False,"frozenset({'discount', 'lr'})",1,1.1102230246251565e-16,-1.4340380734741606e-16,1.1564823173178713e-18,0.0793650793650793,0.01984126984126982,0.026455026455026388
QRL,"antmaze-large-explore-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-navigate-v0",False,"frozenset({'discount', 'lr'})",1,,1.0,0.33333333333333326,0.19999999999999996,0.5111111111111111,0.5111111111111111
QRL,"antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0",True,"frozenset({'discount', 'lr'})",1,1.1102230246251565e-16,0.07142857142857122,0.09459459459459467,0.07999999999999992,0.06150579150579148,0.08200772200772194
HIQL,"antmaze-large-navigate-v0,antmaze-large-navigate-v0,antmaze-large-navigate-v0,antmaze-large-navigate-v0",True,"frozenset({'discount', 'lr'})",1,1.1102230246251565e-16,-6.013708050052931e-17,-1.0870933782787991e-16,1.0177044392397268e-16,1.098658201451978e-17,-2.2358658134812178e-17
HIQL,"antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0",True,"frozenset({'discount', 'lr'})",1,-7.401486830834377e-17,0.01149425287356323,0.054945054945055055,0.10309278350515462,0.04238302283094321,0.0565106971079243
QRL,"antmaze-large-explore80navigate-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore80navigate-v0",True,"frozenset({'discount', 'lr'})",1,-6.938893903907228e-17,0.08333333333333341,0.3333333333333333,0.21739130434782616,0.1585144927536232,0.21135265700483097
QRL,"antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0",True,"frozenset({'discount', 'lr'})",1,1.0870933782787991e-16,0.11711711711711703,0.08403361344537813,0.08403361344537813,0.07129608600196835,0.09506144800262444
QRL,"antmaze-medium-navigate-v0,antmaze-medium-navigate-v0,antmaze-medium-navigate-v0,antmaze-medium-navigate-v0",True,"frozenset({'discount', 'lr'})",1,3.8163916471489756e-17,0.35000000000000003,0.41176470588235303,0.45555555555555555,0.30433006535947715,0.40577342047930287
QRL,"antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0",True,"frozenset({'discount', 'lr'})",1,-9.483155002006545e-17,0.03200000000000002,0.11111111111111109,0.008064516129032173,0.0377939068100358,0.05039187574671442
HIQL,"antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0",True,"frozenset({'discount', 'lr'})",1,2.0354088784794536e-16,0.3428571428571428,0.328358208955224,0.35616438356164376,0.2568449338435027,0.3424599117913369
QRL,"antmaze-large-navigate-v0,antmaze-large-navigate-v0,antmaze-large-navigate-v0,antmaze-large-navigate-v0",True,"frozenset({'discount', 'lr'})",1,1.0177044392397268e-16,0.09090909090909093,0.425531914893617,0.021739130434782743,0.13454503405937268,0.1793933787458302
QRL,"antmaze-medium-explore-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-navigate-v0",False,"frozenset({'discount', 'lr'})",1,-1.4802973661668753e-16,-6.47630097698008e-17,0.0454545454545456,0.12173913043478257,0.04179841897233199,0.0557312252964427
HIQL,"antmaze-large-explore80navigate-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore80navigate-v0",True,"frozenset({'discount', 'lr'})",1,1.295260195396016e-16,0.0,-5.551115123125783e-17,1.541976423090495e-16,5.705312765434832e-17,3.2895497025930556e-17
