agent,dataset,constant_dataset,hps,phase,regret_phase_1,regret_phase_2,regret_phase_3,regret_phase_4,mean_regret_over_phases,mean_future_regret_over_phases
HIQL,"antmaze-large-explore-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-navigate-v0",False,"frozenset({'discount', 'lr'})",1,0.0,0.15333333333333335,0.10666666666666669,0.10666666666666667,0.09166666666666667,0.12222222222222223
HIQL,"antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0",True,"frozenset({'discount', 'lr'})",1,3.700743415417188e-17,1.1102230246251565e-16,-7.401486830834377e-17,0.10666666666666669,0.02666666666666669,0.035555555555555576
HIQL,"antmaze-medium-navigate-v0,antmaze-medium-navigate-v0,antmaze-medium-navigate-v0,antmaze-medium-navigate-v0",True,"frozenset({'discount', 'lr'})",1,0.0,0.013333333333333234,0.06666666666666654,0.06000000000000002,0.03499999999999995,0.0466666666666666
HIQL,"antmaze-medium-explore-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-navigate-v0",False,"frozenset({'discount', 'lr'})",1,9.25185853854297e-18,-7.401486830834377e-17,0.0,0.06666666666666661,0.016666666666666635,0.02222222222222218
QRL,"antmaze-large-explore-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-navigate-v0",False,"frozenset({'discount', 'lr'})",1,0.0,0.12,0.06666666666666665,0.05333333333333332,0.05999999999999999,0.07999999999999999
QRL,"antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0",True,"frozenset({'discount', 'lr'})",1,3.700743415417188e-17,0.033333333333333236,0.04666666666666671,0.03999999999999996,0.029999999999999985,0.03999999999999997
HIQL,"antmaze-large-navigate-v0,antmaze-large-navigate-v0,antmaze-large-navigate-v0,antmaze-large-navigate-v0",True,"frozenset({'discount', 'lr'})",1,3.700743415417188e-17,-3.700743415417188e-17,-7.401486830834377e-17,7.401486830834377e-17,0.0,-1.2335811384723962e-17
HIQL,"antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0",True,"frozenset({'discount', 'lr'})",1,-3.700743415417188e-17,0.006666666666666672,0.0333333333333334,0.06666666666666665,0.026666666666666672,0.035555555555555576
QRL,"antmaze-large-explore80navigate-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore80navigate-v0",True,"frozenset({'discount', 'lr'})",1,-9.25185853854297e-18,0.013333333333333345,0.053333333333333344,0.03333333333333335,0.02500000000000001,0.03333333333333335
QRL,"antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0",True,"frozenset({'discount', 'lr'})",1,7.401486830834377e-17,0.0866666666666666,0.06666666666666665,0.06666666666666665,0.05499999999999999,0.0733333333333333
QRL,"antmaze-medium-navigate-v0,antmaze-medium-navigate-v0,antmaze-medium-navigate-v0,antmaze-medium-navigate-v0",True,"frozenset({'discount', 'lr'})",1,1.850371707708594e-17,0.18666666666666668,0.23333333333333342,0.2733333333333334,0.1733333333333334,0.23111111111111116
QRL,"antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0",True,"frozenset({'discount', 'lr'})",1,-7.401486830834377e-17,0.02666666666666669,0.09333333333333331,0.006666666666666599,0.031666666666666635,0.042222222222222196
HIQL,"antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0",True,"frozenset({'discount', 'lr'})",1,5.551115123125783e-17,0.15999999999999995,0.14666666666666672,0.17333333333333334,0.12000000000000002,0.16
QRL,"antmaze-large-navigate-v0,antmaze-large-navigate-v0,antmaze-large-navigate-v0,antmaze-large-navigate-v0",True,"frozenset({'discount', 'lr'})",1,1.850371707708594e-17,0.026666666666666672,0.1333333333333333,0.00666666666666671,0.04166666666666668,0.05555555555555556
QRL,"antmaze-medium-explore-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-navigate-v0",False,"frozenset({'discount', 'lr'})",1,-9.25185853854297e-18,-3.700743415417188e-17,0.03333333333333344,0.09333333333333331,0.031666666666666676,0.04222222222222224
HIQL,"antmaze-large-explore80navigate-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore80navigate-v0",True,"frozenset({'discount', 'lr'})",1,1.850371707708594e-17,0.0,-1.850371707708594e-17,5.551115123125783e-17,1.3877787807814457e-17,1.2335811384723962e-17
