agent,dataset,constant_dataset,hps,phase,regret_phase_1,regret_phase_2,regret_phase_3,regret_phase_4,mean_regret_over_phases,mean_future_regret_over_phases
QRL,"antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0",True,"frozenset({'discount', 'lr'})",2,0.5399999999999999,0.0,0.05333333333333331,0.033333333333333326,0.15666666666666665,0.04333333333333332
QRL,"antmaze-large-explore80navigate-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore80navigate-v0",True,"frozenset({'discount', 'lr'})",2,0.13333333333333333,9.25185853854297e-18,0.04000000000000001,0.03333333333333333,0.051666666666666666,0.03666666666666667
QRL,"antmaze-large-explore-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-navigate-v0",False,"frozenset({'discount', 'lr'})",2,0.0,-4.625929269271485e-18,0.013333333333333317,0.026666666666666655,0.009999999999999992,0.019999999999999987
HIQL,"antmaze-medium-navigate-v0,antmaze-medium-navigate-v0,antmaze-medium-navigate-v0,antmaze-medium-navigate-v0",True,"frozenset({'discount', 'lr'})",2,0.5666666666666667,0.0,0.013333333333333197,0.053333333333333344,0.1583333333333333,0.03333333333333327
QRL,"antmaze-large-navigate-v0,antmaze-large-navigate-v0,antmaze-large-navigate-v0,antmaze-large-navigate-v0",True,"frozenset({'discount', 'lr'})",2,0.06000000000000002,0.0,0.03999999999999996,0.08000000000000003,0.045,0.06
QRL,"antmaze-medium-explore-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-navigate-v0",False,"frozenset({'discount', 'lr'})",2,-9.25185853854297e-18,-3.700743415417188e-17,0.03333333333333344,0.09333333333333331,0.031666666666666676,0.06333333333333338
QRL,"antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0",True,"frozenset({'discount', 'lr'})",2,0.12000000000000004,-1.850371707708594e-17,0.06000000000000002,0.07999999999999996,0.065,0.06999999999999999
HIQL,"antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0",True,"frozenset({'discount', 'lr'})",2,0.13999999999999999,0.0,0.08,0.09999999999999994,0.07999999999999997,0.08999999999999997
HIQL,"antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0",True,"frozenset({'discount', 'lr'})",2,3.700743415417188e-17,1.1102230246251565e-16,-7.401486830834377e-17,0.10666666666666669,0.02666666666666669,0.05333333333333331
QRL,"antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0",True,"frozenset({'discount', 'lr'})",2,0.06666666666666672,-1.1102230246251565e-16,0.08666666666666671,0.033333333333333326,0.04666666666666666,0.06000000000000002
HIQL,"antmaze-large-explore-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-navigate-v0",False,"frozenset({'discount', 'lr'})",2,0.09333333333333332,9.25185853854297e-18,0.053333333333333365,0.09999999999999999,0.061666666666666675,0.07666666666666667
HIQL,"antmaze-medium-explore-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-navigate-v0",False,"frozenset({'discount', 'lr'})",2,9.25185853854297e-18,-7.401486830834377e-17,0.0,0.06666666666666661,0.016666666666666635,0.033333333333333305
QRL,"antmaze-medium-navigate-v0,antmaze-medium-navigate-v0,antmaze-medium-navigate-v0,antmaze-medium-navigate-v0",True,"frozenset({'discount', 'lr'})",2,0.45999999999999996,0.0,0.08666666666666674,0.06666666666666665,0.15333333333333335,0.07666666666666669
HIQL,"antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0",True,"frozenset({'discount', 'lr'})",2,0.25333333333333335,-5.551115123125783e-17,1.850371707708594e-17,1.850371707708594e-17,0.06333333333333332,1.850371707708594e-17
HIQL,"antmaze-large-explore80navigate-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore80navigate-v0",True,"frozenset({'discount', 'lr'})",2,1.850371707708594e-17,0.0,-1.850371707708594e-17,5.551115123125783e-17,1.3877787807814457e-17,1.8503717077085944e-17
HIQL,"antmaze-large-navigate-v0,antmaze-large-navigate-v0,antmaze-large-navigate-v0,antmaze-large-navigate-v0",True,"frozenset({'discount', 'lr'})",2,3.700743415417188e-17,-3.700743415417188e-17,-7.401486830834377e-17,7.401486830834377e-17,0.0,0.0
